"stratum","pair_cluster_id","pair_level","pair_anchor_key","pair_treated_anchor","pair_control_anchor","pair_comparison_type","baseline_cluster_id","baseline_anchor_key","baseline_n_total","baseline_n_studies","baseline_studies","strict_match","relaxed_match","human_label","human_note"
"relaxed_only","pair_L0_31d737e5",0,"small_molecule|CHEBI:17235|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none|true__VS__vehicle_only|unknown|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none|true__CT_vehicle","small_molecule|CHEBI:17235|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none|true","vehicle_only|unknown|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none|true","vehicle","group_L0_2d3a16d9","vehicle_only|unknown|wt|nodose|na|exposure|MCF-7|cell_line_in_vitro|proliferating|whole_cell|breast|none|false",159,52,"GSE52385,GSE63189,GSE221280,GSE74383,GSE120957,GSE77261,GSE123604,GSE124658,GSE107590,GSE134938,GSE93505,GSE152102,GSE161480,GSE168706,GSE226836,GSE56066,GSE62613,GSE68815,GSE66158,GSE66744,GSE84986,GSE132447,GSE37918,GSE145536,GSE104604,GSE153557,GSE182288,GSE115737,GSE178905,GSE52036,GSE226339,GSE64590,GSE231480,GSE100292,GSE216988,GSE218819,GSE109537,GSE130067,GSE156454,GSE100451,GSE219134,GSE188914,GSE241600,GSE76453,GSE210411,GSE134888,GSE141711,GSE223718,GSE157343,GSE159263,GSE112898,GSE43726",FALSE,TRUE,"TBD",""
"relaxed_only","pair_L0_3d784451",0,"small_molecule|White Bean 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false__VS__vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false__CT_vehicle","small_molecule|White Bean 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false","vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false","vehicle","group_L0_1583b834","vehicle_only|unknown|wt|nodose|0h|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false",23,3,"GSE122058,GSE122083,GSE235941",FALSE,TRUE,"TBD",""
"relaxed_only","pair_L0_3d784451",0,"small_molecule|White Bean 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false__VS__vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false__CT_vehicle","small_molecule|White Bean 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false","vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false","vehicle","group_L0_489a7053","vehicle_only|unknown|wt|nodose|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false",83,6,"GSE214625,GSE140702,GSE196735,GSE188620,GSE193708,GSE210043",FALSE,TRUE,"TBD",""
"relaxed_only","pair_L0_60486a40",0,"small_molecule|Glycine max 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false__VS__vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false__CT_vehicle","small_molecule|Glycine max 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false","vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false","vehicle","group_L0_1583b834","vehicle_only|unknown|wt|nodose|0h|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false",23,3,"GSE122058,GSE122083,GSE235941",FALSE,TRUE,"TBD",""
"relaxed_only","pair_L0_60486a40",0,"small_molecule|Glycine max 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false__VS__vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false__CT_vehicle","small_molecule|Glycine max 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false","vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false","vehicle","group_L0_489a7053","vehicle_only|unknown|wt|nodose|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none|false",83,6,"GSE214625,GSE140702,GSE196735,GSE188620,GSE193708,GSE210043",FALSE,TRUE,"TBD",""
"relaxed_only","pair_L1_158d83b7",1,"small_molecule|Glycine max 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__VS__vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__CT_vehicle","small_molecule|Glycine max 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle","group_L1_1468bef5","vehicle_only|unknown|wt|nodose|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none",83,6,"GSE214625,GSE140702,GSE196735,GSE188620,GSE193708,GSE210043",FALSE,TRUE,"TBD",""
"relaxed_only","pair_L1_158d83b7",1,"small_molecule|Glycine max 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__VS__vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__CT_vehicle","small_molecule|Glycine max 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle","group_L1_ad3e622c","vehicle_only|unknown|wt|nodose|0h|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none",23,3,"GSE122058,GSE122083,GSE235941",FALSE,TRUE,"TBD",""
"relaxed_only","pair_L1_f38e0e6a",1,"small_molecule|White Bean 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__VS__vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__CT_vehicle","small_molecule|White Bean 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle","group_L1_1468bef5","vehicle_only|unknown|wt|nodose|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none",83,6,"GSE214625,GSE140702,GSE196735,GSE188620,GSE193708,GSE210043",FALSE,TRUE,"TBD",""
"relaxed_only","pair_L1_f38e0e6a",1,"small_molecule|White Bean 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__VS__vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none__CT_vehicle","small_molecule|White Bean 7S globulin|wt|50|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle_only|unknown|wt|0|na|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none","vehicle","group_L1_ad3e622c","vehicle_only|unknown|wt|nodose|0h|exposure|PBMCs|primary_tissue|proliferating|whole_cell|blood|none",23,3,"GSE122058,GSE122083,GSE235941",FALSE,TRUE,"TBD",""
"mismatch","pair_L1_37c75531",1,"none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none__VS__none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none__CT_disease_normal","none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none","none|unknown|wt|nodose|na|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none","disease_normal","group_L1_52cf0302","none|unknown|wt|nodose|na|exposure|Peripheral blood mononuclear cells (PBMCs)|primary_culture|proliferating|whole_cell|blood|none",18,3,"GSE122459,GSE102272,GSE183204",FALSE,FALSE,"TBD",""
"mismatch","pair_L0_c6ba8f7f",0,"small_molecule|CHEBI:27953|wt|nodose|na|exposure|Normal human prostate derived primary stromal cells|primary_culture|proliferating|whole_cell|prostate|none|false__VS__vehicle_only|unknown|wt|nodose|na|exposure|Normal human prostate derived primary stromal cells|primary_culture|proliferating|whole_cell|prostate|none|false__CT_vehicle","small_molecule|CHEBI:27953|wt|nodose|na|exposure|Normal human prostate derived primary stromal cells|primary_culture|proliferating|whole_cell|prostate|none|false","vehicle_only|unknown|wt|nodose|na|exposure|Normal human prostate derived primary stromal cells|primary_culture|proliferating|whole_cell|prostate|none|false","vehicle","group_L0_ddf69142","vehicle_only|unknown|wt|nodose|na|exposure|VCaP|cell_line_in_vitro|proliferating|whole_cell|prostate|none|false",25,3,"GSE145844,GSE159531,GSE120660",FALSE,FALSE,"TBD",""
"mismatch","pair_L2_35b87529",2,"small_molecule|CHEBI:134138|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none__VS__vehicle_only|unknown|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none","small_molecule|CHEBI:134138|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none","vehicle_only|unknown|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none",NA,"group_L2_b7971cd9","vehicle_only|unknown|wt|exposure|CVCL_0016|cell_line_in_vitro|proliferating|whole_cell|lung|none",47,15,"GSE192656,GSE143638,GSE160946,GSE234859,GSE181861,GSE120269,GSE193169,GSE215771,GSE211357,GSE99298,GSE113144,GSE159348,GSE120355,GSE142508,GSE155832",FALSE,FALSE,"TBD",""
"mismatch","pair_L1_440b60ea",1,"pathogen_or_aggregate_exposure|Tuberculosis|wt|nodose|na|exposure|Plasma|primary_tissue|proliferating|whole_cell|plasma|case__VS__none|unknown|wt|nodose|na|exposure|Plasma|primary_tissue|proliferating|whole_cell|plasma|none__CT_disease_normal","pathogen_or_aggregate_exposure|Tuberculosis|wt|nodose|na|exposure|Plasma|primary_tissue|proliferating|whole_cell|plasma|case","none|unknown|wt|nodose|na|exposure|Plasma|primary_tissue|proliferating|whole_cell|plasma|none","disease_normal","group_L1_585cba91","none|unknown|wt|nodose|na|exposure|plasma|primary_tissue|proliferating|whole_cell|plasma|none",91,7,"GSE136243,GSE182824,GSE216561,GSE142987,GSE133420,GSE194388,GSE210775",FALSE,FALSE,"TBD",""
"mismatch","pair_L2_a28b250f",2,"none|unknown|wt|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none__VS__none|unknown|wt|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none","none|unknown|wt|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none","none|unknown|wt|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none",NA,"group_L2_aa2616a1","none|unknown|wt|exposure|CD19|primary_tissue|proliferating|whole_cell|blood|none",35,2,"GSE164457,GSE136200",FALSE,FALSE,"TBD",""
"mismatch","pair_L2_27cf95e7",2,"pathogen_or_aggregate_exposure|Listeria monocytogenes|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none__VS__none|unknown|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none","pathogen_or_aggregate_exposure|Listeria monocytogenes|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none","none|unknown|wt|exposure|macrophage|primary_culture|proliferating|whole_cell|blood|none",NA,"group_L2_f98f9943","none|unknown|wt|exposure|Peripheral Blood|primary_tissue|proliferating|whole_cell|blood|none",102,5,"GSE235658,GSE210651,GSE201704,GSE115823,GSE182031",FALSE,FALSE,"TBD",""
"mismatch","pair_L2_adc4a832",2,"pathogen_or_aggregate_exposure|Tuberculosis|wt|exposure|Plasma cell-free RNA|primary_tissue|proliferating|whole_cell|plasma|case__VS__none|unknown|wt|exposure|Plasma cell-free RNA|primary_tissue|proliferating|whole_cell|plasma|none","pathogen_or_aggregate_exposure|Tuberculosis|wt|exposure|Plasma cell-free RNA|primary_tissue|proliferating|whole_cell|plasma|case","none|unknown|wt|exposure|Plasma cell-free RNA|primary_tissue|proliferating|whole_cell|plasma|none",NA,"group_L2_950a4203","none|unknown|wt|exposure|Plasma|primary_tissue|proliferating|whole_cell|plasma|none",50,4,"GSE255073,GSE124131,GSE255071,GSE174179",FALSE,FALSE,"TBD",""
"mismatch","pair_L2_ca516916",2,"genetic_knockout|1707|wt|exposure|MCF10A|cell_line_in_vitro|proliferating|whole_cell|breast|none__VS__none|unknown|wt|exposure|MCF10A|cell_line_in_vitro|proliferating|whole_cell|breast|none","genetic_knockout|1707|wt|exposure|MCF10A|cell_line_in_vitro|proliferating|whole_cell|breast|none","none|unknown|wt|exposure|MCF10A|cell_line_in_vitro|proliferating|whole_cell|breast|none",NA,"group_L2_8e18641c","none|unknown|wt|exposure|Adult Human Breast Epithelium|primary_tissue|proliferating|whole_cell|breast|none",717,5,"GSE113099,GSE113127,GSE113198,GSE131685,GSE233276",FALSE,FALSE,"TBD",""
"mismatch","pair_L2_35b87529",2,"small_molecule|CHEBI:134138|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none__VS__vehicle_only|unknown|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none","small_molecule|CHEBI:134138|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none","vehicle_only|unknown|wt|exposure|CVCL_0023|cell_line_in_vitro|proliferating|whole_cell|lung|none",NA,"group_L2_a99ab35e","vehicle_only|unknown|wt|exposure|H1299|cell_line_in_vitro|proliferating|whole_cell|lung|none",14,6,"GSE218171,GSE200006,GSE111051,GSE137691,GSE141052,GSE164917",FALSE,FALSE,"TBD",""
"mismatch","pair_L2_a28b250f",2,"none|unknown|wt|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none__VS__none|unknown|wt|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none","none|unknown|wt|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none","none|unknown|wt|exposure|Thrombocytes|primary_tissue|proliferating|whole_cell|blood|none",NA,"group_L2_27b43ca5","none|unknown|wt|exposure|CD4 Tconv T cells|primary_culture|proliferating|whole_cell|blood|none",20,3,"GSE182612,GSE182678,GSE182610",FALSE,FALSE,"TBD",""
