TOKEN                          ID                     membri  NOME CHE L'ID PROMETTE                      esempio di etichetta trattata
STR:melanoma                   MeSH:D008545              10  Melanoma                                    Circulating tumor cells-enriched cells (melanoma)
STR:retinoblastoma             MeSH:D012175              10  Retinoblastoma                              Retinoblastoma tumor (3rd RB patient)
STR:rhinitis                   MeSH:D012220              10  Rhinitis                                    Bronchi Rhinitis
STR:nets                       HGNC:15464                 9  SPINK5                                      Type 1 Diabetes, Healthy NETs
STR:fshd2                      HGNC:29090                 9  SMCHD1                                      innervated muscle fiber derivated from hIPS with FSHD2
STR:exosc9                     HGNC:9137                  9  EXOSC9                                      EXOSC9-/- Fibroblast derived iNPCs (Replicate 1)
STR:colon_cancer               MeSH:D003110               9  Colonic Neoplasms                           CRC1M
STR:endometriosis              MeSH:D004715               9  Endometriosis                               Endometriosis
STR:pneumococcus               MeSH:D013296               9  Streptococcus pneumoniae                    LAIV D2 + pneumococcus
STR:tuberculosis               MeSH:D014376               9  Tuberculosis                                Tuberculosis Patients
STR:nvp2                       CHEBI:230487               8  NVP-2                                       HER2+ breast cancer cells NVP2
STR:gw3965                     CHEBI:79995                8  GW 3965                                     Hep3B GW3965
STR:polya                      CHEBI:8756                 8  RNA (poly(A))                               TNPO2 KO, Day 12, polyA RNA
STR:arginine                   CHEMBL:CHEMBL1485          8  ARGININE                                    HCT116 cells deprived of arginine
STR:cpd1                       CHEMBL:CHEMBL4297626       8  NIDUFEXOR                                   CSM152_Cpd1
STR:dkk1                       HGNC:2891                  8  DKK1                                        CD8+ T cells from patient with dMMR colorectal cancer treate
STR:fgf23                      HGNC:3680                  8  FGF23                                       HEK293 FGF23 1h
STR:il17                       HGNC:5981                  8  IL17A                                       Intestinal Epithelial Cells (IEC) treated with IL17
STR:medulloblastoma            MeSH:D008527               8  Medulloblastoma                             Medulloblastoma
STR:rhinovirus                 MeSH:D012229               8  Rhinovirus                                  rhinovirus positive at AV
STR:hcov_oc43                  MeSH:D028962               8  Coronavirus OC43, Human                     MRC-5, HCoV-OC43, 1.5 hours
STR:arac                       CHEBI:28680                7  cytarabine                                  AML1956 AraC day 29
STR:trichostatina              CHEBI:46024                7  trichostatin A                              CH-157 + TrichostatinA + G47delta
STR:activin_a                  CHEBI:81351                7  Activin A                                   FOP + Activin-A (0h)
STR:pd325901                   CHEBI:88249                7  PD 0325901                                  ICb1299 Medulloblastoma shCHD7 PD325901 100nM 28h
STR:leucine                    CHEMBL:CHEMBL291962        7  LEUCINE                                     HCT116 cells deprived of leucine
STR:il23                       HGNC:15488                 7  IL23A                                       AD-HIES Patient + IL23
STR:chmi                       HGNC:17005                 7  CNMD                                        CHMI NP V05C,D161
STR:mid_49                     HGNC:17920                 7  MIEF2                                       49 days Mid
STR:igf2bp3                    HGNC:28868                 7  IGF2BP3                                     igf2bp3 knockdown
STR:esat                       HGNC:3463                  7  ESAT                                        Tcells esat 0h
STR:gata6                      HGNC:4174                  7  GATA6                                       Naive H9 ESCs + GATA6 (day 1)
STR:osteoarthritis             MeSH:D010003               7  Osteoarthritis                              OA Chondrocytes
STR:radiotherapy               MeSH:D011878               7  Radiotherapy                                FaDu cells treated with radiotherapy
STR:osteosarcoma               MeSH:D012516               7  Osteosarcoma                                Osteosarcoma Tumor Tissue (Age 53)
STR:starvation                 MeSH:D013217               7  Starvation                                  Induced pluripotent stem cells (iPSCs) heterozygous mutant (
STR:suicide                    MeSH:D013405               7  Suicide                                     Suicide, Cannabis
STR:cholangiocarcinoma         MeSH:D018281               7  Cholangiocarcinoma                          22T Cholangiocarcinoma
STR:sarcopenia                 MeSH:D055948               7  Sarcopenia                                  Sarcopenia Case
STR:r837                       CHEBI:36704                6  imiquimod                                   Human monocyte-derived dendritic cells, R837
STR:ibrd9                      CHEBI:747477               6  I-BRD9                                      LNCaP_IBRD9_CSS_media_24h
STR:ibet151                    CHEBI:95083                6  I-BET151                                    C002 IBET151
STR:rny5                       HGNC:10248                 6  RNY5                                        BJ cells treated with RNY5 for 2 hours
STR:bdnf                       HGNC:1033                  6  BDNF                                        Wild-Type, BDNF, 24h
STR:kat6a                      HGNC:13013                 6  KAT6A                                       KAT6A (6-year-old male)
STR:nlgn1                      HGNC:14291                 6  NLGN1                                       1363.1 NLGN1 day 61-91
STR:spdl_1                     HGNC:26010                 6  SPDL1                                       Colorectal Cancer Cells - sPDL-1 (24h)
STR:zikv                       MeSH:D000071244            6  Zika Virus                                  ZIKV-infected, Human1, 24h
STR:extra_intestinal_pathogeni MeSH:D000072282            6  Extraintestinal Pathogenic Escherichia col  Colonoid extra-intestinal pathogenic E. coli
STR:atrial_fibrillation        MeSH:D001281               6  Atrial Fibrillation                         Atrial Fibrillation
STR:fatigue                    MeSH:D005221               6  Fatigue                                     Fatigue Later Surveillance
STR:flagellin                  MeSH:D005408               6  Flagellin                                   Wild-type Calu-3 cells exposed to flagellin
STR:kerosine                   MeSH:D007648               6  Kerosene                                    MCF7 Cells Treated with Kerosine 1uM
STR:milk                       MeSH:D008892               6  Milk                                        Donor Human Milk
STR:multiple_myeloma           MeSH:D009101               6  Multiple Myeloma                            Multiple Myeloma Plasma Cells
STR:wilms_tumor                MeSH:D009396               6  Wilms Tumor                                 Wilms tumor (Age 4.4167, M)
STR:recurrence                 MeSH:D012008               6  Recurrence                                  UPN-871-X recurrence
STR:sjogren_s_syndrome         MeSH:D012859               6  Sjogren's Syndrome                          Sjogren's syndrome case
STR:tcells                     MeSH:D013601               6  T-Lymphocytes                               D10 Tcells 4h
STR:vaccination                MeSH:D014611               6  Vaccination                                 PBMC vaccination
STR:mibg                       MeSH:D019797               6  3-Iodobenzylguanidine                       MIBG
STR:essential_tremor           MeSH:D020329               6  Essential Tremor                            Essential Tremor (85 years old, male)
STR:hcov_229e                  MeSH:D028941               6  Coronavirus 229E, Human                     MRC-5 cells infected with HCoV-229E for 6 hours
STR:allograft                  MeSH:D064591               6  Allografts                                  CD4 T cells, allograft, 2 weeks post-transplant
STR:e_cig                      MeSH:D066300               6  Electronic Nicotine Delivery Systems        E-cig 2 ppm
STR:ms275                      CHEBI:132082               5  entinostat                                  MS275 5uM
STR:gw9662                     CHEBI:79993                5  GW 9662                                     SV7 cells treated with GW9662 for 12 hours
STR:torin_1                    CHEBI:84327                5  torin 1                                     RPS2-TadA-7.10 (V82G) + TORIN-1 + doxycycline-induced expres
STR:ose127                     CHEMBL:CHEMBL4650498       5  LUSVERTIKIMAB                               OSE127 10 mg/kg D57
STR:tal1                       HGNC:11556                 5  TAL1                                        TAL1 Overexpression
STR:tfap2c                     HGNC:11744                 5  TFAP2C                                      TFAP2C-/- Line 1
STR:smg6                       HGNC:17809                 5  SMG6                                        SMG6
STR:etv7                       HGNC:18160                 5  ETV7                                        MCF7 ETV7 Overexpression
STR:c9orf72                    HGNC:28337                 5  C9orf72                                     iPSC motor neuron, C9orf72 mutation, donor C9-04
STR:mos2                       HGNC:30677                 5  GPKOW                                       MoS2 Treated Bone Marrow Mesenchymal Stem Cells
STR:ago2                       HGNC:3263                  5  AGO2                                        AGO2-/-
STR:zika_virus_infection       MeSH:D000071243            5  Zika Virus Infection                        Zika virus infection (Donor 2016_19)
STR:endurance_training         MeSH:D000076663            5  Endurance Training                          Endurance Training 100%
STR:uveal_melanoma             MeSH:D000098943            5  Uveal Melanoma                              Uveal Melanoma MP46
STR:astrocytoma                MeSH:D001254               5  Astrocytoma                                 Astrocytoma
STR:trisomy_21                 MeSH:D004314               5  Down Syndrome                               Trisomy 21
STR:epilepsy                   MeSH:D004827               5  Epilepsy                                    Epilepsy_Brodmann_Area_38_Protocol_1
STR:hepatitis_c                MeSH:D006526               5  Hepatitis C                                 Hepatic progenitor cells, Hepatitis C, Patient 1, Repeat
STR:keratoconus                MeSH:D007640               5  Keratoconus                                 Keratoconus
STR:organoid                   MeSH:D009940               5  Organoids                                   Organoid (Patient Mixed)
STR:parasitic_infection        MeSH:D010272               5  Parasitic Diseases                          Parasitic Infection (30 days)
STR:ionizing_radiation         MeSH:D011839               5  Radiation, Ionizing                         HAEC Ionizing Radiation 4 Gy
STR:chronic_periodontitis      MeSH:D055113               5  Chronic Periodontitis                       Chronic Periodontitis (3 replicates)
STR:grape_seed_extract         MeSH:D056604               5  Grape Seed Extract                          HCT116 Grape Seed Extract
STR:geographic_atrophy         MeSH:D057092               5  Geographic Atrophy                          Retina_Macula_Geographic_Atrophy
STR:h1n1                       NCBITaxon:114727           5  h1n1subtype                                 H1N1 24h
STR:hts01037                   CHEBI:186187               4  HTS 01037                                   A2780 HTS01037 20µM 48h
STR:dtagv1                     CHEBI:233323               4  DTAGv-1                                     WCM154 organoids, sgEZH2, dTAGv1 (500 nM, 9 days)
STR:ici_182_780                CHEBI:31638                4  fulvestrant                                 epithelial_ICI-182,780
STR:pcb52                      CHEBI:34206                4  2,2',5,5'-tetrachlorobiphenyl               PCB52 1 day NPAD
STR:a771726                    CHEBI:68540                4  teriflunomide                               A375 cells treated with A771726 for 24 hours
STR:ag1478                     CHEBI:75404                4  tyrphostin AG 1478                          AG1478 10 uM 48h
STR:pdgfbb                     CHEMBL:CHEMBL1201556       4  BECAPLERMIN                                 siRNA-scramble + PDGFBB
STR:vitamin_d                  CHEMBL:CHEMBL1536          4  ERGOCALCIFEROL                              Vitamin D 24h
STR:gdc0068                    CHEMBL:CHEMBL2177390       4  IPATASERTIB                                 DU145_prostate_cancer_GDC0068
STR:pd901                      CHEMBL:CHEMBL507361        4  MIRDAMETINIB                                WM4265-3 cells treated with PD901
STR:tp53                       HGNC:11998                 4  TP53                                        PC3 TP53-/-
STR:ube2b                      HGNC:12473                 4  UBE2B                                       iPSC-derived Cardiomyocyte UBE2B-/- PGP1
STR:trim25                     HGNC:12932                 4  TRIM25                                      BT549 TRIM25
STR:boca                       HGNC:13520                 4  MESD                                        BoCA Visit 0 Case Female Age 8
STR:pcif1                      HGNC:16200                 4  PCIF1                                       PCIF1 knockdown
STR:ddx41                      HGNC:18674                 4  DDX41                                       DDX41 knockdown 1
STR:rnase7                     HGNC:19278                 4  RNASE7                                      Hep3B + RNase7
STR:adh_6                      HGNC:255                   4  ADH6                                        ADH-6 treated
STR:mir_28                     HGNC:31615                 4  MIR28                                       miR-28
STR:mecom                      HGNC:3498                  4  MECOM                                       MECOM_knockdown_1
STR:hhip_as1                   HGNC:44182                 4  HHIP-AS1                                    CHLA-266 HHIP-AS1 shRNA 1
STR:tonsl                      HGNC:7801                  4  TONSL                                       TONSL
STR:nkx3_1                     HGNC:7838                  4  NKX3-1                                      NKX3.1 - Sample 1
STR:cadasil                    HGNC:7883                  4  NOTCH3                                      CADASIL-affected ES-derived vascular endothelial cells
STR:ybx1                       HGNC:8014                  4  YBX1                                        MOLM13_Cas9_YBX1
STR:ptpn2                      HGNC:9650                  4  PTPN2                                       PTPN2-/- hESC-derived beta cells (replicate 1)
STR:ctip                       HGNC:9891                  4  RBBP8                                       CtIP Knockout HEK293T (Sample 1)
STR:ctla_4ig                   MeSH:D000069594            4  Abatacept                                   CTLA-4Ig day 0
STR:zika_virus                 MeSH:D000071244            4  Zika Virus                                  ZIKV-infected hSeC (12h)
STR:nasopharyngeal_carcinoma   MeSH:D000077274            4  Nasopharyngeal Carcinoma                    Nasopharyngeal Carcinoma Tumor
STR:platelet                   MeSH:D001792               4  Blood Platelets                             ESCC TE40
STR:bronchopulmonary_dysplasia MeSH:D001997               4  Bronchopulmonary Dysplasia                  BPD, passage 10
STR:celiac_disease             MeSH:D002446               4  Celiac Disease                              Celiac disease (P12)
STR:cervical_cancer            MeSH:D002583               4  Uterine Cervical Neoplasms                  Cervical Cancer Tissue
STR:glioma                     MeSH:D005910               4  Glioma                                      Glioma tissue (G3)
STR:leiomyosarcoma             MeSH:D007890               4  Leiomyosarcoma                              Leiomyosarcoma LMS_05
STR:parkinson_s_disease        MeSH:D010300               4  Parkinson Disease                           Parkinson’s disease, Putamen, Female
STR:plastic                    MeSH:D010969               4  Plastics                                    hTERT-immortalized proximal tubule epithelial cells - Plasti
STR:poly_da_dt                 MeSH:D011067               4  Poly dA-dT                                  Monocytes-derived macrophages treated with Poly dA:dT
STR:smoke                      MeSH:D012906               4  Smoke                                       Primary HAEC Smoke
STR:ptsd                       MeSH:D013313               4  Stress Disorders, Post-Traumatic            Case (PTSD) Post-deployment
STR:thymectomy                 MeSH:D013934               4  Thymectomy                                  Memory (CD45RA-) CD4 T cell, thymectomy
STR:microgravity               MeSH:D014893               4  Weightlessness                              Microgravity for 14 days
STR:panic_disorder             MeSH:D016584               4  Panic Disorder                              PD Patient_1
STR:heat_stress                MeSH:D018869               4  Heat-Shock Response                         Heat stress 1-2h
STR:senv                       MeSH:D022783               4  Torque teno virus                           293T cells Wild-Type SenV
STR:walnut                     MeSH:D031324               4  Juglans                                     Walnut (no technical treatment)
STR:cbp30                      MeSH:D037502               4  Galectin 3                                  MDA-MB-231 treated with CBP30
STR:autograft                  MeSH:D064592               4  Autografts                                  CD4 T cells, autograft, donor DL052
STR:papa                       CHEBI:131579               3  pApA                                        PAPA Human skin
STR:vlps                       CHEBI:215384               3  VLP S                                       VLPs 4h
STR:act_d                      CHEBI:27666                3  actinomycin D                               HCT116 P53-/- Act D
STR:light                      CHEBI:30212                3  photon                                      HT-29_Light
STR:pcb126                     CHEBI:34317                3  3,3',4,4',5-pentachlorobiphenyl             PCB126 3 days
STR:s_equol                    CHEBI:34741                3  equol                                       MCF-7, S-equol, no modification
STR:effector                   CHEBI:35224                3  effector                                    Effector 3h
STR:5_aza_2_deoxycytidine      CHEBI:50131                3  5-aza-2'-deoxycytidine                      iPSC-derived neural progenitor cells (5-aza-2-deoxycytidine)
STR:antigen                    CHEBI:59132                3  antigen                                     EV-treated 1:1 Antigen-Stimulated
STR:blast                      CHEBI:81783                3  tricyclazole                                Blast
STR:bc2059                     CHEMBL:CHEMBL3601411       3  TEGAVIVINT                                  AML191 treated with BC2059
STR:pen221                     CHEMBL:CHEMBL4650335       3  NENDRATAREOTIDE UZATANSINE                  C666-1, Nasopharyngeal carcinoma, Pen221, 24h
STR:glp_17_36                  CHEMBL:CHEMBL5095267       3  BEINAGLUTIDE                                Diabetic cardiomyocytes treated with GLP-17-36
STR:sox9                       HGNC:11204                 3  SOX9                                        SOX9 overexpression (HUVEC)
STR:tfe3                       HGNC:11752                 3  TFE3                                        SW872 liposarcoma cells, TFE3
STR:tnrc6a                     HGNC:11969                 3  TNRC6A                                      TNRC6A-/-
STR:wwox                       HGNC:12799                 3  WWOX                                        MDA-MB-231 WWOX 3h
STR:zbtb16                     HGNC:12930                 3  ZBTB16                                      A549_ZBTB16_case
STR:cnbp                       HGNC:13164                 3  CNBP                                        CNBP knockdown
STR:mir_1                      HGNC:13745                 3  FSD1                                        293T cells transfected with miR-1 for 48 hours
STR:eto2                       HGNC:1537                  3  CBFA2T3                                     ETO2-/-
STR:rspo4                      HGNC:16175                 3  RSPO4                                       RSPO4
STR:azin1                      HGNC:16432                 3  AZIN1                                       AZIN1 Knockdown 1
STR:tp53tg1                    HGNC:17026                 3  TP53TG1                                     TP53TG1
STR:asxl1                      HGNC:18318                 3  ASXL1                                       ASXL1 Perturbation (Sample 1)
STR:sun1                       HGNC:18587                 3  SUN1                                        SUN1, 20 hrs
STR:hsd17b14                   HGNC:23238                 3  HSD17B14                                    MCF7 HSD17B14
STR:ptf1a                      HGNC:23734                 3  PTF1A                                       PTF1a
STR:rnaseh2b                   HGNC:25671                 3  RNASEH2B                                    Astrocytes RNASEH2B Knockout
STR:nsun2                      HGNC:25994                 3  NSUN2                                       NSUN2 knockdown 1
STR:dia4                       HGNC:2874                  3  NQO1                                        HS578T Dia4
STR:dia2                       HGNC:2877                  3  DIAPH2                                      HS578T Dia2
STR:dnajc12                    HGNC:28908                 3  DNAJC12                                     DNAJC12 Overexpression
STR:dll4                       HGNC:2910                  3  DLL4                                        Human Microvascular Retinal Endothelial Cells DLL4
STR:tnrc6b                     HGNC:29190                 3  TNRC6B                                      TNRC6B-/-
STR:drap1                      HGNC:3019                  3  DRAP1                                       DRAP1
STR:mir_141                    HGNC:31528                 3  MIR141                                      mir-141
STR:mir_30a                    HGNC:31624                 3  MIR30A                                      miR-30a (38)
STR:hsa_mir_20b                HGNC:32024                 3  MIR20B                                      hsa-miR-20b
STR:elk4                       HGNC:3326                  3  ELK4                                        HCT116_ELK4_1
STR:gli1                       HGNC:4317                  3  GLI1                                        RMS13_Gli1_1
STR:macroh2a1_2                HGNC:4740                  3  MACROH2A1                                   HUVEC reprogrammed with macroH2A1.2
STR:angpt2                     HGNC:485                   3  ANGPT2                                      ANGPT2 stimulated
STR:hmg20b                     HGNC:5002                  3  HMG20B                                      THP1_HMG20B_1
STR:hoxa11                     HGNC:5101                  3  HOXA11                                      BT549 HOXA11
STR:pano                       HGNC:51237                 3  PANO1                                       PANO
STR:hoxc6                      HGNC:5128                  3  HOXC6                                       PANC1 cells overexpressing HOXC6 (sample 1)
STR:ifn_a1                     HGNC:5417                  3  IFNA1                                       HuLu_214-3 IFN_A1
STR:ifn_a10                    HGNC:5418                  3  IFNA10                                      HuLu_214-3 IFN_A10
STR:ifn_a14                    HGNC:5420                  3  IFNA14                                      HuLu_214-3 IFN_A14
STR:ifn_a17                    HGNC:5422                  3  IFNA17                                      HuLu_214-3 IFN_A17
STR:ifn_a2                     HGNC:5423                  3  IFNA2                                       HuLu_214-3 IFN_A2
STR:ifn_a21                    HGNC:5424                  3  IFNA21                                      HuLu_214-3 IFN_A21
STR:ifn_a4                     HGNC:5425                  3  IFNA4                                       HuLu_214-3 IFN_A4
STR:ifn_a5                     HGNC:5426                  3  IFNA5                                       HuLu_214-3 IFN_A5
STR:ifn_a7                     HGNC:5428                  3  IFNA7                                       HuLu_214-3 IFN_A7
STR:ifn_a8                     HGNC:5429                  3  IFNA8                                       HuLu_214-3 IFN_A8
STR:igf1                       HGNC:5464                  3  IGF1                                        HMCL-7304 IGF1
STR:il_17                      HGNC:5981                  3  IL17A                                       IL-17 (DonorID 3)
STR:islr                       HGNC:6133                  3  ISLR                                        ISLR Overexpression 1
STR:klf7                       HGNC:6350                  3  KLF7                                        PANC1 cells with KLF7 knockdown (shRNA#1)
STR:lef1                       HGNC:6551                  3  LEF1                                        LEF1 Overexpression
STR:mcm5                       HGNC:6948                  3  MCM5                                        MCM5_1
STR:mt1g                       HGNC:7399                  3  MT1G                                        Huh7 cells overexpressing MT1G (1)
STR:ncor2                      HGNC:7673                  3  NCOR2                                       T265_NCOR2_genetic_knockdown
STR:nrf3                       HGNC:7783                  3  NFE2L3                                      NRF3 Overexpression (FLAG-NRF3-1)
STR:recoverin                  HGNC:9937                  3  RCVRN                                       A549 transfected with recoverin
STR:accident                   MeSH:D000059               3  Accidents                                   CTRL_Accident_alcohol
STR:interferon_alpha_a         MeSH:D000077190            3  Interferon alpha-2                          Endoderm, IFN-alpha A day 5
STR:5_aza_dc                   MeSH:D000077209            3  Decitabine                                  Jurkat-SV 5-aza-dC
STR:5aza_dc                    MeSH:D000077209            3  Decitabine                                  5Aza-dC
STR:ischemic_stroke            MeSH:D000083242            3  Ischemic Stroke                             ischemic stroke
STR:hyperthermia               MeSH:D000084462            3  Hyperthermia                                Hyperthermia-treated MCF7 cells
STR:ifn_lambda                 MeSH:D000095022            3  Interferon Lambda                           B cells IFN-lambda
STR:degron                     MeSH:D000097791            3  Degrons                                     CH22 HA-dTAG-T(G177D), T(-/-) + degron 1 uM 6 days
STR:adult                      MeSH:D000328               3  Adult                                       Exposed adult (25 years)
STR:aging                      MeSH:D000375               3  Aging                                       Vastus Lateralis Muscle - Older
STR:ameloblastoma              MeSH:D000564               3  Ameloblastoma                               Human Ameloblastoma
STR:aneurysm                   MeSH:D000783               3  Aneurysm                                    Neutrophils from patient A8 with aneurysm
STR:autophagy                  MeSH:D001343               3  Autophagy                                   HCCLM3 autophagy
STR:azacytidine                MeSH:D001374               3  Azacitidine                                 MM.1S myeloma cell line treated with azacytidine
STR:cold                       MeSH:D003080               3  Cold Temperature                            Cold-treated passage 60
STR:dengue                     MeSH:D003715               3  Dengue                                      dendritic cell + dengue
STR:2_deoxyglucose             MeSH:D003847               3  Deoxyglucose                                2-Deoxyglucose (breast)
STR:immunotherapy              MeSH:D007167               3  Immunotherapy                               Immunotherapy
STR:lipoma                     MeSH:D008067               3  Lipoma                                      Lipoma (sample 1)
STR:mucormycosis               MeSH:D009091               3  Mucormycosis                                Granulocytes Mucormycosis
STR:mycosis_fungoides          MeSH:D009182               3  Mycosis Fungoides                           Mycosis fungoides CD4+ CD7- Peripheral blood
STR:sezary_syndrome            MeSH:D012751               3  Sezary Syndrome                             Sezary syndrome CD4+ CD7- Peripheral blood
STR:yogurt                     MeSH:D015014               3  Yogurt                                      Yogurt 120h
STR:aerobic_exercise           MeSH:D015444               3  Exercise                                    aerobic exercise
STR:replicative_senescence     MeSH:D016922               3  Cellular Senescence                         Replicative Senescence
STR:conditioned_media          MeSH:D017077               3  Culture Media, Conditioned                  conditioned media
STR:williams_syndrome          MeSH:D018980               3  Williams Syndrome                           Williams syndrome WS1 (age 17)
STR:tsp1                       MeSH:D019700               3  Thrombospondin 1                            JINB8 TSP1
STR:haart                      MeSH:D023241               3  Antiretroviral Therapy, Highly Active       ANI + HAART
STR:microfluidic               MeSH:D044085               3  Microfluidics                               colon mucosa, microfluidic, donor 2
STR:radiochemotherapy          MeSH:D059248               3  Chemoradiotherapy                           Radiochemotherapy Treated Glioma Tissue
STR:induction_chemotherapy     MeSH:D060828               3  Induction Chemotherapy                      Non-responder with induction chemotherapy
STR:adenomyosis                MeSH:D062788               3  Adenomyosis                                 Adenomyosis (Control)
STR:mi63                       CHEBI:134602               2  MI-63                                       MCF-7 + MI63
STR:hbi8000                    CHEBI:135918               2  chidamide                                   U2932_HBI8000
STR:spms                       CHEBI:140399               2  specialised pro-resolving mediator          SPMS (4 replicates)
STR:mc_1568                    CHEBI:140475               2  MC1568                                      MC 1568 1 uM 6h
STR:peptide                    CHEBI:16670                2  peptide                                     HRMVEC peptide normoxia
STR:gsklsd1                    CHEBI:232752               2  GSK-LSD1                                    GSKLSD1 1 uM 6h
STR:antimycina                 CHEBI:2762                 2  antimycin A                                 antimycinA 5 day
STR:oligomycina                CHEBI:28285                2  oligomycin A                                oligomycinA 5 day
STR:clof                       CHEBI:30127                2  fluorochlorane oxide                        DEV_Clof
STR:atri                       CHEBI:35930                2  α-D-GalpNAc-(1→3)-[α-L-Fucp-(1→2)]-D-Galp  ATRi 4hr
STR:trichostatin_a             CHEBI:46024                2  trichostatin A                              HCT116 trichostatin-A
STR:amyloid                    CHEBI:64645                2  amyloid-β                                  Endometrial epithelial cell treated with amyloid
STR:dt061                      CHEBI:746964               2  DT-061                                      LNCaP-EnzaR treated with DT061
STR:gw0742                     CHEBI:79991                2  GW 0742                                     GW0742 (7 days)
STR:gw4064                     CHEBI:79997                2  GW 4064                                     GW4064-treated iPSC-derived hepatocytes
STR:xct790                     CHEBI:79999                2  XCT 790                                     iPSC-derived ECs treated with XCT790
STR:bde99                      CHEBI:81582                2  2,4-dibromophenyl 2,4,5-tribromophenyl eth  BDE99 Treated
