"da","a","Freq"
"STR:spdl_1","HGNC:26010",6
"STR:zikv","MeSH:D000071244",6
"STR:extra_intestinal_pathogenic_e_coli","MeSH:D000072282",6
"STR:atrial_fibrillation","MeSH:D001281",6
"STR:fatigue","MeSH:D005221",6
"STR:flagellin","MeSH:D005408",6
"STR:kerosine","MeSH:D007648",6
"STR:milk","MeSH:D008892",6
"STR:multiple_myeloma","MeSH:D009101",6
"STR:wilms_tumor","MeSH:D009396",6
"STR:recurrence","MeSH:D012008",6
"STR:sjogren_s_syndrome","MeSH:D012859",6
"STR:vaccination","MeSH:D014611",6
"STR:mibg","MeSH:D019797",6
"STR:essential_tremor","MeSH:D020329",6
"STR:hcov_229e","MeSH:D028941",6
"STR:allograft","MeSH:D064591",6
"STR:e_cig","MeSH:D066300",6
"STR:ms275","CHEBI:132082",5
"STR:gw9662","CHEBI:79993",5
"STR:torin_1","CHEBI:84327",5
"STR:ose127","CHEMBL:CHEMBL4650498",5
"STR:tal1","HGNC:11556",5
"STR:tfap2c","HGNC:11744",5
"STR:smg6","HGNC:17809",5
"STR:etv7","HGNC:18160",5
"STR:c9orf72","HGNC:28337",5
"STR:ago2","HGNC:3263",5
"STR:zika_virus_infection","MeSH:D000071243",5
"STR:endurance_training","MeSH:D000076663",5
"STR:uveal_melanoma","MeSH:D000098943",5
"STR:astrocytoma","MeSH:D001254",5
"STR:trisomy_21","MeSH:D004314",5
"STR:epilepsy","MeSH:D004827",5
"STR:hepatitis_c","MeSH:D006526",5
"STR:keratoconus","MeSH:D007640",5
"STR:organoid","MeSH:D009940",5
"STR:parasitic_infection","MeSH:D010272",5
"STR:ionizing_radiation","MeSH:D011839",5
"STR:chronic_periodontitis","MeSH:D055113",5
"STR:grape_seed_extract","MeSH:D056604",5
"STR:geographic_atrophy","MeSH:D057092",5
"STR:h1n1","NCBITaxon:114727",5
"STR:hts01037","CHEBI:186187",4
"STR:dtagv1","CHEBI:233323",4
"STR:ici_182_780","CHEBI:31638",4
"STR:pcb52","CHEBI:34206",4
"STR:a771726","CHEBI:68540",4
"STR:ag1478","CHEBI:75404",4
"STR:pdgfbb","CHEMBL:CHEMBL1201556",4
"STR:gdc0068","CHEMBL:CHEMBL2177390",4
"STR:pd901","CHEMBL:CHEMBL507361",4
"STR:tp53","HGNC:11998",4
"STR:ube2b","HGNC:12473",4
"STR:trim25","HGNC:12932",4
"STR:pcif1","HGNC:16200",4
"STR:ddx41","HGNC:18674",4
"STR:rnase7","HGNC:19278",4
"STR:adh_6","HGNC:255",4
"STR:mir_28","HGNC:31615",4
"STR:mecom","HGNC:3498",4
"STR:hhip_as1","HGNC:44182",4
"STR:tonsl","HGNC:7801",4
"STR:nkx3_1","HGNC:7838",4
"STR:ybx1","HGNC:8014",4
"STR:ptpn2","HGNC:9650",4
"STR:ctip","HGNC:9891",4
"STR:ctla_4ig","MeSH:D000069594",4
"STR:zika_virus","MeSH:D000071244",4
"STR:nasopharyngeal_carcinoma","MeSH:D000077274",4
"STR:platelet","MeSH:D001792",4
"STR:bronchopulmonary_dysplasia","MeSH:D001997",4
"STR:celiac_disease","MeSH:D002446",4
"STR:cervical_cancer","MeSH:D002583",4
"STR:glioma","MeSH:D005910",4
"STR:leiomyosarcoma","MeSH:D007890",4
"STR:parkinson_s_disease","MeSH:D010300",4
"STR:plastic","MeSH:D010969",4
"STR:poly_da_dt","MeSH:D011067",4
"STR:smoke","MeSH:D012906",4
"STR:ptsd","MeSH:D013313",4
"STR:thymectomy","MeSH:D013934",4
"STR:microgravity","MeSH:D014893",4
"STR:panic_disorder","MeSH:D016584",4
"STR:heat_stress","MeSH:D018869",4
"STR:walnut","MeSH:D031324",4
"STR:autograft","MeSH:D064592",4
"STR:act_d","CHEBI:27666",3
"STR:light","CHEBI:30212",3
"STR:pcb126","CHEBI:34317",3
"STR:s_equol","CHEBI:34741",3
"STR:effector","CHEBI:35224",3
"STR:5_aza_2_deoxycytidine","CHEBI:50131",3
"STR:antigen","CHEBI:59132",3
"STR:bc2059","CHEMBL:CHEMBL3601411",3
"STR:pen221","CHEMBL:CHEMBL4650335",3
"STR:glp_17_36","CHEMBL:CHEMBL5095267",3
"STR:sox9","HGNC:11204",3
"STR:tfe3","HGNC:11752",3
"STR:tnrc6a","HGNC:11969",3
"STR:wwox","HGNC:12799",3
"STR:zbtb16","HGNC:12930",3
"STR:cnbp","HGNC:13164",3
"STR:eto2","HGNC:1537",3
"STR:rspo4","HGNC:16175",3
"STR:azin1","HGNC:16432",3
"STR:tp53tg1","HGNC:17026",3
"STR:asxl1","HGNC:18318",3
"STR:sun1","HGNC:18587",3
"STR:hsd17b14","HGNC:23238",3
"STR:ptf1a","HGNC:23734",3
"STR:rnaseh2b","HGNC:25671",3
"STR:nsun2","HGNC:25994",3
"STR:dnajc12","HGNC:28908",3
"STR:dll4","HGNC:2910",3
"STR:tnrc6b","HGNC:29190",3
"STR:drap1","HGNC:3019",3
"STR:mir_141","HGNC:31528",3
"STR:mir_30a","HGNC:31624",3
"STR:hsa_mir_20b","HGNC:32024",3
"STR:elk4","HGNC:3326",3
"STR:gli1","HGNC:4317",3
"STR:macroh2a1_2","HGNC:4740",3
"STR:angpt2","HGNC:485",3
"STR:hmg20b","HGNC:5002",3
"STR:hoxa11","HGNC:5101",3
"STR:pano","HGNC:51237",3
"STR:hoxc6","HGNC:5128",3
"STR:ifn_a1","HGNC:5417",3
"STR:ifn_a10","HGNC:5418",3
"STR:ifn_a14","HGNC:5420",3
"STR:ifn_a17","HGNC:5422",3
"STR:ifn_a2","HGNC:5423",3
"STR:ifn_a21","HGNC:5424",3
"STR:ifn_a4","HGNC:5425",3
"STR:ifn_a5","HGNC:5426",3
"STR:ifn_a7","HGNC:5428",3
"STR:ifn_a8","HGNC:5429",3
"STR:igf1","HGNC:5464",3
"STR:il_17","HGNC:5981",3
"STR:islr","HGNC:6133",3
"STR:klf7","HGNC:6350",3
"STR:lef1","HGNC:6551",3
"STR:mcm5","HGNC:6948",3
"STR:mt1g","HGNC:7399",3
"STR:ncor2","HGNC:7673",3
"STR:nrf3","HGNC:7783",3
"STR:recoverin","HGNC:9937",3
"STR:accident","MeSH:D000059",3
"STR:interferon_alpha_a","MeSH:D000077190",3
"STR:5_aza_dc","MeSH:D000077209",3
"STR:5aza_dc","MeSH:D000077209",3
"STR:ischemic_stroke","MeSH:D000083242",3
"STR:hyperthermia","MeSH:D000084462",3
"STR:ifn_lambda","MeSH:D000095022",3
"STR:degron","MeSH:D000097791",3
"STR:adult","MeSH:D000328",3
"STR:aging","MeSH:D000375",3
"STR:ameloblastoma","MeSH:D000564",3
"STR:aneurysm","MeSH:D000783",3
"STR:autophagy","MeSH:D001343",3
"STR:azacytidine","MeSH:D001374",3
"STR:cold","MeSH:D003080",3
"STR:dengue","MeSH:D003715",3
"STR:2_deoxyglucose","MeSH:D003847",3
"STR:immunotherapy","MeSH:D007167",3
"STR:lipoma","MeSH:D008067",3
"STR:mucormycosis","MeSH:D009091",3
"STR:mycosis_fungoides","MeSH:D009182",3
"STR:sezary_syndrome","MeSH:D012751",3
"STR:yogurt","MeSH:D015014",3
"STR:aerobic_exercise","MeSH:D015444",3
"STR:replicative_senescence","MeSH:D016922",3
"STR:conditioned_media","MeSH:D017077",3
"STR:williams_syndrome","MeSH:D018980",3
"STR:tsp1","MeSH:D019700",3
"STR:haart","MeSH:D023241",3
"STR:microfluidic","MeSH:D044085",3
"STR:radiochemotherapy","MeSH:D059248",3
"STR:induction_chemotherapy","MeSH:D060828",3
"STR:adenomyosis","MeSH:D062788",3
"STR:mi63","CHEBI:134602",2
"STR:hbi8000","CHEBI:135918",2
"STR:mc_1568","CHEBI:140475",2
"STR:peptide","CHEBI:16670",2
"STR:gsklsd1","CHEBI:232752",2
"STR:antimycina","CHEBI:2762",2
"STR:oligomycina","CHEBI:28285",2
"STR:trichostatin_a","CHEBI:46024",2
"STR:amyloid","CHEBI:64645",2
"STR:dt061","CHEBI:746964",2
"STR:gw0742","CHEBI:79991",2
"STR:gw4064","CHEBI:79997",2
"STR:xct790","CHEBI:79999",2
"STR:bde99","CHEBI:81582",2
"STR:gdc0879","CHEBI:83405",2
"STR:bay_11_7082","CHEBI:85928",2
"STR:ibet_151","CHEBI:95083",2
"STR:betahydroxybutyrate","CHEMBL:CHEMBL1162496",2
"STR:puh71","CHEMBL:CHEMBL200102",2
"STR:mcsf","CHEMBL:CHEMBL2108239",2
"STR:yeast","CHEMBL:CHEMBL2108815",2
"STR:mk8931","CHEMBL:CHEMBL3301601",2
"STR:bvd523","CHEMBL:CHEMBL3590106",2
"STR:px12","CHEMBL:CHEMBL406050",2
"STR:cpg1018","CHEMBL:CHEMBL4297680",2
"STR:tak981","CHEMBL:CHEMBL5095044",2
"STR:rnase1","HGNC:10044",2
"STR:shot","HGNC:10854",2
"STR:slbp","HGNC:10904",2
"STR:smarcb1","HGNC:11103",2
"STR:kdm5c","HGNC:11114",2
"STR:spink1","HGNC:11244",2
"STR:spink3","HGNC:11244",2
"STR:spink2","HGNC:11245",2
"STR:sqle","HGNC:11279",2
"STR:supt4h1","HGNC:11467",2
"STR:tbx20","HGNC:11598",2
"STR:zeb1","HGNC:11642",2
"STR:tiam1","HGNC:11805",2
"STR:klf11","HGNC:11811",2
"STR:vegf_c","HGNC:12682",2
"STR:acta","HGNC:129",2
"STR:aicda","HGNC:13203",2
"STR:tlx3","HGNC:13532",2
"STR:rab23","HGNC:14263",2
"STR:sirt6","HGNC:14934",2
"STR:trim28","HGNC:16384",2
"STR:cd34","HGNC:1662",2
"STR:smg7","HGNC:16792",2
"STR:wtap","HGNC:16846",2
"STR:mettl3","HGNC:17563",2
"STR:exosc3","HGNC:17944",2
"STR:cdyl","HGNC:1811",2
"STR:sox7","HGNC:18196",2
"STR:rnd1","HGNC:18314",2
"STR:camta1","HGNC:18806",2
"STR:mda5","HGNC:18873",2
"STR:nrde2","HGNC:20186",2
"STR:rgcc","HGNC:20369",2
"STR:foxq1","HGNC:20951",2
"STR:grwd1","HGNC:21270",2
"STR:rbm24","HGNC:21539",2
"STR:adar1","HGNC:225",2
"STR:morc3","HGNC:23572",2
"STR:car_t","HGNC:24323",2
"STR:cst1","HGNC:2473",2
"STR:linc00339","HGNC:25011",2
"STR:ctrl","HGNC:2524",2
"STR:ctsv","HGNC:2538",2
"STR:tet2","HGNC:25941",2
"STR:sting","HGNC:27962",2
"STR:tchp","HGNC:28135",2
"STR:igf2bp1","HGNC:28866",2
"STR:igf2bp2","HGNC:28867",2
"STR:jmjd3","HGNC:29012",2
"STR:nop58","HGNC:29926",2
"STR:hapstr1","HGNC:30103",2
"STR:hb_egf","HGNC:3059",2
"STR:dro1","HGNC:30649",2
"STR:mir_100","HGNC:31487",2
"STR:mir_155","HGNC:31542",2
"STR:mir_199b","HGNC:31573",2
"STR:mir_200c","HGNC:31580",2
"STR:mir_203","HGNC:31581",2
"STR:mir_221","HGNC:31601",2
"STR:mir_222","HGNC:31602",2
"STR:mir_29a","HGNC:31616",2
"STR:mir_9_1","HGNC:31641",2
"STR:mir_9_2","HGNC:31642",2
"STR:mir_375","HGNC:31868",2
"STR:microrna_489","HGNC:32074",2
"STR:mir_503","HGNC:32138",2
"STR:ago1","HGNC:3262",2
"STR:mir_630","HGNC:32886",2
"STR:microrna_668","HGNC:33135",2
"STR:elf4","HGNC:3319",2
"STR:mir_874","HGNC:33643",2
"STR:p300","HGNC:3373",2
"STR:ets1","HGNC:3488",2
"STR:etv1","HGNC:3490",2
"STR:ezh2","HGNC:3527",2
"STR:afgf","HGNC:3665",2
"STR:fgf9","HGNC:3687",2
"STR:magi2_as3","HGNC:40862",2
"STR:page4","HGNC:4108",2
"STR:hif1a_as1","HGNC:43014",2
"STR:gpr17","HGNC:4471",2
"STR:hnrnp_a1","HGNC:5031",2
"STR:hnrnpa1","HGNC:5031",2
"STR:hnrnpc","HGNC:5035",2
"STR:hnrnpm","HGNC:5046",2
"STR:hoxa1","HGNC:5099",2
"STR:ifn_a16","HGNC:5421",2
"STR:ifn_a6","HGNC:5427",2
"STR:igfbp5","HGNC:5474",2
"STR:apex1","HGNC:587",2
"STR:apobec1","HGNC:604",2
"STR:klk5","HGNC:6366",2
"STR:areg","HGNC:651",2
"STR:lcn2","HGNC:6526",2
"STR:meis1","HGNC:7000",2
"STR:mll1","HGNC:7132",2
"STR:ascl1","HGNC:738",2
"STR:c_myc","HGNC:7553",2
"STR:atf3","HGNC:785",2
"STR:pkp2","HGNC:9024",2
"STR:pla2g10","HGNC:9029",2
"STR:b3galt5","HGNC:920",2
"STR:prdm1","HGNC:9346",2
"STR:prelp","HGNC:9357",2
"STR:ptpn14","HGNC:9647",2
"STR:rbfox2","HGNC:9906",2
"STR:upf1","HGNC:9962",2
"STR:trisomy_18","MeSH:D000073842",2
"STR:smoker","MeSH:D000074285",2
"STR:covid19","MeSH:D000086382",2
"STR:aortic_dissection","MeSH:D000784",2
"STR:angina_pectoris","MeSH:D000787",2
"STR:antinuclear_antibody","MeSH:D000974",2
"STR:bacteria","MeSH:D001419",2
"STR:burn","MeSH:D002056",2
"STR:lynch_syndrome","MeSH:D003123",2
"STR:cryptorchidism","MeSH:D003456",2
"STR:cuprizone","MeSH:D003471",2
"STR:dermatomyositis","MeSH:D003882",2
"STR:type2_diabetes","MeSH:D003924",2
"STR:trisomy21","MeSH:D004314",2
"STR:emphysema","MeSH:D004646",2
"STR:ependymoma","MeSH:D004806",2
"STR:fibroblasts","MeSH:D005347",2
"STR:gerd","MeSH:D005764",2
"STR:castleman_disease","MeSH:D005871",2
"STR:gingivitis","MeSH:D005891",2
"STR:glomerulonephritis","MeSH:D005921",2
"STR:igg1","MeSH:D007074",2
"STR:ischemia","MeSH:D007511",2
"STR:kidney_medulla","MeSH:D007679",2
"STR:lactoferrin","MeSH:D007781",2
"STR:liposarcoma","MeSH:D008080",2
"STR:lyme_disease","MeSH:D008193",2
"STR:macrophage","MeSH:D008264",2
"STR:meningioma","MeSH:D008579",2
"STR:nephron","MeSH:D009399",2
"STR:neuroblastoma","MeSH:D009447",2
"STR:oncogene","MeSH:D009857",2
"STR:perfusion","MeSH:D010477",2
"STR:periodontitis","MeSH:D010518",2
"STR:placenta_accreta","MeSH:D010921",2
"STR:polycystic_ovary_syndrome","MeSH:D011085",2
"STR:polycythemia_vera","MeSH:D011087",2
"STR:pulmonary_fibrosis","MeSH:D011658",2
"STR:sarcoidosis","MeSH:D012507",2
"STR:tetralogy_fallot","MeSH:D013771",2
"STR:thrombocytopenia","MeSH:D013921",2
"STR:trigeminal_neuralgia","MeSH:D014277",2
"STR:vaccine","MeSH:D014612",2
"STR:colorectal_cancer","MeSH:D015179",2
"STR:exercise","MeSH:D015444",2
"STR:rett_syndrome","MeSH:D015518",2
"STR:gastroparesis","MeSH:D018589",2
"STR:proliferative_vitreoretinopathy","MeSH:D018630",2
"STR:il_12","MeSH:D018664",2
"STR:heatshock","MeSH:D018869",2
"STR:coculture","MeSH:D018920",2
"STR:stroke","MeSH:D020521",2
"STR:alexander_disease","MeSH:D038261",2
"STR:e_coli_k12","MeSH:D048168",2
"STR:overweight","MeSH:D050177",2
"STR:h9n2_virus","MeSH:D053127",2
"STR:lissencephaly","MeSH:D054082",2
"STR:ehec","MeSH:D054324",2
"STR:latent_tuberculosis","MeSH:D055985",2
"STR:peri_implantitis","MeSH:D057873",2
"STR:cigarette","MeSH:D062789",2
"STR:il27","MeSH:D064094",2
"STR:tick_bite","MeSH:D064927",2
"STR:e_cigarette","MeSH:D066300",2
"STR:h3n2","NCBITaxon:119210",2
"STR:skf96365","CHEBI:145121",1
"STR:pge_2","CHEBI:15551",1
"STR:oleic_acid","CHEBI:16196",1
"STR:h2o2","CHEBI:16240",1
"STR:pax2","CHEBI:202070",1
"STR:5_azacytidine","CHEBI:2038",1
"STR:5azacytidine","CHEBI:2038",1
"STR:pladienolide_b","CHEBI:205761",1
"STR:5_dihydrotestosterone","CHEBI:2150",1
"STR:stemregenin1","CHEBI:230484",1
"STR:cb839","CHEBI:231605",1
"STR:ntx301","CHEBI:232584",1
"STR:cb103","CHEBI:232592",1
"STR:gsk_lsd1","CHEBI:232752",1
"STR:pt2385","CHEBI:233314",1
"STR:a83_01","CHEBI:233322",1
"STR:fht1015","CHEBI:233326",1
"STR:1_deoxysphingosine","CHEBI:233818",1
"STR:epothiloned","CHEBI:29579",1
"STR:wy14643","CHEBI:32509",1
"STR:bz_atp","CHEBI:34316",1
"STR:4hpp","CHEBI:40279",1
"STR:nutlin3","CHEBI:46742",1
"STR:cytochalasind","CHEBI:529996",1
"STR:xmd892","CHEBI:60325",1
"STR:t_bhp","CHEBI:64090",1
"STR:amyloid_beta","CHEBI:64645",1
"STR:edta_2","CHEBI:64755",1
"STR:5asa","CHEBI:6775",1
"STR:a366","CHEBI:746980",1
"STR:aa_147","CHEBI:747295",1
"STR:mg132","CHEBI:75142",1
"STR:y27632","CHEBI:75393",1
"STR:compoundc","CHEBI:78510",1
"STR:pbde47","CHEBI:81584",1
"STR:ll37","CHEBI:81664",1
"STR:cal101","CHEBI:82701",1
"STR:u73122","CHEBI:90690",1
"STR:sns032","CHEBI:91399",1
"STR:araa","CHEMBL:CHEMBL1090",1
"STR:rtpa","CHEMBL:CHEMBL1201593",1
"STR:estradiol","CHEMBL:CHEMBL135",1
"STR:cdb4124","CHEMBL:CHEMBL2105694",1
"STR:r568","CHEMBL:CHEMBL2107572",1
"STR:coaltar","CHEMBL:CHEMBL2108232",1
"STR:gdc0349","CHEMBL:CHEMBL2331680",1
"STR:cb1954","CHEMBL:CHEMBL23330",1
"STR:cart19","CHEMBL:CHEMBL3301574",1
"STR:amg337","CHEMBL:CHEMBL3785909",1
"STR:adh1","CHEMBL:CHEMBL3818130",1
"STR:px_12","CHEMBL:CHEMBL406050",1
"STR:mk0752","CHEMBL:CHEMBL4205422",1
"STR:bms986158","CHEMBL:CHEMBL4297458",1
"STR:polyiclc","CHEMBL:CHEMBL4297559",1
"STR:2r6r_hnk","CHEMBL:CHEMBL4650718",1
"STR:rn7sk","HGNC:10037",1
"STR:serpinb3","HGNC:10569",1
"STR:scd1","HGNC:10571",1
"STR:itac","HGNC:10638",1
"STR:bmi1","HGNC:1066",1
"STR:srsf1","HGNC:10780",1
"STR:srsf11","HGNC:10782",1
"STR:srsf2","HGNC:10783",1
"STR:srsf3","HGNC:10785",1
"STR:srsf4","HGNC:10786",1
"STR:srsf5","HGNC:10787",1
"STR:srsf6","HGNC:10788",1
"STR:srsf7","HGNC:10789",1
"STR:srsf9","HGNC:10791",1
"STR:sem1","HGNC:10845",1
"STR:prmt5","HGNC:10894",1
"STR:brca1","HGNC:1100",1
"STR:nhe1","HGNC:11071",1
"STR:sox18","HGNC:11194",1
"STR:sox15","HGNC:11196",1
"STR:sox4","HGNC:11200",1
"STR:sox5","HGNC:11201",1
"STR:tbca","HGNC:11579",1
"STR:hnf1a","HGNC:11621",1
"STR:trf1","HGNC:11728",1
"STR:tfeb","HGNC:11753",1
"STR:tom1","HGNC:11982",1
"STR:ugt2b17","HGNC:12547",1
"STR:wars1","HGNC:12729",1
"STR:znf135","HGNC:12919",1
"STR:znf141","HGNC:12926",1
"STR:znf169","HGNC:12957",1
"STR:znf19","HGNC:12981",1
"STR:znf182","HGNC:13001",1
"STR:znf248","HGNC:13041",1
"STR:znf26","HGNC:13053",1
"STR:znf266","HGNC:13059",1
"STR:znf273","HGNC:13067",1
"STR:znf274","HGNC:13068",1
"STR:znf30","HGNC:13090",1
"STR:znf33a","HGNC:13096",1
"STR:znf44","HGNC:13110",1
"STR:znf75d","HGNC:13145",1
"STR:znf8","HGNC:13154",1
"STR:lgr4","HGNC:13299",1
"STR:znf257","HGNC:13498",1
"STR:znf317","HGNC:13507",1
"STR:neurog2","HGNC:13805",1
"STR:znf320","HGNC:13842",1
"STR:prdm8","HGNC:13993",1
"STR:unc45b","HGNC:14304",1
"STR:ikke","HGNC:14552",1
"STR:tincr","HGNC:14607",1
"STR:cbx4","HGNC:1554",1
"STR:lrpprc","HGNC:15714",1
"STR:ovol2","HGNC:15804",1
"STR:znf337","HGNC:15809",1
"STR:angptl4","HGNC:16039",1
"STR:kir3dl3","HGNC:16312",1
"STR:gas5","HGNC:16355",1
"STR:sox6","HGNC:16421",1
"STR:lactb","HGNC:16468",1
"STR:znf589","HGNC:16747",1
"STR:nmnat_2","HGNC:16789",1
"STR:topbp1","HGNC:17008",1
"STR:kdm4c","HGNC:17071",1
"STR:tab2","HGNC:17075",1
"STR:dicer1","HGNC:17098",1
"STR:fhl5","HGNC:17371",1
"STR:lcmt1","HGNC:17557",1
"STR:tfcp2l1","HGNC:17925",1
"STR:rbfox1","HGNC:18222",1
"STR:prmt6","HGNC:18241",1
"STR:hint2","HGNC:18344",1
"STR:lap3","HGNC:18449",1
"STR:nusap1","HGNC:18538",1
"STR:msi2","HGNC:18585",1
"STR:dcp1a","HGNC:18714",1
"STR:rin1","HGNC:18749",1
"STR:rig_i","HGNC:19102",1
"STR:chd_2","HGNC:1917",1
"STR:chd_3","HGNC:1918",1
"STR:chd_4","HGNC:1919",1
"STR:chi3l1","HGNC:1932",1
"STR:trf3","HGNC:19841",1
"STR:adam22","HGNC:201",1
"STR:clc4","HGNC:2022",1
"STR:clc5","HGNC:2023",1
"STR:clc6","HGNC:2024",1
"STR:clc7","HGNC:2025",1
"STR:pspc1","HGNC:20320",1
"STR:znf419","HGNC:20648",1
"STR:zdhhc20","HGNC:20749",1
"STR:znf440","HGNC:20874",1
"STR:znf445","HGNC:21018",1
"STR:znf804a","HGNC:21711",1
"STR:adar2","HGNC:226",1
"STR:u2af65","HGNC:23156",1
"STR:hbp1","HGNC:23200",1
"STR:prmt4","HGNC:23393",1
"STR:cart","HGNC:24323",1
"STR:g_csf","HGNC:2438",1
"STR:csrp1","HGNC:2469",1
"STR:fam46c","HGNC:24712",1
"STR:zcchc8","HGNC:25265",1
"STR:pde12","HGNC:25386",1
"STR:prmt7","HGNC:25557",1
"STR:ogfod1","HGNC:25585",1
"STR:cpped1","HGNC:25632",1
"STR:znf669","HGNC:25736",1
"STR:rnf186","HGNC:25978",1
"STR:alkbh5","HGNC:25996",1
"STR:znf582","HGNC:26421",1
"STR:znf610","HGNC:26687",1
"STR:mroh1","HGNC:26958",1
"STR:znf846","HGNC:27260",1
"STR:ddx5","HGNC:2746",1
"STR:hnp1","HGNC:2761",1
"STR:znf605","HGNC:28068",1
"STR:dlgap1_as2","HGNC:28146",1
"STR:sms2","HGNC:28395",1
"STR:glis3","HGNC:28510",1
"STR:r_spondin2","HGNC:28583",1
"STR:znf611","HGNC:28766",1
"STR:znf682","HGNC:28857",1
"STR:dlk1","HGNC:2907",1
"STR:lsd1","HGNC:29079",1
"STR:ccser1","HGNC:29349",1
"STR:tet1","HGNC:29484",1
"STR:bud31","HGNC:29629",1
"STR:mlk4","HGNC:29798",1
"STR:prmt3","HGNC:30163",1
"STR:shroom3","HGNC:30422",1
"STR:naprt","HGNC:30450",1
"STR:xrn1","HGNC:30654",1
"STR:tut3","HGNC:30758",1
"STR:ebf1","HGNC:3126",1
"STR:tymp","HGNC:3148",1
"STR:hsa_mir_137","HGNC:31523",1
"STR:mir_15a","HGNC:31543",1
"STR:hsa_mir_184","HGNC:31555",1
"STR:mir20a","HGNC:31577",1
"STR:hsa_mir_217","HGNC:31594",1
"STR:mir_34a","HGNC:31635",1
"STR:mir340","HGNC:31777",1
"STR:mir_494","HGNC:32084",1
"STR:lin28b","HGNC:32207",1
"STR:znf808","HGNC:33230",1
"STR:hotair","HGNC:33510",1
"STR:hsa_mir_147b","HGNC:33655",1
"STR:her2","HGNC:3430",1
"STR:esm1","HGNC:3466",1
"STR:eralpha","HGNC:3467",1
"STR:fabp4","HGNC:3559",1
"STR:fads2","HGNC:3575",1
"STR:fgf21","HGNC:3678",1
"STR:akap95","HGNC:378",1
"STR:foxc1","HGNC:3800",1
"STR:foxf2","HGNC:3810",1
"STR:follistatin","HGNC:3971",1
"STR:gata_1","HGNC:4170",1
"STR:gata_2","HGNC:4171",1
