"alias_innesco","agent_id","name","dict","n_gsm"
"quizartinib","CHEBI:90217","quizartinib","chebi",44
"tofacitinib","CHEBI:71200","tofacitinib","chebi",44
"copd","MeSH:D029424","Pulmonary Disease, Chronic Obstructive","mesh",43
"estrogen","CHEBI:50114","estrogen","chebi",43
"actinomycin","CHEBI:15369","actinomycin","chebi",42
"thalidomide","CHEBI:9513","thalidomide","chebi",42
"forskolin","CHEBI:42471","forskolin","chebi",41
"iaa","CHEBI:16411","indole-3-acetic acid","chebi",40
"amiodarone","CHEBI:2663","amiodarone","chebi",39
"ruxolitinib","CHEBI:66919","ruxolitinib","chebi",39
"abemaciclib","CHEBI:233362","Abemaciclib","chebi",38
"atrazine","CHEBI:15930","atrazine","chebi",38
"ethanol","CHEBI:16236","ethanol","chebi",38
"afatinib","CHEBI:61390","afatinib","chebi",37
"methylprednisolone","CHEBI:6888","6α-methylprednisolone","chebi",37
"tunicamycin","CHEBI:29699","tunicamycin","chebi",37
"etanercept","CHEBI:4875","etanercept","chebi",36
"lps","CHEBI:16412","lps-","chebi",36
"nilotinib","CHEBI:52172","nilotinib","chebi",36
"rosiglitazone","CHEBI:50122","rosiglitazone","chebi",36
"tetracycline","CHEBI:27902","tetracycline","chebi",36
"bleomycin","CHEBI:3139","bleomycin A<small><sub>2</sub></small>","chebi",35
"calcitriol","CHEBI:17823","calcitriol","chebi",35
"mefloquine","CHEBI:63609","mefloquine","chebi",35
"selinexor","CHEBI:229764","selinexor","chebi",35
"vpa","CHEBI:39867","valproic acid","chebi",35
"hydroxyurea","CHEBI:44423","hydroxyurea","chebi",34
"mk2206","CHEBI:67271","MK-2206","chebi",34
"romidepsin","CHEBI:61080","romidepsin","chebi",34
"glucose","CHEBI:4167","<small>D</small>-glucopyranose","chebi",33
"qnz","CHEBI:232358","EVP4593","chebi",33
"brequinar","CHEBI:177387","brequinar","chebi",32
"ribociclib","CHEBI:230905","Ribociclib","chebi",32
"neratinib","CHEBI:61397","neratinib","chebi",31
"bosutinib","CHEBI:39112","bosutinib","chebi",30
"carboplatin","CHEBI:31355","carboplatin","chebi",30
"digoxin","CHEBI:4551","digoxin","chebi",30
"genistein","CHEBI:28088","genistein","chebi",30
"lenalidomide","CHEBI:63791","lenalidomide","chebi",30
"tcdd","CHEBI:28119","2,3,7,8-tetrachlorodibenzodioxine","chebi",30
"cabozantinib","CHEBI:72317","cabozantinib","chebi",29
"daunorubicin","CHEBI:41977","daunorubicin","chebi",29
"diazinon","CHEBI:34682","diazinon","chebi",29
"sag","CHEBI:138438","3-chloro-<em>N</em>-[<i>trans</i>-4-(methylamino)cyclohexyl]-<em>N</em>-[3-(pyridin-4-yl)benzyl]-1-benzothiophene-2-carboxamide","chebi",29
"vorinostat","CHEBI:45716","vorinostat","chebi",29
"il13","HGNC:5973","IL13","immport",28
"azd5363","CHEBI:229222","capivasertib","chebi",27
"lurbinectedin","CHEBI:746908","lurbinectedin","chebi",27
"sirolimus","CHEBI:9168","sirolimus","chebi",27
"sulforaphane","CHEBI:47807","sulforaphane","chebi",27
"chir99021","CHEBI:91091","CHIR 99021","chebi",26
"everolimus","CHEBI:68478","everolimus","chebi",26
"mrtx1133","CHEBI:746962","MRTX1133","chebi",26
"paraquat","CHEBI:34905","paraquat","chebi",26
"atorvastatin","CHEBI:39548","atorvastatin","chebi",25
"bafetinib","CHEBI:197107","Bafetinib","chebi",25
"crenolanib","CHEBI:145365","crenolanib","chebi",25
"itraconazole","CHEBI:6076","itraconazole","chebi",25
"axitinib","CHEBI:66910","axitinib","chebi",24
"dabrafenib","CHEBI:75045","dabrafenib","chebi",24
"dha","CHEBI:16016","dihydroxyacetone","chebi",24
"dncb","CHEBI:34718","1-chloro-2,4-dinitrobenzene","chebi",24
"foretinib","CHEBI:91418","foretinib","chebi",24
"talazoparib","CHEBI:231344","talazoparib","chebi",24
"thapsigargin","CHEBI:9516","thapsigargin","chebi",24
"azd1775","CHEBI:91414","adavosertib","chebi",23
"lenvatinib","CHEBI:85994","lenvatinib","chebi",23
"metronidazole","CHEBI:6909","metronidazole","chebi",23
"mln4924","CHEBI:145535","pevonedistat","chebi",23
"norepinephrine","CHEBI:18357","(<i>R</i>)-noradrenaline","chebi",23
"ser","CHEBI:17115","<small>L</small>-serine","chebi",23
"vincristine","CHEBI:28445","vincristine","chebi",23
"acrylamide","CHEBI:28619","acrylamide","chebi",22
"dacomitinib","CHEBI:132268","dacomitinib","chebi",22
"hgf","HGNC:6018","IL6","immport",22
"indisulam","CHEBI:145431","indisulam","chebi",22
"taxol","CHEBI:45863","paclitaxel","chebi",22
"tazemetostat","CHEBI:231598","tazemetostat","chebi",22
"vegf","HGNC:12680","VEGFA","hgnc",22
"androgen","CHEBI:50113","androgen","chebi",21
"azacitidine","CHEBI:2038","5-azacytidine","chebi",21
"dopamine","CHEBI:18243","dopamine","chebi",21
"drb","CHEBI:49852","5,6-dichloro-1-β-<small>D</small>-ribofuranosyl-1<em>H</em>-benzimidazole","chebi",21
"gilteritinib","CHEBI:145372","gilteritinib","chebi",21
"homoharringtonine","CHEBI:71019","omacetaxine mepesuccinate","chebi",21
"linifanib","CHEBI:91435","linifanib","chebi",21
"nivolumab","CHEBI:231614","Nivolumab","chebi",21
"aee788","CHEBI:40629","AEE788","chebi",20
"apg","CHEBI:155879","Ala-Pro-Gly","chebi",20
"belinostat","CHEBI:61076","belinostat","chebi",20
"byl719","CHEBI:231324","alpelisib","chebi",20
"carbon","CHEBI:27594","carbon atom","chebi",20
"dbf","CHEBI:28145","dibenzofuran","chebi",20
"dihydrotestosterone","CHEBI:16330","17β-hydroxy-5α-androstan-3-one","chebi",20
"il1","HGNC:5991","IL1A","immport",20
"cytarabine","CHEBI:28680","cytarabine","chebi",19
"entinostat","CHEBI:132082","entinostat","chebi",19
"fgf2","HGNC:3676","FGF2","immport",19
"il11","HGNC:5966","IL11","immport",19
"lps","CHEBI:16412","lipopolysaccharide","chebi",19
"melatonin","CHEBI:16796","melatonin","chebi",19
"methotrexate","CHEBI:44185","methotrexate","chebi",19
"novobiocin","CHEBI:28368","novobiocin","chebi",19
"pracinostat","CHEBI:95071","pracinostat","chebi",19
"ricolinostat","CHEBI:95073","ricolinostat","chebi",19
"temozolomide","CHEBI:72564","temozolomide","chebi",19
"tgfbeta","HGNC:11766","TGFB1","immport",19
"tmz","CHEBI:72564","temozolomide","chebi",19
"tpa","CHEBI:15702","terephthalic acid","chebi",19
"varlitinib","CHEBI:231356","varlitinib","chebi",19
"5fu","CHEBI:80961","5-formyluracil","chebi",18
"acetaminophen","CHEBI:46195","paracetamol","chebi",18
"clarithromycin","CHEBI:3732","clarithromycin","chebi",18
"disulfiram","CHEBI:4659","disulfiram","chebi",18
"il6","HGNC:6018","IL6","immport",18
"irinotecan","CHEBI:80630","irinotecan","chebi",18
"trastuzumab","CHEBI:231601","trastuzumab","chebi",18
"auxin","CHEBI:22676","auxin","chebi",17
"baff","HGNC:11929","TNFSF13B","immport",17
"chlorpromazine","CHEBI:3647","chlorpromazine","chebi",17
"cyclopamine","CHEBI:4021","Cyclopamine","chebi",17
"fluorouracil","CHEBI:46345","5-fluorouracil","chebi",17
"fluvastatin","CHEBI:38561","fluvastatin","chebi",17
"gentamicin","CHEBI:17833","gentamycin","chebi",17
"mitoxantrone","CHEBI:50729","mitoxantrone","chebi",17
"ponatinib","CHEBI:78543","ponatinib","chebi",17
"progesterone","CHEBI:17026","progesterone","chebi",17
"tdf","CHEBI:63718","tenofovir disoproxil fumarate","chebi",17
"vandetanib","CHEBI:49960","vandetanib","chebi",17
"activin","HGNC:24029","INHBE","hgnc",16
"oxaliplatin","CHEBI:31941","oxaliplatin","chebi",16
"puromycin","CHEBI:17939","puromycin","chebi",16
"tsa","CHEBI:46024","trichostatin A","chebi",16
"azd8186","CHEBI:234358","AZD8186","chebi",15
"dichloromethane","CHEBI:15767","dichloromethane","chebi",15
"eltrombopag","CHEBI:85010","eltrombopag","chebi",15
"flavopiridol","CHEBI:47344","alvocidib","chebi",15
"fructose","CHEBI:28645","β-<small>D</small>-fructofuranose","chebi",15
"insulin","CHEBI:5931","insulin (human)","chebi",15
"pomalidomide","CHEBI:72690","pomalidomide","chebi",15
"rigosertib","CHEBI:145417","rigosertib","chebi",15
"3tc","CHEBI:63577","lamivudine","chebi",14
"acetylcholine","CHEBI:15355","acetylcholine","chebi",14
"coumarin","CHEBI:28794","coumarin","chebi",14
"cpg","CHEBI:167896","cytidylyl-(3'→5')-guanosine","chebi",14
"glutamine","CHEBI:18050","<small>L</small>-glutamine","chebi",14
"gw7647","CHEBI:70778","GW 7647","chebi",14
"il10","HGNC:5962","IL10","immport",14
"isoginkgetin","CHEBI:79087","isoginkgetin","chebi",14
"palmitate","CHEBI:7896","hexadecanoate","chebi",14
"propranolol","CHEBI:8499","propranolol","chebi",14
"sildenafil","CHEBI:9139","sildenafil","chebi",14
"amoxicillin","CHEBI:2676","amoxicillin","chebi",13
"lithium","CHEBI:30145","lithium atom","chebi",13
"mitomycin","CHEBI:27504","mitomycin C","chebi",13
"neocarzinostatin","CHEMBL:CHEMBL454708","NEOCARZINOSTATIN","chembl",13
"nitrofurantoin","CHEBI:71415","nitrofurantoin","chebi",13
"triptolide","CHEBI:9747","Triptolide","chebi",13
"aid","HGNC:13203","AICDA","hgnc",12
"arsenic","CHEBI:27563","arsenic atom","chebi",12
"bucillamine","CHEBI:31312","Bucillamine","chebi",12
"carbamazepine","CHEBI:3387","carbamazepine","chebi",12
"chidamide","CHEBI:135918","chidamide","chebi",12
"chlorpheniramine","CHEBI:52010","chlorphenamine","chebi",12
"chlorpyrifos","CHEBI:34631","chlorpyrifos","chebi",12
"dhea","CHEBI:28689","dehydroepiandrosterone","chebi",12
"enasidenib","CHEBI:145374","enasidenib","chebi",12
"epirubicin","CHEBI:47898","4'-epidoxorubicin","chebi",12
"epz6438","CHEBI:231598","tazemetostat","chebi",12
"fluoxetine","CHEBI:5118","fluoxetine","chebi",12
"ifna","HGNC:5423","IFNA2","hgnc",12
"leucine","CHEBI:15603","<small>L</small>-leucine","chebi",12
"luminal","MeSH:D010634","Phenobarbital","mesh",12
"pal","CHEBI:59043","PAL","chebi",12
"thioacetamide","CHEBI:32497","thioacetamide","chebi",12
"tpo","HGNC:6018","IL6","immport",12
"adenosine","CHEBI:16335","adenosine","chebi",11
"albendazole","CHEBI:16664","albendazole","chebi",11
"aspirin","CHEBI:15365","acetylsalicylic acid","chebi",11
"azd5153","CHEBI:231674","AZD5153","chebi",11
"azd8055","CHEBI:91329","AZD-8055","chebi",11
"benzene","CHEBI:16716","benzene","chebi",11
"bgj398","CHEBI:63451","BGJ-398","chebi",11
"bioallethrin","CHEBI:34572","allethrin","chebi",11
"busulfan","CHEBI:28901","busulfan","chebi",11
"c16","CHEBI:15756","hexadecanoic acid","chebi",11
"clozapine","CHEBI:3766","clozapine","chebi",11
"dioxin","CHEBI:28119","2,3,7,8-tetrachlorodibenzodioxine","chebi",11
"ganetespib","CHEBI:177770","Ganetespib","chebi",11
"isotretinoin","CHEBI:6067","isotretinoin","chebi",11
"lomustine","CHEBI:6520","lomustine","chebi",11
"nicotinamide","CHEBI:17154","nicotinamide","chebi",11
"nocodazole","CHEBI:34892","nocodazole","chebi",11
"permethrin","CHEBI:34911","permethrin","chebi",11
"phenylalanine","CHEBI:17295","<small>L</small>-phenylalanine","chebi",11
"prednisone","CHEBI:8382","prednisone","chebi",11
"propylthiouracil","CHEBI:8502","6-propyl-2-thiouracil","chebi",11
"pvp","CHEBI:53245","poly(vinylpyridine)","chebi",11
"s4u","CHEBI:20480","4-thiouridine","chebi",11
"sr1","CHEBI:230484","StemRegenin 1","chebi",11
"sucrose","CHEBI:17992","sucrose","chebi",11
"3ap","CHEBI:231347","triapine","chebi",10
"ac220","CHEBI:90217","quizartinib","chebi",10
"alisertib","CHEBI:125628","alisertib","chebi",10
"ammonium","CHEBI:28938","ammonium","chebi",10
"hgi","HGNC:6018","IL6","immport",10
"ibuprofen","CHEBI:5855","ibuprofen","chebi",10
"idarubicin","CHEBI:42068","idarubicin","chebi",10
"lycorine","CHEBI:6601","lycorine","chebi",10
"peg","CHEBI:46793","poly(ethylene glycol)","chebi",10
"remdesivir","CHEBI:145994","remdesivir","chebi",10
"resveratrol","CHEBI:27881","resveratrol","chebi",10
"rofecoxib","CHEBI:8887","rofecoxib","chebi",10
"selumetinib","CHEBI:90227","selumetinib","chebi",10
"tnfalpha","HGNC:11892","TNF","immport",10
"volasertib","CHEBI:231358","volasertib","chebi",10
"acrolein","CHEBI:15368","acrolein","chebi",9
"alectinib","CHEBI:90936","alectinib","chebi",9
"amitriptyline","CHEBI:2666","amitriptyline","chebi",9
"azd6738","CHEBI:231342","ceralasertib","chebi",9
"bepridil","CHEBI:3061","bepridil","chebi",9
"cobimetinib","CHEBI:90851","cobimetinib","chebi",9
"copanlisib","CHEBI:173077","copanlisib","chebi",9
"cortisol","CHEBI:17650","cortisol","chebi",9
"csf","HGNC:2434","CSF2","immport",9
"dinaciclib","CHEBI:95060","dinaciclib","chebi",9
"egf","CHEBI:140739","Glu-Gly-Phe","chebi",9
"emetine","CHEBI:4781","emetine","chebi",9
"ezetimibe","CHEBI:49040","ezetimibe","chebi",9
"formoterol","CHEBI:5147","formoterol","chebi",9
"igm","HGNC:11935","CD40LG","immport",9
"il2","HGNC:6001","IL2","immport",9
"il27","HGNC:5984","IL17D","immport",9
"isoproterenol","CHEBI:64317","isoprenaline","chebi",9
"leptin","CHEBI:81571","Leptin","chebi",9
"lgk974","CHEBI:78030","LGK974","chebi",9
"melphalan","CHEBI:28876","melphalan","chebi",9
"mln8237","CHEBI:125628","alisertib","chebi",9
"mms","CHEBI:25255","methyl methanesulfonate","chebi",9
"rb1","HGNC:9884","RB1","hgnc",9
"resiquimod","CHEBI:36706","resiquimod","chebi",9
"ribavirin","CHEBI:63580","ribavirin","chebi",9
"sb939","CHEBI:95071","pracinostat","chebi",9
"sel","CHEBI:24866","salt","chebi",9
"trichloroethylene","CHEBI:16602","trichloroethene","chebi",9
"trifluoperazine","CHEBI:45951","trifluoperazine","chebi",9
"acetaldehyde","CHEBI:15343","acetaldehyde","chebi",8
"aea","CHEBI:2700","anandamide","chebi",8
"aflatoxin","CHEBI:22271","aflatoxin","chebi",8
"amo","CHEBI:53705","amoxicilloyl group","chebi",8
"aphidicolin","CHEBI:2766","aphidicolin","chebi",8
"ar","HGNC:644","AR","hgnc",8
"binimetinib","CHEBI:145371","binimetinib","chebi",8
"birinapant","CHEBI:177705","Birinapant","chebi",8
"camp","CHEBI:17489","3',5'-cyclic AMP","chebi",8
"cccp","CHEBI:3259","CCCP","chebi",8
"chloroquine","CHEBI:3638","chloroquine","chebi",8
"ciclosporin","CHEBI:4031","cyclosporin A","chebi",8
"cloxyquin","CHEBI:134818","cloxiquine","chebi",8
"diethylstilbestrol","CHEBI:41922","diethylstilbestrol","chebi",8
"fk866","CHEBI:231701","FK866","chebi",8
"glyphosate","CHEBI:27744","glyphosate","chebi",8
"gsk461364","CHEBI:91333","GSK461364","chebi",8
"hemin","CHEBI:50385","hemin","chebi",8
"homocysteine","CHEBI:17230","homocysteine","chebi",8
"hydrocortisone","CHEBI:17650","cortisol","chebi",8
"hydroxychloroquine","CHEBI:5801","hydroxychloroquine","chebi",8
"idasanutlin","CHEBI:232616","Idasanutlin","chebi",8
"ink128","CHEBI:91450","sapanisertib","chebi",8
"jardiance","CHEBI:82720","empagliflozin","chebi",8
"ketoconazole","CHEBI:47519","ketoconazole","chebi",8
"largazole","CHEBI:212400","Largazole","chebi",8
"linsitinib","CHEBI:91402","linsitinib","chebi",8
"lps","CHEBI:16412","lps (","chebi",8
"ly2835219","CHEBI:233362","Abemaciclib","chebi",8
"mc","CHEBI:34342","3-methylcholanthrene","chebi",8
"mechlorethamine","CHEBI:28925","mechlorethamine","chebi",8
"mma","CHEBI:16830","methylamine","chebi",8
"mycophenolate","CHEBI:62932","mycophenolate","chebi",8
"nifedipine","CHEBI:7565","nifedipine","chebi",8
"paf1","HGNC:25459","PAF1","hgnc",8
"pinometostat","CHEBI:230493","pinometostat","chebi",8
"pitavastatin","CHEBI:32020","pitavastatin","chebi",8
"platinum","CHEBI:33364","platinum","chebi",8
"rad001","CHEBI:68478","everolimus","chebi",8
"ros","CHEBI:26523","reactive oxygen species","chebi",8
"sorbitol","CHEBI:30911","glucitol","chebi",8
"topotecan","CHEBI:63632","topotecan","chebi",8
"tranilast","CHEBI:77572","tranilast","chebi",8
"wp1066","CHEBI:234609","WP1066","chebi",8
"azd4573","CHEBI:233359","AZD4573","chebi",7
"azd7762","CHEBI:131156","AZD7762","chebi",7
"bap","CHEBI:29022","<em>N</em>-benzyladenine","chebi",7
"baricitinib","CHEBI:95341","baricitinib","chebi",7
"buspirone","CHEBI:3223","buspirone","chebi",7
"c6","HGNC:1339","C6","immport",7
"cadmium","CHEBI:22977","cadmium atom","chebi",7
"camptothecin","CHEBI:27656","camptothecin","chebi",7
"celecoxib","CHEBI:41423","celecoxib","chebi",7
"chaetocin","CHEBI:68747","chaetocin","chebi",7
"chop","CHEBI:18132","phosphocholine","chebi",7
"cinobufagin","CHEBI:80805","Cinobufagin","chebi",7
"cocaine","CHEBI:27958","cocaine","chebi",7
"donor","CHEBI:17499","hydrogen donor","chebi",7
"erastin","CHEBI:94287","erastin","chebi",7
"eribulin","CHEBI:63587","eribulin","chebi",7
"gardiquimod","CHEBI:234430","gardiquimod","chebi",7
"givinostat","CHEBI:94187","givinostat","chebi",7
"glucosamine","CHEBI:5417","glucosamine","chebi",7
"glycerol","CHEBI:17754","glycerol","chebi",7
"gsk2879552","CHEBI:176334","GSK2879552","chebi",7
"ivermectin","CHEBI:6078","ivermectin","chebi",7
"miglitol","CHEBI:6935","Miglitol","chebi",7
"mpa","CHEBI:6716","medroxyprogesterone acetate","chebi",7
"niacin","CHEBI:15940","nicotinic acid","chebi",7
"nintedanib","CHEBI:85164","nintedanib","chebi",7
"pacritinib","CHEBI:231350","pacritinib","chebi",7
"pd1","CHEBI:138655","protectin D1","chebi",7
"pgf2a","CHEBI:15553","prostaglandin F<small><sub>2α</sub></small>","chebi",7
"ph","MeSH:D006863","Hydrogen-Ion Concentration","mesh",7
"shikonin","CHEBI:81068","Shikonin","chebi",7
"testosterone","CHEBI:17347","testosterone","chebi",7
"venetoclax","CHEBI:133021","venetoclax","chebi",7
"verapamil","CHEBI:9948","verapamil","chebi",7
"zoledronate","CHEMBL:CHEMBL924","ZOLEDRONIC ACID ANHYDROUS","chembl",7
"acyclovir","CHEBI:2453","acyclovir","chebi",6
"aha","CHEBI:27777","acetohydroxamic acid","chebi",6
"alpelisib","CHEBI:231324","alpelisib","chebi",6
"amlodipine","CHEBI:2668","amlodipine","chebi",6
"bexarotene","CHEBI:50859","bexarotene","chebi",6
"bpf","CHEBI:34575","bisphenol F","chebi",6
"c","HGNC:11768","TGFB2","immport",6
"c24","CHEBI:87143","(<i>Z</i>)-<em>N</em>-cyclopropyl-11-methyldodec-2-enamide","chebi",6
"capecitabine","CHEBI:31348","capecitabine","chebi",6
"chloramphenicol","CHEBI:17698","chloramphenicol","chebi",6
"chlorprothixene","CHEBI:3651","chlorprothixene","chebi",6
"cla","CHEBI:3732","clarithromycin","chebi",6
"cpt","CHEBI:27656","camptothecin","chebi",6
"cucurbitacin","CHEBI:16219","cucurbitacin","chebi",6
"curcumin","CHEBI:3962","curcumin","chebi",6
"cyclosporine","CHEBI:4031","cyclosporin A","chebi",6
"ddc","CHEBI:10101","zalcitabine","chebi",6
"dec","CHEBI:23574","decanoyl group","chebi",6
"delta","NCBITaxon:998453","delta","taxonomy",6
"digitoxin","CHEBI:28544","digitoxin","chebi",6
"e7820","CHEBI:188454","E7820(1−)","chebi",6
"fgf1","HGNC:3665","FGF1","immport",6
"filgrastim","CHEMBL:CHEMBL1201567","FILGRASTIM","chembl",6
"formaldehyde","CHEBI:16842","formaldehyde","chebi",6
"levosimendan","CHEBI:50567","levosimendan","chebi",6
"mebendazole","CHEBI:6704","mebendazole","chebi",6
"momelotinib","CHEBI:91407","momelotinib","chebi",6
"narasin","CHEBI:183815","Narasin","chebi",6
"niraparib","CHEBI:176844","niraparib","chebi",6
"nrg1","HGNC:30142","GDF15","immport",6
"oridonin","CHEBI:138236","oridonin","chebi",6
"ota","CHEBI:7719","ochratoxin A","chebi",6
"parthenolide","CHEBI:7939","parthenolide","chebi",6
"pdx","CHEBI:138653","(4<i>Z</i>,7<i>Z</i>,10<i>S</i>,11<i>E</i>,13<i>Z</i>,15<i>E</i>,17<i>S</i>,19<i>Z</i>)-10,17-dihydroxydocosahexaenoic acid","chebi",6
"pge2","CHEBI:15551","prostaglandin E<small><sub>2</sub></small>","chebi",6
"quinpirole","CHEBI:75401","quinpirole","chebi",6
"refametinib","CHEBI:231602","refametinib","chebi",6
"saccharin","CHEBI:32111","saccharin","chebi",6
"salmeterol","CHEBI:9011","salmeterol","chebi",6
"saracatinib","CHEBI:47458","saracatinib","chebi",6
"sars2","NCBITaxon:2697049","sars-cov-2","taxonomy",6
"tac","CHEBI:53498","triacetylcellulose","chebi",6
"terfenadine","CHEBI:9453","Terfenadine","chebi",6
"tgfb3","HGNC:11769","TGFB3","immport",6
"tissue","MeSH:D014024","Tissues","mesh",6
"tmp","CHEBI:9533","thiamine(1+) monophosphate","chebi",6
"toosendanin","CHEBI:192461","toosendanin","chebi",6
"vitamin","CHEBI:33229","vitamin (role)","chebi",6
"zidovudine","CHEBI:10110","zidovudine","chebi",6
"aldosterone","CHEBI:27584","aldosterone","chebi",5
"amg510","CHEBI:178199","sotorasib","chebi",5
"amsacrine","CHEBI:2687","amsacrine","chebi",5
"azathioprine","CHEBI:2948","azathioprine","chebi",5
"berbamine","CHEBI:3063","Berbamine","chebi",5
"brdu","CHEBI:472552","5-bromo-2'-deoxyuridine","chebi",5
"can","CHEBI:91238","calcium ammonium nitrate","chebi",5
"canagliflozin","CHEBI:73272","canagliflozin hydrate","chebi",5
"ceritinib","CHEBI:78432","ceritinib","chebi",5
"cerivastatin","CHEBI:3558","cerivastatin","chebi",5
"cisapride","CHEBI:3720","cisapride","chebi",5
"citrate","CHEBI:16947","citrate(3−)","chebi",5
"clofarabine","CHEBI:681569","clofarabine","chebi",5
"cytosine","CHEBI:16040","cytosine","chebi",5
"dpdpe","CHEBI:73356","DPDPE","chebi",5
"edc","CHEBI:27789","1,2-dichloroethane","chebi",5
"empagliflozin","CHEBI:82720","empagliflozin","chebi",5
"enfuvirtide","CHEBI:608828","enfuvirtide","chebi",5
"enu","CHEBI:23995","<em>N</em>-ethyl-<em>N</em>-nitrosourea","chebi",5
"eugenol","CHEBI:4917","eugenol","chebi",5
"glutamate","CHEBI:14321","glutamate(1−)","chebi",5
"ionomycin","CHEBI:63954","ionomycin","chebi",5
"irofulven","CHEBI:135002","irofulven","chebi",5
"isoprenaline","CHEBI:64317","isoprenaline","chebi",5
"kcl","CHEBI:32588","potassium chloride","chebi",5
"lactate","CHEBI:24996","lactate","chebi",5
"lbh589","CHEBI:85990","panobinostat","chebi",5
"lipopolysaccharide","CHEBI:16412","lipopolysaccharide","chebi",5
