"alias","agent_id","name","dict","n_gsm","n_studi_alias","C1_unita","C2_collisione","C3_non_attestata","C4_sigla"
"tdf","CHEBI:63718","tenofovir disoproxil fumarate","chebi",17,0,FALSE,TRUE,FALSE,TRUE
"activin","HGNC:24029","INHBE","hgnc",16,2,FALSE,TRUE,FALSE,FALSE
"tsa","CHEBI:46024","trichostatin A","chebi",16,2,FALSE,TRUE,FALSE,TRUE
"dichloromethane","CHEBI:15767","dichloromethane","chebi",15,0,FALSE,TRUE,FALSE,FALSE
"dmog","CHEBI:102218","dimethyloxalylglycine","chebi",15,0,FALSE,FALSE,FALSE,TRUE
"pufa","CHEBI:26208","polyunsaturated fatty acid","chebi",15,0,FALSE,FALSE,FALSE,TRUE
"3tc","CHEBI:63577","lamivudine","chebi",14,0,FALSE,FALSE,FALSE,TRUE
"cpg","CHEBI:167896","cytidylyl-(3'→5')-guanosine","chebi",14,2,FALSE,FALSE,FALSE,TRUE
"g418","CHEBI:42768","geneticin","chebi",14,0,FALSE,FALSE,FALSE,TRUE
"il10","HGNC:5962","IL10","immport",14,1,FALSE,TRUE,FALSE,FALSE
"palmitate","CHEBI:7896","hexadecanoate","chebi",14,1,FALSE,TRUE,FALSE,FALSE
"sildenafil","CHEBI:9139","sildenafil","chebi",14,0,FALSE,TRUE,FALSE,FALSE
"aid","HGNC:13203","AICDA","hgnc",12,2,FALSE,TRUE,FALSE,TRUE
"dhea","CHEBI:28689","dehydroepiandrosterone","chebi",12,0,FALSE,FALSE,FALSE,TRUE
"ifna","HGNC:5423","IFNA2","hgnc",12,2,FALSE,TRUE,FALSE,TRUE
"mehp","CHEBI:17243","mono(2-ethylhexyl) phthalate","chebi",12,0,FALSE,FALSE,FALSE,TRUE
"pal","CHEBI:59043","PAL","chebi",12,0,FALSE,TRUE,FALSE,FALSE
"tpo","HGNC:6018","IL6","immport",12,0,FALSE,TRUE,FALSE,TRUE
"c16","CHEBI:15756","hexadecanoic acid","chebi",11,1,FALSE,FALSE,FALSE,TRUE
"dioxin","CHEBI:28119","2,3,7,8-tetrachlorodibenzodioxine","chebi",11,0,FALSE,TRUE,FALSE,FALSE
"nicotinamide","CHEBI:17154","nicotinamide","chebi",11,0,FALSE,TRUE,FALSE,FALSE
"pvp","CHEBI:53245","poly(vinylpyridine)","chebi",11,0,FALSE,FALSE,FALSE,TRUE
"s4u","CHEBI:20480","4-thiouridine","chebi",11,0,FALSE,FALSE,FALSE,TRUE
"sr1","CHEBI:230484","StemRegenin 1","chebi",11,3,FALSE,FALSE,FALSE,TRUE
"3ap","CHEBI:231347","triapine","chebi",10,0,FALSE,FALSE,FALSE,TRUE
"ammonium","CHEBI:28938","ammonium","chebi",10,0,FALSE,TRUE,FALSE,FALSE
"hgi","HGNC:6018","IL6","immport",10,1,FALSE,FALSE,FALSE,TRUE
"mda5","HGNC:18873","IFIH1","hgnc",10,0,FALSE,FALSE,FALSE,TRUE
"peg","CHEBI:46793","poly(ethylene glycol)","chebi",10,1,FALSE,FALSE,FALSE,TRUE
"tnfalpha","HGNC:11892","TNF","immport",10,4,FALSE,TRUE,FALSE,FALSE
"cortisol","CHEBI:17650","cortisol","chebi",9,0,FALSE,TRUE,FALSE,FALSE
"csf","HGNC:2434","CSF2","immport",9,9,FALSE,TRUE,FALSE,TRUE
"egf","CHEBI:140739","Glu-Gly-Phe","chebi",9,8,FALSE,TRUE,FALSE,TRUE
"formoterol","CHEBI:5147","formoterol","chebi",9,1,FALSE,TRUE,FALSE,FALSE
"igm","HGNC:11935","CD40LG","immport",9,2,FALSE,TRUE,FALSE,TRUE
"il2","HGNC:6001","IL2","immport",9,7,FALSE,TRUE,FALSE,FALSE
"il27","HGNC:5984","IL17D","immport",9,0,FALSE,TRUE,FALSE,TRUE
"mcsf","HGNC:2432","CSF1","immport",9,1,FALSE,FALSE,FALSE,TRUE
"mms","CHEBI:25255","methyl methanesulfonate","chebi",9,1,FALSE,FALSE,FALSE,TRUE
"sel","CHEBI:24866","salt","chebi",9,0,FALSE,FALSE,FALSE,TRUE
"aea","CHEBI:2700","anandamide","chebi",8,0,FALSE,FALSE,FALSE,TRUE
"aflatoxin","CHEBI:22271","aflatoxin","chebi",8,0,FALSE,TRUE,FALSE,FALSE
"amo","CHEBI:53705","amoxicilloyl group","chebi",8,0,FALSE,FALSE,FALSE,TRUE
"ar","HGNC:644","AR","hgnc",8,15,FALSE,TRUE,FALSE,FALSE
"camp","CHEBI:17489","3',5'-cyclic AMP","chebi",8,2,FALSE,TRUE,FALSE,TRUE
"cccp","CHEBI:3259","CCCP","chebi",8,0,FALSE,TRUE,FALSE,FALSE
"cddp","CHEBI:27899","cisplatin","chebi",8,1,FALSE,FALSE,FALSE,TRUE
"ciclosporin","CHEBI:4031","cyclosporin A","chebi",8,1,FALSE,TRUE,FALSE,FALSE
"lcfa","CHEBI:15904","long-chain fatty acid","chebi",8,0,FALSE,FALSE,FALSE,TRUE
"lps","CHEBI:16412","lps (","chebi",8,54,FALSE,TRUE,FALSE,FALSE
"mc","CHEBI:34342","3-methylcholanthrene","chebi",8,1,FALSE,FALSE,FALSE,TRUE
"mma","CHEBI:16830","methylamine","chebi",8,2,FALSE,TRUE,FALSE,TRUE
"ros","CHEBI:26523","reactive oxygen species","chebi",8,0,FALSE,TRUE,FALSE,TRUE
"zinc","CHEBI:27363","zinc atom","chebi",8,0,FALSE,FALSE,FALSE,TRUE
"bap","CHEBI:29022","<em>N</em>-benzyladenine","chebi",7,1,FALSE,TRUE,FALSE,TRUE
"c6","HGNC:1339","C6","immport",7,7,FALSE,TRUE,FALSE,FALSE
"chop","CHEBI:18132","phosphocholine","chebi",7,0,FALSE,TRUE,FALSE,TRUE
"dfmo","CHEBI:41948","eflornithine","chebi",7,0,FALSE,FALSE,FALSE,TRUE
"donor","CHEBI:17499","hydrogen donor","chebi",7,389,FALSE,TRUE,FALSE,FALSE
"il23","HGNC:15488","IL23A","immport",7,1,FALSE,FALSE,FALSE,TRUE
"mpa","CHEBI:6716","medroxyprogesterone acetate","chebi",7,5,FALSE,FALSE,FALSE,TRUE
"pd1","CHEBI:138655","protectin D1","chebi",7,7,FALSE,TRUE,FALSE,TRUE
"ph","MeSH:D006863","Hydrogen-Ion Concentration","mesh",7,11,TRUE,TRUE,FALSE,TRUE
"tmao","CHEBI:15724","trimethylamine <em>N</em>-oxide","chebi",7,0,FALSE,FALSE,FALSE,TRUE
"aha","CHEBI:27777","acetohydroxamic acid","chebi",6,0,FALSE,FALSE,FALSE,TRUE
"ampk","HGNC:9377","PRKAA2","hgnc",6,1,FALSE,FALSE,FALSE,TRUE
"bitc","CHEBI:50534","butyl isothiocyanate","chebi",6,0,FALSE,FALSE,FALSE,TRUE
"bpf","CHEBI:34575","bisphenol F","chebi",6,1,FALSE,FALSE,FALSE,TRUE
"c","HGNC:11768","TGFB2","immport",6,68,FALSE,TRUE,TRUE,TRUE
"c24","CHEBI:87143","(<i>Z</i>)-<em>N</em>-cyclopropyl-11-methyldodec-2-enamide","chebi",6,1,FALSE,FALSE,FALSE,TRUE
"cla","CHEBI:3732","clarithromycin","chebi",6,0,FALSE,FALSE,FALSE,TRUE
"cpt","CHEBI:27656","camptothecin","chebi",6,0,FALSE,FALSE,FALSE,TRUE
"cucurbitacin","CHEBI:16219","cucurbitacin","chebi",6,0,FALSE,TRUE,FALSE,FALSE
"ddc","CHEBI:10101","zalcitabine","chebi",6,0,FALSE,TRUE,FALSE,TRUE
"dec","CHEBI:23574","decanoyl group","chebi",6,1,FALSE,FALSE,FALSE,TRUE
"fgf1","HGNC:3665","FGF1","immport",6,1,FALSE,TRUE,FALSE,FALSE
"levosimendan","CHEBI:50567","levosimendan","chebi",6,0,FALSE,TRUE,FALSE,FALSE
"male","CHEBI:30780","maleate(2−)","chebi",6,38,FALSE,FALSE,TRUE,TRUE
"nrg1","HGNC:30142","GDF15","immport",6,0,FALSE,TRUE,FALSE,TRUE
"ota","CHEBI:7719","ochratoxin A","chebi",6,0,FALSE,FALSE,FALSE,TRUE
"pdx","CHEBI:138653","(4<i>Z</i>,7<i>Z</i>,10<i>S</i>,11<i>E</i>,13<i>Z</i>,15<i>E</i>,17<i>S</i>,19<i>Z</i>)-10,17-dihydroxydocosahexaenoic acid","chebi",6,25,FALSE,TRUE,FALSE,TRUE
"pge2","CHEBI:15551","prostaglandin E<small><sub>2</sub></small>","chebi",6,2,FALSE,TRUE,FALSE,TRUE
"salmeterol","CHEBI:9011","salmeterol","chebi",6,0,FALSE,TRUE,FALSE,FALSE
"tac","CHEBI:53498","triacetylcellulose","chebi",6,1,FALSE,FALSE,FALSE,TRUE
"tgfb3","HGNC:11769","TGFB3","immport",6,0,FALSE,TRUE,FALSE,FALSE
"tmp","CHEBI:9533","thiamine(1+) monophosphate","chebi",6,3,FALSE,TRUE,FALSE,TRUE
"vitamin","CHEBI:33229","vitamin (role)","chebi",6,1,FALSE,TRUE,FALSE,FALSE
"brdu","CHEBI:472552","5-bromo-2'-deoxyuridine","chebi",5,0,FALSE,TRUE,FALSE,TRUE
"can","CHEBI:91238","calcium ammonium nitrate","chebi",5,0,FALSE,TRUE,FALSE,TRUE
"citrate","CHEBI:16947","citrate(3−)","chebi",5,0,FALSE,TRUE,FALSE,FALSE
"dats","CHEBI:78492","diallyl trisulfide","chebi",5,1,FALSE,FALSE,FALSE,TRUE
"dpdpe","CHEBI:73356","DPDPE","chebi",5,0,FALSE,TRUE,FALSE,FALSE
"edc","CHEBI:27789","1,2-dichloroethane","chebi",5,0,FALSE,FALSE,FALSE,TRUE
"enu","CHEBI:23995","<em>N</em>-ethyl-<em>N</em>-nitrosourea","chebi",5,0,FALSE,FALSE,FALSE,TRUE
"glutamate","CHEBI:14321","glutamate(1−)","chebi",5,0,FALSE,TRUE,FALSE,FALSE
"il17","HGNC:5981","IL17A","immport",5,1,FALSE,FALSE,FALSE,TRUE
"isoprenaline","CHEBI:64317","isoprenaline","chebi",5,0,FALSE,TRUE,FALSE,FALSE
"kcl","CHEBI:32588","potassium chloride","chebi",5,1,FALSE,FALSE,FALSE,TRUE
"lactate","CHEBI:24996","lactate","chebi",5,2,FALSE,TRUE,FALSE,FALSE
"lipopolysaccharide","CHEBI:16412","lipopolysaccharide","chebi",5,0,FALSE,TRUE,FALSE,FALSE
"ltb4","CHEBI:15647","leukotriene B<small><sub>4</sub></small>","chebi",5,2,FALSE,TRUE,FALSE,TRUE
"phen","CHEBI:44975","1,10-phenanthroline","chebi",5,0,FALSE,FALSE,FALSE,TRUE
"ppt","CHEBI:50305","podophyllotoxin","chebi",5,0,FALSE,TRUE,FALSE,TRUE
"scf","HGNC:6343","KITLG","immport",5,1,FALSE,FALSE,FALSE,TRUE
"tad","CHEBI:2659","aminophylline","chebi",5,1,FALSE,FALSE,FALSE,TRUE
"acf","CHEBI:191932","acetyl fluoride","chebi",4,0,FALSE,TRUE,FALSE,TRUE
"akm","CHEBI:31255","bekanamycin sulfate","chebi",4,0,FALSE,FALSE,FALSE,TRUE
"aps","CHEBI:17709","5'-adenylyl sulfate","chebi",4,0,FALSE,TRUE,FALSE,TRUE
"atp","CHEBI:15422","ATP","chebi",4,0,FALSE,TRUE,FALSE,FALSE
"bendamustine","CHEBI:135515","bendamustine","chebi",4,0,FALSE,TRUE,FALSE,FALSE
"ccl26","HGNC:10625","CCL26","immport",4,1,FALSE,TRUE,FALSE,FALSE
"cnt","CHEBI:50594","carbon nanotube","chebi",4,1,FALSE,FALSE,FALSE,TRUE
"dms","CHEBI:17437","dimethyl sulfide","chebi",4,1,FALSE,FALSE,FALSE,TRUE
"dpn","MeSH:D009243","NAD","mesh",4,0,FALSE,TRUE,FALSE,TRUE
"eto","CHEBI:27561","oxirane","chebi",4,2,FALSE,TRUE,FALSE,TRUE
"ffa","CHEBI:42638","flufenamic acid","chebi",4,2,FALSE,FALSE,FALSE,TRUE
"fk506","CHEBI:61049","tacrolimus (anhydrous)","chebi",4,0,FALSE,TRUE,FALSE,FALSE
"ibmx","CHEBI:34795","3-isobutyl-1-methyl-7<em>H</em>-xanthine","chebi",4,0,FALSE,TRUE,FALSE,TRUE
"il18","HGNC:5986","IL18","immport",4,0,FALSE,TRUE,FALSE,FALSE
"il33","HGNC:16028","IL33","immport",4,1,FALSE,TRUE,FALSE,FALSE
"ilt","HGNC:5977","IL15","immport",4,0,FALSE,FALSE,FALSE,TRUE
"irg1","HGNC:33904","ACOD1","hgnc",4,0,FALSE,FALSE,FALSE,TRUE
"lipopolysaccharide","CHEBI:16412","lps","chebi",4,0,FALSE,TRUE,FALSE,FALSE
"lp","HGNC:6667","LPA","hgnc",4,1,FALSE,TRUE,FALSE,TRUE
"lps","CHEBI:16412","lps ( )","chebi",4,54,FALSE,TRUE,FALSE,FALSE
"mdmx","HGNC:6974","MDM4","hgnc",4,0,FALSE,FALSE,FALSE,TRUE
"mek","CHEBI:28398","butan-2-one","chebi",4,2,FALSE,TRUE,FALSE,TRUE
"mithramycin","CHEBI:31856","mithramycin","chebi",4,0,FALSE,TRUE,FALSE,FALSE
"mrna","CHEBI:33699","messenger RNA","chebi",4,9,FALSE,TRUE,FALSE,TRUE
"mtx","CHEBI:44185","methotrexate","chebi",4,4,FALSE,TRUE,FALSE,TRUE
"nmn","CHEBI:16171","NMN zwitterion","chebi",4,2,FALSE,FALSE,FALSE,TRUE
"nmp","CHEBI:7307","<em>N</em>-methylpyrrolidin-2-one","chebi",4,0,FALSE,FALSE,FALSE,TRUE
"oxa","CHEBI:53076","4-(ethoxymethylene)-2-phenyloxazol-5-one","chebi",4,0,FALSE,FALSE,FALSE,TRUE
"shh","CHEBI:45716","vorinostat","chebi",4,1,FALSE,TRUE,FALSE,TRUE
"tbhp","CHEBI:64090","<em>tert</em>-butyl hydroperoxide","chebi",4,0,FALSE,FALSE,FALSE,TRUE
"tepa","CHEBI:49798","tetraethylenepentamine","chebi",4,0,FALSE,TRUE,FALSE,TRUE
"tnt","CHEBI:27135","trinitrotoluene","chebi",4,0,FALSE,TRUE,FALSE,TRUE
"tsa","HGNC:9353","PRDX2","hgnc",4,2,FALSE,TRUE,FALSE,TRUE
"acc","CHEBI:18053","1-aminocyclopropanecarboxylic acid","chebi",3,1,FALSE,TRUE,FALSE,TRUE
"acetate","CHEBI:30089","acetate","chebi",3,2,FALSE,TRUE,FALSE,FALSE
"apolipoprotein","CHEBI:39015","apolipoprotein","chebi",3,0,FALSE,TRUE,FALSE,FALSE
"bci","CHEBI:143126","(2<i>E</i>)-2-benzylidene-3-(cyclohexylamino)indan-1-one","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"cntf","HGNC:2169","CNTF","hgnc",3,0,FALSE,TRUE,FALSE,FALSE
"dab","CHEBI:90994","3,3'-diaminobenzidine","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"dmf","CHEBI:17741","<em>N</em>,<em>N</em>-dimethylformamide","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"doc","CHEBI:16973","11-deoxycorticosterone","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"dpn","CHEBI:15846","NAD<small><sup>+</small></sup>","chebi",3,0,FALSE,TRUE,FALSE,TRUE
"glc","CHEBI:17234","glucose","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"heme","CHEBI:17627","ferroheme <em>b</em>","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"ifna8","HGNC:5427","IFNA6","immport",3,0,FALSE,TRUE,FALSE,FALSE
"iso","CHEBI:167830","isorhapontigenin","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"kl1","HGNC:6343","KITLG","immport",3,0,FALSE,FALSE,FALSE,TRUE
"ky","HGNC:26576","KY","hgnc",3,0,FALSE,TRUE,FALSE,FALSE
"l3","HGNC:10332","RPL3","hgnc",3,3,FALSE,FALSE,FALSE,TRUE
"licl","CHEBI:48607","lithium chloride","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"lna","CHEBI:48010","locked nucleic acid","chebi",3,1,FALSE,FALSE,FALSE,TRUE
"lps","CHEBI:16412","lps ( ) .","chebi",3,54,FALSE,TRUE,FALSE,FALSE
"menadione","CHEBI:28869","menadione","chebi",3,0,FALSE,TRUE,FALSE,FALSE
"merrf","MeSH:D017243","MERRF Syndrome","mesh",3,0,FALSE,TRUE,FALSE,FALSE
"mk","HGNC:11905","TNFRSF10B","immport",3,1,FALSE,TRUE,FALSE,TRUE
"mnp","CHEBI:139554","magnetic nanoparticle","chebi",3,0,FALSE,FALSE,FALSE,TRUE
"nmda","CHEBI:6121","ketamine","chebi",3,1,FALSE,TRUE,FALSE,TRUE
"oct4","HGNC:9221","POU5F1","hgnc",3,1,FALSE,FALSE,FALSE,TRUE
"palb","HGNC:12405","TTR","hgnc",3,0,FALSE,FALSE,FALSE,TRUE
"prostaglandin","CHEBI:26333","prostaglandin","chebi",3,0,FALSE,TRUE,FALSE,FALSE
"raloxifene","CHEBI:8772","raloxifene","chebi",3,0,FALSE,TRUE,FALSE,FALSE
"retinol","CHEBI:17336","<i>all</i>-<i>trans</i>-retinol","chebi",3,0,FALSE,TRUE,FALSE,FALSE
"s1p","CHEBI:37550","sphingosine 1-phosphate","chebi",3,0,FALSE,TRUE,FALSE,TRUE
"tsp1","HGNC:11785","THBS1","hgnc",3,0,FALSE,FALSE,FALSE,TRUE
"val","CHEBI:16414","<small>L</small>-valine","chebi",3,0,FALSE,TRUE,FALSE,TRUE
"a20","HGNC:5735","IGKV1-27","hgnc",2,2,FALSE,FALSE,FALSE,TRUE
"aa","CHEBI:15843","arachidonic acid","chebi",2,5,FALSE,TRUE,FALSE,TRUE
"ach","HGNC:3690","FGFR3","hgnc",2,0,FALSE,TRUE,FALSE,TRUE
"act","HGNC:16","SERPINA3","uniprot",2,2,FALSE,FALSE,FALSE,TRUE
"adiponectin","CHEBI:81572","adiponectin","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"antiandrogen","CHEBI:35497","androgen antagonist","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"arg","CHEBI:16467","<small>L</small>-arginine","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"bet","CHEBI:17750","glycine betaine","chebi",2,1,FALSE,TRUE,FALSE,TRUE
"bfgf","HGNC:3676","FGF2","immport",2,0,FALSE,FALSE,FALSE,TRUE
"bg","HGNC:616","APOH","hgnc",2,3,FALSE,FALSE,FALSE,TRUE
"bix","CHEBI:85310","2-(3,4-dihydroxyphenyl)-2-oxoethyl thiocyanate","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"bor","CHEBI:27560","boron atom","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"bpde","CHEBI:30614","benzo[<em>a</em>]pyrene diol epoxide I","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"bru","CHEBI:20553","5-bromouridine","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"btc","CHEBI:746958","benzothiazolylcysteine zwitterion","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"c10","CHEBI:87148","(<i>Z</i>)-13-methyltetradec-2-enoic acid","chebi",2,1,FALSE,TRUE,FALSE,TRUE
"c5a","HGNC:1331","C5","hgnc",2,0,FALSE,FALSE,FALSE,TRUE
"carbocyanine","CHEBI:52218","pinacyanol iodide","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"cd40l","HGNC:11935","CD40LG","immport",2,1,FALSE,TRUE,FALSE,FALSE
"cdca","CHEBI:16755","chenodeoxycholic acid","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"ceramide","CHEBI:17761","ceramide","chebi",2,0,FALSE,TRUE,FALSE,FALSE
"csa","CHEBI:55379","camphorsulfonic acid","chebi",2,2,FALSE,TRUE,FALSE,TRUE
"ctx","CHEBI:3498","cefotaxime sodium","chebi",2,3,FALSE,TRUE,FALSE,TRUE
"dca","CHEMBL:CHEMBL306823","SODIUM DICHLOROACETATE","chembl",2,0,FALSE,FALSE,FALSE,TRUE
"deab","CHEBI:86195","3-allyl-2-[2-(diethylamino)ethoxy]benzaldehyde","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"dehp","CHEBI:17747","bis(2-ethylhexyl) phthalate","chebi",2,0,FALSE,TRUE,FALSE,TRUE
"dhodh","HGNC:2867","DHODH","hgnc",2,0,FALSE,TRUE,FALSE,FALSE
"don","CHEBI:10022","deoxynivalenol","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"emb","CHEBI:4877","ethambutol","chebi",2,1,FALSE,TRUE,FALSE,TRUE
"epa","CHEBI:28364","<i>all</i>-<i>cis</i>-5,8,11,14,17-icosapentaenoic acid","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"epcam","HGNC:11529","EPCAM","immport",2,1,FALSE,TRUE,FALSE,FALSE
"fad","MeSH:D005182","Flavin-Adenine Dinucleotide","mesh",2,0,FALSE,TRUE,FALSE,TRUE
"gerd","MeSH:D005764","Gastroesophageal Reflux","mesh",2,0,FALSE,FALSE,FALSE,TRUE
"glucuronide","CHEBI:15341","β-<small>D</small>-glucosiduronic acid","chebi",2,1,FALSE,TRUE,FALSE,FALSE
"hem","CHEBI:30413","heme","chebi",2,0,FALSE,FALSE,FALSE,TRUE
"il5","HGNC:6016","IL5","immport",2,0,FALSE,TRUE,FALSE,FALSE
"il7","HGNC:6023","IL7","immport",2,1,FALSE,TRUE,FALSE,FALSE
