"id_old","nome_old","n"
"HGNC:20604","DIS3",4
"HGNC:20866","RSPO3",4
"HGNC:22474","MED13",4
"HGNC:225","ADAR",4
"HGNC:2376","MED26",4
"HGNC:26189","MTARC1",4
"HGNC:28826","WDR82",4
"HGNC:2978","DNMT3A",4
"HGNC:33904","ACOD1",4
"HGNC:5977","IL15",4
"HGNC:6859","MAP3K7",4
"HGNC:6974","MDM4",4
"HGNC:7432","MTHFD1",4
"HGNC:7559","MYCN",4
"HGNC:9353","PRDX2",4
"HGNC:9588","PTEN",4
"MeSH:D009243","NAD",4
"CHEBI:15846","NAD<small><sup>+</small></sup>",3
"CHEBI:167830","isorhapontigenin",3
"CHEBI:16973","11-deoxycorticosterone",3
"CHEBI:24866+CHEBI:44616","salt + afimoxifene",3
"CHEBI:6121","ketamine",3
"HGNC:10774","SFPQ",3
"HGNC:10979","SLC25A1",3
"HGNC:11753","TFEB",3
"HGNC:11896","TNFAIP3",3
"HGNC:11905","TNFRSF10B",3
"HGNC:12405","TTR",3
"HGNC:12556","UHRF1",3
"HGNC:12630","USP7",3
"HGNC:12796","WT1",3
"HGNC:12852","YWHAG",3
"HGNC:13128","ZNF711",3
"HGNC:13480","ULK2",3
"HGNC:1440","CALCR",3
"HGNC:16262","YAP1",3
"HGNC:16384","TRIM28",3
"HGNC:16783","CDC73",3
"HGNC:17296","RRM2B",3
"HGNC:1780","CDK9",3
"HGNC:1834","CEBPB",3
"HGNC:2567","OFD1",3
"HGNC:26576","KY",3
"HGNC:28698","DIS3L",3
"HGNC:28866","IGF2BP1",3
"HGNC:28867","IGF2BP2",3
"HGNC:29620","ZCRB1",3
"HGNC:3070","DUSP4",3
"HGNC:3121","E4F1",3
"HGNC:3312","ELAVL1",3
"HGNC:3449","ERN1",3
"HGNC:3498","MECOM",3
"HGNC:3818","FOXM1",3
"HGNC:4923","HK2",3
"HGNC:5021","FOXA1",3
"HGNC:6770","SMAD4",3
"HGNC:786","ATF4",3
"HGNC:9155","PNLIP",3
"HGNC:9221","POU5F1",3
"HGNC:9284","PPP1R10",3
"HGNC:9955","RELA",3
"HGNC:9962","UPF1",3
"MeSH:D010361","Patients",3
"CHEBI:15702+CHEBI:47495","terephthalic acid + <em>N</em>-[2-(4-bromocinnamylamino)ethyl]isoquinoline-5-sulfonamide",2
"CHEBI:16016+CHEBI:746958","dihydroxyacetone + benzothiazolylcysteine zwitterion",2
"CHEBI:230500+CHEBI:27561","THZ1 + oxirane",2
"CHEBI:24433","group",2
"CHEBI:31638+CHEBI:80961","fulvestrant + 5-formyluracil",2
"CHEBI:87148","(<i>Z</i>)-13-methyltetradec-2-enoic acid",2
"HGNC:10008","RHCE",2
"HGNC:10445","CNOT9",2
"HGNC:1058","BLM",2
"HGNC:10894","PRMT5",2
"HGNC:11469","SUPT5H",2
"HGNC:11752","TFE3",2
"HGNC:11784","THBD",2
"HGNC:12029","TRAC",2
"HGNC:12836","XRN2",2
"HGNC:1331","C5",2
"HGNC:13575","BRD4",2
"HGNC:1539","CBFB",2
"HGNC:15822","OXR1",2
"HGNC:16","SERPINA3",2
"HGNC:16089","PGRMC2",2
"HGNC:16505","CYGB",2
"HGNC:16806","UBR5",2
"HGNC:16822","FAM193A",2
"HGNC:16850","CTR9",2
"HGNC:18121","MFRP",2
"HGNC:18584","IFNLR1",2
"HGNC:18662","RAX",2
"HGNC:19962","ATG14",2
"HGNC:20567","NME6",2
"HGNC:23177","KEAP1",2
"HGNC:2370","MED14",2
"HGNC:24682","FLVCR1",2
"HGNC:25635","CMTR2",2
"HGNC:25679","ATG101",2
"HGNC:26128","SPRING1",2
"HGNC:27310","FLCN",2
"HGNC:28079","ZNF598",2
"HGNC:2867","DHODH",2
"HGNC:29450","GLIS2",2
"HGNC:30048","PIR",2
"HGNC:30103","HAPSTR1",2
"HGNC:31675","YTHDF2",2
"HGNC:3418","EPRS1",2
"HGNC:3493","ETV4",2
"HGNC:3599","FBL",2
"HGNC:3690","FGFR3",2
"HGNC:381","AKR1B1",2
"HGNC:4071","GABPA",2
"HGNC:4532","HCAR1",2
"HGNC:491","ANGPTL3",2
"HGNC:5155","HPN",2
"HGNC:5735","IGKV1-27",2
"HGNC:6121","IRF6",2
"HGNC:616","APOH",2
"HGNC:6190","JAK1",2
"HGNC:6192","JAK2",2
"HGNC:6349","KLF5",2
"HGNC:7132","KMT2A",2
"HGNC:758","ASS1",2
"HGNC:8754","PCYT1A",2
"HGNC:8979","PIK3R1",2
"HGNC:9237","PPARGC1A",2
"HGNC:9275","PPM1A",2
"HGNC:959","BAX",2
"HGNC:9611","PTK2",2
"HGNC:9893","RBL1",2
"CHEBI:135918+CHEBI:24433+CHEBI:28680","chidamide + group + cytarabine",1
"CHEBI:140739+CHEBI:47495","Glu-Gly-Phe + <em>N</em>-[2-(4-bromocinnamylamino)ethyl]isoquinoline-5-sulfonamide",1
"CHEBI:16016+CHEBI:3259","dihydroxyacetone + CCCP",1
"CHEBI:191932+CHEBI:27638","acetyl fluoride + cobalt atom",1
"CHEBI:24433+CHEBI:79369","group + elesclomol",1
"CHEBI:27847","3-iodo-<small>L</small>-tyrosine",1
"CHEBI:28398+CHEBI:79091","butan-2-one + EC 2.7.11.24 (mitogen-activated protein kinase) inhibitor",1
"CHEBI:53705+CHEBI:9533","amoxicilloyl group + thiamine(1+) monophosphate",1
"HGNC:10071","RNF8",1
"HGNC:10475","RUVBL2",1
"HGNC:10760","SET",1
"HGNC:10761","SETDB1",1
"HGNC:10768","SF3B1",1
"HGNC:10990","SLC25A4",1
"HGNC:11049","SLC6A3",1
"HGNC:11098","SMARCA2",1
"HGNC:11195","SOX2",1
"HGNC:11354","STAG1",1
"HGNC:11640","TCF7L1",1
"HGNC:11745","TFAP4",1
"HGNC:11773","TGFBR2",1
"HGNC:11957","MED12",1
"HGNC:12339","TRPM2",1
"HGNC:12637","KDM6A",1
"HGNC:12771","CCN6",1
"HGNC:14234","NSD1",1
"HGNC:14410","DHX36",1
"HGNC:14933","SIRT5",1
"HGNC:1555","CBX5",1
"HGNC:15574","RB1CC1",1
"HGNC:15979","TP63",1
"HGNC:17546","JDP2",1
"HGNC:1798","CDR1",1
"HGNC:18039","KDM5B",1
"HGNC:18082","TRPV2",1
"HGNC:1913","RCC1",1
"HGNC:1915","CHD1",1
"HGNC:19383","SOCS1",1
"HGNC:19970","MED6",1
"HGNC:20061","USP35",1
"HGNC:20612","TDRD3",1
"HGNC:20669","IQGAP3",1
"HGNC:21087","BTLA",1
"HGNC:22408","ATG9A",1
"HGNC:22917","ZCCHC4",1
"HGNC:23032","MED30",1
"HGNC:24260","MED31",1
"HGNC:24628","MED28",1
"HGNC:24808","TRAFD1",1
"HGNC:24885","GREB1",1
"HGNC:25006","METTL5",1
"HGNC:2595","CYP1A1",1
"HGNC:2597","CYP1B1",1
"HGNC:27291","MCEMP1",1
"HGNC:28005","CTU2",1
"HGNC:28154","NUDT16L1",1
"HGNC:28760","MED10",1
"HGNC:28868","IGF2BP3",1
"HGNC:2890","DKC1",1
"HGNC:29099","TELO2",1
"HGNC:29163","NINL",1
"HGNC:29531","LARP1",1
"HGNC:2987","DOCK1",1
"HGNC:30626","YTHDC1",1
"HGNC:30802","PNPLA2",1
"HGNC:30932","XAF1",1
"HGNC:32225","WIPI2",1
"HGNC:3231","CELSR2",1
"HGNC:3471","ESRRA",1
"HGNC:3527","EZH2",1
"HGNC:3650","FEN1",1
"HGNC:3775","FMR1",1
"HGNC:4397","GNB1L",1
"HGNC:5010","HMGA1",1
"HGNC:50800","DUX4",1
"HGNC:5112","HOXB13",1
"HGNC:5182","HRH1",1
"HGNC:5187","PRMT1",1
"HGNC:5432","IFNAR1",1
"HGNC:55987","MIR34BHG",1
"HGNC:589","ATG5",1
"HGNC:6080","INPPL1",1
"HGNC:6116","IRF1",1
"HGNC:6664","LOX",1
"HGNC:6665","LOXL1",1
"HGNC:6867","MAP4K5",1
"HGNC:6914","MAZ",1
"HGNC:7010","MEN1",1
"HGNC:738","ASCL1",1
"HGNC:7687","COXFA4",1
"HGNC:7804","NFYA",1
"HGNC:7881","NOTCH1",1
"HGNC:7910","NPM1",1
"HGNC:8638","KAT2B",1
"HGNC:886","ATRX",1
"HGNC:9234","MED1",1
"HGNC:950","BAP1",1
"HGNC:9577","PSPH",1
"HGNC:9655","PTPN3",1
"HGNC:9887","RBBP4",1
