"cluster_id","n_confronti_censiti","study_id","etichetta_trattato","etichetta_controllo","meccanismo","chiave","rec","braccio","dedup","nmin","altro","stato"
"cgroup_L5_2e16719f",145,"GSE210984","Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 14 days","Primary Mesenchymal Stem Cells (Vehicle Control)","2 materiale diverso (iPSC-derivate vs primarie)","GSE210984 ‖ Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 14 days ‖ Primary Mesenchymal Stem Cells (Vehicle Control)",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE210984","Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 21 days","Primary Mesenchymal Stem Cells (Vehicle Control)","2 materiale diverso (iPSC-derivate vs primarie)","GSE210984 ‖ Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 21 days ‖ Primary Mesenchymal Stem Cells (Vehicle Control)",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE210984","Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 7 days (Replicate)","Primary Mesenchymal Stem Cells (Vehicle Control)","2 materiale diverso (iPSC-derivate vs primarie)","GSE210984 ‖ Mesenchymal Stem Cells (iPSC-derived) treated with TGF-β for 7 days (Replicate) ‖ Primary Mesenchymal Stem Cells (Vehicle Control)",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE161176","Articular chondrocytes (ACh) - TGF-B1 - 7-days - Passage 24 - Donor 1","Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1","3 passaggio diverso","GSE161176 ‖ Articular chondrocytes (ACh) - TGF-B1 - 7-days - Passage 24 - Donor 1 ‖ Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE161176","Articular chondrocytes (ACh) - TGF-B1 - 3-days - Passage 21 - Donor 1","Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1","3 passaggio diverso","GSE161176 ‖ Articular chondrocytes (ACh) - TGF-B1 - 3-days - Passage 21 - Donor 1 ‖ Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE161176","Articular chondrocytes (ACh) - TGF-B1 - 7-days - Passage 15 - Donor 1","Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1","3 passaggio diverso","GSE161176 ‖ Articular chondrocytes (ACh) - TGF-B1 - 7-days - Passage 15 - Donor 1 ‖ Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE161176","Articular chondrocytes (ACh) - TGF-B1 - 21-days - Passage 27 - Donor 1","Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1","3 passaggio diverso","GSE161176 ‖ Articular chondrocytes (ACh) - TGF-B1 - 21-days - Passage 27 - Donor 1 ‖ Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE161176","Articular chondrocytes (ACh) - TGF-B1 - 1-days - Passage 9 - Donor 1","Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1","3 passaggio diverso","GSE161176 ‖ Articular chondrocytes (ACh) - TGF-B1 - 1-days - Passage 9 - Donor 1 ‖ Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE161176","Articular chondrocytes (ACh) - TGF-B1 - 3-days - Passage 12 - Donor 1","Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1","3 passaggio diverso","GSE161176 ‖ Articular chondrocytes (ACh) - TGF-B1 - 3-days - Passage 12 - Donor 1 ‖ Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE161176","Articular chondrocytes (ACh) - TGF-B1 - 1-day - Passage 19 - Donor 1","Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1","3 passaggio diverso","GSE161176 ‖ Articular chondrocytes (ACh) - TGF-B1 - 1-day - Passage 19 - Donor 1 ‖ Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE161176","Articular chondrocytes (ACh) - TGF-B1 - 7-days - Passage 25 - Donor 1","Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1","3 passaggio diverso","GSE161176 ‖ Articular chondrocytes (ACh) - TGF-B1 - 7-days - Passage 25 - Donor 1 ‖ Articular chondrocytes (ACh) - vehicle_only - Passage 6 - Donor 1",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_2e16719f",145,"GSE161176","Bone marrow stromal cell - TGF-B1 - 21-days - Passage 26 - Donor 1","Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1","3 passaggio diverso","GSE161176 ‖ Bone marrow stromal cell - TGF-B1 - 21-days - Passage 26 - Donor 1 ‖ Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE161176","Bone marrow stromal cell - TGF-B1 - 7-days - Passage 12 - Donor 1","Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1","3 passaggio diverso","GSE161176 ‖ Bone marrow stromal cell - TGF-B1 - 7-days - Passage 12 - Donor 1 ‖ Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE161176","Bone marrow stromal cell - TGF-B1 - 1-day - Passage 6 - Donor 1","Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1","3 passaggio diverso","GSE161176 ‖ Bone marrow stromal cell - TGF-B1 - 1-day - Passage 6 - Donor 1 ‖ Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE161176","Bone marrow stromal cell - TGF-B1 - 21-days - Passage 24 - Donor 1","Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1","3 passaggio diverso","GSE161176 ‖ Bone marrow stromal cell - TGF-B1 - 21-days - Passage 24 - Donor 1 ‖ Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE161176","Bone marrow stromal cell - TGF-B1 - 3-days - Passage 9 - Donor 1","Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1","3 passaggio diverso","GSE161176 ‖ Bone marrow stromal cell - TGF-B1 - 3-days - Passage 9 - Donor 1 ‖ Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE161176","Bone marrow stromal cell - TGF-B1 - 1-day - Passage 8 - Donor 1","Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1","3 passaggio diverso","GSE161176 ‖ Bone marrow stromal cell - TGF-B1 - 1-day - Passage 8 - Donor 1 ‖ Bone marrow stromal cell - vehicle_only - Passage 3 - Donor 1",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_2e16719f",145,"GSE97358","TGFB1-treated Cardiac Fibroblasts (Chinese)","Control Cardiac Fibroblasts (Malay)","3 donatore/etnia diversa","GSE97358 ‖ TGFB1-treated Cardiac Fibroblasts (Chinese) ‖ Control Cardiac Fibroblasts (Malay)",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_c548d053",72,"GSE97744","Circulating macrophage + IFN-γ and LPS","Circulating macrophage untreated","1 secondo agente","GSE97744 ‖ Circulating macrophage + IFN-γ and LPS ‖ Circulating macrophage untreated",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_c548d053",72,"GSE180693","T3 and LPS 24h","RPMI media 24h","1 secondo agente","GSE180693 ‖ T3 and LPS 24h ‖ RPMI media 24h",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_c548d053",72,"GSE180693","T3 and LPS 4h","RPMI media 4h","1 secondo agente","GSE180693 ‖ T3 and LPS 4h ‖ RPMI media 4h",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_c548d053",72,"GSE181851","PW and LPS","Untreated","1 secondo agente","GSE181851 ‖ PW and LPS ‖ Untreated",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_c548d053",72,"GSE245677","LPS + BMS treated (transgene_stable)","Control (vehicle_only) (transgene_stable)","1 secondo agente","GSE245677 ‖ LPS + BMS treated (transgene_stable) ‖ Control (vehicle_only) (transgene_stable)",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_c548d053",72,"GSE76404","Adipose - LPS Treated - African American Male","Adipose - Vehicle Control - African American Female","3 donatore diverso","GSE76404 ‖ Adipose - LPS Treated - African American Male ‖ Adipose - Vehicle Control - African American Female",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_871ae09e",98,"GSE169241","human heart, SARS-CoV-2 infected person","human ES-derived macrophage, No treatment","3 materiale/sede diversa fra i bracci","GSE169241 ‖ human heart, SARS-CoV-2 infected person ‖ human ES-derived macrophage, No treatment",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_871ae09e",98,"GSE151803","COVID-19 Lung 58L","hESC Mock","3 materiale/sede diversa fra i bracci","GSE151803 ‖ COVID-19 Lung 58L ‖ hESC Mock",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_871ae09e",98,"GSE151803","COVID-19 Lung","hESC Mock","3 materiale/sede diversa fra i bracci","GSE151803 ‖ COVID-19 Lung ‖ hESC Mock",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_d9e23e09",71,"GSE236122","TNF stimulated, gap_CBP, finger","Unstimulated, gap_CBP, knee, passage 196","2 sede-diversa","GSE236122 ‖ TNF stimulated, gap_CBP, finger ‖ Unstimulated, gap_CBP, knee, passage 196",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_d9e23e09",71,"GSE236122","TNF stimulated, gap_p300, finger","Unstimulated, gap_p300, knee","2 sede-diversa","GSE236122 ‖ TNF stimulated, gap_p300, finger ‖ Unstimulated, gap_p300, knee",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_d9e23e09",71,"GSE186396","Melanoma BLM cells, HOIPIN-8, TNF 6h","Melanoma BLM cells, Untreated","1 agente-extra","GSE186396 ‖ Melanoma BLM cells, HOIPIN-8, TNF 6h ‖ Melanoma BLM cells, Untreated",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_d9e23e09",71,"GSE231460","TNFα stimulated with si-control","Control (vehicle)","1 agente-extra","GSE231460 ‖ TNFα stimulated with si-control ‖ Control (vehicle)",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_83f57274",58,"GSE269699","Hypoxia (Donor 1)","Normoxia (Control, Donor 2)","9 donatore diverso","GSE269699 ‖ Hypoxia (Donor 1) ‖ Normoxia (Control, Donor 2)",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_83f57274",58,"GSE269699","Hypoxia (Donor 3)","Normoxia (Control, Donor 2)","9 donatore diverso","GSE269699 ‖ Hypoxia (Donor 3) ‖ Normoxia (Control, Donor 2)",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_83f57274",58,"GSE139233","Hypoxia pH 6.0","Normoxia pH 7.4","7/9 confondimento pH","GSE139233 ‖ Hypoxia pH 6.0 ‖ Normoxia pH 7.4",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_b71a25a2",58,"GSE78801","DIPG primary culture pons H3.1K27M, JQ1, 12h","DIPG primary culture brain, DMSO, 12h","6 sede diversa","GSE78801 ‖ DIPG primary culture pons H3.1K27M, JQ1, 12h ‖ DIPG primary culture brain, DMSO, 12h",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_b71a25a2",58,"GSE78801","DIPG primary culture pons H3.1K27M, JQ1, 24h","DIPG primary culture brain, DMSO, 24h","6 sede diversa","GSE78801 ‖ DIPG primary culture pons H3.1K27M, JQ1, 24h ‖ DIPG primary culture brain, DMSO, 24h",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_b71a25a2",58,"GSE78801","DIPG primary culture pons H3.1K27M, JQ1, 48h","DIPG primary culture brain, DMSO, 48h","6 sede diversa","GSE78801 ‖ DIPG primary culture pons H3.1K27M, JQ1, 48h ‖ DIPG primary culture brain, DMSO, 48h",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_b71a25a2",58,"GSE78801","DIPG primary culture pons H3.1K27M, JQ1, 6h","DIPG primary culture brain, DMSO, 6h","6 sede diversa","GSE78801 ‖ DIPG primary culture pons H3.1K27M, JQ1, 6h ‖ DIPG primary culture brain, DMSO, 6h",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_b71a25a2",58,"GSE78801","DIPG primary culture pons, JQ1, 3h","DIPG primary culture brain, DMSO, 3h","6 sede diversa","GSE78801 ‖ DIPG primary culture pons, JQ1, 3h ‖ DIPG primary culture brain, DMSO, 3h",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_b71a25a2",58,"GSE78801","DIPG primary culture pons, JQ1, 24h","DIPG primary culture brain, DMSO, 24h","6 sede diversa","GSE78801 ‖ DIPG primary culture pons, JQ1, 24h ‖ DIPG primary culture brain, DMSO, 24h",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_930c8dcf",44,"GSE130247","22RV1 cells treated with DHT and ENZ","22RV1 cells treated with EtOH_DMSO","7 secondo agente","GSE130247 ‖ 22RV1 cells treated with DHT and ENZ ‖ 22RV1 cells treated with EtOH_DMSO",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_930c8dcf",44,"GSE99626","T47D cells treated with E2 and DHT","T47D cells treated with Vehicle","7 secondo agente","GSE99626 ‖ T47D cells treated with E2 and DHT ‖ T47D cells treated with Vehicle",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_930c8dcf",44,"GSE227511","MDaPCa2a cells treated with DHT and ACP-coating","MDaPCa2a cells treated with plastic and control media","6 materiale diverso","GSE227511 ‖ MDaPCa2a cells treated with DHT and ACP-coating ‖ MDaPCa2a cells treated with plastic and control media",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_f94b6180",92,"GSE172205","Prostate tissue treated with R1881 and atraric acid (AA)","C4-2 cells treated with DMSO","2 materiale diverso (+ secondo agente atraric acid presente solo nel trattato)","GSE172205 ‖ Prostate tissue treated with R1881 and atraric acid (AA) ‖ C4-2 cells treated with DMSO",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_f94b6180",92,"GSE225481","LAPC4_R1881","VCaP_DMSO","3 linea diversa","GSE225481 ‖ LAPC4_R1881 ‖ VCaP_DMSO",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_f94b6180",92,"GSE230741","R1-AD1 FLAGHA-H3F3A, HIRA KO clone 3, R1881 (1 nM, 12h)","R1-AD1 FLAGHA-H3F3A, HIRA KO clone 14, Vehicle (EtOH)","3 clone diverso","GSE230741 ‖ R1-AD1 FLAGHA-H3F3A, HIRA KO clone 3, R1881 (1 nM, 12h) ‖ R1-AD1 FLAGHA-H3F3A, HIRA KO clone 14, Vehicle (EtOH)",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_f94b6180",92,"GSE230741","R1-AD1 FLAGHA-H3F3A, HIRA KO clone 3, R1881 (1 nM, 4h)","R1-AD1 FLAGHA-H3F3A, HIRA KO clone 14, Vehicle (EtOH)","3 clone diverso","GSE230741 ‖ R1-AD1 FLAGHA-H3F3A, HIRA KO clone 3, R1881 (1 nM, 4h) ‖ R1-AD1 FLAGHA-H3F3A, HIRA KO clone 14, Vehicle (EtOH)",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_87c40ebb",35,"GSE141585","SB-3CT + IFN-γ (1 replicate)","Control","1 secondo agente non isolato (SB-3CT presente nel trattato, assente nel controllo)","GSE141585 ‖ SB-3CT + IFN-γ (1 replicate) ‖ Control",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_87c40ebb",35,"GSE141585","SB-3CT + IFN-γ (2 replicates)","Control","1 secondo agente non isolato (SB-3CT presente nel trattato, assente nel controllo)","GSE141585 ‖ SB-3CT + IFN-γ (2 replicates) ‖ Control",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_87c40ebb",35,"GSE158814","C. trachomatis infection + IFN-γ (44hrs)","untreated","1 secondo agente non isolato (infezione C. trachomatis presente nel trattato, assente nel controllo)","GSE158814 ‖ C. trachomatis infection + IFN-γ (44hrs) ‖ untreated",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_c0d1d837",45,"GSE225481","LAPC4_ENZA","VCaP_DMSO","9 linea diversa","GSE225481 ‖ LAPC4_ENZA ‖ VCaP_DMSO",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_c0d1d837",45,"GSE225481","LAPC4_ENZA_rep","VCaP_DMSO","9 linea diversa","GSE225481 ‖ LAPC4_ENZA_rep ‖ VCaP_DMSO",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_c0d1d837",45,"GSE225481","LNCaP_ENZA","VCaP_DMSO","9 linea diversa","GSE225481 ‖ LNCaP_ENZA ‖ VCaP_DMSO",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_c0d1d837",45,"GSE225481","LNCaP_ENZA_rep","VCaP_DMSO","9 linea diversa","GSE225481 ‖ LNCaP_ENZA_rep ‖ VCaP_DMSO",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_905be893",37,"GSE134896","IL-1beta + P4","vehicle","7 secondo agente","GSE134896 ‖ IL-1beta + P4 ‖ vehicle",2,1,0,1,0,"dentro il pooling"
"cgroup_L5_905be893",37,"GSE134896","IL-1beta + P4","vehicle","7 secondo agente","GSE134896 ‖ IL-1beta + P4 ‖ vehicle",2,1,0,1,0,"dentro il pooling"
"cgroup_L5_905be893",37,"GSE162691","Microtissue AD IL-1Beta Treated","Unclear Context AD Control","6 materiale diverso","GSE162691 ‖ Microtissue AD IL-1Beta Treated ‖ Unclear Context AD Control",2,1,0,1,0,"dentro il pooling"
"cgroup_L5_905be893",37,"GSE162691","Microtissue AD IL-1Beta Treated","Unclear Context AD Control","6 materiale diverso","GSE162691 ‖ Microtissue AD IL-1Beta Treated ‖ Unclear Context AD Control",2,1,0,1,0,"dentro il pooling"
"cgroup_L5_021e875e",49,"GSE161800","Cisplatin-treated proliferative cells","Untreated arrested cells","2 materiale diverso","GSE161800 ‖ Cisplatin-treated proliferative cells ‖ Untreated arrested cells",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_021e875e",49,"GSE161800","Cisplatin-treated pre-sorted cells","Untreated arrested cells","2 materiale diverso","GSE161800 ‖ Cisplatin-treated pre-sorted cells ‖ Untreated arrested cells",2,1,0,1,0,"dentro il pooling"
"cgroup_L5_021e875e",49,"GSE161800","Cisplatin-treated pre-sorted cells","Untreated arrested cells","2 materiale diverso","GSE161800 ‖ Cisplatin-treated pre-sorted cells ‖ Untreated arrested cells",2,1,0,1,0,"dentro il pooling"
"cgroup_L5_021e875e",49,"GSE161800","Cisplatin-treated proliferating cells","Untreated arrested cells","2 materiale diverso","GSE161800 ‖ Cisplatin-treated proliferating cells ‖ Untreated arrested cells",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_021e875e",49,"GSE206649","A2780/CDDP treated with cisplatin","A2780 untreated","3 linea diversa","GSE206649 ‖ A2780/CDDP treated with cisplatin ‖ A2780 untreated",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_b6b8bc00",39,"GSE113922","PDX pancreatic cancer, donor 1222, palbociclib","PDX pancreatic cancer, vehicle control","2 controllo non-appaiato (donatore assente)","GSE113922 ‖ PDX pancreatic cancer, donor 1222, palbociclib ‖ PDX pancreatic cancer, vehicle control",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_b6b8bc00",39,"GSE113922","PDX pancreatic cancer, donor 1013, palbociclib","PDX pancreatic cancer, vehicle control","2 controllo non-appaiato (donatore assente)","GSE113922 ‖ PDX pancreatic cancer, donor 1013, palbociclib ‖ PDX pancreatic cancer, vehicle control",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_b6b8bc00",39,"GSE113922","PDX pancreatic cancer, donor 226, palbociclib","PDX pancreatic cancer, vehicle control","2 controllo non-appaiato (donatore assente)","GSE113922 ‖ PDX pancreatic cancer, donor 226, palbociclib ‖ PDX pancreatic cancer, vehicle control",2,0,0,2,0,"fuori: n_min"
"cgroup_L5_b6b8bc00",39,"GSE113922","PDX pancreatic cancer, donor 226, palbociclib","PDX pancreatic cancer, vehicle control","2 controllo non-appaiato (donatore assente)","GSE113922 ‖ PDX pancreatic cancer, donor 226, palbociclib ‖ PDX pancreatic cancer, vehicle control",2,0,0,2,0,"fuori: n_min"
"cgroup_L5_b6b8bc00",39,"GSE133567","A375AR991 palbociclib 1","A375 no treatment","2 linea cellulare diversa","GSE133567 ‖ A375AR991 palbociclib 1 ‖ A375 no treatment",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_b6b8bc00",39,"GSE133567","A375AR991 palbociclib 2","A375 no treatment","2 linea cellulare diversa","GSE133567 ‖ A375AR991 palbociclib 2 ‖ A375 no treatment",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_b6b8bc00",39,"GSE133567","A375AR991 palbociclib 3","A375 no treatment","2 linea cellulare diversa","GSE133567 ‖ A375AR991 palbociclib 3 ‖ A375 no treatment",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_b6b8bc00",39,"GSE133567","CHL1AR991 palbociclib 1","CHL1 no treatment","2 linea cellulare diversa","GSE133567 ‖ CHL1AR991 palbociclib 1 ‖ CHL1 no treatment",1,0,0,1,0,"fuori: n_min"
"cgroup_L5_b6b8bc00",39,"GSE133567","CHL1AR991 palbociclib 2","CHL1 no treatment","2 linea cellulare diversa","GSE133567 ‖ CHL1AR991 palbociclib 2 ‖ CHL1 no treatment",1,1,0,0,0,"dentro il pooling"
"cgroup_L5_b6b8bc00",39,"GSE234514","MCF-7 PR Palbociclib","MCF-7 WT Vehicle","2 linea cellulare diversa (resistente vs WT)","GSE234514 ‖ MCF-7 PR Palbociclib ‖ MCF-7 WT Vehicle",2,2,0,0,0,"dentro il pooling"
"cgroup_L5_b6b8bc00",39,"GSE234514","MCF-7 PR Palbociclib","MCF-7 WT Vehicle","2 linea cellulare diversa (resistente vs WT)","GSE234514 ‖ MCF-7 PR Palbociclib ‖ MCF-7 WT Vehicle",2,2,0,0,0,"dentro il pooling"
