"cluster_id","n_sig","I2_med","tau2_med","k_eff","anchor_key","kind_effective_resolved","agent_id_resolved","canonical_name","recovery_source"
"group_L4_0a2f157f",2941,74.1,0.1236,3,"cytokine_stim|CHEBI:85994|liver","cytokine_stim","CHEBI:85994","lenvatinib","CHEBI_ALIAS"
"group_L4_2c92ab19",2896,6,0.0012,3,"disease_vs_normal|STR:primary_sjogren_s_syndrome|peripheral blood","disease_vs_normal","STR:primary_sjogren_s_syndrome","primary sjogren's syndrome","STR_FALLBACK"
"group_L4_8daac048",2815,57.3,0.0105,3,"genetic_overexpression|HGNC:29277|kidney","genetic_overexpression","HGNC:29277","ZNF687","LLM_NAME_CLEANUP"
"group_L4_c507ffd4",2797,90.7,0.3027,3,"genetic_knockdown|HGNC:26052|colorectal carcinoma","genetic_knockdown","HGNC:26052","INTS11","K2_GENETIC"
"group_L4_7059e6f2",2725,95.7,0.3889,4,"pathogen_or_aggregate_exposure|NCBITaxon:12814|lung","pathogen_or_aggregate_exposure","NCBITaxon:12814","rsv","PATHOGEN_VERNACULAR"
"group_L4_cc680284",2672,75.8,0.0732,3,"genetic_knockout|UNK|kidney","genetic_knockout","UNK",NA,"NO_RECOVERY"
"group_L4_56ec6b80",2661,91.2,0.1671,4,"genetic_knockdown|MeSH:D012512|Ewing sarcoma","genetic_knockdown","MeSH:D012512","Ewing sarcoma","LLM_NAME_CLEANUP"
"group_L4_f477e6a4",2558,74,0.1155,5,"cytokine_stim|HGNC:11766|lung","cytokine_stim","HGNC:11766","TGFB1","CYTOKINE_IMMPORT"
"group_L4_5e2c0371",2535,62.9,0.0733,6,"disease_vs_normal|MeSH:D000077273|thyroid","disease_vs_normal","MeSH:D000077273","papillary thyroid carcinoma","LLM_NAME_CLEANUP"
"group_L4_deda8dff",2510,94.5,0.2729,8,"small_molecule|CHEBI:123456|lung","small_molecule","CHEBI:123456","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide","LLM_NAME_CLEANUP"
"group_L4_1bc4e885",2432,62.7,0.0901,5,"disease_vs_normal|STR:ipf|lung","disease_vs_normal","STR:ipf","ipf","STR_FALLBACK"
"group_L4_37890ccf",2429,45.4,0.0427,4,"disease_vs_normal|MeSH:D008103|liver","disease_vs_normal","MeSH:D008103","Liver Cirrhosis","MESH_NAME"
"group_L4_1eff5361",2421,92,0.2193,3,"small_molecule|CHEBI:4672|prostate","small_molecule","CHEBI:4672","docetaxel anhydrous","CHEBI_ALIAS"
"group_L4_f1b58d77",2260,31.4,0.0084,5,"disease_vs_normal|MeSH:D002311|peripheral blood","disease_vs_normal","MeSH:D002311","dilated cardiomyopathy","LLM_NAME_CLEANUP"
"group_L4_b2e00a5d",2221,29.5,0.0116,5,"disease_vs_normal|MeSH:D003922|whole blood","disease_vs_normal","MeSH:D003922","Type 1 Diabetes Mellitus","LLM_NAME_CLEANUP"
"group_L4_7ffbf7aa",2183,67.2,0.0365,3,"pathogen_or_aggregate_exposure|CHEBI:17126|blood","pathogen_or_aggregate_exposure","CHEBI:17126","carnitine","LLM_NAME_CLEANUP"
"group_L4_caebb8f8",2093,88.1,0.1107,4,"environmental|MeSH:D003093|rectum","environmental","MeSH:D003093","Ulcerative Colitis","LLM_NAME_CLEANUP"
"group_L4_ccf84a95",2066,58.7,0.091,3,"genetic_knockdown|HGNC:1101|Breast","genetic_knockdown","HGNC:1101","BRCA2","LLM_NAME_CLEANUP"
"group_L4_8b00e191",1998,25.6,0.0141,3,"disease_vs_normal|MeSH:D003928|Kidney","disease_vs_normal","MeSH:D003928","diabetic nephropathy","LLM_NAME_CLEANUP"
"group_L4_84183d47",1989,39.5,0.0515,6,"environmental|MeSH:D007674|kidney","environmental","MeSH:D007674","kidney disease","LLM_NAME_CLEANUP"
"group_L4_a2d75bf3",1975,55.6,0.0549,4,"disease_vs_normal|MeSH:D009220|muscle tissue","disease_vs_normal","MeSH:D009220","idiopathic inflammatory myopathies","LLM_NAME_CLEANUP"
"group_L4_f6d5d62c",1958,98.1,0.2195,4,"genetic_knockdown|MeSH:D010051|ovary","genetic_knockdown","MeSH:D010051","ovarian cancer","LLM_NAME_CLEANUP"
"group_L4_74f0d134",1910,71.3,0.1056,2,"pathogen_or_aggregate_exposure|NCBITaxon:11676|blood","pathogen_or_aggregate_exposure","NCBITaxon:11676","hiv-1","PATHOGEN_VERNACULAR"
"group_L4_c7ae94f7",1821,87.4,0.0612,6,"small_molecule|CHEBI:175901|pancreas","small_molecule","CHEBI:175901","gemcitabine","LLM_NAME_CLEANUP"
"group_L4_ee9efe5d",1809,63.4,0.027,4,"small_molecule|CHEBI:17139|breast","small_molecule","CHEBI:17139","6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol","LLM_NAME_CLEANUP"
"group_L4_3b27bc1c",1786,87.4,0.2882,3,"differentiation|UNK|brain","differentiation","UNK",NA,"NO_RECOVERY"
"group_L4_575a05a0",1780,91.8,0.1779,7,"cytokine_stim|CHEBI:16635|lung","cytokine_stim","CHEBI:16635","Met-tRNA<small><sup>Met</small></sup>","LLM_NAME_CLEANUP"
"group_L4_a54e9090",1712,89.4,0.2021,58,"environmental|MeSH:D015470|blood","environmental","MeSH:D015470","acute myeloid leukemia","LLM_NAME_CLEANUP"
"group_L4_059b2e2f",1710,71.2,0.0343,4,"genetic_knockdown|HGNC:2750|neuroblastoma","genetic_knockdown","HGNC:2750","DHX9","LLM_NAME_CLEANUP"
"group_L4_d4b45b63",1682,72.5,0.0265,4,"small_molecule|CHEBI:17105|prostate","small_molecule","CHEBI:17105","4-maleylacetoacetate","LLM_NAME_CLEANUP"
"group_L4_b6a3eabd",1646,92.1,0.1606,20,"pathogen_or_aggregate_exposure|NCBITaxon:2697049|lung","pathogen_or_aggregate_exposure","NCBITaxon:2697049","sars-cov-2","PATHOGEN_VERNACULAR"
"group_L4_4aa7b249",1616,91.9,0.1168,3,"genetic_knockdown|HGNC:5112|prostate","genetic_knockdown","HGNC:5112","HOXB13","LLM_NAME_CLEANUP"
"group_L4_54cb9f8b",1570,91.9,0.2208,6,"small_molecule|CHEBI:16469|breast","small_molecule","CHEBI:16469","17β-estradiol","STR_FALLBACK"
"group_L4_4888bee2",1558,83.1,0.0625,3,"pathogen_or_aggregate_exposure|NCBITaxon:1282|skin","pathogen_or_aggregate_exposure","NCBITaxon:1282","Staphylococcus epidermidis","LLM_NAME_CLEANUP"
"group_L4_8a19ae38",1448,84.3,0.1287,3,"cytokine_stim|HGNC:1681|skin","cytokine_stim","HGNC:1681","CD44","K3_MISTYPE_cytokine"
"group_L4_d428a83c",1417,70.6,0.04,3,"disease_vs_normal|MeSH:D003093|rectum","disease_vs_normal","MeSH:D003093","ulcerative colitis","LLM_NAME_CLEANUP"
"group_L4_9032ee71",1403,69.1,0.0233,4,"cytokine_stim|HGNC:11892|bone","cytokine_stim","HGNC:11892","TNF","LLM_NAME_CLEANUP"
"group_L4_274f387d",1322,90.3,0.2292,26,"pathogen_or_aggregate_exposure|NCBITaxon:1773|blood","pathogen_or_aggregate_exposure","NCBITaxon:1773","Mycobacterium tuberculosis","LLM_NAME_CLEANUP"
"group_L4_1c30f36e",1259,78,0.2131,6,"environmental|MeSH:D018869|lung","environmental","MeSH:D018869","heat shock","LLM_NAME_CLEANUP"
"group_L4_1f404c0b",1253,95.4,0.3897,12,"pathogen_or_aggregate_exposure|NCBITaxon:11309|lung","pathogen_or_aggregate_exposure","NCBITaxon:11309","influenza virus","LLM_NAME_CLEANUP"
"group_L4_e26efbea",1247,76.9,0.1508,18,"disease_vs_normal|MeSH:D000077192|lung","disease_vs_normal","MeSH:D000077192","lung adenocarcinoma","LLM_NAME_CLEANUP"
"group_L4_c347e80c",1171,55.2,0.1316,4,"disease_vs_normal|MeSH:D002583|cervix","disease_vs_normal","MeSH:D002583","cervical cancer","LLM_NAME_CLEANUP"
"group_L4_73e30195",1167,0,0,3,"disease_vs_normal|MeSH:D013964|thyroid","disease_vs_normal","MeSH:D013964","Thyroid Neoplasms","MESH_NAME"
"group_L4_f0c1b4e6",1164,74.6,0.1559,3,"small_molecule|CHEBI:15738|colon","small_molecule","CHEBI:15738","staurosporine","LLM_NAME_CLEANUP"
"group_L4_d02ca7b3",1144,88.4,0.1718,3,"environmental|CHEBI:29108|skin","environmental","CHEBI:29108","calcium(2+)","LLM_NAME_CLEANUP"
"group_L4_d159e078",1140,88.6,0.0769,4,"small_molecule|CHEBI:145372|bone marrow","small_molecule","CHEBI:145372","Gilteritinib","LLM_NAME_CLEANUP"
"group_L4_d2038450",1138,37,0.0114,6,"disease_vs_normal|MeSH:D000544|brain","disease_vs_normal","MeSH:D000544","Alzheimer's disease","LLM_NAME_CLEANUP"
"group_L4_8bc49282",1133,84.1,0.0724,4,"cytokine_stim|CHEBI:16236|skin","cytokine_stim","CHEBI:16236","ethanol","CYTOKINE_IMMPORT"
"group_L4_14810c92",1128,86.6,0.1205,3,"environmental|MeSH:D000086663|PBMC","environmental","MeSH:D000086663","SARS-CoV-2 vaccine","LLM_NAME_CLEANUP"
"group_L4_daf35588",1122,93.9,0.2321,9,"pathogen_or_aggregate_exposure|NCBITaxon:11234|blood","pathogen_or_aggregate_exposure","NCBITaxon:11234","measles virus","LLM_NAME_CLEANUP"
"group_L4_37b30c58",1102,71.7,0.0258,6,"pathogen_or_aggregate_exposure|NCBITaxon:5833|blood","pathogen_or_aggregate_exposure","NCBITaxon:5833","Plasmodium falciparum","LLM_NAME_CLEANUP"
"group_L4_6bec3a24",1074,58,0.0173,3,"pathogen_or_aggregate_exposure|NCBITaxon:147711|bronchus","pathogen_or_aggregate_exposure","NCBITaxon:147711","Rhinovirus A","LLM_NAME_CLEANUP"
"group_L4_763d919a",1060,75.4,0.2333,3,"small_molecule|CHEBI:72564|brain","small_molecule","CHEBI:72564","temozolomide","LLM_NAME_CLEANUP"
"group_L4_409b14a2",1050,89,0.1743,4,"genetic_knockdown|HGNC:18681|kidney","genetic_knockdown","HGNC:18681","DDX46","LLM_NAME_CLEANUP"
"group_L4_2d512638",1037,81,0.1829,27,"disease_vs_normal|MeSH:D015179|colon","disease_vs_normal","MeSH:D015179","colorectal cancer","LLM_NAME_CLEANUP"
"group_L4_7dd45f9a",942,0,0,3,"environmental|STR:obesity|adipose tissue","environmental","STR:obesity","obesity","NO_RECOVERY"
"group_L4_38ce0d4d",922,97,0.1993,3,"environmental|STR:hypoxia|brain","environmental","STR:hypoxia","Hypoxia","NO_RECOVERY"
"group_L4_da3e52da",918,89.2,0.1065,5,"genetic_knockdown|MeSH:D010190|pancreas","genetic_knockdown","MeSH:D010190","pancreatic cancer","LLM_NAME_CLEANUP"
"group_L4_8c14612b",915,85.7,0.3674,3,"disease_vs_normal|MeSH:D000077195|head and neck","disease_vs_normal","MeSH:D000077195","head and neck squamous cell carcinoma","LLM_NAME_CLEANUP"
"group_L4_df7a7a08",909,60.6,0.0486,3,"disease_vs_normal|MeSH:D005317|placenta","disease_vs_normal","MeSH:D005317","Intrauterine Growth Restriction","LLM_NAME_CLEANUP"
"group_L4_44024b09",906,66.7,0.063,7,"cytokine_stim|HGNC:13765|peripheral blood","cytokine_stim","HGNC:13765","IL25","LLM_NAME_CLEANUP"
"group_L4_5b7a3117",872,90.2,0.0884,4,"small_molecule|CHEBI:15866|breast","small_molecule","CHEBI:15866","2-deoxy-D-glucose","LLM_NAME_CLEANUP"
"group_L4_378e0efe",856,70.1,0.0436,3,"environmental|STR:immunization|Whole Blood","environmental","STR:immunization","Immunization","LLM_NAME_CLEANUP"
"group_L4_72f662c4",855,81.1,0.0998,4,"disease_vs_normal|MeSH:D065626|liver","disease_vs_normal","MeSH:D065626","nonalcoholic steatohepatitis","LLM_NAME_CLEANUP"
"group_L4_ac230823",838,90.8,0.2021,4,"disease_vs_normal|MeSH:D007680|kidney","disease_vs_normal","MeSH:D007680","kidney cancer","LLM_NAME_CLEANUP"
"group_L4_d1652ba6",834,86.5,0.1613,5,"disease_vs_normal|MeSH:D010190|pancreas","disease_vs_normal","MeSH:D010190","pancreatic cancer","LLM_NAME_CLEANUP"
"group_L4_69735f4e",828,75.9,0.0678,6,"genetic_knockdown|HGNC:19235|bone marrow","genetic_knockdown","HGNC:19235","AATF","LLM_NAME_CLEANUP"
"group_L4_27d69ee2",823,78.6,0.0302,3,"pathogen_or_aggregate_exposure|NCBITaxon:12637|Whole Blood","pathogen_or_aggregate_exposure","NCBITaxon:12637","dengue virus","LLM_NAME_CLEANUP"
"group_L4_e1acd75b",768,83.4,0.0815,10,"small_molecule|CHEBI:68508|lung","small_molecule","CHEBI:68508","diethyl maleate","LLM_NAME_CLEANUP"
"group_L4_0cdb8ff6",764,91.1,0.169,4,"genetic_knockout|HGNC:958|blood","genetic_knockout","HGNC:958","BATF","LLM_NAME_CLEANUP"
"group_L4_3d6e0820",761,89.6,0.2707,13,"disease_vs_normal|MeSH:D003876|skin","disease_vs_normal","MeSH:D003876","atopic dermatitis","LLM_NAME_CLEANUP"
"group_L4_6760963d",751,71.6,0.0571,4,"pathogen_or_aggregate_exposure|NCBITaxon:12721|blood","pathogen_or_aggregate_exposure","NCBITaxon:12721","Human immunodeficiency virus","LLM_NAME_CLEANUP"
"group_L4_f1b8b6ad",734,95.4,0.1684,8,"genetic_knockdown|HGNC:23537|kidney","genetic_knockdown","HGNC:23537","DHTKD1","LLM_NAME_CLEANUP"
"group_L4_4faeaef3",705,96.9,0.6478,17,"disease_vs_normal|MeSH:D006816|brain","disease_vs_normal","MeSH:D006816","Huntington's Disease","LLM_NAME_CLEANUP"
"group_L4_a170bacd",705,62.6,0.1598,9,"disease_vs_normal|MeSH:D001749|bladder","disease_vs_normal","MeSH:D001749","bladder cancer","LLM_NAME_CLEANUP"
"group_L4_cddbf768",703,94.7,1.4009,4,"cytokine_stim|HGNC:6001|peripheral blood","cytokine_stim","HGNC:6001","IL2","LLM_NAME_CLEANUP"
"group_L4_1a309d8f",696,82.5,0.1555,5,"environmental|MeSH:D011839|bronchus","environmental","MeSH:D011839","ionizing radiation","LLM_NAME_CLEANUP"
"group_L4_36e14ea8",690,28.2,0.0037,3,"environmental|STR:x-ray radiation|lung","environmental","STR:x-ray radiation","X-RAY RADIATION","NO_RECOVERY"
"group_L4_4d2d5aa0",686,78.6,0.1316,7,"environmental|MeSH:D001943|breast","environmental","MeSH:D001943","breast cancer","LLM_NAME_CLEANUP"
"group_L4_2e0cc780",677,90.1,0.2612,5,"genetic_knockdown|MeSH:D034741|skin","genetic_knockdown","MeSH:D034741","RNA, Small Interfering","NO_RECOVERY"
"group_L4_4fba810b",651,48.1,0.0578,4,"disease_vs_normal|MeSH:D015212|ileum","disease_vs_normal","MeSH:D015212","inflammatory bowel disease","LLM_NAME_CLEANUP"
"group_L4_10c49214",650,90.5,0.3669,4,"small_molecule|CHEBI:42839|kidney","small_molecule","CHEBI:42839","puromycin aminonucleoside","LLM_NAME_CLEANUP"
"group_L4_b86f9391",644,79.9,0.1586,3,"pathogen_or_aggregate_exposure|NCBITaxon:1335626|kidney","pathogen_or_aggregate_exposure","NCBITaxon:1335626","Middle East respiratory syndrome coronavirus","LLM_NAME_CLEANUP"
"group_L4_fdeba763",637,63.8,0.0745,24,"disease_vs_normal|MeSH:D008180|blood","disease_vs_normal","MeSH:D008180","systemic lupus erythematosus","LLM_NAME_CLEANUP"
"group_L4_f97d823d",623,90.8,0.5161,3,"environmental|NCBITaxon:32644|Blood","environmental","NCBITaxon:32644","None","LLM_NAME_CLEANUP"
"group_L4_59db95a9",598,89.4,1.0135,5,"environmental|CHEBI:16412|Blood","environmental","CHEBI:16412","Lipopolysaccharide","LLM_NAME_CLEANUP"
"group_L4_2bd06550",595,76.1,0.0319,3,"small_molecule|MeSH:D011471|prostate","small_molecule","MeSH:D011471","prostate cancer","LLM_NAME_CLEANUP"
"group_L4_c2a27b6c",553,90.1,0.2136,8,"environmental|MeSH:D011471|prostate","environmental","MeSH:D011471","prostate cancer","LLM_NAME_CLEANUP"
"group_L4_6fbc0958",526,85.8,0.1162,5,"environmental|CHEBI:4167|heart","environmental","CHEBI:4167","glucose","LLM_NAME_CLEANUP"
"group_L4_cb8a1c2d",499,74.3,0.0692,4,"genetic_knockdown|HGNC:3471|colon","genetic_knockdown","HGNC:3471","ESRRA","LLM_NAME_CLEANUP"
"group_L4_07e626c9",494,73.1,0.2089,12,"disease_vs_normal|MeSH:D005621|skin","disease_vs_normal","MeSH:D005621","Friedreich's ataxia","LLM_NAME_CLEANUP"
"group_L4_b3621ad9",493,52,0.0661,4,"small_molecule|CHEBI:17347|tumor","small_molecule","CHEBI:17347","testosterone","LLM_NAME_CLEANUP"
"group_L4_3c38c897",454,93.4,0.2542,8,"small_molecule|CHEBI:41774|breast","small_molecule","CHEBI:41774","tamoxifen","STR_FALLBACK"
"group_L4_a8b9c62c",450,62.9,0.0176,3,"small_molecule|UNK|Lung","small_molecule","UNK",NA,"NO_RECOVERY"
"group_L4_0e22aa23",445,84.6,0.0735,7,"genetic_knockdown|MeSH:D003110|colon","genetic_knockdown","MeSH:D003110","colon cancer","LLM_NAME_CLEANUP"
"group_L4_3424eeb5",439,32.2,0.0391,3,"environmental|MeSH:D010051|ovary","environmental","MeSH:D010051","ovarian cancer","LLM_NAME_CLEANUP"
"group_L4_df007961",435,74,0.0574,3,"genetic_knockout|HGNC:12869|kidney","genetic_knockout","HGNC:12869","ZFX","NO_RECOVERY"
"group_L4_bd3c6e11",430,68.1,0.0462,3,"pathogen_or_aggregate_exposure|UNK|blood","pathogen_or_aggregate_exposure","UNK",NA,"NO_RECOVERY"
"group_L4_bce91680",423,11.4,0.0064,5,"disease_vs_normal|MeSH:D016889|endometrium","disease_vs_normal","MeSH:D016889","Endometrial Neoplasms","MESH_NAME"
"group_L4_26908081",421,94,0.354,5,"small_molecule|CHEBI:50131|colon","small_molecule","CHEBI:50131","5-aza-2'-deoxycytidine","LLM_NAME_CLEANUP"
"group_L4_751db365",419,77.1,0.4255,10,"disease_vs_normal|MeSH:D010051|ovary","disease_vs_normal","MeSH:D010051","ovarian cancer","LLM_NAME_CLEANUP"
"group_L4_b4975123",419,81.4,0.0655,8,"small_molecule|CHEBI:31638|breast","small_molecule","CHEBI:31638","fulvestrant","CHEBI_ALIAS"
"group_L4_63ef9e47",418,79.7,0.0966,8,"disease_vs_normal|MeSH:D020391|muscle","disease_vs_normal","MeSH:D020391","Facioscapulohumeral muscular dystrophy","LLM_NAME_CLEANUP"
"group_L4_0e9fd40c",414,79.3,0.1281,6,"genetic_overexpression|UNK|lung","genetic_overexpression","UNK",NA,"NO_RECOVERY"
"group_L4_12db7a61",404,36.2,0.0316,3,"cytokine_stim|CHEBI:16994|skin","cytokine_stim","CHEBI:16994","1-(β-<small>D</small>-galactosyl)-2-(2-hydroxyacyl)sphingosine","LLM_NAME_CLEANUP"
"group_L4_a2b3319f",404,93.2,0.1295,9,"small_molecule|CHEBI:16330|prostate","small_molecule","CHEBI:16330","17β-hydroxy-5α-androstan-3-one","NO_RECOVERY"
"group_L4_d9952160",390,98.1,1.2121,6,"genetic_overexpression|HGNC:8139|skin","genetic_overexpression","HGNC:8139","ONECUT2","LLM_NAME_CLEANUP"
"group_L4_13354282",381,86.3,0.1411,7,"genetic_knockdown|HGNC:6348|skin","genetic_knockdown","HGNC:6348","KLF4","NO_RECOVERY"
"group_L4_7d4f6970",376,80.3,0.0757,6,"genetic_knockdown|CHEBI:84491|cervix","genetic_knockdown","CHEBI:84491","poly(I:C)","LLM_NAME_CLEANUP"
"group_L4_0438515a",372,85.1,0.1547,9,"genetic_knockdown|MeSH:D006528|liver","genetic_knockdown","MeSH:D006528","hepatocellular carcinoma","LLM_NAME_CLEANUP"
"group_L4_64768cbe",370,54.7,0.05,3,"disease_vs_normal|MeSH:D065886|brain","disease_vs_normal","MeSH:D065886","neurodevelopmental disorder","LLM_NAME_CLEANUP"
"group_L4_3915499e",343,41.3,0.0358,3,"small_molecule|CHEBI:134411|Blood","small_molecule","CHEBI:134411","Pam3CSK4","LLM_NAME_CLEANUP"
"group_L4_c0e6f9c7",343,91.5,0.3923,5,"genetic_overexpression|MeSH:D006528|liver","genetic_overexpression","MeSH:D006528","hepatocellular carcinoma","LLM_NAME_CLEANUP"
"group_L4_4b3cd9cd",322,91.8,0.1063,19,"genetic_knockdown|MeSH:D011471|prostate","genetic_knockdown","MeSH:D011471","prostate cancer","LLM_NAME_CLEANUP"
"group_L4_376946ce",315,35.3,0.034,10,"pathogen_or_aggregate_exposure|NCBITaxon:3052230|liver","pathogen_or_aggregate_exposure","NCBITaxon:3052230","Hepatitis C virus","LLM_NAME_CLEANUP"
"group_L4_8e67cff4",309,21.9,0.0076,3,"genetic_knockout|STR:huntingtin|brain","genetic_knockout","STR:huntingtin","huntingtin","LLM_NAME_CLEANUP"
"group_L4_b5f9ab82",306,90,0.1259,13,"environmental|MeSH:D014466|skin","environmental","MeSH:D014466","ultraviolet radiation","LLM_NAME_CLEANUP"
"group_L4_b1405a79",304,43,0.041,6,"disease_vs_normal|MeSH:D003424|colon","disease_vs_normal","MeSH:D003424","Crohn Disease","MESH_NAME"
"group_L4_39e71aca",294,85.3,0.0937,6,"small_molecule|CHEBI:68642|prostate","small_molecule","CHEBI:68642","abiraterone","LLM_NAME_CLEANUP"
"group_L4_57044b52",286,74,0.0326,4,"cytokine_stim|HGNC:5438|lung","cytokine_stim","HGNC:5438","IFNG","LLM_NAME_CLEANUP"
"group_L4_a50b8748",239,50.5,0.0288,6,"environmental|MeSH:D007109|blood","environmental","MeSH:D007109","immune response","LLM_NAME_CLEANUP"
"group_L4_48a7ac19",236,84.7,0.0886,3,"small_molecule|CHEBI:27899|lung","small_molecule","CHEBI:27899","cisplatin","LLM_NAME_CLEANUP"
"group_L4_1b22e019",234,97.9,0.345,5,"small_molecule|CHEBI:50845|colon","small_molecule","CHEBI:50845","Doxycycline","LLM_NAME_CLEANUP"
"group_L4_78c74b14",212,39.6,0.0363,3,"environmental|STR:training|muscle","environmental","STR:training","training","NO_RECOVERY"
"group_L4_361f17eb",208,73.6,0.0286,4,"pathogen_or_aggregate_exposure|NCBITaxon:487|Whole blood","pathogen_or_aggregate_exposure","NCBITaxon:487","Neisseria meningitidis","LLM_NAME_CLEANUP"
"group_L4_d41daecb",177,96,0.5049,9,"environmental|MeSH:D006528|liver","environmental","MeSH:D006528","hepatocellular carcinoma","LLM_NAME_CLEANUP"
"group_L4_fdd42642",173,92.7,0.3119,15,"disease_vs_normal|MeSH:D011471|prostate","disease_vs_normal","MeSH:D011471","prostate cancer","LLM_NAME_CLEANUP"
"group_L4_32c7c22b",171,80.4,0.2109,17,"disease_vs_normal|MeSH:D002289|lung","disease_vs_normal","MeSH:D002289","Carcinoma, Non-Small-Cell Lung","MESH_NAME"
"group_L4_94e1e848",171,56.2,0.0359,4,"genetic_overexpression|HGNC:227|brain","genetic_overexpression","HGNC:227","ADARB2","LLM_NAME_CLEANUP"
"group_L4_8c1bb38a",169,43.1,0.0136,3,"environmental|STR:exercise|blood","environmental","STR:exercise","exercise","NO_RECOVERY"
"group_L4_d804af32",169,86.5,0.11,10,"small_molecule|CHEBI:50122|skin","small_molecule","CHEBI:50122","Rosiglitazone","LLM_NAME_CLEANUP"
"group_L4_588d3efc",168,71.4,0.0654,6,"genetic_knockdown|HGNC:22973|skin","genetic_knockdown","HGNC:22973","SBNO1","LLM_NAME_CLEANUP"
"group_L4_34c767eb",153,94,0.2386,6,"genetic_overexpression|MeSH:D001943|breast","genetic_overexpression","MeSH:D001943","breast cancer","LLM_NAME_CLEANUP"
"group_L4_179bb38a",148,16.6,0.0517,3,"disease_vs_normal|STR:psoriasis|skin","disease_vs_normal","STR:psoriasis","psoriasis","STR_FALLBACK"
"group_L4_f2e4b879",146,87.1,0.1102,13,"environmental|UNK|lung","environmental","UNK",NA,"NO_RECOVERY"
"group_L4_efcb5d75",131,86.7,0.2572,9,"pathogen_or_aggregate_exposure|NCBITaxon:10376|Blood","pathogen_or_aggregate_exposure","NCBITaxon:10376","Epstein-Barr virus","LLM_NAME_CLEANUP"
"group_L4_f8e64e35",131,90.1,0.1848,11,"environmental|MeSH:D003110|colon","environmental","MeSH:D003110","colon cancer","LLM_NAME_CLEANUP"
"group_L4_813ad0b6",130,74,0.1007,4,"small_molecule|CHEBI:16412|blood","small_molecule","CHEBI:16412","LPS","LLM_NAME_CLEANUP"
