"cluster_id","n_sig","I2_med","tau2_med","k_med","anchor_key","kind_effective_resolved","level","mode"
"group_L4_7ffbf7aa",2183,67.2,0.0365,3,"pathogen_or_aggregate_exposure|CHEBI:17126|blood","pathogen_or_aggregate_exposure",4,"group"
"group_L4_9d697de4",1878,93.5,0.0949,3,"small_molecule|CHEBI:50113|prostate","small_molecule",4,"group"
"group_L4_c8600f54",1842,64.8,0.1978,3,"disease_vs_normal|MeSH:D013274|stomach","disease_vs_normal",4,"group"
"group_L4_54cb9f8b",1820,90.5,0.189,5,"small_molecule|CHEBI:16469|breast","small_molecule",4,"group"
"group_L4_b6a3eabd",1813,85.4,0.0515,12,"pathogen_or_aggregate_exposure|NCBITaxon:2697049|lung","pathogen_or_aggregate_exposure",4,"group"
"group_L4_ee9efe5d",1809,63.4,0.027,4,"small_molecule|CHEBI:17139|breast","small_molecule",4,"group"
"group_L4_c3ca86f7",1695,75.9,0.0497,3,"small_molecule|CHEBI:16635|lung","small_molecule",4,"group"
"group_L4_d4b45b63",1619,39.7,0.01,3,"small_molecule|CHEBI:17105|prostate","small_molecule",4,"group"
"group_L4_fdd42642",1485,74.2,0.0625,4,"disease_vs_normal|MeSH:D011471|prostate","disease_vs_normal",4,"group"
"group_L4_d1652ba6",1451,75.2,0.0711,3,"disease_vs_normal|MeSH:D010190|pancreas","disease_vs_normal",4,"group"
"group_L4_c72babec",1448,84.3,0.1287,3,"cytokine_stim|HGNC:CD44|skin","cytokine_stim",4,"group"
"group_L4_575a05a0",1363,93,0.2074,6,"cytokine_stim|CHEBI:16635|lung","cytokine_stim",4,"group"
"group_L4_72f662c4",1346,76.5,0.0859,3,"disease_vs_normal|MeSH:D065626|liver","disease_vs_normal",4,"group"
"group_L4_b128b80d",1337,86.2,0.0696,12,"small_molecule|CHEBI:68534|prostate","small_molecule",4,"group"
"group_L4_188d0b95",1224,92.1,0.3115,77,"environmental|UNK|blood","environmental",4,"group"
"group_L4_d02ca7b3",1144,88.4,0.1718,3,"environmental|CHEBI:29108|skin","environmental",4,"group"
"group_L4_8bc49282",1133,84.1,0.0724,4,"cytokine_stim|CHEBI:16236|skin","cytokine_stim",4,"group"
"group_L4_3f11aa7b",1127,98.4,0.1628,3,"disease_vs_normal|STR:breast_cancer_cells|breast","disease_vs_normal",4,"group"
"group_L4_897283e8",1054,89.2,0.1359,3,"small_molecule|CHEBI:28748|breast","small_molecule",4,"group"
"group_L4_e12edb43",962,51,0.0517,3,"disease_vs_normal|STR:nash|liver","disease_vs_normal",4,"group"
"group_L4_7dd45f9a",942,0,0,3,"environmental|STR:obesity|adipose tissue","environmental",4,"group"
"group_L4_38ce0d4d",922,97,0.1993,3,"environmental|STR:hypoxia|brain","environmental",4,"group"
"group_L4_4b4a3188",867,74,0.1151,3,"genetic_knockout|UNK|lung","genetic_knockout",4,"group"
"group_L4_378e0efe",856,70.1,0.0436,3,"environmental|STR:immunization|Whole Blood","environmental",4,"group"
"group_L4_3b27bc1c",804,91.5,0.2922,4,"differentiation|UNK|brain","differentiation",4,"group"
"group_L4_81372eea",770,94.5,0.487,33,"disease_vs_normal|UNK|brain","disease_vs_normal",4,"group"
"group_L4_36e14ea8",690,28.2,0.0037,3,"environmental|STR:x-ray radiation|lung","environmental",4,"group"
"group_L4_2e0cc780",677,90.1,0.2612,5,"genetic_knockdown|MeSH:D034741|skin","genetic_knockdown",4,"group"
"group_L4_b4975123",518,81.6,0.0625,5,"small_molecule|CHEBI:31638|breast","small_molecule",4,"group"
"group_L4_a170bacd",439,51.3,0.1533,3,"disease_vs_normal|MeSH:D001749|bladder","disease_vs_normal",4,"group"
"group_L4_3c38c897",437,92.4,0.3116,5,"small_molecule|CHEBI:41774|breast","small_molecule",4,"group"
"group_L4_df007961",435,74,0.0574,3,"genetic_knockout|HGNC:12869|kidney","genetic_knockout",4,"group"
"group_L4_12db7a61",404,36.2,0.0316,3,"cytokine_stim|CHEBI:16994|skin","cytokine_stim",4,"group"
"group_L4_0e9fd40c",379,81,0.1489,9,"genetic_overexpression|UNK|lung","genetic_overexpression",4,"group"
"group_L4_8e67cff4",309,21.9,0.0076,3,"genetic_knockout|STR:huntingtin|brain","genetic_knockout",4,"group"
"group_L4_5d10ee81",272,86.2,0.2476,6,"disease_vs_normal|MeSH:D001943|breast","disease_vs_normal",4,"group"
"group_L4_78c74b14",212,39.6,0.0363,3,"environmental|STR:training|muscle","environmental",4,"group"
"group_L4_179bb38a",148,16.6,0.0517,3,"disease_vs_normal|STR:psoriasis|skin","disease_vs_normal",4,"group"
"group_L4_b1405a79",134,18.9,0.0135,3,"disease_vs_normal|MeSH:D003424|colon","disease_vs_normal",4,"group"
"group_L4_06f0d563",79,86.2,0.1131,17,"small_molecule|UNK|blood","small_molecule",4,"group"
"group_L4_8b4a3f62",63,94.6,0.2559,23,"genetic_knockdown|UNK|lung","genetic_knockdown",4,"group"
"group_L4_6b9c4237",47,36.8,0.0386,4,"disease_vs_normal|MeSH:D009369|Tumor","disease_vs_normal",4,"group"
"group_L4_c51b10c1",47,36,0.1154,4,"disease_vs_normal|MeSH:D006528|liver","disease_vs_normal",4,"group"
"group_L4_fbaef709",19,0,0,3,"small_molecule|CHEBI:63637|skin","small_molecule",4,"group"
"group_L4_9d140332",17,31.2,0.0354,3,"disease_vs_normal|STR:endometriosis|endometrium","disease_vs_normal",4,"group"
"group_L4_d2038450",3,7.8,0.0036,3,"disease_vs_normal|MeSH:D000544|brain","disease_vs_normal",4,"group"
"group_L4_25bd1011",0,0,0,3,"small_molecule|CHEBI:50105|heart","small_molecule",4,"group"
"group_L4_a2714f3e",0,0,0,3,"pathogen_or_aggregate_exposure|STR:hepatitis b virus|liver","pathogen_or_aggregate_exposure",4,"group"
