"post_seg2","klass","level","n","n_ov","k_pre","k_post"
"MeSH:D008180","fusione_in_esistente",3,2,1,1,2
"MeSH:D008180","fusione_in_esistente",1,2,1,1,2
"MeSH:D008180","fusione_in_esistente",1,2,1,1,2
"MeSH:D008180","fusione_in_esistente",0,2,1,1,2
"MeSH:D008180","fusione_in_esistente",0,2,1,1,2
"MeSH:D008180","fusione_in_esistente",1,2,1,1,2
"MeSH:D008180","fusione_in_esistente",0,2,1,1,2
"MeSH:D008268","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D008268","fusione_in_esistente",2,2,1,1,2
"MeSH:D008268","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D008268","nuova_coalescenza_override",2,2,2,0,2
"MeSH:D008268","fusione_in_esistente",1,2,1,1,2
"MeSH:D008268","fusione_in_esistente",0,2,1,1,2
"MeSH:D008268","nuova_coalescenza_override",1,2,2,0,2
"MeSH:D008268","nuova_coalescenza_override",0,2,2,0,2
"MeSH:D008545","fusione_in_esistente",2,2,1,1,2
"MeSH:D008545","fusione_in_esistente",1,2,1,1,2
"MeSH:D009190","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D009369","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D009369","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D009369","fusione_in_esistente",3,2,1,1,2
"MeSH:D009369","fusione_in_esistente",2,2,1,1,2
"MeSH:D009369","fusione_in_esistente",1,2,1,1,2
"MeSH:D009396","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D009396","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D010051","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D010051","fusione_in_esistente",2,2,1,1,2
"MeSH:D010051","fusione_in_esistente",1,2,1,1,2
"MeSH:D010051","fusione_in_esistente",0,2,1,1,2
"MeSH:D010190","fusione_in_esistente",4,2,1,1,2
"MeSH:D010190","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D010190","fusione_in_esistente",2,2,1,1,2
"MeSH:D010190","fusione_in_esistente",3,2,1,1,2
"MeSH:D010190","fusione_in_esistente",3,2,1,1,2
"MeSH:D010190","fusione_in_esistente",3,2,1,1,2
"MeSH:D010190","fusione_in_esistente",3,2,1,1,2
"MeSH:D010190","fusione_in_esistente",2,2,1,1,2
"MeSH:D010190","fusione_in_esistente",2,2,1,1,2
"MeSH:D010190","fusione_in_esistente",3,2,1,1,2
"MeSH:D010190","fusione_in_esistente",3,2,1,1,2
"MeSH:D010190","fusione_in_esistente",1,2,1,1,2
"MeSH:D010190","fusione_in_esistente",0,2,1,1,2
"MeSH:D010190","fusione_in_esistente",1,2,1,1,2
"MeSH:D010190","fusione_in_esistente",0,2,1,1,2
"MeSH:D010190","fusione_in_esistente",1,2,1,1,2
"MeSH:D010190","fusione_in_esistente",0,2,1,1,2
"MeSH:D010300","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D010300","fusione_in_esistente",4,2,1,1,2
"MeSH:D010300","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D010300","fusione_in_esistente",4,3,2,1,2
"MeSH:D010300","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D010300","fusione_in_esistente",3,2,1,1,2
"MeSH:D010300","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D010300","fusione_in_esistente",3,2,1,1,2
"MeSH:D011225","fusione_in_esistente",4,2,1,1,2
"MeSH:D011225","fusione_in_esistente",3,2,1,1,2
"MeSH:D011371","fusione_in_esistente",3,7,6,1,2
"MeSH:D011471","fusione_in_esistente",4,2,1,1,2
"MeSH:D011471","fusione_in_esistente",4,2,1,1,2
"MeSH:D011471","fusione_in_esistente",4,3,2,1,2
"MeSH:D011471","fusione_in_esistente",2,2,1,1,2
"MeSH:D011471","fusione_in_esistente",3,2,1,1,2
"MeSH:D011471","fusione_in_esistente",3,2,1,1,2
"MeSH:D011471","fusione_in_esistente",2,2,1,1,2
"MeSH:D011471","nuova_coalescenza_override",3,3,3,0,2
"MeSH:D011471","fusione_in_esistente",3,2,1,1,2
"MeSH:D011471","fusione_in_esistente",3,15,14,1,2
"MeSH:D011471","fusione_in_esistente",3,3,2,1,2
"MeSH:D011471","nuova_coalescenza_override",2,2,2,0,2
"MeSH:D011471","nuova_coalescenza_override",1,2,2,0,2
"MeSH:D011471","nuova_coalescenza_override",0,2,2,0,2
"MeSH:D011471","fusione_in_esistente",1,2,1,1,2
"MeSH:D011471","fusione_in_esistente",0,2,1,1,2
"MeSH:D011471","fusione_in_esistente",1,3,2,1,2
"MeSH:D011471","fusione_in_esistente",0,3,2,1,2
"MeSH:D011471","nuova_coalescenza_override",1,2,2,0,2
"MeSH:D012512","fusione_in_esistente",3,2,1,1,2
"MeSH:D012595","fusione_in_esistente",4,2,1,1,2
"MeSH:D012595","fusione_in_esistente",4,2,1,1,2
"MeSH:D012595","nuova_coalescenza_override",4,3,3,0,2
"MeSH:D012595","nuova_coalescenza_override",3,3,3,0,2
"MeSH:D012595","fusione_in_esistente",3,2,1,1,2
"MeSH:D012595","fusione_in_esistente",3,2,1,1,2
"MeSH:D012595","fusione_in_esistente",3,2,1,1,2
"MeSH:D013167","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D013167","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D013274","fusione_in_esistente",4,2,1,1,2
"MeSH:D013274","nuova_coalescenza_override",4,4,4,0,2
"MeSH:D013274","fusione_in_esistente",2,3,2,1,2
"MeSH:D013274","nuova_coalescenza_override",3,3,3,0,2
"MeSH:D013274","fusione_in_esistente",2,2,1,1,2
"MeSH:D013274","fusione_in_esistente",1,3,2,1,2
"MeSH:D013274","fusione_in_esistente",0,3,2,1,2
"MeSH:D013274","fusione_in_esistente",1,2,1,1,2
"MeSH:D013274","fusione_in_esistente",0,2,1,1,2
"MeSH:D015179","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015179","fusione_in_esistente",4,2,1,1,2
"MeSH:D015179","fusione_in_esistente",4,2,1,1,2
"MeSH:D015179","fusione_in_esistente",4,2,1,1,2
"MeSH:D015179","fusione_in_esistente",4,2,1,1,2
"MeSH:D015179","nuova_coalescenza_override",4,4,4,0,2
"MeSH:D015179","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015179","fusione_in_esistente",4,2,1,1,2
"MeSH:D015179","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015179","fusione_in_esistente",3,2,1,1,2
"MeSH:D015179","fusione_in_esistente",3,2,1,1,2
"MeSH:D015179","fusione_in_esistente",2,2,1,1,2
"MeSH:D015179","fusione_in_esistente",2,2,1,1,2
"MeSH:D015179","nuova_coalescenza_override",2,2,2,0,2
"MeSH:D015179","fusione_in_esistente",3,2,1,1,2
"MeSH:D015179","fusione_in_esistente",3,2,1,1,2
"MeSH:D015179","fusione_in_esistente",3,2,1,1,2
"MeSH:D015179","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",3,4,4,0,2
"MeSH:D015179","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015179","fusione_in_esistente",3,2,1,1,2
"MeSH:D015179","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015179","fusione_in_esistente",3,2,1,1,2
"MeSH:D015179","fusione_in_esistente",2,2,1,1,2
"MeSH:D015179","fusione_in_esistente",2,2,1,1,2
"MeSH:D015179","fusione_in_esistente",2,2,1,1,2
"MeSH:D015179","fusione_in_esistente",2,2,1,1,2
"MeSH:D015179","fusione_in_esistente",2,2,1,1,2
"MeSH:D015179","fusione_in_esistente",3,2,1,1,2
"MeSH:D015179","fusione_in_esistente",1,2,1,1,2
"MeSH:D015179","fusione_in_esistente",0,2,1,1,2
"MeSH:D015179","fusione_in_esistente",0,2,1,1,2
"MeSH:D015179","nuova_coalescenza_override",1,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",0,2,2,0,2
"MeSH:D015179","fusione_in_esistente",1,2,1,1,2
"MeSH:D015179","fusione_in_esistente",0,2,1,1,2
"MeSH:D015179","fusione_in_esistente",1,2,1,1,2
"MeSH:D015179","fusione_in_esistente",0,2,1,1,2
"MeSH:D015179","fusione_in_esistente",1,2,1,1,2
"MeSH:D015179","fusione_in_esistente",0,2,1,1,2
"MeSH:D015179","fusione_in_esistente",1,2,1,1,2
"MeSH:D015179","fusione_in_esistente",0,2,1,1,2
"MeSH:D015179","fusione_in_esistente",1,2,1,1,2
"MeSH:D015179","fusione_in_esistente",0,2,1,1,2
"MeSH:D015209","fusione_in_esistente",4,2,1,1,2
"MeSH:D015209","fusione_in_esistente",3,2,1,1,2
"MeSH:D015212","fusione_in_esistente",4,2,1,1,2
"MeSH:D015212","fusione_in_esistente",2,2,1,1,2
"MeSH:D015212","fusione_in_esistente",2,2,1,1,2
"MeSH:D015212","fusione_in_esistente",3,2,1,1,2
"MeSH:D015212","fusione_in_esistente",3,2,1,1,2
"MeSH:D015212","fusione_in_esistente",2,2,1,1,2
"MeSH:D015212","fusione_in_esistente",1,2,1,1,2
"MeSH:D015212","fusione_in_esistente",0,2,1,1,2
"MeSH:D015212","fusione_in_esistente",1,2,1,1,2
"MeSH:D015212","fusione_in_esistente",0,2,1,1,2
"MeSH:D015212","fusione_in_esistente",1,2,1,1,2
"MeSH:D015212","fusione_in_esistente",0,2,1,1,2
"MeSH:D015451","nuova_coalescenza_override",2,2,2,0,2
"MeSH:D015451","fusione_in_esistente",3,3,2,1,2
"MeSH:D015451","nuova_coalescenza_override",1,2,2,0,2
"MeSH:D015451","nuova_coalescenza_override",0,2,2,0,2
"MeSH:D015464","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015464","nuova_coalescenza_override",2,2,2,0,2
"MeSH:D015464","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015464","nuova_coalescenza_override",1,2,2,0,2
"MeSH:D015464","nuova_coalescenza_override",0,2,2,0,2
"MeSH:D015470","nuova_coalescenza_override",4,3,3,0,2
"MeSH:D015470","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015470","fusione_in_esistente",4,2,1,1,2
"MeSH:D015470","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015470","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015470","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015470","fusione_in_esistente",3,2,1,1,2
"MeSH:D015470","fusione_in_esistente",2,2,1,1,2
"MeSH:D015470","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015470","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015470","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015470","fusione_in_esistente",1,2,1,1,2
"MeSH:D015470","fusione_in_esistente",0,2,1,1,2
"MeSH:D015477","fusione_in_esistente",4,2,1,1,2
"MeSH:D015477","fusione_in_esistente",3,2,1,1,2
"MeSH:D016403","fusione_in_esistente",2,2,1,1,2
"MeSH:D016403","fusione_in_esistente",1,2,1,1,2
"MeSH:D016403","fusione_in_esistente",0,2,1,1,2
"MeSH:D016410","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D016410","fusione_in_esistente",4,2,1,1,2
"MeSH:D016506","fusione_in_esistente",4,2,1,1,2
"MeSH:D016506","fusione_in_esistente",3,2,1,1,2
"MeSH:D018222","fusione_in_esistente",4,2,1,2,2
"MeSH:D018236","fusione_in_esistente",3,2,1,1,2
"MeSH:D018269","fusione_in_esistente",4,2,1,1,2
"MeSH:D018269","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D018269","fusione_in_esistente",3,2,1,1,2
"MeSH:D018269","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D018281","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D018319","fusione_in_esistente",4,2,1,1,2
"MeSH:D018319","fusione_in_esistente",3,2,1,1,2
"MeSH:D020391","fusione_in_esistente",2,2,1,2,2
"MeSH:D020391","fusione_in_esistente",1,2,1,2,2
"MeSH:D020391","fusione_in_esistente",0,2,1,2,2
"MeSH:D029424","fusione_in_esistente",4,2,1,1,2
"MeSH:D029424","fusione_in_esistente",3,2,1,1,2
"MeSH:D046152","fusione_in_esistente",3,2,1,1,2
"MeSH:D054198","fusione_in_esistente",4,2,1,1,2
"MeSH:D054198","fusione_in_esistente",3,2,1,1,2
"MeSH:D054198","fusione_in_esistente",3,2,1,1,2
"MeSH:D054429","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D054429","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D054429","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D054429","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D054429","nuova_coalescenza_override",2,2,2,0,2
"MeSH:D054429","nuova_coalescenza_override",0,2,2,0,2
"MeSH:D054429","nuova_coalescenza_override",1,2,2,0,2
"MeSH:D054429","nuova_coalescenza_override",0,2,2,0,2
"MeSH:D064726","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D064726","fusione_in_esistente",2,2,1,1,2
"MeSH:D064726","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D064726","nuova_coalescenza_override",2,2,2,0,2
"MeSH:D064726","nuova_coalescenza_override",2,2,2,0,2
"MeSH:D064726","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D064726","fusione_in_esistente",1,2,1,1,2
"MeSH:D064726","fusione_in_esistente",0,2,1,1,2
"MeSH:D064726","nuova_coalescenza_override",1,2,2,0,2
"MeSH:D065627","fusione_in_esistente",4,2,1,1,2
"MeSH:D065627","fusione_in_esistente",3,2,1,1,2
"MeSH:D065627","fusione_in_esistente",2,2,1,1,2
"MeSH:D065627","fusione_in_esistente",1,2,1,1,2
"MeSH:D065627","fusione_in_esistente",0,2,1,1,2
"CHEBI:16412","nuova_coalescenza_override",4,2,2,0,2
"CHEBI:16412","nuova_coalescenza_override",3,2,2,0,2
"CHEBI:17688","fusione_in_esistente",3,4,3,1,2
"CHEBI:18258","nuova_coalescenza_override",4,2,2,0,2
"CHEBI:18258","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D000067329","fusione_in_esistente",3,2,1,1,2
"MeSH:D000077195","fusione_in_esistente",4,2,1,2,2
"MeSH:D000077195","fusione_in_esistente",3,2,1,2,2
"MeSH:D001943","fusione_in_esistente",2,2,1,2,2
"MeSH:D001943","fusione_in_esistente",2,2,1,1,2
"MeSH:D001943","fusione_in_esistente",1,2,1,1,2
"MeSH:D001943","fusione_in_esistente",0,2,1,1,2
"MeSH:D003093","nuova_coalescenza_override",4,3,3,0,2
"MeSH:D003424","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D003424","nuova_coalescenza_override",3,4,4,0,2
"MeSH:D003424","fusione_in_esistente",3,2,1,2,2
"MeSH:D003865","fusione_in_esistente",2,2,1,2,2
"MeSH:D003865","fusione_in_esistente",1,2,1,2,2
"MeSH:D003865","fusione_in_esistente",0,2,1,2,2
"MeSH:D003922","nuova_coalescenza_override",3,3,3,0,2
"MeSH:D005983","fusione_in_esistente",4,2,1,2,2
"MeSH:D005983","fusione_in_esistente",3,2,1,2,2
"MeSH:D006519","fusione_in_esistente",4,2,1,2,2
"MeSH:D006519","fusione_in_esistente",3,2,1,2,2
"MeSH:D006528","fusione_in_esistente",3,2,1,1,2
"MeSH:D007239","nuova_coalescenza_override",4,3,3,0,2
"MeSH:D007239","nuova_coalescenza_override",3,3,3,0,2
"MeSH:D007752","fusione_in_esistente",4,3,2,2,2
"MeSH:D010051","fusione_in_esistente",3,2,1,1,2
"MeSH:D011225","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D011471","fusione_in_esistente",2,2,1,2,2
"MeSH:D012710","fusione_in_esistente",4,2,1,1,2
"MeSH:D013313","fusione_in_esistente",4,6,5,2,2
"MeSH:D013313","fusione_in_esistente",3,6,5,2,2
"MeSH:D013314","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D014612","fusione_in_esistente",3,2,1,1,2
"MeSH:D014893","fusione_in_esistente",4,2,1,1,2
"MeSH:D015179","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D015179","nuova_coalescenza_override",2,3,3,0,2
"MeSH:D015179","nuova_coalescenza_override",3,3,3,0,2
"MeSH:D015179","nuova_coalescenza_override",1,3,3,0,2
"MeSH:D015179","nuova_coalescenza_override",0,3,3,0,2
"MeSH:D015470","fusione_in_esistente",3,2,1,2,2
"MeSH:D029424","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D039981","nuova_coalescenza_override",4,9,9,0,2
"MeSH:D057185","fusione_in_esistente",4,2,1,1,2
"MeSH:D057185","fusione_in_esistente",3,2,1,1,2
"MeSH:D057185","fusione_in_esistente",2,2,1,1,2
"MeSH:D057185","fusione_in_esistente",1,2,1,1,2
"MeSH:D057185","fusione_in_esistente",0,2,1,1,2
"MeSH:D059305","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D059630","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D059630","nuova_coalescenza_override",3,2,2,0,2
"CHEBI:28748","fusione_in_esistente",4,2,1,1,2
"HGNC:1101","fusione_in_esistente",3,2,1,1,2
"HGNC:11190","fusione_in_esistente",4,2,1,2,2
"HGNC:11190","fusione_in_esistente",3,2,1,2,2
"HGNC:11998","fusione_in_esistente",4,2,1,1,2
"HGNC:1247","fusione_in_esistente",4,2,1,1,2
"HGNC:1247","fusione_in_esistente",2,2,1,1,2
"HGNC:1247","fusione_in_esistente",3,2,1,1,2
"HGNC:1247","fusione_in_esistente",1,2,1,1,2
"HGNC:1247","fusione_in_esistente",0,2,1,1,2
"HGNC:1553","nuova_coalescenza_override",4,2,2,0,2
"HGNC:25994","fusione_in_esistente",4,2,1,1,2
"HGNC:25994","fusione_in_esistente",3,2,1,1,2
"HGNC:25996","fusione_in_esistente",4,2,1,1,2
"HGNC:25996","fusione_in_esistente",3,2,1,1,2
"HGNC:29830","fusione_in_esistente",4,2,1,2,2
"HGNC:29830","fusione_in_esistente",3,2,1,2,2
"HGNC:29830","fusione_in_esistente",2,2,1,2,2
"HGNC:3263","fusione_in_esistente",4,2,1,2,2
"HGNC:3263","fusione_in_esistente",3,2,1,2,2
"HGNC:6407","fusione_in_esistente",2,2,1,2,2
"HGNC:6990","fusione_in_esistente",4,3,2,2,2
"HGNC:6990","fusione_in_esistente",3,3,2,2,2
"HGNC:8875","fusione_in_esistente",3,3,2,2,2
"HGNC:8875","fusione_in_esistente",4,3,2,2,2
"HGNC:9143","nuova_coalescenza_override",4,2,2,0,2
"HGNC:9143","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D015470","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D064726","nuova_coalescenza_override",4,2,2,0,2
"MeSH:D064726","nuova_coalescenza_override",3,2,2,0,2
"HGNC:10768","fusione_in_esistente",4,2,1,2,2
"HGNC:10768","fusione_in_esistente",3,2,1,2,2
"HGNC:1100","fusione_in_esistente",4,2,1,1,2
"HGNC:13128","fusione_in_esistente",4,2,1,1,2
"HGNC:13128","fusione_in_esistente",3,2,1,1,2
"HGNC:22","fusione_in_esistente",3,3,2,1,2
"HGNC:30141","fusione_in_esistente",4,2,1,2,2
"HGNC:583","fusione_in_esistente",4,2,1,1,2
"HGNC:583","fusione_in_esistente",3,2,1,1,2
"HGNC:1692","fusione_in_esistente",3,2,1,1,2
"HGNC:613","fusione_in_esistente",3,2,1,1,2
"HGNC:738","nuova_coalescenza_override",4,2,2,0,2
"HGNC:7881","fusione_in_esistente",4,2,1,2,2
"HGNC:7881","fusione_in_esistente",2,2,1,2,2
"HGNC:7881","fusione_in_esistente",3,3,2,2,2
"HGNC:7881","fusione_in_esistente",1,2,1,2,2
"HGNC:7881","fusione_in_esistente",0,2,1,2,2
"MeSH:D004854","fusione_in_esistente",4,2,1,2,2
"MeSH:D004854","fusione_in_esistente",3,2,1,1,2
"MeSH:D011944","fusione_in_esistente",4,2,1,2,2
"NCBITaxon:10376","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:10376","nuova_coalescenza_override",3,2,2,0,2
"MeSH:D011839","fusione_in_esistente",4,2,1,1,2
"MeSH:D011839","fusione_in_esistente",3,2,1,1,2
"CHEBI:16412","fusione_in_esistente",4,2,1,1,2
"CHEBI:16412","fusione_in_esistente",3,2,1,1,2
"CHEBI:16412","fusione_in_esistente",2,2,1,1,2
"CHEBI:16412","fusione_in_esistente",1,2,1,1,2
"CHEBI:16412","fusione_in_esistente",0,2,1,1,2
"CHEBI:84491","fusione_in_esistente",4,2,1,1,2
"NCBITaxon:10298","fusione_in_esistente",4,2,1,1,2
"NCBITaxon:10335","nuova_coalescenza_override",4,3,3,0,2
"NCBITaxon:10335","nuova_coalescenza_override",3,3,3,0,2
"NCBITaxon:10335","nuova_coalescenza_override",2,3,3,0,2
"NCBITaxon:10358","fusione_in_esistente",3,4,3,1,2
"NCBITaxon:10359","fusione_in_esistente",4,3,2,1,2
"NCBITaxon:10359","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:10359","fusione_in_esistente",2,2,1,1,2
"NCBITaxon:10359","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:10359","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:10376","fusione_in_esistente",4,3,2,1,2
"NCBITaxon:10376","nuova_coalescenza_override",4,3,3,0,2
"NCBITaxon:10376","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:10376","fusione_in_esistente",3,2,1,2,2
"NCBITaxon:10407","fusione_in_esistente",3,2,1,2,2
"NCBITaxon:10407","fusione_in_esistente",2,3,2,2,2
"NCBITaxon:10407","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:10407","fusione_in_esistente",0,2,1,1,2
"NCBITaxon:10566","fusione_in_esistente",4,2,1,2,2
"NCBITaxon:10566","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:10566","fusione_in_esistente",2,2,1,2,2
"NCBITaxon:10566","fusione_in_esistente",3,2,1,2,2
"NCBITaxon:11137","nuova_coalescenza_override",4,5,5,0,2
"NCBITaxon:11320","nuova_coalescenza_override",4,3,3,0,2
"NCBITaxon:11320","fusione_in_esistente",4,2,1,1,2
"NCBITaxon:11320","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:11320","nuova_coalescenza_override",2,2,2,0,2
"NCBITaxon:11320","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:11676","fusione_in_esistente",4,2,1,2,2
"NCBITaxon:11676","fusione_in_esistente",4,2,1,1,2
"NCBITaxon:11676","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:1280","fusione_in_esistente",4,2,1,2,2
"NCBITaxon:1280","nuova_coalescenza_override",4,3,3,0,2
"NCBITaxon:1280","fusione_in_esistente",3,2,1,2,2
"NCBITaxon:1280","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:12814","fusione_in_esistente",4,7,6,1,2
"NCBITaxon:12814","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:12814","fusione_in_esistente",4,2,1,1,2
"NCBITaxon:12814","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:12814","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:12814","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:12814","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:12814","fusione_in_esistente",3,6,5,1,2
"NCBITaxon:1282","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:1282","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:1313","nuova_coalescenza_override",4,4,4,0,2
"NCBITaxon:1313","fusione_in_esistente",2,2,1,2,2
"NCBITaxon:1313","nuova_coalescenza_override",3,4,4,0,2
"NCBITaxon:147711","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:147711","nuova_coalescenza_override",3,3,3,0,2
"NCBITaxon:147711","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:162145","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:169066","fusione_in_esistente",4,2,1,2,2
"NCBITaxon:169066","fusione_in_esistente",3,2,1,2,2
"NCBITaxon:1765","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:1765","nuova_coalescenza_override",4,3,3,0,2
"NCBITaxon:1765","fusione_in_esistente",4,2,1,2,2
"NCBITaxon:1765","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:1765","fusione_in_esistente",3,2,1,2,2
"NCBITaxon:1773","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:1773","fusione_in_esistente",4,6,5,2,2
"NCBITaxon:1773","nuova_coalescenza_override",2,2,2,0,2
"NCBITaxon:1773","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:1773","fusione_in_esistente",3,4,3,1,2
"NCBITaxon:1773","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:1773","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:1773","fusione_in_esistente",3,6,5,2,2
"NCBITaxon:1773","fusione_in_esistente",2,2,1,2,2
"NCBITaxon:1773","fusione_in_esistente",1,2,1,2,2
"NCBITaxon:1773","fusione_in_esistente",0,2,1,2,2
"NCBITaxon:1773","nuova_coalescenza_override",1,2,2,0,2
"NCBITaxon:1773","fusione_in_esistente",1,2,1,2,2
"NCBITaxon:1773","fusione_in_esistente",0,2,1,2,2
"NCBITaxon:1891762","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:1891762","nuova_coalescenza_override",3,2,2,0,2
"NCBITaxon:210","nuova_coalescenza_override",3,3,3,0,2
"NCBITaxon:210","fusione_in_esistente",3,3,2,1,2
"NCBITaxon:234","fusione_in_esistente",4,4,3,2,2
"NCBITaxon:234","fusione_in_esistente",3,4,3,2,2
"NCBITaxon:2697049","fusione_in_esistente",4,2,1,1,2
"NCBITaxon:2697049","nuova_coalescenza_override",4,3,3,0,2
"NCBITaxon:2697049","fusione_in_esistente",4,3,2,1,2
"NCBITaxon:2697049","fusione_in_esistente",2,3,2,1,2
"NCBITaxon:2697049","fusione_in_esistente",2,2,1,1,2
"NCBITaxon:2697049","nuova_coalescenza_override",2,2,2,0,2
"NCBITaxon:2697049","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:2697049","fusione_in_esistente",3,2,1,2,2
"NCBITaxon:2697049","nuova_coalescenza_override",3,3,3,0,2
"NCBITaxon:2697049","nuova_coalescenza_override",2,2,2,0,2
"NCBITaxon:2697049","fusione_in_esistente",2,3,2,2,2
"NCBITaxon:2697049","fusione_in_esistente",1,2,1,1,2
"NCBITaxon:2697049","fusione_in_esistente",0,2,1,1,2
"NCBITaxon:2697049","fusione_in_esistente",1,2,1,1,2
"NCBITaxon:2697049","fusione_in_esistente",0,2,1,1,2
"NCBITaxon:2697049","nuova_coalescenza_override",1,3,3,0,2
"NCBITaxon:2697049","nuova_coalescenza_override",0,3,3,0,2
"NCBITaxon:287","fusione_in_esistente",4,3,2,1,2
"NCBITaxon:291484","nuova_coalescenza_override",4,2,2,0,2
"NCBITaxon:3052230","nuova_coalescenza_override",4,3,3,0,2
"NCBITaxon:3052230","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:3052230","fusione_in_esistente",3,2,1,1,2
"NCBITaxon:3052480","nuova_coalescenza_override",2,2,2,0,2
"NCBITaxon:3052480","nuova_coalescenza_override",1,2,2,0,2
"NCBITaxon:3052480","nuova_coalescenza_override",0,2,2,0,2
"NCBITaxon:3052731","fusione_in_esistente",4,2,1,1,2
"NCBITaxon:3052731","fusione_in_esistente",3,2,1,1,2
