"regola","n_cond","prec_A","cop_A","n_A"
"k_effective<=6 & n_studi_model<=0 & entita_STR",3,0.416666666666667,0.217391304347826,12
"k_effective<=8 & I2_med<=50 & entita_STR",3,0.416666666666667,0.217391304347826,12
"k_effective<=10 & I2_med<=50 & entita_STR",3,0.416666666666667,0.217391304347826,12
"k_kish<=2 & frazione_efficace>=0.5 & stessi_membri",3,0.416666666666667,0.217391304347826,12
"k_kish<=2 & !materiale_misto & stessi_membri",3,0.416666666666667,0.217391304347826,12
"k_kish<=2 & stessi_membri & !ramo_anchor",3,0.416666666666667,0.217391304347826,12
"k_kish<=3 & n_studi_model<=0 & I2_med<=60",3,0.416666666666667,0.217391304347826,12
"frazione_efficace>=0.5 & I2_med<=70 & entita_STR",3,0.416666666666667,0.217391304347826,12
"n_studi_model<=2 & frazione_efficace>=0.6 & !dominato",3,0.413793103448276,0.521739130434783,29
"k_effective<=5 & n_studi_model<=0 & I2_med<=70",3,0.411764705882353,0.304347826086957,17
"k_effective<=6 & frazione_efficace>=0.7",2,0.409090909090909,0.391304347826087,22
"k_effective<=6 & k_effective<=8 & frazione_efficace>=0.7",3,0.409090909090909,0.391304347826087,22
"k_effective<=6 & k_effective<=10 & frazione_efficace>=0.7",3,0.409090909090909,0.391304347826087,22
"k_effective<=6 & n_studi_model<=2 & frazione_efficace>=0.7",3,0.409090909090909,0.391304347826087,22
"k_effective<=6 & frazione_efficace>=0.5 & frazione_efficace>=0.7",3,0.409090909090909,0.391304347826087,22
"k_effective<=6 & frazione_efficace>=0.6 & frazione_efficace>=0.7",3,0.409090909090909,0.391304347826087,22
"k_effective<=6 & frazione_efficace>=0.7 & !entita_NCBITaxon",3,0.409090909090909,0.391304347826087,22
"k_effective<=6 & frazione_efficace>=0.7 & controllo_veicolo",3,0.409090909090909,0.391304347826087,22
"k_effective<=6 & frazione_efficace>=0.7 & verso_gain",3,0.409090909090909,0.391304347826087,22
"k_effective<=8 & frazione_efficace>=0.7 & !materiale_misto",3,0.409090909090909,0.391304347826087,22
"k_effective<=10 & frazione_efficace>=0.7 & !materiale_misto",3,0.409090909090909,0.391304347826087,22
"n_studi_model<=1 & frazione_efficace>=0.7 & !materiale_misto",3,0.409090909090909,0.391304347826087,22
"n_studi_model<=1 & !dominato & !materiale_misto",3,0.409090909090909,0.391304347826087,22
"n_studi_model<=2 & frazione_efficace>=0.7 & !dominato",3,0.409090909090909,0.391304347826087,22
"k_effective<=8 & n_studi_model<=2 & !dominato",3,0.407407407407407,0.478260869565217,27
"k_effective<=8 & !dominato & !stessi_membri",3,0.4,0.434782608695652,25
"k_effective<=8 & frazione_efficace>=0.7 & !entita_STR",3,0.4,0.347826086956522,20
"k_effective<=8 & frazione_efficace>=0.7 & !entita_MeSH",3,0.4,0.347826086956522,20
"k_kish<=5 & n_studi_model<=1 & !dominato",3,0.4,0.347826086956522,20
"n_studi_model<=1 & frazione_efficace>=0.7 & !stessi_membri",3,0.4,0.347826086956522,20
"n_studi_model<=1 & I2_med<=50 & !materiale_misto",3,0.4,0.347826086956522,20
"n_studi_model<=1 & !dominato & !entita_STR",3,0.4,0.347826086956522,20
"frazione_efficace>=0.7 & !dominato & !materiale_misto",3,0.4,0.347826086956522,20
"frazione_efficace>=0.7 & !materiale_misto & !stessi_membri",3,0.4,0.347826086956522,20
"I2_med<=60 & entita_STR",2,0.4,0.260869565217391,15
"k_effective<=6 & frazione_efficace>=0.5 & entita_STR",3,0.4,0.260869565217391,15
"k_kish<=4 & n_studi_model<=0 & I2_med<=60",3,0.4,0.260869565217391,15
"k_kish<=5 & n_studi_model<=0 & I2_med<=60",3,0.4,0.260869565217391,15
"k_kish<=5 & frazione_efficace>=0.7 & !entita_MeSH",3,0.4,0.260869565217391,15
"k_kish<=5 & entita_STR & !ramo_anchor",3,0.4,0.260869565217391,15
"n_studi_model<=0 & I2_med<=60 & controllo_veicolo",3,0.4,0.260869565217391,15
"n_studi_model<=0 & I2_med<=70 & !entita_MeSH",3,0.4,0.260869565217391,15
"n_studi_model<=0 & I2_med<=70 & !ramo_anchor",3,0.4,0.260869565217391,15
"n_studi_model<=1 & I2_med<=60 & entita_STR",3,0.4,0.260869565217391,15
"n_studi_model<=2 & I2_med<=60 & entita_STR",3,0.4,0.260869565217391,15
"I2_med<=60 & I2_med<=70 & entita_STR",3,0.4,0.260869565217391,15
"I2_med<=60 & !dominato_da_modello & entita_STR",3,0.4,0.260869565217391,15
"I2_med<=60 & entita_STR & !entita_MeSH",3,0.4,0.260869565217391,15
"I2_med<=60 & entita_STR & !entita_NCBITaxon",3,0.4,0.260869565217391,15
"I2_med<=60 & entita_STR & verso_gain",3,0.4,0.260869565217391,15
"k_effective<=3 & entita_STR",2,0.4,0.173913043478261,10
"k_effective<=3 & k_effective<=4 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & k_effective<=5 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & k_effective<=6 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & k_effective<=8 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & k_effective<=10 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & k_kish<=3 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & k_kish<=4 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & k_kish<=5 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & n_studi_model<=1 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & n_studi_model<=2 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & frazione_efficace>=0.5 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & frazione_efficace>=0.7 & !ramo_anchor",3,0.4,0.173913043478261,10
"k_effective<=3 & dominato & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & !dominato_da_modello & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & entita_STR & !entita_MeSH",3,0.4,0.173913043478261,10
"k_effective<=3 & entita_STR & !entita_NCBITaxon",3,0.4,0.173913043478261,10
"k_effective<=3 & entita_STR & verso_gain",3,0.4,0.173913043478261,10
"k_effective<=4 & k_kish<=2 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=4 & n_studi_model<=0 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=4 & I2_med<=60 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=5 & I2_med<=50 & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=8 & n_studi_model<=0 & !dominato",3,0.4,0.173913043478261,10
"k_kish<=2 & n_studi_model<=0 & I2_med<=70",3,0.4,0.173913043478261,10
"k_kish<=2 & frazione_efficace>=0.5 & entita_STR",3,0.4,0.173913043478261,10
"k_kish<=2 & entita_STR & !ramo_anchor",3,0.4,0.173913043478261,10
"k_kish<=3 & n_studi_model<=0 & I2_med<=50",3,0.4,0.173913043478261,10
"k_kish<=3 & frazione_efficace>=0.7 & !stessi_membri",3,0.4,0.173913043478261,10
"n_studi_model<=0 & frazione_efficace>=0.5 & I2_med<=50",3,0.4,0.173913043478261,10
"n_studi_model<=0 & I2_med<=60 & !stessi_membri",3,0.4,0.173913043478261,10
"n_studi_model<=0 & !dominato & !stessi_membri",3,0.4,0.173913043478261,10
"!materiale_misto & stessi_membri & entita_STR",3,0.4,0.173913043478261,10
"k_effective<=3 & frazione_efficace>=0.5 & !materiale_misto",3,0.392857142857143,0.478260869565217,28
"k_effective<=8 & !dominato & !entita_NCBITaxon",3,0.392857142857143,0.478260869565217,28
"k_effective<=8 & frazione_efficace>=0.7 & !dominato_da_modello",3,0.391304347826087,0.391304347826087,23
"k_effective<=8 & !dominato & !entita_STR",3,0.391304347826087,0.391304347826087,23
"n_studi_model<=2 & frazione_efficace>=0.7 & !materiale_misto",3,0.391304347826087,0.391304347826087,23
"n_studi_model<=2 & frazione_efficace>=0.7 & !stessi_membri",3,0.391304347826087,0.391304347826087,23
"k_effective<=6 & entita_STR",2,0.388888888888889,0.304347826086957,18
"n_studi_model<=0 & I2_med<=70",2,0.388888888888889,0.304347826086957,18
"entita_STR & !ramo_anchor",2,0.388888888888889,0.304347826086957,18
"k_effective<=6 & k_effective<=8 & entita_STR",3,0.388888888888889,0.304347826086957,18
"k_effective<=6 & k_effective<=10 & entita_STR",3,0.388888888888889,0.304347826086957,18
"k_effective<=6 & n_studi_model<=0 & I2_med<=70",3,0.388888888888889,0.304347826086957,18
"k_effective<=6 & n_studi_model<=1 & entita_STR",3,0.388888888888889,0.304347826086957,18
"k_effective<=6 & n_studi_model<=2 & entita_STR",3,0.388888888888889,0.304347826086957,18
"k_effective<=6 & !dominato_da_modello & entita_STR",3,0.388888888888889,0.304347826086957,18
"k_effective<=6 & entita_STR & !entita_MeSH",3,0.388888888888889,0.304347826086957,18
"k_effective<=6 & entita_STR & !entita_NCBITaxon",3,0.388888888888889,0.304347826086957,18
"k_effective<=6 & entita_STR & verso_gain",3,0.388888888888889,0.304347826086957,18
"k_effective<=8 & n_studi_model<=0 & I2_med<=70",3,0.388888888888889,0.304347826086957,18
"k_effective<=8 & entita_STR & !ramo_anchor",3,0.388888888888889,0.304347826086957,18
"k_effective<=10 & n_studi_model<=0 & I2_med<=70",3,0.388888888888889,0.304347826086957,18
"k_effective<=10 & entita_STR & !ramo_anchor",3,0.388888888888889,0.304347826086957,18
"k_kish<=5 & frazione_efficace>=0.7 & !materiale_misto",3,0.388888888888889,0.304347826086957,18
"k_kish<=5 & frazione_efficace>=0.7 & !dominato_da_modello",3,0.388888888888889,0.304347826086957,18
"n_studi_model<=0 & n_studi_model<=1 & I2_med<=70",3,0.388888888888889,0.304347826086957,18
"n_studi_model<=0 & n_studi_model<=2 & I2_med<=70",3,0.388888888888889,0.304347826086957,18
"n_studi_model<=0 & I2_med<=70 & !materiale_misto",3,0.388888888888889,0.304347826086957,18
"n_studi_model<=0 & I2_med<=70 & !dominato_da_modello",3,0.388888888888889,0.304347826086957,18
"n_studi_model<=0 & I2_med<=70 & !entita_NCBITaxon",3,0.388888888888889,0.304347826086957,18
"n_studi_model<=0 & I2_med<=70 & verso_gain",3,0.388888888888889,0.304347826086957,18
"n_studi_model<=1 & entita_STR & !ramo_anchor",3,0.388888888888889,0.304347826086957,18
"n_studi_model<=2 & entita_STR & !ramo_anchor",3,0.388888888888889,0.304347826086957,18
"!dominato_da_modello & entita_STR & !ramo_anchor",3,0.388888888888889,0.304347826086957,18
"entita_STR & !entita_MeSH & !ramo_anchor",3,0.388888888888889,0.304347826086957,18
"entita_STR & !entita_NCBITaxon & !ramo_anchor",3,0.388888888888889,0.304347826086957,18
"entita_STR & !ramo_anchor & verso_gain",3,0.388888888888889,0.304347826086957,18
"k_effective<=3 & n_studi_model<=1 & !materiale_misto",3,0.387096774193548,0.521739130434783,31
"n_studi_model<=1 & frazione_efficace>=0.5 & !dominato",3,0.384615384615385,0.434782608695652,26
"n_studi_model<=1 & !dominato & !entita_NCBITaxon",3,0.384615384615385,0.434782608695652,26
"n_studi_model<=0 & frazione_efficace>=0.7",2,0.384615384615385,0.217391304347826,13
"n_studi_model<=0 & entita_STR",2,0.384615384615385,0.217391304347826,13
"I2_med<=50 & entita_STR",2,0.384615384615385,0.217391304347826,13
"k_effective<=3 & !materiale_misto & stessi_membri",3,0.384615384615385,0.217391304347826,13
