"cluster_id","agent_id","nome_llm","nome_vero","src","entity","scatta_llm","scatterebbe_vero","nel_deliverable"
"cgroup_L5_00ca4f74","HGNC:2001","GREM1","GREM1","STR","STR:rec_hgrem1",FALSE,FALSE,FALSE
"cgroup_L5_00ccf704","CHEBI:17115","<small>L</small>-serine","<small>L</small>-serine","anchor","CHEBI:17115",TRUE,TRUE,FALSE
"cgroup_L5_00d1b23c","UNK",NA,NA,"COMBO","COMBO:tgf+tnf",FALSE,FALSE,FALSE
"cgroup_L5_00d94f27","HGNC:11642","ZEB1","ZEB1","STR","STR:pcdna3_1_zeb1",FALSE,FALSE,FALSE
"cgroup_L5_00e3c6a6","HGNC:48636","LINC00942","LINC00942","onto","HGNC:48636",FALSE,FALSE,FALSE
"cgroup_L5_00ef96ea","HGNC:43403","RNA5SP503","RNA5SP503","onto","HGNC:30314",FALSE,FALSE,FALSE
"cgroup_L5_00f0cead","STR:dead-box helicase 23","DEAD-box helicase 23",NA,"STR","STR:siddx23",FALSE,FALSE,FALSE
"cgroup_L5_00f5f63e","CHEBI:3201","bryotoxin A","bryotoxin A","onto","CHEMBL:CHEMBL1568",FALSE,FALSE,FALSE
"cgroup_L5_00f84e3a","CHEBI:145372","Gilteritinib","gilteritinib","STR","STR:t6733",FALSE,FALSE,FALSE
"cgroup_L5_00fd9348","CHEBI:8499","propranolol","propranolol","anchor","CHEBI:8499",TRUE,TRUE,TRUE
"cgroup_L5_0105dfd5","HGNC:6898","MARS1","MARS1","onto","HGNC:7553",FALSE,FALSE,FALSE
"cgroup_L5_010e70ac","STR:la related protein 4b","La related protein 4B",NA,"STR","STR:sirna_targeting_larp4b",FALSE,FALSE,FALSE
"cgroup_L5_011b60b9","MeSH:D003319","Corneal Stroma","Corneal Stroma","onto","MeSH:D003424",FALSE,FALSE,FALSE
"cgroup_L5_011b7f89","NCBITaxon:837","Porphyromonas gingivalis",NA,"STR","STR:p_gingivalis_persisters",FALSE,FALSE,FALSE
"cgroup_L5_011eb103","CHEBI:230500","THZ1","THZ1","COMBO","COMBO:ifngamma+thz1",FALSE,FALSE,FALSE
"cgroup_L5_01214ab2","HGNC:2434","CSF2","CSF2","COMBO","COMBO:gm-csf+ruxolitinib",FALSE,FALSE,FALSE
"cgroup_L5_01243955","CHEBI:50845","doxycycline","doxycycline","STR","STR:w128a",FALSE,FALSE,FALSE
"cgroup_L5_01258fcc","HGNC:15923","RBM39","RBM39","STR","STR:rbm39_sirna",FALSE,FALSE,FALSE
"cgroup_L5_012e70dd","MeSH:D003424","Crohn Disease","Crohn Disease","STR","STR:low_inflamed",FALSE,FALSE,FALSE
"cgroup_L5_01386661","HGNC:600","APOA1","APOA1","STR","STR:bclxl",FALSE,FALSE,FALSE
"cgroup_L5_013c0b72","HGNC:6349","KLF5","KLF5","STR","STR:siklf5",FALSE,FALSE,FALSE
"cgroup_L5_0144bf8d","CHEMBL:CHEMBL2165191","AZD-6482",NA,"anchor","CHEMBL:CHEMBL2165191",TRUE,FALSE,FALSE
"cgroup_L5_014ac37e","HGNC:11632","TCF21","TCF21","STR","STR:tcf21_knockdown",FALSE,FALSE,FALSE
"cgroup_L5_014c7dfb","NCBITaxon:1335626","Middle East respiratory syndrome coronavirus",NA,"COMBO","COMBO:sd targeting grnas+spry-abe8e w app ex 17 sa",FALSE,FALSE,FALSE
"cgroup_L5_015568fa","UNK",NA,NA,"STR","STR:intracranial_aneurysm",FALSE,FALSE,FALSE
"cgroup_L5_01641264","HGNC:5420","IFNA14","IFNA14","STR","STR:ifn_a14",FALSE,FALSE,FALSE
"cgroup_L5_0165d2bc","MeSH:D001471","Barrett's esophagus","Barrett Esophagus","STR","STR:hits_2",FALSE,FALSE,FALSE
"cgroup_L5_0166f172","UNK",NA,NA,"COMBO","COMBO:fel d 1+fel d 1 ige+il-13",FALSE,FALSE,FALSE
"cgroup_L5_0168004c","HGNC:12345","TRR-TCG4-1","TRR-TCG4-1","onto","CHEBI:233309",FALSE,FALSE,FALSE
"cgroup_L5_01687a0d","CHEBI:40303","lovastatin","lovastatin","COMBO","COMBO:cpt-11+lovastatin",TRUE,TRUE,FALSE
"cgroup_L5_0169bdf0","HGNC:17563","METTL3","METTL3","COMBO","COMBO:mettl3+mut",FALSE,FALSE,FALSE
"cgroup_L5_017467f1","HGNC:3374","EPAS1","EPAS1","STR","STR:sirna_epas1",FALSE,FALSE,FALSE
"cgroup_L5_017fc9b3","UNK",NA,NA,"STR","STR:idh_mutant_astrocytoma_grade_3",FALSE,FALSE,FALSE
"cgroup_L5_018069c7","HGNC:16637","HTATIP2","HTATIP2","onto","HGNC:8117",FALSE,FALSE,FALSE
"cgroup_L5_0185a97d","CHEBI:75929","<small>D</small>-cycloserine(1+)","<small>D</small>-cycloserine(1+)","onto","CHEBI:71272",FALSE,FALSE,FALSE
"cgroup_L5_0185dbb2","HGNC:25505","MANSC1","MANSC1","STR","STR:rrp40_knockdown",FALSE,FALSE,FALSE
"cgroup_L5_01881c6a","HGNC:11892","TNF","TNF","STR","STR:antimir324",FALSE,FALSE,FALSE
"cgroup_L5_018a3254","MeSH:D003093","ulcerative colitis","Colitis, Ulcerative","onto","MeSH:D003093",FALSE,FALSE,FALSE
"cgroup_L5_018b1acc","HGNC:11252","SPON1","SPON1","onto","HGNC:18420",FALSE,FALSE,FALSE
"cgroup_L5_018c9be2","STR:h1n1_tg","h1n1 tg",NA,"STR","STR:h1n1_tg",FALSE,FALSE,FALSE
"cgroup_L5_018d2382","STR:protein arginine methyltransferase 5","protein arginine methyltransferase 5",NA,"STR","STR:prmt5_shrna",FALSE,FALSE,FALSE
"cgroup_L5_018d69bf","STR:tumor","tumor",NA,"STR","STR:disease_model",FALSE,FALSE,FALSE
"cgroup_L5_0198ad5f","STR:luminal_breast_cancer","luminal breastâ cancer",NA,"onto","MeSH:D010634",FALSE,FALSE,FALSE
"cgroup_L5_019dc93f","NCBITaxon:1773","m.tb",NA,"onto","NCBITaxon:1773",FALSE,FALSE,FALSE
"cgroup_L5_01b0463b","HGNC:8554","PABPC1","PABPC1","STR","STR:anti_pabpc1_antibody_genetic_knockdown",FALSE,FALSE,FALSE
"cgroup_L5_01c6bb47","UNK",NA,NA,"STR","STR:crispr_corrected",FALSE,FALSE,FALSE
"cgroup_L5_01c93a1c","HGNC:669","RHOC","RHOC","STR","STR:constitutively_active_rhoc_mutant_q63e",FALSE,FALSE,FALSE
"cgroup_L5_01cb9ceb","MeSH:D011990","Receptors, Transferrin","Receptors, Transferrin","STR","STR:r22w",FALSE,FALSE,FALSE
"cgroup_L5_01cde48f","STR:myocardial_infarction_patient_without_cardiac_remodeling","myocardial infarction patient without cardiac remodeling",NA,"anchor","STR:myocardial_infarction_patient_without_cardiac_remodeling",TRUE,FALSE,FALSE
"cgroup_L5_01d3f2aa","CHEBI:84491","polyinosinic:polycytidylic acid","poly(I:C)","onto","CHEBI:53806",FALSE,FALSE,FALSE
"cgroup_L5_01f47d2b","HGNC:7729","SEPTIN2","SEPTIN2","STR","STR:shseptin_2_shrna",FALSE,FALSE,FALSE
"cgroup_L5_01fadc00","UNK",NA,NA,"STR","STR:5g_dose_irradiation",FALSE,FALSE,FALSE
"cgroup_L5_01fba285","HGNC:44614","FCF1P2","FCF1P2","STR","STR:sh_linc01614",FALSE,FALSE,FALSE
"cgroup_L5_0202b394","HGNC:4171","GATA2","GATA2","STR","STR:gata2_as1",FALSE,FALSE,FALSE
"cgroup_L5_0207049b","STR:gsk2830371_10um_for_1_hour","gsk2830371 (10um) for 1 hour",NA,"STR","STR:1_gsk2830371",FALSE,FALSE,FALSE
"cgroup_L5_020bfef9","HGNC:16384","TRIM28","TRIM28","STR","STR:lv_sh_trim28b",FALSE,FALSE,FALSE
"cgroup_L5_020cca5a","CHEBI:123456","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide","STR","STR:ledgin_cx014442",FALSE,FALSE,FALSE
"cgroup_L5_020db0c7","HGNC:12833","XRCC5","XRCC5","STR","STR:siku80",FALSE,FALSE,FALSE
"cgroup_L5_020dbd0b","NCBITaxon:5833","Plasmodium falciparum",NA,"STR","STR:p_falciparum_schizonts",FALSE,FALSE,FALSE
"cgroup_L5_0219eb74","HGNC:6014","IL4","IL4","COMBO","COMBO:il-15+il-2",FALSE,FALSE,FALSE
"cgroup_L5_021e875e","CHEBI:34200","2,2',3,4',5,5'-Hexachloro-4-biphenylol","2,2',3,4',5,5'-Hexachloro-4-biphenylol","onto","CHEBI:27899",FALSE,FALSE,TRUE
"cgroup_L5_0222b50e","STR:plasmids","plasmids",NA,"anchor","STR:plasmids",TRUE,FALSE,FALSE
"cgroup_L5_02252a0d","MeSH:D009857","Oncogenes","Oncogenes","STR","STR:oncogene",FALSE,FALSE,FALSE
"cgroup_L5_022d927e","CHEBI:17688","nicotine","(<i>S</i>)-nicotine","STR","STR:ploomtech",FALSE,FALSE,FALSE
"cgroup_L5_022f32a1","UNK",NA,NA,"STR","STR:trisomy_7",FALSE,FALSE,FALSE
"cgroup_L5_0238fee2","HGNC:20203","NOSTRIN","NOSTRIN","onto","HGNC:4484",FALSE,FALSE,FALSE
"cgroup_L5_024349fa","MeSH:D018278","neuroendocrine carcinoma","Carcinoma, Neuroendocrine","onto","MeSH:D018278",FALSE,FALSE,FALSE
"cgroup_L5_0243e435","MeSH:D001943","breast cancer","Breast Neoplasms","STR","STR:reattached_tumor_sphere",FALSE,FALSE,FALSE
"cgroup_L5_0244efa6","CHEBI:145372","Gilteritinib","gilteritinib","STR","STR:bio_2_m",FALSE,FALSE,FALSE
"cgroup_L5_0245f793","NCBITaxon:1282","Staphylococcus epidermidis",NA,"COMBO","COMBO:ifng+staphylococcus epidermidis",FALSE,FALSE,FALSE
"cgroup_L5_0245fd4d","MeSH:D010051","ovarian cancer","Ovarian Neoplasms","STR","STR:high_grade_serous_carcinoma",FALSE,FALSE,FALSE
"cgroup_L5_024daba9","MeSH:D011471","prostate cancer","Prostatic Neoplasms","STR","STR:siyap1",FALSE,FALSE,FALSE
"cgroup_L5_025f9d89","CHEBI:28748","doxorubicin","doxorubicin","COMBO","COMBO:doxorubicin+r1881",TRUE,TRUE,FALSE
"cgroup_L5_0260ef7c","HGNC:16262","YAP1","YAP1","STR","STR:siyap2",FALSE,FALSE,FALSE
"cgroup_L5_026ee5c0","NCBITaxon:5833","Plasmodium falciparum",NA,"STR","STR:after_third_inf_t6",FALSE,FALSE,FALSE
"cgroup_L5_02745899","HGNC:23177","KEAP1","KEAP1","STR","STR:keap1_sirna",FALSE,FALSE,FALSE
"cgroup_L5_02779031","CHEBI:38978","durene","durene","COMBO","COMBO:doxycycline+mycshrna",FALSE,FALSE,FALSE
"cgroup_L5_02812f4f","STR:interleukin 12 subunit alpha","Interleukin 12 subunit alpha",NA,"onto","HGNC:11931",FALSE,FALSE,FALSE
"cgroup_L5_028530bf","HGNC:18734","MTREX","MTREX","STR","STR:mtr4_knockdown",FALSE,FALSE,FALSE
"cgroup_L5_028e75bb","UNK",NA,NA,"onto","HGNC:3091",FALSE,FALSE,FALSE
"cgroup_L5_029217a2","HGNC:7160","MMP14","MMP14","STR","STR:shrna_mmp14",FALSE,FALSE,FALSE
"cgroup_L5_02964199","HGNC:21160","LINC00473","LINC00473","STR","STR:gd6_linc00473_sirna",FALSE,FALSE,FALSE
"cgroup_L5_0297c0fd","STR:kj_pyr_9_dex","kj-pyr-9 + dex",NA,"STR","STR:kj_pyr_9_dex",FALSE,FALSE,FALSE
"cgroup_L5_02999d32","UNK",NA,NA,"STR","STR:pola1_deficient",FALSE,FALSE,FALSE
"cgroup_L5_029d9308","HGNC:11140","SNCB","SNCB","STR","STR:g_actin_yap_binding_deficient_dpy_mrtfb_mutant",FALSE,FALSE,FALSE
"cgroup_L5_029e395f","HGNC:6407","KRAS","KRAS","STR","STR:jmml_kras_mutated",FALSE,FALSE,FALSE
"cgroup_L5_029fb54c","MeSH:D001943","breast cancer","Breast Neoplasms","STR","STR:ezhi",FALSE,FALSE,FALSE
"cgroup_L5_02a6d6b4","NCBITaxon:2702","Gardnerella vaginalis",NA,"STR","STR:live_bacteria",FALSE,FALSE,FALSE
"cgroup_L5_02ab7bae","CHEBI:34575","bisphenol F","bisphenol F","STR","STR:2_4_bpf",FALSE,FALSE,FALSE
"cgroup_L5_02ad4895","MeSH:D015470","acute myeloid leukemia","Leukemia, Myeloid, Acute","STR","STR:aml_derived_cm",FALSE,FALSE,FALSE
"cgroup_L5_02b9fdb4","UNK",NA,NA,"STR","STR:shsmn_2",FALSE,FALSE,FALSE
"cgroup_L5_02ba1195","HGNC:23696","TIPARP","TIPARP","onto","HGNC:23696",FALSE,FALSE,FALSE
"cgroup_L5_02c343cd","UNK",NA,NA,"STR","STR:e50k",FALSE,FALSE,FALSE
"cgroup_L5_02d3d275","MeSH:D006816","Huntington's disease","Huntington Disease","STR","STR:cag_43_caacag_1_ccgcca_1_ccg_7_cct_2",FALSE,FALSE,FALSE
"cgroup_L5_02db6035","MeSH:D015179","colorectal carcinoma","Colorectal Neoplasms","STR","STR:p16ink4a_negative_expression",FALSE,FALSE,FALSE
"cgroup_L5_02dbe3c9","HGNC:20985","VGLL1","VGLL1","STR","STR:sirna_vgll1",FALSE,FALSE,FALSE
"cgroup_L5_02dd97af","NCBITaxon:32644","None",NA,"STR","STR:target",FALSE,FALSE,FALSE
"cgroup_L5_02df74ab","STR:tumor_med","tumor-med",NA,"STR","STR:medulloblastoma_presentation",FALSE,FALSE,FALSE
"cgroup_L5_02ed9d79","STR:2'-5'-oligoadenylate synthetase 3","2'-5'-oligoadenylate synthetase 3",NA,"onto","HGNC:8088",FALSE,FALSE,FALSE
"cgroup_L5_02ee92a6","MeSH:D015847","Interleukin-4","Interleukin-4","COMBO","COMBO:il-13+il-4+staphylococcus aureus",FALSE,FALSE,FALSE
"cgroup_L5_02f44fee","HGNC:10250","ROBO2","ROBO2","STR","STR:irf1ko",FALSE,FALSE,FALSE
"cgroup_L5_02f4eb05","NCBITaxon:77058","azara",NA,"STR","STR:ep_ra_aza",FALSE,FALSE,FALSE
"cgroup_L5_0303e64f","MeSH:D014893","microgravity","Weightlessness","STR","STR:micro",FALSE,FALSE,FALSE
"cgroup_L5_030b5be5","HGNC:13012","ZNF22","ZNF22","STR","STR:gst_zfp36l1_wildtype",FALSE,FALSE,FALSE
"cgroup_L5_030b91ba","STR:tumor_plasma_cells","tumor plasma cells",NA,"STR","STR:standard_risk",FALSE,FALSE,FALSE
"cgroup_L5_031525a6","STR:idiopathic_pulmonary_fibrosis_ipf","idiopathic pulmonary fibrosis (ipf)",NA,"anchor","STR:idiopathic_pulmonary_fibrosis_ipf",TRUE,FALSE,FALSE
"cgroup_L5_031657cf","MeSH:D006528","hepatocellular carcinoma","Carcinoma, Hepatocellular","STR","STR:dhs_caf",FALSE,FALSE,FALSE
"cgroup_L5_0316c98f","MeSH:D012595","systemic sclerosis","Scleroderma, Systemic","STR","STR:stable_pressc_follow_up",FALSE,FALSE,FALSE
"cgroup_L5_0318d0d9","UNK",NA,NA,"STR","STR:igf2_h19_hypomethylation",FALSE,FALSE,FALSE
"cgroup_L5_032180b9","MeSH:D001943","breast cancer","Breast Neoplasms","COMBO","COMBO:calcium+ionomycin",FALSE,FALSE,FALSE
"cgroup_L5_03252a31","STR:d28a","D28A",NA,"STR","STR:d28a_none",FALSE,FALSE,FALSE
"cgroup_L5_0331b98f","NCBITaxon:1773","Mycobacterium tuberculosis",NA,"STR","STR:sub_clinical_tb_progressor_baseline_baseline",FALSE,FALSE,FALSE
"cgroup_L5_033b4433","HGNC:6705","LSAMP","LSAMP","COMBO","COMBO:gdf6+smad1",FALSE,FALSE,FALSE
"cgroup_L5_033f9098","HGNC:3278","EIF3D","EIF3D","STR","STR:eif3d_knockout",FALSE,FALSE,FALSE
"cgroup_L5_034592d9","NCBITaxon:1282","Staphylococcus epidermidis",NA,"onto","NCBITaxon:1282",FALSE,FALSE,TRUE
"cgroup_L5_03502b50","NCBITaxon:1773","Mycobacterium tuberculosis",NA,"STR","STR:tb_pe",FALSE,FALSE,FALSE
"cgroup_L5_03527117","MeSH:D007680","kidney cancer","Kidney Neoplasms","STR","STR:1_year",FALSE,FALSE,FALSE
"cgroup_L5_0353ae13","STR:s2101","s2101",NA,"STR","STR:s2101",FALSE,FALSE,FALSE
"cgroup_L5_03544ab6","NCBITaxon:10566","human papillomavirus",NA,"STR","STR:covid",FALSE,FALSE,FALSE
"cgroup_L5_0355ffb2","UNK",NA,NA,"STR","STR:stag2_mutant",FALSE,FALSE,FALSE
"cgroup_L5_03570f51","HGNC:3229","EGF","EGF","STR","STR:1_er_src_overexpression",FALSE,FALSE,FALSE
"cgroup_L5_0364c76c","HGNC:13136","ZNF726P1","ZNF726P1","STR","STR:shezh2",FALSE,FALSE,FALSE
"cgroup_L5_037b0847","HGNC:221","ADAMTS5","ADAMTS5","onto","HGNC:11109",FALSE,FALSE,FALSE
"cgroup_L5_03864219","HGNC:15867","YTHDF1","YTHDF1","COMBO","COMBO:siythdf1+sorafenib",FALSE,FALSE,FALSE
"cgroup_L5_03869098","HGNC:6322","KIF4B","KIF4B","onto","HGNC:15527",FALSE,FALSE,FALSE
"cgroup_L5_03898c64","STR:mouse lung deposition","mouse lung deposition",NA,"onto","MeSH:D051379",FALSE,FALSE,FALSE
"cgroup_L5_0393c2cf","HGNC:2169","CNTF","CNTF","COMBO","COMBO:bmp4+cntf",FALSE,FALSE,FALSE
"cgroup_L5_0395499c","CHEBI:6601","lycorine","lycorine","anchor","CHEBI:6601",TRUE,TRUE,FALSE
"cgroup_L5_039764ec","HGNC:11744","TFAP2C","TFAP2C","STR","STR:sibckdk_2",FALSE,FALSE,FALSE
"cgroup_L5_039baefa","UNK",NA,NA,"STR","STR:csm_ckb",FALSE,FALSE,FALSE
"cgroup_L5_03a44c30","HGNC:6326","KIFC3","KIFC3","STR","STR:ku70_wt",FALSE,FALSE,FALSE
"cgroup_L5_03a4e25c","HGNC:10479","RXRG","RXRG","onto","HGNC:9221",FALSE,FALSE,FALSE
"cgroup_L5_03b04600","HGNC:30935","YY1AP1","YY1AP1","STR","STR:yap_sirna",FALSE,FALSE,FALSE
"cgroup_L5_03b38818","CHEBI:5516","sodium aurothiomalate","sodium aurothiomalate","onto","CHEBI:63637",FALSE,FALSE,TRUE
"cgroup_L5_03be6a89","HGNC:540","ANXA2P3","ANXA2P3","onto","HGNC:11571",FALSE,FALSE,FALSE
"cgroup_L5_03c54bba","HGNC:14254","NOCT","NOCT","STR","STR:nocturnin_knockout",FALSE,FALSE,FALSE
"cgroup_L5_03c6167b","NCBITaxon:11309","influenza virus",NA,"STR","STR:adv_type_5",FALSE,FALSE,FALSE
"cgroup_L5_03d00037","MeSH:D001943","breast cancer","Breast Neoplasms","STR","STR:vcpt76a_2",FALSE,FALSE,FALSE
"cgroup_L5_03d0ca7b","CHEBI:4551","digoxin","digoxin","onto","CHEBI:4551",FALSE,FALSE,TRUE
"cgroup_L5_03d5fc13","NCBITaxon:11320","Influenza A virus",NA,"STR","STR:us_1630636",FALSE,FALSE,FALSE
"cgroup_L5_03d730f4","STR:ovarian_tumour_tissue","ovarian tumour tissue",NA,"STR","STR:high_grade_serous_ovarian_cancer",FALSE,FALSE,FALSE
"cgroup_L5_03dfb01e","CHEBI:94793","pimasertib","pimasertib","COMBO","COMBO:pimasertib+sar405842",TRUE,TRUE,FALSE
"cgroup_L5_03e24791","CHEBI:18258","3,3',5-triiodo-<small>L</small>-thyronine","3,3',5-triiodo-<small>L</small>-thyronine","STR","STR:t3_10nm",FALSE,FALSE,FALSE
"cgroup_L5_03e5cc9e","HGNC:1378","CA5B","CA5B","onto","HGNC:6081",FALSE,FALSE,FALSE
"cgroup_L5_03e5fd9e","CHEBI:18012","fumaric acid","fumaric acid","onto","CHEBI:29806",FALSE,FALSE,FALSE
"cgroup_L5_03ed30a5","MeSH:D008180","systemic lupus erythematosus","Lupus Erythematosus, Systemic","STR","STR:oesophageal_squamous_cancer",FALSE,FALSE,FALSE
"cgroup_L5_03f00068","MeSH:D009369","cancer","Neoplasms","onto","MeSH:D001064",FALSE,FALSE,FALSE
"cgroup_L5_03f08a04","STR:ewma1","EWMA1",NA,"STR","STR:ewma1_knockdown",FALSE,FALSE,FALSE
"cgroup_L5_03f0c86e","UNK",NA,NA,"STR","STR:sgas2",FALSE,FALSE,FALSE
"cgroup_L5_03fbb8e6","CHEBI:42839","puromycin aminonucleoside","3'-amino-3'-deoxy-<em>N</em><small><sup>6</small></sup>,<em>N</em><small><sup>6</small></sup>-dimethyladenosine","STR","STR:csa2",FALSE,FALSE,FALSE
"cgroup_L5_03fe2fda","HGNC:10000","RGS4","RGS4","STR","STR:rb1_knockdown",FALSE,FALSE,FALSE
"cgroup_L5_03ffb15f","HGNC:25996","ALKBH5","ALKBH5","STR","STR:shalkbh5",FALSE,FALSE,FALSE
"cgroup_L5_0406d490","UNK",NA,NA,"STR","STR:gliosarcoma",FALSE,FALSE,FALSE
"cgroup_L5_0406da68","HGNC:7133","KMT2D","KMT2D","onto","HGNC:15840",FALSE,FALSE,FALSE
"cgroup_L5_0413ea18","STR:escc","escc",NA,"STR","STR:ve56",FALSE,FALSE,FALSE
"cgroup_L5_0414b80d","CHEBI:46661","asbestos","asbestos","STR","STR:post_apd1_immunotherapy",FALSE,FALSE,FALSE
"cgroup_L5_04153862","UNK",NA,NA,"STR","STR:fshd2",FALSE,FALSE,FALSE
"cgroup_L5_041ab140","CHEBI:17113","erythritol","erythritol","COMBO","COMBO:gnf-2+imatinib+nilotinib",FALSE,FALSE,FALSE
"cgroup_L5_041eb2fa","NCBITaxon:1773","Mycobacterium tuberculosis",NA,"STR","STR:infg_036",FALSE,FALSE,FALSE
"cgroup_L5_041f45c9","STR:k562-wt","K562-WT",NA,"STR","STR:k562_wt",FALSE,FALSE,FALSE
"cgroup_L5_04244301","MeSH:D009080","Mucocutaneous Lymph Node Syndrome","Mucocutaneous Lymph Node Syndrome","STR","STR:kawasaki_disease_acute",FALSE,FALSE,FALSE
"cgroup_L5_0426ceef","MeSH:D011471","prostate cancer","Prostatic Neoplasms","STR","STR:site_1_complete_deletion",FALSE,FALSE,FALSE
"cgroup_L5_043adfb6","HGNC:7217","MPL","MPL","STR","STR:c_mpl_p",FALSE,FALSE,FALSE
"cgroup_L5_044bc3d7","MeSH:D008175","lung cancer","Lung Neoplasms","STR","STR:damp",FALSE,FALSE,FALSE
"cgroup_L5_044c13ba","STR:clad_apex","clad.apex",NA,"STR","STR:clad",FALSE,FALSE,FALSE
"cgroup_L5_045b59df","MeSH:D011944","Receptors, Androgen","Receptors, Androgen","STR","STR:shrna_targeting_ar",FALSE,FALSE,FALSE
"cgroup_L5_0464b578","HGNC:44223","LINC00620","LINC00620","STR","STR:tlusc10",FALSE,FALSE,FALSE
"cgroup_L5_046f2e7f","MeSH:D034741","RNA, Small Interfering","RNA, Small Interfering","STR","STR:nfatc2_sirna",FALSE,FALSE,FALSE
"cgroup_L5_0472aead","HGNC:10522","ACSM3","ACSM3","STR","STR:shsat1",FALSE,FALSE,FALSE
"cgroup_L5_0472b6b6","HGNC:10560","ATXN7","ATXN7","STR","STR:ad_klf4",FALSE,FALSE,FALSE
"cgroup_L5_04776271","HGNC:2746","DDX5","DDX5","STR","STR:ddx5_shrna",FALSE,FALSE,FALSE
