cluster_id,method,k_studies,n_sig_used,consistency_score,median_I2,pi_frac_excl0,consistency_note
group_L0_23706d15,mega,17,4433,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_24b927f1,mega,6,4,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_3257cac1,mega,10,4,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_32a22efb,mega,13,2,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_33bf997f,mega,6,78,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_3eb481e6,mega,7,79,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_423bfc89,mega,6,517,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_42a7a78c,mega,4,44,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_486ce7c2,mega,10,160,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_4ae12e04,mega,9,7,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_4db86466,mega,9,3,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_4ebea2ae,mega,5,3,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_537ca36c,mega,11,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_53bf630b,mega,15,2,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_5844a8da,mega,5,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_59e2c58e,mega,10,3,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_656caa1f,mega,10,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_687b3425,mega,10,34,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_69f34e03,mega,7,29,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_6c41952f,mega,5,6,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_7db146e3,mega,32,2243,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_8f5fdfa4,mega,6,451,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_94e1d70e,mega,6,89,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_9574cf15,mega,6,299,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_957cc181,mega,14,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_9b04dddc,mega,5,15,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_a110b3fa,mega,6,71,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_a3dbd6fa,mega,5,353,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_a99ba805,mega,7,182,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_aa2bd6d4,mega,26,2595,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_ab18c3c5,mega,5,187,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_af65b69b,mega,23,4400,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_afa9f081,mega,7,731,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_b0f613f5,mega,6,22,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_bdc8e7e5,mega,24,215,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_c0a5e87f,mega,10,37,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_cdb1521a,mega,17,3,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_dea00883,mega,6,43,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_ec83e8fd,mega,6,130,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_f20b7e46,mega,5,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_f20f6990,mega,8,0,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_f4823641,mega,10,208,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_f81f6c01,mega,5,0,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L0_f8e4f330,mega,11,3566,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_0088c943,mega,10,3,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_0204f20f,mega,7,29,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_0d1d9d83,mega,15,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_0f29aa2d,mega,5,6,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_14107420,mega,6,4,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_18e1857b,mega,6,43,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_1d47bdf9,mega,16,3952,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_25b72403,mega,6,451,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_29411be9,mega,10,34,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_2999e81d,mega,6,89,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_2f2ba9ff,mega,9,6,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_30b7ae94,mega,5,0,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_3f390971,mega,9,3,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_443641a6,mega,7,14,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_496145be,mega,5,15,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_56195a0a,mega,5,312,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_5ac688a1,mega,6,517,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_5d50b5b1,mega,6,130,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_61604f73,mega,7,731,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_619fb9c6,mega,6,22,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_69c99602,mega,11,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_6d1b5757,mega,18,4480,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_70c503a4,mega,11,3566,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_71a049f9,mega,8,0,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_729dad9b,mega,24,215,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_7f286713,mega,5,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_84844a95,mega,20,7,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_863ad5e6,mega,39,2537,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_879c3e6b,mega,10,37,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_87d027e5,mega,5,187,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_895cb734,mega,10,4,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_a6c67cd6,mega,6,0,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_a7758288,mega,6,299,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_a7f52377,mega,23,18,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_b32f8fe8,mega,10,208,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_b3bd6b92,mega,19,4123,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_b3fa0f9e,mega,8,103,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_bae37d6c,mega,8,18,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_be166699,mega,21,20,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_ca655d5b,mega,10,160,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_cd440424,mega,6,6,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_d8b8767e,mega,9,7,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_dbd819eb,mega,6,39,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_dcf94fb6,mega,27,2678,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_e8344e2c,mega,5,3,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_ea4c768e,mega,13,5245,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_f01926c7,mega,5,20,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_f3f94a1e,mega,5,1,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
group_L1_f8ba02f2,mega,7,79,NA,NA,NA,"mega: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_03412865,mega_aug,20,6131,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_0f1984ba,mega_aug,12,8717,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_1c415da8,mega_aug,2,476,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_29c9e244,mega_aug,2,0,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_351f5a4e,mega_aug,9,1508,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_35e1f8fc,mega_aug,2,181,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_42cfa7ef,mega_aug,3,11793,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_4a917d73,mega_aug,4,11005,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_525a3d7a,mega_aug,3,8649,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_5318674c,mega_aug,2,3486,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_5573561d,mega_aug,6,12277,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_55a0f508,mega_aug,8,389,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_5d50efd1,mega_aug,7,1474,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_5e4b9fd0,mega_aug,9,1342,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_69ac06ac,mega_aug,8,4538,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_6c7db102,mega_aug,2,2,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
pair_L0_6f48f303,mega_aug,4,4403,NA,NA,NA,"mega_aug: I2/consistenza non presente in cluster_pooled.parquet v10 (VPC per mega e sign-concordance per mega_aug non sono calcolati in questo pooling, sono fuori scope Task 4) -> NA per costruzione."
