"study","ent_off","ent_on","tl","cl"
"GSE199225","STR:tgfb","HGNC:11766","PCOS, tgfb","PCOS, no treatment"
"GSE205378","STR:tgfb","HGNC:11766","Primary PrSC 1 TGFB Day 3","Primary PrSC 1 untreated"
"GSE205378","STR:tgfb","HGNC:11766","Primary PrSC 2 TGFB Day 3","Primary PrSC 2 untreated"
"GSE205378","STR:tgfb","HGNC:11766","Primary PrSC 3 TGFB Day 3","Primary PrSC 3 untreated"
"GSE205378","STR:tgfb","HGNC:11766","Primary PrSC 4 TGFB Day 3","Primary PrSC 4 untreated"
"GSE205378","STR:tgfb","HGNC:11766","Primary PrSC 5 TGFB Day 3","Primary PrSC 5 untreated"
"GSE215947","STR:tgf_b","HGNC:11766","TGF-B","Control"
"GSE219215","STR:tgfb","HGNC:11766","MCRIi019-A_D48_TGFb","MCRIi019-A_D69_chondrogenic_diff"
"GSE219215","STR:tgfb","HGNC:11766","MCRIi019-A_D48_TGFb_transgene","MCRIi019-A_D48_chondrogenic_diff_transgene"
"GSE225336","STR:tgfb","HGNC:11766","TGFB 48hrs","Ctrl 48hrs"
"GSE225336","STR:tgfb","HGNC:11766","TGFB 72hrs","Ctrl 72hrs"
"GSE225336","STR:tgfb","HGNC:11766","TGFB 24hrs","Ctrl 24hrs"
"GSE225549","STR:tgfb","HGNC:11766","Post-COVID Fibrosis TGFB","Post-COVID Fibrosis Control"
"GSE225549","STR:tgfb","HGNC:11766","IPF TGFB","IPF Control"
"GSE225549","STR:tgfb","HGNC:11766","Healthy Donor TGFB","Healthy Donor Control"
"GSE232640","STR:tgfb","HGNC:11766","TGFb treated LX2 cells","Untreated LX2 cells"
"GSE237690","STR:tgf_b","HGNC:11766","Lupus + TGF-B","Lupus + NoStim"
"GSE237690","STR:tgf_b","HGNC:11766","PSLE + TGF-B","PSLE + NoStim"
"GSE237690","STR:tgf_b","HGNC:11766","Psoriasis + TGF-B","Psoriasis + NoStim"
"GSE237690","STR:tgf_b","HGNC:11766","Control + TGF-B","Control + NoStim"
"GSE240476","STR:tgfb","HGNC:11766","Fibrotic tissue, TGFB","Fibrotic tissue, Vehicle"
"GSE240476","STR:tgfb","HGNC:11766","Non-fibrotic tissue, TGFB","Non-fibrotic tissue, Vehicle"
"GSE240476","STR:tgfb","HGNC:11766","Knee tissue, TGFB","Non-fibrotic tissue, Vehicle"
"GSE240476","STR:tgfb","HGNC:11766","Knee tissue, TGFB","Non-fibrotic tissue, Vehicle"
"GSE252315","STR:tgf_b","HGNC:11766","HMLE TGF-b Day1","HMLE Untreated Day1"
"GSE252315","STR:tgf_b","HGNC:11766","HMLE TGF-b Day4","HMLE Untreated Day4"
"GSE252315","STR:tgf_b","HGNC:11766","HMLE TGF-b Day7","HMLE Untreated Day7"
"GSE252315","STR:tgf_b","HGNC:11766","HMLE TGF-b Day10","HMLE Untreated Day10"
"GSE252315","STR:tgf_b","HGNC:11766","HMLE TGF-b Day15","HMLE Untreated Day15"
"GSE259376","STR:tgfb","HGNC:11766","Treated (TGFB)","Control (CON)"
"GSE262398","STR:tgfb","HGNC:11766","TGFb-treated SAEC","DMSO-treated SAEC"
"GSE59817","STR:tgfb","HGNC:11766","TGFb","Control"
"GSE59818","STR:tgfb","HGNC:11766","MCF10A + siCtrl + TGFb","MCF10A + siCtrl"
"GSE78276","STR:tgfb","HGNC:11766","TGFb","beads only"
"GSE88757","STR:tgfb","HGNC:11766","PANC-1 + TGFb 72h","PANC-1 + Vehicle 72h"
"GSE88757","STR:tgfb","HGNC:11766","PANC-1 + TGFb 72h (duplicate)","PANC-1 + Vehicle 72h"
"GSE89152","STR:tgfb","HGNC:11766","MCF10A TGFB Day1","MCF10A Vehicle Control"
"GSE90111","STR:tgfb","HGNC:11766","PANC1 TGFb","PANC1 DMSO"
"GSE93605","STR:tgfb","HGNC:11766","MDA231 + TGFB","MDA231 + vehicle"
"GSE93605","STR:tgfb","HGNC:11766","MDA231 + TGFB","MDA231 + vehicle"
