cluster_id,study_id,categoria,etichetta
cgroup_L5_871ae09e,GSE151803,controllo unico condiviso da due bracci trattati di materiale dichiarato diverso (al piu' uno appaiato per materiale),"TRATTATO 'COVID-19 Lung' (n=2) vs CONTROLLO 'hESC Mock' (n=3), e lo stesso CONTROLLO 'hESC Mock' (n=3) per TRATTATO 'hESC sars-Cov2' (n=3)"
cgroup_L5_dde29fb4,GSE225095,stato cellulare diverso fra i bracci (esaurimento replicativo contro proliferazione),TRATTATO 'IMR90 cells (Replicative Exhaustion) + H2O2' vs CONTROLLO 'IMR90 cells (Proliferating)'
cgroup_L5_dde29fb4,GSE161860,secondo agente dichiarato solo nel trattato (differenziamento con ATRA),TRATTATO 'H2O2 after ATRA differentiation' vs CONTROLLO 'Untreated SH-SY5Y'
cgroup_L5_79a73ac5,GSE113210,contrasto e tipo di controllo diversi dagli altri membri (infezione clinica/sorveglianza contro infezione sperimentale con mock),TRATTATO 'influenza' (n=3) vs CONTROLLO 'control' (n=11); nel riferimento lo stesso confronto era 'influenza at AV' => 'Control CV'
cgroup_L5_99d7941a,GSE151680,linea cellulare diversa fra i bracci (resistenza asimmetrica),TRATTATO 'U251TR temozolomide' vs CONTROLLO 'U251MG untreated'
cgroup_L5_99d7941a,GSE218860,un unico controllo per due contesti sperimentali dichiarati incompatibili (in vivo mg/kg e in vitro uM),"TRATTATO 'MGG4 temozolomide 10mg/kg' e TRATTATO 'MGG4 temozolomide 25uM 2', tutti e due vs CONTROLLO 'MGG4 DMSO' (n_controlli=5 in entrambe le righe)"
cgroup_L5_74daf1c9,GSE171638,"materiale misurato e tipo di controllo diversi dagli altri membri (Treg contro non-trattato, invece di tessuto OSCC contro mucosa normale)","TRATTATO 'Treg_Donor_1_OSCC' vs CONTROLLO 'Treg_Donor_1_no_treatment', contro 'OSCC tissues' vs 'Normal tissues' degli altri membri"
cgroup_L5_905be893,GSE196195,"appaiamento non verificabile (sospetto dichiarato, NON difetto provato): identificatori di braccio incommensurabili","TRATTATO: ""IL-1B Stimulated (Female Donor)"" (n=5) vs CONTROLLO: ""Vehicle Control (Donor 2, Replicate 1)"" (n=2)"
cgroup_L5_2987cdb6,GSE249721,tempo non appaiato: un solo insieme di controlli per bracci a durate diverse,"TRATTATO: ""PC9_erlotinib_24h"" / ""PC9_erlotinib_7days"" / ""PC9_erlotinib_21days"" / ""PC9_erlotinib_75jours"" tutti vs CONTROLLO: ""PC9_DMSO"" (n_controlli=2 in tutte e quattro le entry); e TRATTATO: ""HCC4006_erlotinib_no_duration"" (n=2) vs CONTROLLO: ""HCC4006_DMSO_24h"" (n=3), lo stesso controllo che serve ""HCC4006_erlotinib_24h"""
cgroup_L5_d28620cd,GSE241595,entita' non isolata dal confronto (staurosporina come induttore) + materiale profilato diverso (vescicole),"TRATTATO: ""apoEVs (apoptosis induced by staurosporine)"" (n=3) vs CONTROLLO: ""control"" (n=2)"
cgroup_L5_3fa847fe,GSE89408,"composizione dei bracci non stabilita (sospetto dichiarato, NON difetto provato sulle etichette attuali): sesso discordante nell'altra resa dello stesso studio","OGGI: TRATTATO ""Osteoarthritis"" (n=2, 5, 8, 3) vs CONTROLLO ""Normal"" (n=24 in tutte e quattro le entry) — NEL RIFERIMENTO le stesse righe: TRATTATO ""Osteoarthritis (F)"" vs CONTROLLO ""Healthy control (13M)"""
cgroup_L5_f94b6180,GSE172205,secondo agente solo nel trattato + materiale diverso fra i bracci,TRATTATO 'Prostate tissue treated with R1881 and atraric acid (AA)' contro CONTROLLO 'C4-2 cells treated with DMSO'
cgroup_L5_29cb04f8,GSE145356,secondo agente solo nel trattato (leucovorina),TRATTATO '5-FU/LV treated' contro CONTROLLO 'DMSO control'
cgroup_L5_90db4e34,GSE184427,modello/xenotrapianto diverso fra i bracci,TRATTATO 'LuCaP 147 Testosterone' contro CONTROLLO 'LuCaP 73 PBS Control'
cgroup_L5_3b461817,GSE217421,"linea/donatore dichiarata solo sul braccio trattato, controllo condiviso non specifico della linea","TRATTATO 'Nilotinib-treated MSN05 cardiac myocytes' (n=2) contro CONTROLLO 'DMSO-treated cardiac myocytes' (n=12), lo stesso controllo n=12 usato anche da 'Nilotinib-treated cardiac myocytes' (n=12)"
cgroup_L5_3de56a79,GSE210351,NON RISOLTO: comparto anatomico dichiarato solo sul braccio di controllo,TRATTATO 'PDAC Pancreatic tissue' contro CONTROLLO 'Normal pancreas bulk acinus'
cgroup_L5_c0d1d837,GSE147876,linea cellulare diversa fra i bracci,"TRATTATO `MR42F Enzalutamide` / CONTROLLO `MR42D Vehicle` (n=3 vs 3), stessi 3 controlli di `MR42D Enzalutamide`"
cgroup_L5_c0d1d837,GSE184427,modello PDX diverso fra i bracci,TRATTATO `LuCaP 147 Enzalutamide` / CONTROLLO `LuCaP 73 PBS Control` (n=2 vs 2)
cgroup_L5_3439da02,GSE225751,materiale a granularita' diversa fra i bracci (specifico contro generico),TRATTATO `CEM cells treated with everolimus` / CONTROLLO `T lymphocytes vehicle control` (n=3 vs 3); nel riferimento lo stesso controllo generico serviva anche `Jurkat + everolimus`
cgroup_L5_3439da02,GSE99875,controllo condiviso non appaiabile a entrambi i bracci trattati (stato di differenziamento),"TRATTATO `Everolimus 4hr` (3 vs 6) e TRATTATO `Everolimus 4hr differentiated` (2 vs 6), entrambi contro lo stesso CONTROLLO `Control`"
cgroup_L5_31308596,GSE169140,controllo condiviso non appaiabile a entrambi i bracci trattati (tempo),"TRATTATO `PMA 6h` (2 vs 4) e TRATTATO `PMA 24h` (4 vs 4), entrambi contro lo stesso CONTROLLO `Control`"
cgroup_L5_a4029927,GSE186341,linea cellulare diversa fra i bracci,TRATTATO `HSTS cells treated with Afatinib` / CONTROLLO `KRJ1 cells treated with DMSO` (n=2 vs 33)
cgroup_L5_a4029927,GSE217421,controllo condiviso non appaiabile a entrambi i bracci trattati (donatore),"TRATTATO `Afatinib-treated cardiac myocytes (MSN01)` (2 vs 12) e TRATTATO `Afatinib-treated cardiac myocytes (MSN05)` (3 vs 12), entrambi contro lo stesso CONTROLLO `DMSO-treated cardiac myocytes`"
cgroup_L5_aad8ed47,GSE158305,controllo condiviso non appaiabile a entrambi i bracci trattati (linea cellulare),"TRATTATO `HBEC1_YAP_TAZ_knockdown` (3 vs 6) e TRATTATO `HBEC2_YAP_TAZ_knockdown` (3 vs 6), entrambi contro lo stesso CONTROLLO `Control_siRNA_1`"
cgroup_L5_930c8dcf,GSE118152,combinazione non catturata (agonista + antagonista),TRATTATO 'DHT_ENZ' contro CONTROLLO 'Control (EtOH_DMSO)'
cgroup_L5_930c8dcf,GSE218556,secondo agente solo nel trattato,TRATTATO 'LNCaP treated with DHT and X15695' contro CONTROLLO 'LNCaP treated with Vehicle (DMSO)'
cgroup_L5_930c8dcf,GSE227511,condizione di coltura solo nel trattato,TRATTATO 'MDaPCa2a cells treated with DHT and ACP-coating' contro CONTROLLO 'MDaPCa2a cells treated with control media'
cgroup_L5_721184e6,GSE125245,secondo intervento solo nel trattato,TRATTATO 'LNCaP cells with AR stimulation in presence of THZ1' contro CONTROLLO 'LNCaP cells treated with DMSO'
cgroup_L5_2ab433c8,GSE149262,passaggio di coltura diverso fra i bracci,"TRATTATO 'DLD-1 KRAS (+/-) passage 6, IL-22 10 ng/mL 24h' contro CONTROLLO 'DLD-1 KRAS (+/-) passage 7, untreated 24h'"
cgroup_L5_3be7454c,GSE126517,combinazione non catturata,TRATTATO 'T47D breast cancer cells treated with R5020 for 6 hours and IFN-alpha for 18 hours' contro CONTROLLO 'T47D breast cancer cells treated with EtOH for 6 hours and water for 18 hours'
cgroup_L5_3be7454c,GSE221804,braccio trattato a tempo zero (nessuna esposizione),"TRATTATO 'Wild-type, IFN alpha, 0h' contro CONTROLLO 'Wild-type, unstimulated'"
cgroup_L5_8b61f50b,GSE123285,entita' del gruppo diversa da quella isolata dal confronto (metabolita attivo al posto del composto padre),"TRATTATO 'MCF7 + 4-hydroxy tamoxifen (100 nM)' contro CONTROLLO 'MCF7 + DMSO Vehicle' (cinque volte, in un gruppo dichiarato CHEBI:41774 tamoxifen)"
cgroup_L5_021e875e,GSE161800,stato cellulare diverso fra i bracci (leggibile solo incrociando l'etichetta del riferimento),"oggi TRATTATO ""Cisplatin-treated Proliferative Cells (Sample 2)"" vs CONTROLLO ""Untreated Control"" (2 vs 3); nel riferimento lo stesso studio: ""Cisplatin-treated proliferating cells"" vs ""Untreated arrested cells"""
cgroup_L5_0e66597e,GSE231397,secondo agente solo nel trattato,"TRATTATO ""Fulvestrant + E2"" vs CONTROLLO ""DMSO"" (3 vs 3)"
cgroup_L5_49d55bfd,GSE179420,secondo agente solo nel trattato,"TRATTATO ""IL4 + Compound treated"" vs CONTROLLO ""untreated"" (due entry distinte, 2 vs 3 ciascuna), accanto alla coppia corretta ""IL4"" vs ""untreated"" nello stesso studio"
cgroup_L5_bd40f34f,GSE120904,secondo agente solo nel trattato,"TRATTATO ""Intestinal intraepithelial cytotoxic T cells treated with IL15 and CP"" vs CONTROLLO ""Intestinal intraepithelial cytotoxic T cells treated with vehicle_only"" (3 vs 2)"
cgroup_L5_bd40f34f,GSE126409,tempo non appaiato (limitato all'entry a 24 ore),"TRATTATO ""Healthy IEIL cells stimulated with IL15 for 24 hours"" vs CONTROLLO ""Healthy IEIL cells vehicle control (time zero)"" (2 vs 4)"
cgroup_L5_2a225fda,GSE85567,materiale diverso fra i bracci,"TRATTATO ""Asthma Airway Tissue"" (n=4) vs CONTROLLO ""Healthy Airway Epithelial Cells"" (n=26), accanto alla coppia corretta ""Asthma Airway Epithelial Cells"" vs ""Healthy Airway Epithelial Cells"""
cgroup_L5_87c40ebb,GSE99299,genetica su un braccio solo,TRATTATO 'A375 Ptpn2ko IFNg' vs CONTROLLO 'A375 non-targeting control'
cgroup_L5_87c40ebb,GSE228173,secondo agente solo nel trattato (3 confronti su 4),TRATTATO 'Endothelial cells treated with ruxo and IFNγ' vs CONTROLLO 'Untreated endothelial cells' (idem 'BI-3802 and IFNγ' e 'BI-3812 and IFNγ' contro lo stesso controllo)
cgroup_L5_87c40ebb,GSE141585,secondo agente solo nel trattato,TRATTATO 'SB-3CT + IFN-γ' vs CONTROLLO 'Control'
cgroup_L5_d631ee89,GSE93620,entita' sbagliata (omonimia della sigla 'iL3'),"TRATTATO 'HT-29-MTX, Colorectal carcinoma, A. ceylanicum iL3 larvae' vs CONTROLLO 'HT-29-MTX, Colorectal carcinoma, untreated'"
cgroup_L5_3a58e5f5,GSE213691,secondo agente solo nel trattato,TRATTATO 'PGE2 + poly I:C' vs CONTROLLO 'Vehicle control (none)'
cgroup_L5_3973fe03,GSE205853,"entita' sbagliata (IL-1β sotto IL1A) e due agenti insieme, in entrambi i suoi confronti","TRATTATO 'IFN-γ, IL-1β' vs CONTROLLO 'No treatment' e TRATTATO 'IFN-γ, IL-1β (combined)' vs CONTROLLO 'No treatment'"
cgroup_L5_3973fe03,GSE142706,linea cellulare diversa fra i bracci,TRATTATO 'LNas1 + IL-1 alpha' vs CONTROLLO 'LNCaP untreated'
cgroup_L5_f51ff620,GSE152004,esposizione farmacologica dichiarata sul solo braccio malato,"TRATTATO 'Asthmatic small molecule' vs CONTROLLO 'Healthy control' (nello stesso studio, contro lo stesso controllo: TRATTATO 'Asthmatic pooled')"
cgroup_L5_2ec87595,GSE102677,secondo agente solo nel trattato,TRATTATO 'PBMC + Metformin + MtbLysate' contro CONTROLLO 'PBMC unstimulated'
cgroup_L5_2ec87595,GSE185624,secondo agente solo nel trattato (radioterapia),TRATTATO 'XRT plus Metformin' contro CONTROLLO 'Untreated Control'
cgroup_L5_c054e202,GSE184427,modello/linea diversa fra i bracci in un disegno di trattamento,TRATTATO 'LuCaP 147 Rapamycin' contro CONTROLLO 'LuCaP 73 PBS Control' (nel riferimento: 'LuCaP 78 + Rapamycin' contro 'LuCaP 78 PBS Control')
cgroup_L5_bd19fe42,GSE120663,materiale/compartimento diverso: il confronto non isola il contrasto del gruppo,"TRATTATO 'HCC PBMC' contro CONTROLLO 'Healthy Control PBMC', dentro un gruppo di 'Hepatocellular carcinoma tissue' contro 'Normal liver tissue' e 'Hepatocellular Carcinoma' contro 'Adjacent Liver Tissue'"
cgroup_L5_1bbf4b9b,GSE46597,il controllo non e' tessuto normale: contrasto diverso da quello del gruppo,TRATTATO 'Gastric cancer stem cell' contro CONTROLLO 'Differentiated cell'
cgroup_L5_f832048f,GSE117970,materiale/compartimento diverso: il confronto non isola il contrasto del gruppo,"TRATTATO 'Monocytes - Breast Cancer' contro CONTROLLO 'Monocytes - Normal' (e 'TAMs - Breast Cancer' contro 'TAMs - Normal Breast'), dentro un gruppo di 'Breast Tumor' contro 'Normal Breast Tissue'"
cgroup_L5_f832048f,GSE225846,condizione del braccio di controllo dichiarata non determinata,TRATTATO 'transitional_Kenyan_KAIC017' contro CONTROLLO 'unclear_Kenyan_KAIC017'
cgroup_L5_862cd9b9,GSE237177,tempo/durata di coltura non appaiata fra i bracci,"TRATTATO 'CFPAC1 treated with SCH772984 1uM for x8 weeks' contro CONTROLLO 'CFPAC1 treated with DMSO 1:1000 for 1 week' (stessa forma per 'MIA PaCa-2 ... for x8 weeks', 'SW1573 ... for x8 weeks' e 'SW620 ... for x8 weeks')"
cgroup_L5_2d53def6,GSE120904,secondo agente solo nel trattato,TRATTATO 'Intestinal intraepithelial cytotoxic T cells treated with IL21 and CP' contro CONTROLLO 'Intestinal intraepithelial cytotoxic T cells treated with vehicle_only'
cgroup_L5_2d53def6,GSE126409,tempo non appaiato fra i bracci,"TRATTATO 'Healthy IEIL cells stimulated with IL21 for 24 hours' contro CONTROLLO 'Healthy IEIL cells vehicle control (time zero)' (e le analoghe a 4 ore e 30 minuti, tutte contro lo stesso 'time zero')"
cgroup_L5_b6b8bc00,GSE133567,linea/clone non appaiato fra i bracci (modificatore presente solo sul trattato),TRATTATO 'CHL1AR991 palbociclib' vs CONTROLLO 'CHL1 no treatment'
cgroup_L5_601ede7b,GSE255958,secondo fattore presente solo nel braccio trattato,"TRATTATO 'PC9 Osimertinib VT104' vs CONTROLLO 'PC9 DMSO' (nello stesso studio esiste il gruppo 'grp_PC9_Osimertinib' senza VT104, scartato per n_min)"
cgroup_L5_fea19ca0,GSE125066,secondo agente (infezione) presente solo nel braccio trattato,TRATTATO 'Wild-type T. gondii + IFN-β' vs CONTROLLO 'Untreated' (stesso controllo del braccio pulito 'IFN-β treated')
cgroup_L5_fea19ca0,GSE126409,tempo non appaiato (controllo a tempo zero),TRATTATO 'Healthy IEIL cells stimulated with IFN-beta for 24 hours' vs CONTROLLO 'Healthy IEIL cells vehicle control (time zero)'
cgroup_L5_b2affd22,GSE262147,fase/tempo non appaiato (un unico braccio di controllo per bracci in fasi diverse),"TRATTATO 'Whole blood, preeclampsia (postpartum)' vs CONTROLLO 'Whole blood, normal' — lo stesso controllo (8 campioni, GSM8158640-8158647) serve anche 'Whole blood, preeclampsia' e 'Whole blood, preeclampsia (detection)'"
cgroup_L5_889ec305,GSE205787,materiale diverso fra i bracci (tessuto intero contro sferoidi),TRATTATO 'Colorectal cancer whole tissues (untreated)' vs CONTROLLO 'Normal colorectal epithelial stem cell spheroids (untreated)'
cgroup_L5_debadb13,GSE164266,infezione clinica dentro un gruppo di infezioni sperimentali (tipo di controllo e materiale diversi),"TRATTATO 'Vγ9+Vδ2+ T cells from HBV patients' vs CONTROLLO 'Vγ9+Vδ2+ T cells from healthy donors', contro le righe sperimentali 'HBV 500 on Primary human hepatocyte' vs 'Mock on Primary human hepatocyte'"
cgroup_L5_444e7fc2,GSE141236,secondo agente solo nel trattato,TRATTATO 'HCMV/M. mass co-infection' vs CONTROLLO 'Vehicle control' (3 vs 3)
cgroup_L5_7805eee6,GSE154311,materiale diverso fra i bracci (frazione cellulare definita su assi diversi),"TRATTATO 'COVID-19 CD16Int' vs CONTROLLO 'Healthy NDN' (3 vs 2), e TRATTATO 'COVID-19 CD16High' vs CONTROLLO 'Healthy NDN' (3 vs 2); il riferimento dello stesso studio espande NDN: 'CD16Int COVID-19 -> Normal Density Neutrophils Healthy'"
cgroup_L5_8341bee7,GSE99626,secondo agente solo nel trattato,TRATTATO 'T47D cells treated with E2 and Progesterone' vs CONTROLLO 'T47D cells treated with Vehicle' (2 vs 3)
