"cluster_id","n","n_gen","n_trt","n_ctx","misto","contrast_entity_label","contrast_direction","kind_effective_resolved","k_effective","n_sig"
"cgroup_L5_2ab433c8",11,0,11,0,FALSE,"IL22","gain","cytokine_stim",6,1121
"cgroup_L5_2d53def6",36,0,36,0,FALSE,"IL21","gain","cytokine_stim",3,181
"cgroup_L5_2e16719f",177,0,166,11,FALSE,"TGFB1","gain","small_molecule",59,7909
"cgroup_L5_2ec87595",23,0,22,1,FALSE,"metformin","gain","small_molecule",8,334
"cgroup_L5_31308596",9,0,9,0,FALSE,"PMA (phorbol 12-myristate 13-acetate)","gain","small_molecule",5,989
"cgroup_L5_3370a794",8,0,8,0,FALSE,"gilteritinib","gain","small_molecule",4,1094
"cgroup_L5_3439da02",11,0,11,0,FALSE,"everolimus","gain","small_molecule",4,1335
"cgroup_L5_344e058f",12,0,12,0,FALSE,"BMP4","gain","environmental",3,2668
"cgroup_L5_356eedd3",7,0,7,0,FALSE,"trichostatin A","gain","small_molecule",3,3789
"cgroup_L5_35d1be10",31,0,30,1,FALSE,"nutlin 3a","gain","small_molecule",8,2342
"cgroup_L5_3668c2c2",4,0,4,0,FALSE,"INTERLEUKIN-10","gain","environmental",3,154
"cgroup_L5_37942548",28,0,27,1,FALSE,"all-trans-retinoic acid","gain","small_molecule",4,762
"cgroup_L5_37ecd157",5,0,5,0,FALSE,"vegf","gain","cytokine_stim",4,383
"cgroup_L5_3824dc37",9,0,9,0,FALSE,"nash","gain","disease_vs_normal",6,906
"cgroup_L5_387b0d1a",4,0,4,0,FALSE,"Diabetes Mellitus, Type 1","gain","disease_vs_normal",3,180
"cgroup_L5_3973fe03",9,0,9,0,FALSE,"IL1A","gain","cytokine_stim",4,947
"cgroup_L5_3a0a595f",35,0,35,0,FALSE,"dasatinib","gain","small_molecule",10,325
"cgroup_L5_3a58e5f5",6,0,6,0,FALSE,"prostaglandin E2","gain","small_molecule",3,2479
"cgroup_L5_3a625868",10,0,10,0,FALSE,"trastuzumab","gain","small_molecule",4,1649
"cgroup_L5_3b461817",20,0,20,0,FALSE,"nilotinib","gain","small_molecule",4,740
"cgroup_L5_3b91a21d",9,0,9,0,FALSE,"Neoplasm Metastasis","gain","disease_vs_normal",6,1554
"cgroup_L5_3be7454c",22,0,20,2,FALSE,"IFNA1","gain","cytokine_stim",3,992
"cgroup_L5_3d8c29f4",12,0,12,0,FALSE,"IL2","gain","genetic_overexpression",4,387
"cgroup_L5_3de56a79",4,0,4,0,FALSE,"pdac","gain","disease_vs_normal",3,27
"cgroup_L5_3eaa92c9",12,0,12,0,FALSE,"rosiglitazone","gain","small_molecule",5,863
"cgroup_L5_3ec58cd6",8,0,8,0,FALSE,"obese","gain","disease_vs_normal",7,46
"cgroup_L5_3f0cc1fe",46,0,46,0,FALSE,"Colitis, Ulcerative","gain","disease_vs_normal",4,555
"cgroup_L5_3fa847fe",5,0,5,0,FALSE,"osteoarthritis","gain","disease_vs_normal",3,425
"cgroup_L5_4041e3af",13,0,13,0,FALSE,"GSK-J4","gain","small_molecule",5,2456
"cgroup_L5_41f7b088",35,0,35,0,FALSE,"gefitinib","gain","small_molecule",8,265
"cgroup_L5_444e7fc2",26,0,24,2,FALSE,"HCMV (human cytomegalovirus)","gain","pathogen_or_aggregate_exposure",9,787
"cgroup_L5_455fe91d",7,0,6,1,FALSE,"DAPT","gain","small_molecule",3,994
"cgroup_L5_469db990",5,0,5,0,FALSE,"nahs","gain","small_molecule",3,787
"cgroup_L5_46a3a103",23,0,23,0,FALSE,"radiation","gain","environmental",7,800
"cgroup_L5_4753688f",17,0,17,0,FALSE,"r5020","gain","small_molecule",7,615
"cgroup_L5_479c6221",18,0,18,0,FALSE,"GSK126","gain","small_molecule",5,1175
"cgroup_L5_49d55bfd",29,0,29,0,FALSE,"IL4","gain","cytokine_stim",10,624
"cgroup_L5_49e290ae",14,0,14,0,FALSE,"cyclosporin A","gain","small_molecule",4,142
"cgroup_L5_4b901bf1",16,0,16,0,FALSE,"psoriasis","gain","disease_vs_normal",9,388
"cgroup_L5_4be9e90d",37,0,37,0,FALSE,"PFOS","gain","small_molecule",4,549
"cgroup_L5_4d535f25",9,0,9,0,FALSE,"ykl 5 124","gain","small_molecule",3,1163
"cgroup_L5_4f4d9051",12,0,12,0,FALSE,"TNF-ALPHA","gain","cytokine_stim",6,986
"cgroup_L5_516200d1",5,0,5,0,FALSE,"L-ascorbic acid","gain","small_molecule",3,1252
"cgroup_L5_522e9ebd",5,0,5,0,FALSE,"keratoconus","gain","disease_vs_normal",3,1333
"cgroup_L5_522fa0c2",17,0,17,0,FALSE,"sals","gain","disease_vs_normal",4,56
"cgroup_L5_523e64b9",27,0,22,5,FALSE,"MK-2206","gain","genetic_knockout",3,1739
"cgroup_L5_535d97f6",33,0,33,0,FALSE,"imatinib","gain","small_molecule",9,392
"cgroup_L5_538960a6",13,0,13,0,FALSE,"mycobacteriumtuberculosis","gain","pathogen_or_aggregate_exposure",4,653
"cgroup_L5_545a48c6",5,0,5,0,FALSE,"Adenocarcinoma of Lung","gain","disease_vs_normal",3,1
"cgroup_L5_56d531e8",10,0,10,0,FALSE,"nicotinamide","gain","small_molecule",3,2380
"cgroup_L5_5927750b",16,0,16,0,FALSE,"carfilzomib","gain","small_molecule",4,2135
"cgroup_L5_5929f298",8,0,8,0,FALSE,"snx631","gain","small_molecule",3,1293
"cgroup_L5_5b9a08fb",5,0,5,0,FALSE,"methotrexate","gain","small_molecule",3,1077
"cgroup_L5_5d97d5b1",5,0,5,0,FALSE,"antigen (classe-ombrello)","gain","small_molecule",3,251
"cgroup_L5_5e0c0fae",23,0,23,0,FALSE,"RITUXIMAB","gain","small_molecule",4,440
"cgroup_L5_601ede7b",48,0,47,1,FALSE,"osimertinib","gain","cytokine_stim",10,1938
"cgroup_L5_63e69fdc",20,0,20,0,FALSE,"Alzheimer Disease","gain","disease_vs_normal",6,6231
"cgroup_L5_6b7b8076",11,0,11,0,FALSE,"Thyroid Cancer, Papillary","gain","disease_vs_normal",3,3491
"cgroup_L5_6df6a50e",46,0,46,0,FALSE,"sorafenib","gain","small_molecule",13,353
"cgroup_L5_6ee86f02",3,0,3,0,FALSE,"Spondylitis, Ankylosing","gain","disease_vs_normal",3,348
"cgroup_L5_702a5dea",55,0,52,3,FALSE,"trametinib","gain","small_molecule",9,5415
"cgroup_L5_721184e6",44,0,44,0,FALSE,"THZ1","gain","small_molecule",11,669
"cgroup_L5_729b276d",3,0,3,0,FALSE,"Diabetes, Gestational","gain","environmental",3,23
"cgroup_L5_74daf1c9",6,0,6,0,FALSE,"oscc","gain","disease_vs_normal",4,4188
"cgroup_L5_7784bb43",12,0,12,0,FALSE,"pcos","gain","disease_vs_normal",6,24
"cgroup_L5_7805eee6",31,0,31,0,FALSE,"covid 19","gain","pathogen_or_aggregate_exposure",7,598
"cgroup_L5_7934174c",28,0,28,0,FALSE,"tazemetostat","gain","small_molecule",9,2366
"cgroup_L5_79a73ac5",13,0,13,0,FALSE,"Influenza A virus","gain","pathogen_or_aggregate_exposure",7,1801
"cgroup_L5_79b3a442",3,0,3,0,FALSE,"cteph","gain","disease_vs_normal",3,116
"cgroup_L5_79ce3bd1",19,0,14,5,FALSE,"bleomycin A2","gain","small_molecule",6,4199
"cgroup_L5_81b706c4",31,0,31,0,FALSE,"paclitaxel","gain","small_molecule",3,84
"cgroup_L5_828ae0cb",12,0,12,0,FALSE,"TWEAK (TNFSF12)","gain","cytokine_stim",4,1307
"cgroup_L5_82f82010",6,0,6,0,FALSE,"diabetic","gain","disease_vs_normal",5,138
"cgroup_L5_8341bee7",4,0,3,1,FALSE,"progesterone","gain","genetic_knockdown",3,227
"cgroup_L5_83b1f88c",25,0,25,0,FALSE,"neratinib","gain","small_molecule",3,2782
"cgroup_L5_83f57274",79,0,66,13,FALSE,"hypoxia","gain","environmental",25,4068
"cgroup_L5_840b7e36",6,0,6,0,FALSE,"anti-CD3/CD28 stimulation","gain","pathogen_or_aggregate_exposure",3,643
"cgroup_L5_844de383",6,0,6,0,FALSE,"sjogren s syndrome","gain","disease_vs_normal",5,1850
"cgroup_L5_85083e38",35,0,34,1,FALSE,"Parkinson Disease","gain","disease_vs_normal",10,976
"cgroup_L5_855ca642",7,0,7,0,FALSE,"hydrogen + peroxide","gain","small_molecule",3,2109
"cgroup_L5_862cd9b9",7,0,7,0,FALSE,"SCH772984","gain","small_molecule",3,1781
"cgroup_L5_871ae09e",103,0,95,8,FALSE,"SARS-CoV-2","gain","pathogen_or_aggregate_exposure",34,1933
"cgroup_L5_87c40ebb",79,0,69,10,FALSE,"IFNG","gain","cytokine_stim",20,3579
"cgroup_L5_889ec305",33,0,33,0,FALSE,"Colorectal Neoplasms","gain","disease_vs_normal",7,1341
"cgroup_L5_8958b27a",14,0,10,4,FALSE,"Nutlin","gain","small_molecule",5,1376
"cgroup_L5_8a54ddd6",54,0,45,9,FALSE,"doxorubicin","gain","small_molecule",14,2585
"cgroup_L5_8ac307e0",34,0,34,0,FALSE,"cabozantinib","gain","small_molecule",4,2008
"cgroup_L5_8b61f50b",16,0,16,0,FALSE,"tamoxifen","gain","small_molecule",4,433
"cgroup_L5_8c9339f5",17,0,17,0,FALSE,"Zika virus","gain","pathogen_or_aggregate_exposure",5,3133
"cgroup_L5_8eca612e",15,0,15,0,FALSE,"dabrafenib","gain","small_molecule",3,149
"cgroup_L5_905be893",50,0,46,4,FALSE,"IL1B","gain","cytokine_stim",18,1681
"cgroup_L5_90db4e34",16,0,14,2,FALSE,"testosterone","gain","small_molecule",3,426
"cgroup_L5_92f4f307",8,0,8,0,FALSE,"isoprenaline","gain","small_molecule",3,537
"cgroup_L5_93068469",22,0,22,0,FALSE,"5-azacytidine","gain","small_molecule",4,1278
"cgroup_L5_930c8dcf",57,0,49,8,FALSE,"DHT (5alpha-dihydrotestosterone)","gain","small_molecule",23,4875
"cgroup_L5_964c6389",39,0,39,0,FALSE,"Huntington Disease","gain","disease_vs_normal",3,1446
"cgroup_L5_96c9f7bf",16,0,16,0,FALSE,"bipolar disorder","gain","differentiation",4,2619
"cgroup_L5_988d478d",5,0,5,0,FALSE,"copd","gain","environmental",4,32
"cgroup_L5_99d7941a",9,0,9,0,FALSE,"temozolomide","gain","small_molecule",5,1850
"cgroup_L5_9bb4734d",16,0,16,0,FALSE,"ifnb","gain","cytokine_stim",3,3430
"cgroup_L5_9bdf0dcb",12,0,9,3,FALSE,"ifna","gain","small_molecule",3,1749
"cgroup_L5_9de3f0ea",9,0,9,0,FALSE,"tb positive","gain","pathogen_or_aggregate_exposure",3,156
"cgroup_L5_9f0ea111",8,0,8,0,FALSE,"StemRegenin 1","gain","small_molecule",3,834
"cgroup_L5_a12414d4",44,0,41,3,FALSE,"17β-estradiol","gain","small_molecule",10,410
"cgroup_L5_a25d0964",26,0,23,3,FALSE,"IL6","gain","cytokine_stim",10,240
"cgroup_L5_a32e5eaa",99,0,86,13,FALSE,"5-aza-2'-deoxycytidine","gain","small_molecule",14,4619
"cgroup_L5_a3c3e08c",60,0,60,0,FALSE,"Lung Neoplasms","gain","disease_vs_normal",3,1884
"cgroup_L5_a3f0c959",8,0,8,0,FALSE,"GSK-LSD1","gain","small_molecule",3,933
"cgroup_L5_a4029927",23,0,23,0,FALSE,"afatinib","gain","small_molecule",4,1715
"cgroup_L5_a69fcae5",14,0,14,0,FALSE,"Lupus Erythematosus, Systemic","gain","disease_vs_normal",4,429
"cgroup_L5_a6fd82fa",11,0,11,0,FALSE,"afimoxifene","gain","small_molecule",5,960
"cgroup_L5_a739837c",15,0,15,0,FALSE,"adenoma","gain","disease_vs_normal",3,65
"cgroup_L5_a747a14e",4,0,4,0,FALSE,"pm2 5","gain","environmental",4,448
"cgroup_L5_a7509255",5,0,5,0,FALSE,"Staphylococcus aureus","gain","pathogen_or_aggregate_exposure",4,1356
"cgroup_L5_a8015c98",12,0,12,0,FALSE,"gemcitabine","gain","small_molecule",5,1148
"cgroup_L5_a8d88150",8,0,8,0,FALSE,"lenvatinib","gain","small_molecule",4,1061
"cgroup_L5_a8ff7b6d",20,0,20,0,FALSE,"atra","gain","small_molecule",5,983
"cgroup_L5_aa8c1d6d",20,0,19,1,FALSE,"birabresib","gain","small_molecule",5,2072
"cgroup_L5_aad8ed47",11,0,0,11,FALSE,"taz + yap","block","genetic_knockdown",3,3058
"cgroup_L5_ae11259e",6,0,6,0,FALSE,"tofacitinib","gain","small_molecule",4,184
"cgroup_L5_ae969461",3,0,2,1,FALSE,"saracatinib","gain","small_molecule",3,1706
"cgroup_L5_aecd610f",37,0,37,0,FALSE,"schizophrenia","gain","disease_vs_normal",14,263
"cgroup_L5_b0066299",30,0,30,0,FALSE,"keloid","gain","disease_vs_normal",4,313
"cgroup_L5_b2affd22",24,0,24,0,FALSE,"Pre-Eclampsia","gain","disease_vs_normal",6,2461
"cgroup_L5_b32ab7f6",22,0,22,0,FALSE,"IL17A","gain","cytokine_stim",9,781
"cgroup_L5_b3ccf1c1",12,0,12,0,FALSE,"vandetanib","gain","small_molecule",3,1
"cgroup_L5_b5db4aff",18,0,18,0,FALSE,"selinexor","gain","small_molecule",4,1828
"cgroup_L5_b6b8bc00",67,0,64,3,FALSE,"palbociclib","gain","small_molecule",15,2833
"cgroup_L5_b71a25a2",88,0,77,11,FALSE,"JQ1","gain","small_molecule",25,9678
"cgroup_L5_b9c77320",13,0,13,0,FALSE,"HIV-1","gain","pathogen_or_aggregate_exposure",4,1662
"cgroup_L5_b9e7806c",18,0,18,0,FALSE,"THZ531","gain","small_molecule",3,1893
"cgroup_L5_ba4af011",11,0,9,2,FALSE,"irradiation","gain","environmental",7,2391
"cgroup_L5_bb8cb388",20,0,20,0,FALSE,"endometriosis","gain","disease_vs_normal",7,21
"cgroup_L5_bd19fe42",21,0,21,0,FALSE,"Carcinoma, Hepatocellular","gain","disease_vs_normal",9,72
"cgroup_L5_bd40f34f",22,0,22,0,FALSE,"IL15","gain","cytokine_stim",3,1457
"cgroup_L5_be15b706",41,0,41,0,FALSE,"IL13","gain","cytokine_stim",12,1805
"cgroup_L5_c040a36d",17,0,17,0,FALSE,"Carcinoma, Renal Cell","gain","disease_vs_normal",4,4662
"cgroup_L5_c054e202",17,0,17,0,FALSE,"sirolimus","gain","small_molecule",6,3642
"cgroup_L5_c0d1d837",63,0,60,3,FALSE,"enzalutamide","gain","small_molecule",19,3498
"cgroup_L5_c13b1103",6,0,6,0,FALSE,"Non-alcoholic Fatty Liver Disease","gain","disease_vs_normal",5,702
"cgroup_L5_c3ae78cd",98,0,98,0,FALSE,"Crohn Disease","gain","disease_vs_normal",10,3515
"cgroup_L5_c548d053",120,0,115,5,FALSE,"lipopolysaccharide","gain","pathogen_or_aggregate_exposure",35,6883
"cgroup_L5_c5e86fe9",33,0,32,1,FALSE,"olaparib","gain","small_molecule",7,322
"cgroup_L5_c860712d",14,0,14,0,FALSE,"cystic fibrosis","gain","disease_vs_normal",5,296
"cgroup_L5_cacf5d1a",4,0,4,0,FALSE,"f nucleatum","gain","pathogen_or_aggregate_exposure",3,513
"cgroup_L5_cf34c533",8,0,8,0,FALSE,"Nutlin-3","gain","small_molecule",3,2810
"cgroup_L5_cfad03a8",20,0,20,0,FALSE,"hepatoblastoma","gain","disease_vs_normal",3,9709
"cgroup_L5_d28620cd",3,0,3,0,FALSE,"staurosporine","gain","small_molecule",3,1859
"cgroup_L5_d2c64672",21,0,21,0,FALSE,"romidepsin","gain","small_molecule",4,2384
"cgroup_L5_d411c435",12,0,11,1,FALSE,"tunicamycin","gain","small_molecule",5,2945
"cgroup_L5_d53bf74e",5,0,5,0,FALSE,"Lymphoma, Follicular","gain","disease_vs_normal",3,1972
"cgroup_L5_d5e39a5d",7,0,7,0,FALSE,"sarcopenia","gain","environmental",4,0
"cgroup_L5_d631ee89",5,0,5,0,FALSE,"IL3","gain","cytokine_stim",3,314
"cgroup_L5_d7abf612",6,0,6,0,FALSE,"rotenone","gain","small_molecule",3,196
"cgroup_L5_d7ad915e",15,0,15,0,FALSE,"valproic acid","gain","small_molecule",7,3024
"cgroup_L5_d8006c5b",9,0,9,0,FALSE,"oxaliplatin","gain","small_molecule",3,655
"cgroup_L5_d9e23e09",88,0,76,12,FALSE,"TNF","gain","cytokine_stim",32,7345
"cgroup_L5_dc7451b1",27,0,25,2,FALSE,"pinometostat","gain","small_molecule",7,213
"cgroup_L5_dcce160a",5,0,5,0,FALSE,"daunorubicin","gain","small_molecule",4,2048
"cgroup_L5_dd2a13de",16,0,16,0,FALSE,"idiopathic pulmonary fibrosis","gain","disease_vs_normal",3,19
"cgroup_L5_dd2a1a58",11,0,11,0,FALSE,"heart failure","gain","environmental",5,4060
"cgroup_L5_dde29fb4",34,0,30,4,FALSE,"hydrogen peroxide","gain","small_molecule",8,1497
"cgroup_L5_debadb13",9,0,9,0,FALSE,"hepatitis B virus","gain","pathogen_or_aggregate_exposure",3,23
"cgroup_L5_df599af1",18,0,18,0,FALSE,"sepsis","gain","environmental",5,181
"cgroup_L5_e16bfa7f",5,0,5,0,FALSE,"ABBV-744","gain","small_molecule",3,1588
"cgroup_L5_e17c136b",8,0,8,0,FALSE,"pevonedistat","gain","small_molecule",3,1037
"cgroup_L5_e294a3bc",7,0,7,0,FALSE,"DRB","gain","small_molecule",3,2571
"cgroup_L5_e7eebebd",7,0,7,0,FALSE,"steatotic","gain","disease_vs_normal",3,1027
"cgroup_L5_ea4a1823",5,0,5,0,FALSE,"calcium atom","gain","environmental",3,2767
"cgroup_L5_eb5e1e65",46,0,43,3,FALSE,"dexamethasone","gain","small_molecule",13,601
"cgroup_L5_eba39954",14,0,14,0,FALSE,"Smokers","gain","environmental",4,10
"cgroup_L5_ee94648c",7,0,7,0,FALSE,"Escherichia coli","gain","pathogen_or_aggregate_exposure",3,1518
"cgroup_L5_eedd08cb",5,0,0,5,FALSE,"sirna pool against igf2bp1","block","genetic_knockdown",3,4681
"cgroup_L5_efced505",39,0,39,0,FALSE,"sunitinib","gain","small_molecule",9,639
"cgroup_L5_f2139c4f",4,0,4,0,FALSE,"erastin","gain","small_molecule",3,3132
"cgroup_L5_f2481870",3,0,3,0,FALSE,"DUBERMATINIB","gain","small_molecule",3,2280
"cgroup_L5_f29dd3b3",8,0,8,0,FALSE,"Arthritis, Rheumatoid","gain","disease_vs_normal",5,117
"cgroup_L5_f34ff8df",34,0,33,1,FALSE,"etoposide","gain","small_molecule",3,2689
"cgroup_L5_f51ff620",10,0,10,0,FALSE,"asthmatic","gain","disease_vs_normal",4,423
"cgroup_L5_f56d966d",9,0,9,0,FALSE,"IPATASERTIB","gain","small_molecule",3,3629
"cgroup_L5_f640365a",6,0,6,0,FALSE,"hemin","gain","small_molecule",3,982
"cgroup_L5_f832048f",16,0,16,0,FALSE,"Breast Neoplasms","gain","disease_vs_normal",5,3264
"cgroup_L5_f94b6180",100,0,56,44,FALSE,"R1881 (metribolone)","gain","small_molecule",22,8427
"cgroup_L5_f956ef98",19,0,19,0,FALSE,"TCDD","gain","small_molecule",5,650
"cgroup_L5_f97e50de",42,0,42,0,FALSE,"crizotinib","gain","small_molecule",8,1112
"cgroup_L5_f9cc41b3",4,0,4,0,FALSE,"vtp50469","gain","small_molecule",3,634
"cgroup_L5_fd0c6a79",25,0,24,1,FALSE,"regorafenib","gain","small_molecule",4,343
"cgroup_L5_fea19ca0",6,0,6,0,FALSE,"IFNB1","gain","cytokine_stim",3,1166
"cgroup_L5_ff45f67e",6,0,6,0,FALSE,"ionomycin + pma","gain","small_molecule",3,1584
"cgroup_L5_ff78d2a8",8,0,8,0,FALSE,"acetylsalicylic acid","gain","small_molecule",3,513
