"cluster_id","study_id","gen_trattato","gen_controllo","stato","trattato","controllo"
"cgroup_L5_c548d053","GSE101409",FALSE,FALSE,"trattamento","LPS + DMSO ; treatment=LPS","DMSO ; treatment=DMSO"
"cgroup_L5_c548d053","GSE101409",FALSE,FALSE,"trattamento","LPS + DMSO ; treatment=LPS","DMSO ; treatment=DMSO"
"cgroup_L5_021e875e","GSE101419",FALSE,FALSE,"trattamento","Cisplatin 2 mg/kg 29 days ; Treatment=Cisplatin","Control ; Treatment=Control"
"cgroup_L5_021e875e","GSE101419",FALSE,FALSE,"trattamento","Cisplatin 2 mg/kg 35 days ; Treatment=Cisplatin","Control ; Treatment=Control"
"cgroup_L5_83f57274","GSE101799",FALSE,FALSE,"trattamento","DIPG cells under hypoxia ; oxygen_condition=hypoxia ; disease_state=DIPG","DIPG cells under normoxia ; oxygen_condition=normoxi"
"cgroup_L5_83f57274","GSE101799",FALSE,FALSE,"trattamento","Glioblastoma cells under hypoxia ; oxygen_condition=hypoxia ; disease_state=gl","Glioblastoma cells under normoxia ; oxygen_condition"
"cgroup_L5_905be893","GSE101868",FALSE,FALSE,"trattamento","A549 IL1beta ; cell_type=A549 ; treatment=IL1beta","A549 media ; cell_type=A549 ; treatment=media"
"cgroup_L5_ee94648c","GSE101880",FALSE,FALSE,"trattamento","E. coli infected (Female, Newborn) ; bacterial_strain=E. coli ; sex=F ; develo","Unstimulated (Male) ; sex=M"
"cgroup_L5_c860712d","GSE101993",FALSE,FALSE,"trattamento","CFHBE Cystic Fibrosis ; disease_state=Cystic Fibrosis ; cell_type_or_line_raw=","Primary Human Bronchial Epithelial Cells Healthy ; d"
"cgroup_L5_c860712d","GSE101993",FALSE,FALSE,"trattamento","CFHBE Cystic Fibrosis ; disease_state=Cystic Fibrosis ; cell_type_or_line_raw=","Primary Human Bronchial Epithelial Cells Healthy (Br"
"cgroup_L5_c860712d","GSE101993",FALSE,FALSE,"trattamento","CFHBE Cystic Fibrosis ; disease_state=Cystic Fibrosis ; cell_type_or_line_raw=","Primary Human Tracheal Epithelial Cells Healthy ; di"
"cgroup_L5_930c8dcf","GSE102183",FALSE,FALSE,"trattamento","LNCaP Bag-1L C-terminal mutant (K231A, K232A, K279A) + DHT ; cell_line=LNCaP B","LNCaP Bag-1L C-terminal mutant (K231A, K232A, K279A)"
"cgroup_L5_930c8dcf","GSE102183",FALSE,FALSE,"trattamento","LNCaP Bag-1L wild-type cells + DHT ; cell_line=LNCaP Bag-1L wild-type cells ; ","LNCaP Bag-1L wild-type cells + EtOH ; cell_line=LNCa"
"cgroup_L5_535d97f6","GSE102209",FALSE,FALSE,"trattamento","xenograft_imatinib_1 ; treatment=imatinib ; cell_context=xenograft of patient ","xenograft_DMSO ; treatment=DMSO ; cell_context=xenog"
"cgroup_L5_aa8c1d6d","GSE102408",FALSE,FALSE,"trattamento","MDA-MB-231 + OTX015 ; treatment=OTX015","MDA-MB-231 + DMSO ; treatment=DMSO"
"cgroup_L5_721184e6","GSE102408",FALSE,FALSE,"trattamento","MDA-MB-231 + THZ1 ; treatment=THZ1","MDA-MB-231 + DMSO ; treatment=DMSO"
"cgroup_L5_d411c435","GSE102505",FALSE,FALSE,"trattamento","Tunicamycin-treated glioblastoma derived (ATCC) ; treatment=Tunicamycin ; cell","DMSO-treated glioblastoma derived (ATCC) ; treatment"
"cgroup_L5_d411c435","GSE102505",FALSE,FALSE,"trattamento","Tunicamycin-treated glioma derived stem cells ; treatment=Tunicamycin ; cell_t","DMSO-treated glioma derived stem cells ; treatment=D"
"cgroup_L5_d411c435","GSE102505",FALSE,FALSE,"trattamento","Tunicamycin-treated Normal Human Astrocytes ; treatment=Tunicamycin ; cell_typ","DMSO-treated Normal Human Astrocytes ; treatment=DMS"
"cgroup_L5_d411c435","GSE102505",FALSE,FALSE,"trattamento","Tunicamycin-treated Normal Human Astrocytes ; treatment=Tunicamycin ; cell_typ","DMSO-treated Normal Human Astrocytes ; treatment=DMS"
"cgroup_L5_d411c435","GSE102505",FALSE,FALSE,"trattamento","Tunicamycin-treated Normal Human Astrocytes ; treatment=Tunicamycin ; cell_typ","DMSO-treated Normal Human Astrocytes ; treatment=DMS"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_eba39954","GSE102556",FALSE,FALSE,"trattamento","Control, Smoker ; disease_state=Control ; smoking_status=Smoker","Control, Accident ; disease_state=Control ; smoking_"
"cgroup_L5_f34ff8df","GSE102639",FALSE,FALSE,"trattamento","A549 etoposide ; cell_line=A549 ; treatment=etoposide","A549 control ; cell_line=A549 ; treatment=none"
"cgroup_L5_2e16719f","GSE102674",FALSE,FALSE,"trattamento","TGFβ1 ; treatment=TGFβ1 ; cell_type=primary human lung fibroblasts ; passage=p","-vehicle ; treatment=vehicle_only ; cell_type=primar"
"cgroup_L5_c054e202","GSE102674",FALSE,FALSE,"trattamento","rapamycin ; treatment=rapamycin ; cell_type=primary human lung fibroblasts ; p","-vehicle ; treatment=vehicle_only ; cell_type=primar"
"cgroup_L5_2ec87595","GSE102677",FALSE,FALSE,"trattamento","PBMC + Metformin + MtbLysate ; treatment=metformin ; treatment=MtbLysate","PBMC + Unstimulated (Donor 1) ; treatment=unstimulat"
"cgroup_L5_2ec87595","GSE102677",FALSE,FALSE,"trattamento","PBMC + Metformin ; treatment=metformin","PBMC + Unstimulated (Donor 1) ; treatment=unstimulat"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-111 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-135 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-139 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-137 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-140 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-141 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-142 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-143 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-146 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-144 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-150 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-145 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-151 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-147 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-152 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-148 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-153 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-149 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_3f0cc1fe","GSE102746",FALSE,FALSE,"trattamento","Ulcerative Colitis CTd-155 ; disease_state=ulcerative_colitis ; cell_type_or_l","Normal NL-156 ; disease_state=normal ; cell_type_or_"
"cgroup_L5_17b55386","GSE102812",FALSE,FALSE,"trattamento","FSHD ; disease_state=FSHD ; cell_type_or_line_raw=Immortalised Human Myoblasts","Control ; disease_state=Control ; cell_type_or_line_"
"cgroup_L5_aa8c1d6d","GSE102908",FALSE,FALSE,"trattamento","OVCAR8 cells treated with OTX015 at 100 nM for 24 hours ; cell_line=OVCAR8 ; t","OVCAR8 cells treated with DMSO ; cell_line=OVCAR8 ; "
"cgroup_L5_aa8c1d6d","GSE102908",FALSE,FALSE,"trattamento","OVCAR8 cells treated with OTX015 at 100 nM for 24 hours (replicate) ; cell_lin","OVCAR8 cells treated with DMSO ; cell_line=OVCAR8 ; "
"cgroup_L5_aa8c1d6d","GSE102908",FALSE,FALSE,"trattamento","OVCAR8 cells treated with OTX015 at 100 nM for 4 hours ; cell_line=OVCAR8 ; tr","OVCAR8 cells treated with DMSO ; cell_line=OVCAR8 ; "
"cgroup_L5_aa8c1d6d","GSE102908",FALSE,FALSE,"trattamento","SCCOHT1 cells treated with OTX015 at 100 nM for 24 hours ; cell_line=SCCOHT1 ;","SCCOHT1 cells treated with DMSO ; cell_line=SCCOHT1 "
"cgroup_L5_aa8c1d6d","GSE102908",FALSE,FALSE,"trattamento","SCCOHT1 cells treated with OTX015 at 100 nM for 24 hours (replicate) ; cell_li","SCCOHT1 cells treated with DMSO ; cell_line=SCCOHT1 "
"cgroup_L5_aa8c1d6d","GSE102908",FALSE,FALSE,"trattamento","SCCOHT1 cells treated with OTX015 at 100 nM for 4 hours ; cell_line=SCCOHT1 ; ","SCCOHT1 cells treated with DMSO ; cell_line=SCCOHT1 "
"cgroup_L5_aa8c1d6d","GSE102908",FALSE,FALSE,"trattamento","SCCOHT1 cells treated with OTX015 at 100 nM for 4 hours (replicate) ; cell_lin","SCCOHT1 cells treated with DMSO ; cell_line=SCCOHT1 "
"cgroup_L5_538960a6","GSE103147",FALSE,FALSE,"trattamento","mTb 180h ; treatment=mTb ; time=180 hours","unstim 180h ; treatment=unstim ; time=180 hours"
"cgroup_L5_538960a6","GSE103147",FALSE,FALSE,"trattamento","mTb 360h ; treatment=mTb ; time=360 hours","unstim 360h ; treatment=unstim ; time=360 hours"
"cgroup_L5_538960a6","GSE103147",FALSE,FALSE,"trattamento","mTb 540h ; treatment=mTb ; time=540 hours","unstim 540h ; treatment=unstim ; time=540 hours"
"cgroup_L5_2e16719f","GSE103293",FALSE,FALSE,"trattamento","A549 SAi14 TGFb1 ; treatment=TGFb1 ; genetic_background=SAi14","A549 SAi14 control ; treatment=control ; genetic_bac"
"cgroup_L5_c548d053","GSE103501",FALSE,FALSE,"trattamento","LPS-treated H-391 ; treatment=LPS ; donor=H-391","Medium-treated H-391 ; treatment=medium ; donor=H-39"
"cgroup_L5_c548d053","GSE103501",FALSE,FALSE,"trattamento","LPS-treated SYS-177 ; treatment=LPS ; donor=SYS-177","Medium-treated SYS-177 ; treatment=medium ; donor=SY"
"cgroup_L5_b9c77320","GSE103666",FALSE,FALSE,"trattamento","HIV-1 exposed ; treatment=HIV-1","Untreated ; treatment=untreated"
"cgroup_L5_b9c77320","GSE103666",FALSE,FALSE,"trattamento","HIV-1 exposed (additional) ; treatment=HIV-1","Untreated (additional) ; treatment=untreated"
"cgroup_L5_b9c77320","GSE103666",FALSE,FALSE,"trattamento","Infected ; treatment=HIV-1","Untreated ; treatment=untreated"
"cgroup_L5_b32ab7f6","GSE103930",FALSE,FALSE,"trattamento","PBMC CD4 + IL17A ; perturbation=IL17A","PBMC CD4 (untreated) ; perturbation=none"
"cgroup_L5_889ec305","GSE104178",FALSE,FALSE,"trattamento","Colorectal Cancer Tissue ; disease_state=colorectal cancer","Normal Mucosa ; disease_state=normal"
"cgroup_L5_83f57274","GSE104193",FALSE,FALSE,"trattamento","MCF10A Hypoxia ; cell_line=MCF10A ; oxygen_condition=hypoxia ; treatment=no_PP","MCF10A Normoxia ; cell_line=MCF10A ; oxygen_conditio"
"cgroup_L5_83f57274","GSE104193",FALSE,FALSE,"trattamento","MCF10A Hypoxia + PP242 ; cell_line=MCF10A ; oxygen_condition=hypoxia ; treatme","MCF10A Normoxia + PP242 ; cell_line=MCF10A ; oxygen_"
"cgroup_L5_83f57274","GSE104193",FALSE,FALSE,"trattamento","MDA-MB-231 Hypoxia ; cell_line=MDA-MB-231 ; oxygen_condition=hypoxia ; treatme","MDA-MB-231 Normoxia ; cell_line=MDA-MB-231 ; oxygen_"
"cgroup_L5_83f57274","GSE104193",FALSE,FALSE,"trattamento","MDA-MB-231 Hypoxia + PP242 ; cell_line=MDA-MB-231 ; oxygen_condition=hypoxia ;","MDA-MB-231 Normoxia + PP242 ; cell_line=MDA-MB-231 ;"
"cgroup_L5_c548d053","GSE104282",FALSE,FALSE,"trattamento","HIDS patient 1 stimulated with LPS ; disease_state=Hyper IgD Syndrome (HIDS) ;","HIDS patient 1 cultured in RPMI for 24h ; disease_st"
"cgroup_L5_c548d053","GSE104282",FALSE,FALSE,"trattamento","Healthy donor 1 stimulated with LPS ; disease_state=healthy ; perturbation=LPS","Healthy donor 1 cultured in RPMI for 24h ; disease_s"
"cgroup_L5_9bb4734d","GSE104348",FALSE,FALSE,"trattamento","IFNB treated (female) ; interferon_type=IFNB ; sex=F","Mock treated (female) ; interferon_type=mock ; sex=F"
"cgroup_L5_9bb4734d","GSE104348",FALSE,FALSE,"trattamento","IFNB treated (male) ; interferon_type=IFNB ; sex=M","Mock treated (male) ; interferon_type=mock ; sex=M"
"cgroup_L5_9bb4734d","GSE104348",FALSE,FALSE,"trattamento","IFNB treated (female) ; interferon_type=IFNB ; sex=F","Mock treated (female) ; interferon_type=mock ; sex=F"
"cgroup_L5_f2139c4f","GSE104462",FALSE,FALSE,"trattamento","Erastin-treated Bel-7402 cells ; treatment=Erastin ; cell_type=Bel-7402 cell ;","Control Bel-7402 cells ; treatment=control ; cell_ty"
"cgroup_L5_8958b27a","GSE104756",FALSE,FALSE,"trattamento","NGP cell line treated with nutlin ; treatment=nutlin ; cell_type_or_line_raw=N","NGP cell line treated with ethanol ; treatment=ethan"
"cgroup_L5_cfad03a8","GSE104766",FALSE,FALSE,"trattamento","Hepatoblastoma Tumor ; cell_context=tumour ; disease_state=Hepatoblastoma","Normal Liver ; cell_context=normal ; disease_state=n"
"cgroup_L5_cfad03a8","GSE104766",FALSE,FALSE,"trattamento","Hepatoblastoma Tumor Extracted Cells ; cell_context=tumour ; disease_state=Hep","Normal Liver ; cell_context=normal ; disease_state=n"
"cgroup_L5_f956ef98","GSE104869",FALSE,FALSE,"trattamento","TCDD ; Treatment=TCDD","DMSO ; Treatment=DMSO"
"cgroup_L5_03b38818","GSE104869",FALSE,FALSE,"trattamento","Vemurafenib ; Treatment=Vemurafenib","DMSO ; Treatment=DMSO"
"cgroup_L5_a6fd82fa","GSE104872",FALSE,FALSE,"trattamento","MCF7 + 4-hydroxytamoxifen 24h ; treatment=4-hydroxytamoxifen ; time=24h","MCF7 + ethanol 24h ; treatment=ethanol ; time=24h"
"cgroup_L5_99d7941a","GSE104917",FALSE,FALSE,"trattamento","Temozolomide 24h ; treatment=Temozolomide ; duration=24h","DMSO 24h ; treatment=DMSO ; duration=24h"
"cgroup_L5_99d7941a","GSE104917",FALSE,FALSE,"trattamento","Temozolomide 72h ; treatment=Temozolomide ; duration=72h","DMSO 72h ; treatment=DMSO ; duration=72h"
"cgroup_L5_964c6389","GSE105041",FALSE,FALSE,"trattamento","Astrocyte Progenitor Cell Huntington's Disease Male ; cell_type=Astrocyte Prog","Astrocyte Progenitor Cell Control Male ; cell_type=A"
"cgroup_L5_964c6389","GSE105041",FALSE,FALSE,"trattamento","Astrocyte Progenitor Cell Huntington's Disease Male High Rep ; cell_type=Astro","Astrocyte Progenitor Cell Control Female ; cell_type"
"cgroup_L5_964c6389","GSE105041",FALSE,FALSE,"trattamento","Glial Progenitor Cell Huntington's Disease Male ; cell_type=Glial Progenitor C","Glial Progenitor Cell Control Male ; cell_type=Glial"
"cgroup_L5_964c6389","GSE105041",FALSE,FALSE,"trattamento","Glial Progenitor Cell Huntington's Disease Female ; cell_type=Glial Progenitor","Glial Progenitor Cell Control Female ; cell_type=Gli"
"cgroup_L5_964c6389","GSE105041",FALSE,FALSE,"trattamento","Glial Progenitor Cell Huntington's Disease Male High Rep ; cell_type=Glial Pro","Glial Progenitor Cell Control Male High Rep ; cell_t"
"cgroup_L5_905be893","GSE105088",FALSE,FALSE,"trattamento","LNCaP + IL-1β ; cell_line=LNCaP ; treatment=IL-1β","LNCaP + DMEM medium ; cell_line=LNCaP ; treatment=DM"
"cgroup_L5_1d96b9da","GSE105160",FALSE,FALSE,"trattamento","Poly(I:C) Treated ; treatment=poly(I:C) ; dose=0.05 ug/cm2 ; duration=24 h ; p","Mock Transfected (Control) ; treatment=mock transfec"
"cgroup_L5_1d96b9da","GSE105160",FALSE,FALSE,"trattamento","Poly(I:C) Treated (Passage 13) ; treatment=poly(I:C) ; dose=0.05 ug/cm2 ; dura","Mock Transfected (Control) ; treatment=mock transfec"
"cgroup_L5_1d96b9da","GSE105160",FALSE,FALSE,"trattamento","Poly(I:C) + Mock Transfected ; treatment=poly(I:C) ; dose=0.05 ug/cm2 ; durati","Mock Transfected (Control) ; treatment=mock transfec"
"cgroup_L5_ba4af011","GSE105951",FALSE,FALSE,"trattamento","Irradiation ; Perturbation Type=Irradiation","Untreated Proliferating ; Perturbation Type=Untreate"
"cgroup_L5_387b0d1a","GSE106148",FALSE,FALSE,"trattamento","Type I diabetes ; disease_state=Type I diabetes","Non-diabetic control ; disease_state=non-diabetic co"
"cgroup_L5_a8015c98","GSE106336",FALSE,FALSE,"trattamento","Gemcitabine 10 µM ; treatment=Gemcitabine ; dose=10 µM","PBS vehicle control ; treatment=PBS"
"cgroup_L5_85083e38","GSE106608",FALSE,FALSE,"trattamento","Parkinson's Disease (Age 88, Male) ; disease_state=Parkinson's Disease ; age=8","Control (Age 66, Male) ; disease_state=control ; age"
"cgroup_L5_85083e38","GSE106608",FALSE,FALSE,"trattamento","Parkinson's Disease (Age 88, Male) ; disease_state=Parkinson's Disease ; age=8","Control (Age 72, Female) ; disease_state=control ; a"
"cgroup_L5_12228932","GSE106716",TRUE,TRUE,"contesto","SYK-KO + EGF ; genetic_knockout=SYK-KO ; treatment=EGF","SYK-KO ; genetic_knockout=SYK-KO ; treatment=No trea"
"cgroup_L5_12228932","GSE106716",TRUE,TRUE,"contesto","SYK-WT + EGF ; genetic_knockout=SYK-WT ; treatment=EGF","SYK-WT ; genetic_knockout=SYK-WT ; treatment=No trea"
"cgroup_L5_1d96b9da","GSE106885",FALSE,FALSE,"trattamento","Asthma human bronchial epithelium Poly I:C ; cell_context=Asthma human bronchi","Asthma human bronchial epithelium Sham (culture medi"
"cgroup_L5_1d96b9da","GSE106885",FALSE,FALSE,"trattamento","Normal human bronchial epithelium Poly I:C ; cell_context=Normal human bronchi","Normal human bronchial epithelium Sham (culture medi"
"cgroup_L5_f29dd3b3","GSE107363",FALSE,FALSE,"trattamento","RA Osteoblasts ; disease_state=rheumatoid arthritis","Normal Osteoblasts ; disease_state=normal"
"cgroup_L5_aecd610f","GSE107638",FALSE,FALSE,"trattamento","Cyto Schizophrenia ; disease_state=schizophrenia ; cell_type=Cyto","Cyto Control ; disease_state=control ; cell_type=Cyt"
"cgroup_L5_aecd610f","GSE107638",FALSE,FALSE,"trattamento","NeuN Schizophrenia ; disease_state=schizophrenia ; cell_type=NeuN","NeuN Control ; disease_state=control ; cell_type=Neu"
"cgroup_L5_aecd610f","GSE107638",FALSE,FALSE,"trattamento","OLIG2 Schizophrenia ; disease_state=schizophrenia ; cell_type=OLIG2","OLIG2 Control ; disease_state=control ; cell_type=OL"
"cgroup_L5_81b706c4","GSE107676",FALSE,FALSE,"trattamento","Paclitaxel treated ; treatment=paclitaxel ; cell_type_or_line_raw=A549","Vehicle control ; treatment=vehicle_only ; cell_type"
"cgroup_L5_7934174c","GSE107781",FALSE,FALSE,"trattamento","EPZ6438_1 ; treatment=EPZ6438 ; cell_type=C4-2B","DMSO ; treatment=DMSO ; cell_type=C4-2B"
"cgroup_L5_7934174c","GSE107781",FALSE,FALSE,"trattamento","EPZ6438_2 ; treatment=EPZ6438 ; cell_type=C4-2B","DMSO ; treatment=DMSO ; cell_type=C4-2B"
"cgroup_L5_49d55bfd","GSE108038",FALSE,FALSE,"trattamento","IL4 ; treatment=IL4 ; cell_type=Human Cortical Astrocytes ; passage_or_state=3","control ; treatment=control ; cell_type=Human Cortic"
"cgroup_L5_a32e5eaa","GSE108177",FALSE,FALSE,"trattamento","HCT116 cells treated with 5-aza-CdR ; cell_line=HCT116 ; treatment=5-aza-CdR","HCT116 cells treated with PBS ; cell_line=HCT116 ; t"
"cgroup_L5_a32e5eaa","GSE108177",FALSE,FALSE,"trattamento","HepG2 cells treated with 5-aza-CdR ; cell_line=HepG2 ; treatment=5-aza-CdR","HepG2 cells treated with PBS ; cell_line=HepG2 ; tre"
"cgroup_L5_a32e5eaa","GSE108177",FALSE,FALSE,"trattamento","HepG2 cells treated with 5-aza-CdR (second instance) ; cell_line=HepG2 ; treat","HepG2 cells treated with PBS ; cell_line=HepG2 ; tre"
"cgroup_L5_a32e5eaa","GSE108177",FALSE,FALSE,"trattamento","HL60 cells treated with 5-aza-CdR ; cell_line=HL60 ; treatment=5-aza-CdR","HL60 cells treated with PBS ; cell_line=HL60 ; treat"
"cgroup_L5_a32e5eaa","GSE108177",FALSE,FALSE,"trattamento","MCF7 cells treated with 5-aza-CdR ; cell_line=MCF7 ; treatment=5-aza-CdR","MCF7 cells treated with PBS ; cell_line=MCF7 ; treat"
"cgroup_L5_a12414d4","GSE108308",FALSE,FALSE,"trattamento","estradiol ; treatment=estradiol ; cell_line=MCF-7","vehicle ; treatment=vehicle ; cell_line=MCF-7"
"cgroup_L5_cf34c533","GSE108406",FALSE,FALSE,"trattamento","Nutlin-3 ; treatment=Nutlin-3 ; cell_line=H460 ; passage=10-15 ; disease_state","Control ; treatment=control ; cell_line=H460 ; passa"
"cgroup_L5_d9e23e09","GSE108621",FALSE,FALSE,"trattamento","TNF-α ; treatment=TNF-α","DMSO ; treatment=DMSO"
"cgroup_L5_4b901bf1","GSE108743",FALSE,FALSE,"trattamento","Psoriasis Skin-derived MSC Passage 5 ; disease_state=Psoriasis ; cell_type_or_","Normal Skin-derived MSC Passage 5 ; disease_state=No"
"cgroup_L5_f94b6180","GSE109062",FALSE,FALSE,"trattamento","R1881-treated ; treatment=R1881 ; cell_type=Primary human epididymis cells","Vehicle control (VC) ; treatment=vehicle ; cell_type"
"cgroup_L5_1d96b9da","GSE109181",FALSE,FALSE,"trattamento","poly(I:C) ; treatment=poly(I:C) ; cell_type_or_line_raw=Bone marrow Mesenchyma","Control ; treatment=control ; cell_type_or_line_raw="
"cgroup_L5_f51ff620","GSE109313",FALSE,FALSE,"trattamento","Asthmatic Nasal Epithelium ; disease_state=Asthmatic ; tissue_type=nasal epith","Normal Nasal Epithelium ; disease_state=Normal ; tis"
"cgroup_L5_f51ff620","GSE109313",FALSE,FALSE,"trattamento","Asthmatic Peripheral Blood ; disease_state=Asthmatic ; tissue_type=peripheral ","Normal Peripheral Blood ; disease_state=Normal ; tis"
"cgroup_L5_f51ff620","GSE109484",FALSE,FALSE,"trattamento","Asthmatic ; disease_state=Asthmatic","Healthy ; disease_state=Healthy"
