contrast_entity,nome_risolto,contrast_entity_label,canonical_name,kind_effective_resolved,metodo_match,n_inchikey,pert_id,nome_lincs,n_pert_id,n_firme_lincs,n_firme_exemplar,n_linee_lincs,n_dosi_lincs,k_effective,k_kish,n_sig,n_studi_poolati,coherence_verdict,nota_ispezione
CHEBI:45783,imatinib,imatinib,imatinib,small_molecule,struttura_inchikey_completo,1,BRD-K92723993,imatinib,1,843,38,137,17,9,1.96026687565096,392,9,coherent,
CHEBI:75998,trametinib,trametinib,"3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime",small_molecule,struttura_inchikey_completo,1,BRD-K12343256,trametinib,1,794,26,107,21,9,7.94174575770707,5415,9,coherent,
CHEBI:85993,palbociclib,palbociclib,"PI(18:0/18:3(6Z,9Z,12Z))",small_molecule,struttura_inchikey_completo,1,BRD-K51313569,palbociclib,1,755,27,106,16,15,13.5399061785826,2833,15,coherent,
CHEBI:72317,cabozantinib,cabozantinib,2-decenal,small_molecule,struttura_inchikey_completo,1,BRD-K51544265,cabozantinib,1,740,20,109,18,4,1.38219621826701,2008,4,coherent,
CHEBI:47458,saracatinib,saracatinib,saracatinib,small_molecule,struttura_inchikey_completo,1,BRD-U07805514;BRD-K19540840,saracatinib,2,729,56,49,16,3,1.92343184254522,1706,3,coherent,
CHEBI:49960,vandetanib,vandetanib,flavanone,small_molecule,struttura_inchikey_completo,1,BRD-K77625799,vandetanib,1,682,21,105,13,3,1.74196519977239,1,3,coherent,
CHEBI:75045,dabrafenib,dabrafenib,foaming agent,small_molecule,struttura_inchikey_completo,1,BRD-K09951645,dabrafenib,1,652,23,103,15,3,1.43959911362738,149,3,coherent,
CHEBI:137113,JQ1,JQ1,<small>D</small>-cycloserine(1+),small_molecule,struttura_inchikey_completo,1,BRD-K54606188,BRD-K54606188,1,638,36,40,16,25,23.7017454572436,9678,25,coherent,
CHEBI:50924,sorafenib,sorafenib,<small>D</small>-homomethionine,small_molecule,struttura_inchikey_completo,1,BRD-K23984367,sorafenib,1,626,24,108,23,13,4.27596411313212,353,13,coherent,
CHEBI:52172,nilotinib,nilotinib,flavanone,small_molecule,struttura_inchikey_completo,1,BRD-K81528515,nilotinib,1,615,37,39,15,4,2.81372174256259,740,4,coherent,
CHEBI:72564,temozolomide,temozolomide,morpholine,small_molecule,struttura_inchikey_completo,1,BRD-K32107296,temozolomide,1,580,27,139,16,5,3.13855265545278,1850,5,coherent,
CHEBI:39867,valproic acid,valproic acid,valproic acid,small_molecule,struttura_inchikey_completo,1,BRD-K41260949,valproic-acid,1,544,28,106,22,7,4.09756493601468,3024,7,coherent,
CHEBI:50131,5-aza-2'-deoxycytidine,5-aza-2'-deoxycytidine,"2,3,4,5-Tetrachloro-4'-biphenylol",small_molecule,struttura_inchikey_completo,1,BRD-K79254416,decitabine,1,542,25,57,13,14,11.2367644094679,4619,14,coherent,
CHEBI:45863,paclitaxel,paclitaxel,thiirane,small_molecule,nome_sinonimo_esatto,0,BRD-K86858124;BRD-A63610676;BRD-A28746609;BRD-A23723433;BRD-K62008436,paclitaxel,5,523,58,42,21,3,1.82819562402862,84,3,coherent,"match per nome: la via strutturale non e' percorribile (composto di Pt o miscela, oppure LINCS senza InChIKey); verificato a mano su SMILES/nome"
CHEBI:41774,tamoxifen,tamoxifen,afimoxifene,small_molecule,struttura_inchikey_completo,1,BRD-K93754473,tamoxifen,1,515,33,90,23,4,2.79677892787258,433,4,coherent,
CHEBI:61397,neratinib,neratinib,neratinib,small_molecule,struttura_inchikey_completo,1,BRD-K85606544,neratinib,1,504,28,85,20,3,1.99300749783496,2782,3,coherent,
CHEBI:16469,17β-estradiol,17β-estradiol,6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol,small_molecule,struttura_inchikey_completo,1,BRD-K18910433,estradiol,1,495,18,41,20,10,4.42383460926188,410,10,coherent,
CHEBI:90943,osimertinib,osimertinib,osimertinib,cytokine_stim,struttura_inchikey_completo,1,BRD-K42805893,AZD-9291,1,482,19,41,19,10,8.59446708611759,1938,10,coherent,
CHEBI:78543,ponatinib,ponatinib,4-coumaroyltriacetic acid lactone,small_molecule,struttura_inchikey_completo,1,BRD-K44227013,ponatinib,1,469,23,105,8,4,2.1208919655281,433,4,coherent,
CHEBI:71019,omacetaxine mepesuccinate,omacetaxine,omacetaxine mepesuccinate,small_molecule,struttura_inchikey_completo,1,BRD-K76674262,BRD-K76674262,1,464,18,99,17,3,2.07019261921039,4270,3,coherent,
CHEBI:4031,cyclosporin A,cyclosporin A,cyclosporin A,small_molecule,struttura_blocco_connettivita,1,BRD-K13533483;BRD-K03222093;BRD-A38030642;BRD-A69815203;BRD-A64290322,cyclosporin-a,5,458,73,86,21,4,1.95678950458645,142,4,coherent,"match per blocco: stesso scheletro, LINCS non annota la stereochimica"
CHEBI:145535,pevonedistat,pevonedistat,pevonedistat,small_molecule,struttura_inchikey_completo,1,BRD-K67844266,MLN-4924,1,433,37,72,19,3,2.65108924580409,1037,3,coherent,
CHEBI:175901,gemcitabine,gemcitabine,gemcitabine,small_molecule,struttura_inchikey_completo,1,BRD-K15108141,gemcitabine,1,416,24,86,20,5,2.90583346191361,1148,5,coherent,
CHEBI:28748,doxorubicin,doxorubicin,doxorubicin,small_molecule,struttura_inchikey_completo,1,BRD-K92093830,doxorubicin,1,398,17,20,17,14,11.8408149175084,2585,14,coherent,
CHEBI:68647,regorafenib,regorafenib,"6,7,4'-trihydroxyflavanone",small_molecule,struttura_inchikey_completo,1,BRD-K16730910,regorafenib,1,369,23,25,13,4,2.36466667437736,343,4,coherent,
CHEBI:50122,rosiglitazone,rosiglitazone,rosiglitazone,small_molecule,struttura_inchikey_completo,1,BRD-A97437073,rosiglitazone,1,347,30,85,15,5,3.31775174578659,863,5,coherent,
CHEBI:15367,<i>all</i>-<i>trans</i>-retinoic acid,all-trans-retinoic acid,ethyl (<i>R</i>)-3-hydroxyhexanoate,small_molecule,struttura_inchikey_completo,1,BRD-K71879491,tretinoin,1,317,20,22,19,4,2.45843996901004,762,4,coherent,
CHEBI:17347,testosterone,testosterone,Enzalutamide,small_molecule,struttura_blocco_connettivita,1,BRD-A53131506;BRD-K25836724;BRD-A55393291;BRD-A79479878,BRD-A53131506;BRD-K25836724;testosterone,4,307,49,47,13,3,1.4366869424922,426,3,coherent,"match per blocco: dei 4 pert_id, 2 hanno nome 'testosterone', 2 sono stereoisomeri senza nome"
CHEBI:46024,trichostatin A,trichostatin A,trichostatin A,small_molecule,struttura_inchikey_completo,1,BRD-K68202742,BRD-K68202742,1,305,18,40,12,3,2.88805126205752,3789,3,coherent,
CHEBI:68534,enzalutamide,enzalutamide,enzalutamide,small_molecule,struttura_inchikey_completo,1,BRD-K56851771,enzalutamide,1,297,19,88,17,19,17.3717485648516,3498,19,coherent,
CHEMBL:CHEMBL2177390,IPATASERTIB,IPATASERTIB,IPATASERTIB,small_molecule,struttura_inchikey_completo,1,BRD-K43002773,GDC-0068,1,294,27,36,12,3,2.93648621285096,3629,3,coherent,
CHEBI:47898,4'-epidoxorubicin,4'-epidoxorubicin,4'-epidoxorubicin,small_molecule,struttura_inchikey_completo,1,BRD-K04548931,epirubicin,1,288,12,97,3,3,1.37373664577723,3040,3,coherent,
CHEBI:46345,5-fluorouracil,5-fluorouracil,5-fluorouracil,small_molecule,struttura_inchikey_completo,1,BRD-K24844714,fluorouracil,1,282,14,16,21,6,3.86071335474139,1410,6,coherent,
CHEBI:68478,everolimus,everolimus,tolcapone,small_molecule,struttura_inchikey_completo,1,BRD-K13514097,everolimus,1,271,26,32,11,4,3.33184153780178,1335,4,coherent,
CHEBI:38940,sunitinib,sunitinib,3-(ethoxycarbonyl)psoralen,small_molecule,struttura_inchikey_completo,1,BRD-K42828737;BRD-M64432851,sunitinib,2,266,35,31,10,9,3.71289177398652,639,9,coherent,
CHEBI:2038,5-azacytidine,5-azacytidine,5-azacytidine,small_molecule,struttura_inchikey_completo,1,BRD-K03406345,azacitidine,1,265,22,48,9,4,2.6231319948459,1278,4,coherent,
CHEBI:4551,digoxin,digoxin,digoxin,small_molecule,struttura_inchikey_completo,1,BRD-K23478508,digoxin,1,264,13,93,4,3,1.25382567165822,766,3,coherent,
CHEBI:95077,GSK-J4,GSK-J4,GSK-J4,small_molecule,struttura_inchikey_completo,1,BRD-K98203492,GSK-J4,1,240,20,25,11,5,3.80807275953057,2456,5,coherent,
CHEBI:6801,metformin,metformin,metformin,small_molecule,struttura_inchikey_completo,1,BRD-K79602928,metformin,1,237,20,22,15,8,3.1653609017801,334,8,coherent,
CHEBI:42471,forskolin,forskolin,glutamine,small_molecule,struttura_inchikey_completo,1,BRD-K09602097,forskolin,1,228,16,40,13,3,1.36330336499188,610,3,coherent,
CHEBI:28201,rotenone,rotenone,"2-hexaprenyl-6-methoxy-1,4-benzoquinone",small_molecule,struttura_inchikey_completo,1,BRD-K08316444,rotenone,1,205,23,80,16,3,1.65224034427927,196,3,coherent,
CHEBI:94287,erastin,erastin,erastin,small_molecule,struttura_inchikey_completo,1,BRD-A25004090,erastin,1,204,17,79,9,3,2.90909040577867,3132,3,coherent,
CHEBI:37537,phorbol 13-acetate 12-myristate,PMA (phorbol 12-myristate 13-acetate),phorbol 13-acetate 12-myristate,small_molecule,struttura_inchikey_completo,1,BRD-K68552125,BRD-K68552125,1,202,19,21,16,5,1.95050018899075,989,5,coherent,
CHEBI:17154,nicotinamide,nicotinamide,hydron,small_molecule,struttura_inchikey_completo,1,BRD-K28912512,nicotinamide,1,186,20,20,13,3,1.34065254496433,2380,3,coherent,
CHEBI:9168,sirolimus,sirolimus,benzbromarone,small_molecule,struttura_inchikey_completo,1,BRD-K89626439;BRD-K84937637,sirolimus,2,180,28,17,15,6,5.04058579351576,3642,6,coherent,
CHEBI:230508,birabresib,birabresib,birabresib,small_molecule,struttura_inchikey_completo,1,BRD-K43471985,OTX-015,1,179,13,13,8,5,2.31441164259394,2072,5,coherent,
CHEBI:9516,thapsigargin,thapsigargin,thapsigargin,small_molecule,struttura_inchikey_completo,1,BRD-K69023402,thapsigargin,1,171,16,37,9,3,2.42054217712483,2676,3,coherent,
CHEBI:15365,acetylsalicylic acid,acetylsalicylic acid,acetylsalicylic acid,small_molecule,struttura_inchikey_completo,1,BRD-K11433652,aspirin,1,170,14,15,23,3,1.19385995038018,513,3,coherent,
CHEBI:85994,lenvatinib,lenvatinib,<em>N</em>-[(<i>Z</i>)-dodec-2-enoyl]morpholine,small_molecule,struttura_inchikey_completo,1,BRD-K39974922,lenvatinib,1,168,14,14,12,4,1.40469802389229,1061,4,coherent,
CHEBI:61080,romidepsin,romidepsin,topiramate,small_molecule,struttura_inchikey_completo,1,BRD-K61397605,romidepsin,1,164,14,14,13,4,3.4982445496086,2384,4,coherent,
CHEBI:65347,carfilzomib,carfilzomib,nicotinate-adenine dinucleotide phosphate(4−),small_molecule,struttura_inchikey_completo,1,BRD-K15179879,carfilzomib,1,147,12,13,12,4,1.89104231816358,2135,4,coherent,
CHEBI:231598,tazemetostat,tazemetostat,EPZ6438,small_molecule,struttura_inchikey_completo,1,BRD-K11215326,E-7438,1,134,16,16,9,9,7.46551634650216,2366,9,coherent,
CHEBI:8499,propranolol,propranolol,propranolol,small_molecule,struttura_inchikey_completo,1,BRD-A10070317,propranolol,1,132,12,15,13,3,1.42857040350008,1413,3,coherent,
CHEBI:4672,docetaxel anhydrous,docetaxel,EIF5A2,small_molecule,struttura_inchikey_completo,1,BRD-K30577245,docetaxel,1,122,13,14,7,4,2.03785021629203,1465,4,coherent,
CHEBI:229764,selinexor,selinexor,selinexor,small_molecule,struttura_inchikey_completo,1,BRD-K21361524,KPT-330,1,119,9,10,12,4,1.92660022737143,1828,4,coherent,
CHEBI:31638,fulvestrant,fulvestrant,fulvestrant,small_molecule,struttura_inchikey_completo,1,BRD-A85667082,fulvestrant,1,116,10,12,8,12,11.1656464101693,2515,12,coherent,
CHEBI:71200,tofacitinib,tofacitinib,tofacitinib,small_molecule,struttura_inchikey_completo,1,BRD-K31283835,tofacitinib,1,113,17,17,10,4,2.07698376074972,184,4,coherent,
CHEBI:29699,tunicamycin,tunicamycin,tunicamycin,small_molecule,nome_sinonimo_esatto,0,BRD-A72024019;BRD-K10573841,tunicamycin,2,107,18,21,6,5,3.29167046223608,2945,5,coherent,"match per nome: la via strutturale non e' percorribile (composto di Pt o miscela, oppure LINCS senza InChIKey); verificato a mano su SMILES/nome"
CHEBI:17026,progesterone,progesterone,progesterone,genetic_knockdown,struttura_inchikey_completo,1,BRD-K64994968,progesterone,1,97,16,42,7,3,1.76495242084543,227,3,coherent,
CHEBI:41977,daunorubicin,daunorubicin,daunorubicin,small_molecule,struttura_inchikey_completo,1,BRD-K43389675,daunorubicin,1,93,15,18,6,4,2.89808273093624,2048,4,coherent,
CHEBI:230484,StemRegenin 1,StemRegenin 1,StemRegenin 1,small_molecule,struttura_inchikey_completo,1,BRD-K36739687,stemregenin-1,1,76,2,26,3,3,1.26576070798191,834,3,coherent,
CHEBI:4911,etoposide,etoposide,etoposide,small_molecule,struttura_inchikey_completo,1,BRD-K37798499,etoposide,1,75,14,16,10,3,1.2637121832781,2689,3,coherent,
CHEBI:15738,staurosporine,staurosporine,staurosporine,small_molecule,struttura_inchikey_completo,1,BRD-K17953061,staurosporine,1,74,10,11,6,3,2.30848500682085,1859,3,coherent,
CHEBI:16330,17β-hydroxy-5α-androstan-3-one,DHT (5alpha-dihydrotestosterone),4-maleylacetoacetate,small_molecule,struttura_inchikey_completo,1,BRD-K22525962,dihydrotestosterone,1,69,0,23,3,23,20.9094941277207,4875,23,coherent,
CHEBI:15551,prostaglandin E<small><sub>2</sub></small>,prostaglandin E2,prostaglandin E<small><sub>2</sub></small>,small_molecule,struttura_inchikey_completo,1,BRD-K26521938,dinoprostone,1,69,15,37,2,3,1.58450751193891,2479,3,coherent,
CHEBI:27899,cisplatin,cisplatin,"2,2',3,4',5,5'-Hexachloro-4-biphenylol",small_molecule,nome_sinonimo_esatto,0,BRD-K01228321,cisplatin,1,54,4,4,9,17,16.0511445913724,835,17,coherent,"match per nome: la via strutturale non e' percorribile (composto di Pt o miscela, oppure LINCS senza InChIKey); verificato a mano su SMILES/nome"
CHEBI:46742,Nutlin-3,Nutlin-3,Nutlin-3,small_molecule,struttura_inchikey_completo,1,BRD-K73255294,nutlin-3,1,48,8,8,6,3,1.8880294942453,2810,3,coherent,
CHEMBL:CHEMBL2022968,DUBERMATINIB,DUBERMATINIB,Gilteritinib,small_molecule,struttura_inchikey_completo,1,BRD-K84034737,TP-0903,1,38,0,19,3,3,2.17184342817753,2280,3,coherent,
CHEBI:41879,dexamethasone,dexamethasone,2<em>H</em>-azirine,small_molecule,struttura_inchikey_completo,1,BRD-K38775274,dexamethasone,1,37,15,16,3,13,7.82021011113959,601,13,coherent,
CHEBI:28119,"2,3,7,8-tetrachlorodibenzodioxine",TCDD,"2,3,7,8-Tetrachlorodibenzodioxin",small_molecule,struttura_inchikey_completo,1,BRD-K90697689,TCDD-dioxin,1,35,5,7,10,5,1.79914431742757,650,5,coherent,
CHEBI:49852,"5,6-dichloro-1-β-<small>D</small>-ribofuranosyl-1<em>H</em>-benzimidazole",DRB,DRB,small_molecule,struttura_blocco_connettivita,1,BRD-A74904029,EI-231,1,31,14,20,4,3,1.7973723614981,2571,3,coherent,"match per blocco: stesso scheletro, LINCS non annota la stereochimica"
CHEBI:44185,methotrexate,methotrexate,methotrexate,small_molecule,struttura_inchikey_completo,1,BRD-K59456551,methotrexate,1,28,9,9,9,3,1.88036651576438,1077,3,coherent,
CHEBI:230493,pinometostat,pinometostat,<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA,small_molecule,struttura_inchikey_completo,1,BRD-K26531771,EPZ-5676,1,24,3,3,3,7,1.99991988114872,213,7,coherent,
CHEBI:86193,DAPT,DAPT,DAPT,small_molecule,struttura_blocco_connettivita,1,BRD-A68929948,DAPT-GSI-IX,1,20,13,14,1,3,2.08135511230378,994,3,coherent,"match per blocco: stesso scheletro, LINCS non annota la stereochimica"
CHEBI:44616,afimoxifene,afimoxifene,afimoxifene,small_molecule,struttura_inchikey_completo,1,BRD-K04210847,tamoxifen,1,15,8,8,1,5,2.55648249124798,960,5,coherent,
CHEBI:124921,GSK126,GSK126,GSK126,small_molecule,struttura_inchikey_completo,1,BRD-K21867462,GSK-2816126,1,8,2,2,4,5,3.27514210456962,1175,5,coherent,
CHEBI:230500,THZ1,THZ1,THZ1,small_molecule,struttura_inchikey_completo,1,BRD-K66401437,THZ-1,1,6,2,2,3,11,7.61183900199945,669,11,coherent,
CHEBI:167670,SCH772984,SCH772984,SCH772984,small_molecule,nome_sinonimo_esatto,1,BRD-K63191384,SCH-772984,1,6,2,2,3,3,1.99105959137608,1781,3,coherent,"match per nome: la via strutturale non e' percorribile (composto di Pt o miscela, oppure LINCS senza InChIKey); verificato a mano su SMILES/nome"
CHEBI:64317,isoprenaline,isoprenaline,kanamycin A,small_molecule,struttura_inchikey_completo,1,BRD-A04322457,isoprenaline,1,2,1,2,2,3,1.28911521136583,537,3,coherent,
CHEBI:31941,oxaliplatin,oxaliplatin,oxaliplatin,small_molecule,nome_sinonimo_esatto,0,BRD-M43490210,oxaliplatin,1,1,1,1,1,3,2.04542349642364,655,3,coherent,"match per nome: la via strutturale non e' percorribile (composto di Pt o miscela, oppure LINCS senza InChIKey); verificato a mano su SMILES/nome"
CHEBI:16412,lipopolysaccharide,lipopolysaccharide,lipopolysaccharide,pathogen_or_aggregate_exposure,nessuno,0,"",,0,0,0,0,0,35,32.0377863929279,6883,35,coherent,"assenza attesa: non e' una singola struttura (LPS / poly(I:C)) - LINCS li ha semmai come trt_lig, non trt_cp"
CHEBI:379896,"17β-hydroxy-17-methylestra-4,9,11-trien-3-one",R1881 (metribolone),dihydrotestosterone,small_molecule,nessuno,1,"",,0,0,0,0,0,22,21.2550679126853,8427,22,coherent,
CHEBI:84491,poly(I:C),poly(I:C),poly(I:C),pathogen_or_aggregate_exposure,nessuno,0,"",,0,0,0,0,0,10,2.11795209521677,268,10,coherent,"assenza attesa: non e' una singola struttura (LPS / poly(I:C)) - LINCS li ha semmai come trt_lig, non trt_cp"
CHEBI:16240,hydrogen peroxide,hydrogen peroxide,hydrogen peroxide,small_molecule,nessuno,1,"",,0,0,0,0,0,8,4.14909404192535,1497,8,coherent,
CHEMBL:CHEMBL265582,TNF-ALPHA,TNF-ALPHA,Tumor Necrosis Factor-alpha,cytokine_stim,nessuno,1,"",,0,0,0,0,0,6,4.53647920633936,986,6,coherent,"assenza attesa: biologico (proteina/anticorpo), fuori dal perimetro trt_cp"
CHEBI:3139,bleomycin A<small><sub>2</sub></small>,bleomycin A2,bleomycin A<small><sub>2</sub></small>,small_molecule,nessuno,1,"",,0,0,0,0,0,6,5.96773241658457,4199,6,coherent,"BORDERLINE non contato: LINCS ha 'bleomycin-sulfate' (BRD-M82067008) senza InChIKey; miscela/sale, non la bleomicina A2"
CHEBI:46741,Nutlin,Nutlin,Nutlin,small_molecule,nessuno,0,"",,0,0,0,0,0,5,1.54803419927482,1376,5,coherent,"BORDERLINE non contato: LINCS ha 'nutlin-3' (BRD-A12230535, BRD-K73255294) ma la nostra entita' e' il termine di CLASSE 'Nutlin', senza struttura"
CHEBI:4167,<small>D</small>-glucopyranose,D-glucopyranose,,environmental,nessuno,1,"",,0,0,0,0,0,4,2.70420307933714,2326,4,coherent,
CHEBI:145372,gilteritinib,gilteritinib,Gilteritinib,small_molecule,nessuno,1,"",,0,0,0,0,0,4,2.33908637366901,1094,4,coherent,
CHEBI:231601,trastuzumab,trastuzumab,trastuzumab,small_molecule,nessuno,0,"",,0,0,0,0,0,4,1.91785927552527,1649,4,coherent,"assenza attesa: biologico (proteina/anticorpo), fuori dal perimetro trt_cp"
CHEBI:39421,perfluorooctane-1-sulfonic acid,PFOS,perfluorooctane-1-sulfonic acid,small_molecule,nessuno,1,"",,0,0,0,0,0,4,1.71800490186208,549,4,coherent,"verificata assenza: LINCS ha 'ammonium-perfluorocaprylate' (PFOA), la nostra e' PFOS (sulfonato) - composto diverso"
CHEMBL:CHEMBL1201576,RITUXIMAB,RITUXIMAB,RITUXIMAB,small_molecule,nessuno,0,"",,0,0,0,0,0,4,1.51457645762493,440,4,coherent,"assenza attesa: biologico (proteina/anticorpo), fuori dal perimetro trt_cp"
CHEMBL:CHEMBL3987016,MIVEBRESIB,MIVEBRESIB,MIVEBRESIB,small_molecule,nessuno,1,"",,0,0,0,0,0,3,2.64200419541602,3706,3,coherent,
CHEMBL:CHEMBL4297771,INTERLEUKIN-10,INTERLEUKIN-10,,environmental,nessuno,0,"",,0,0,0,0,0,3,2.193242160404,154,3,incoherent,"assenza attesa: biologico (proteina/anticorpo), fuori dal perimetro trt_cp"
CHEBI:29073,<small>L</small>-ascorbic acid,L-ascorbic acid,"3-methyl-<i>cis</i>,<i>cis</i>-muconic acid",small_molecule,nessuno,1,"",,0,0,0,0,0,3,2.0845377904072,1252,3,coherent,"match per nome normalizzato RIFIUTATO: i due pert_id LINCS 'ascorbic-acid' sono ascorbil-palmitato (CYJPUZLKFAUFHF) e acido deidroascorbico (KRGQEOSDQHTZMX), non L-ascorbico (CIWBSHSKHKDKBQ)"
CHEBI:59132,antigen,antigen (classe-ombrello),"S-(1,2-dichlorovinyl)-L-cysteine",small_molecule,nessuno,0,"",,0,0,0,0,0,3,1.74226687471796,251,3,incoherent,
CHEBI:232752,GSK-LSD1,GSK-LSD1,GSK-LSD1,small_molecule,nessuno,1,"",,0,0,0,0,0,3,1.9176480692897,933,3,coherent,
CHEBI:143122,THZ531,THZ531,THZ531,small_molecule,nessuno,1,"",,0,0,0,0,0,3,1.89766856508886,1893,3,coherent,
CHEMBL:CHEMBL4297454,ABBV-744,ABBV-744,ABBV-744,small_molecule,nessuno,1,"",,0,0,0,0,0,3,2.40302884556686,1588,3,coherent,
CHEBI:22984,calcium atom,calcium atom,calcium atom,environmental,nessuno,1,"",,0,0,0,0,0,3,2.68138759427844,2767,3,coherent,
CHEBI:50385,hemin,hemin,hemin,small_molecule,nessuno,0,"",,0,0,0,0,0,3,2.53872358638376,982,3,coherent,
