"cluster_id","contrast_entity","canonical_name","k","entity_source","recovery_source","nel_deliverable","label_id","n_alias","esito","alias_che_matcha","n_membri"
"cgroup_L5_74daf1c9","STR:oscc","oral squamous cell carcinoma",4,"STR","LLM_NAME_CLEANUP",TRUE,"oscc",1,"SOLO SIGLA","oscc",6
"cgroup_L5_3de56a79","STR:pdac","pdac",4,"STR","STR_FALLBACK",TRUE,"pdac",1,"SOLO SIGLA","pdac",4
"cgroup_L5_a747a14e","STR:pm2_5",NA,4,"STR","NO_RECOVERY",TRUE,"pm2_5",1,"SOLO SIGLA","pm2_5",4
"cgroup_L5_37ecd157","STR:vegf","but-1-ene-1,2,4-tricarboxylic acid",4,"STR","CYTOKINE_HGNC",TRUE,"vegf",1,"SOLO SIGLA","vegf",5
"cgroup_L5_63180d66","CHEBI:138438",NA,3,"onto","NO_RECOVERY",FALSE,"3-chloro-N-[trans-4-(methylamino)cyclohexyl]-N-[3-(pyridin-4-yl)benzyl]-1-benzothiophene-2-carboxamide",7,"SOLO SIGLA","sag",5
"cgroup_L5_4290da61","CHEBI:73572","lipoteichoic acid",3,"onto","STR_FALLBACK",FALSE,"Leu-Thr-Ala",7,"SOLO SIGLA","l-t-a/lta",12
"cgroup_L5_79981eb2","COMBO:il-13+il-4","Interleukin-4",3,"COMBO","CYTOKINE_IMMPORT",FALSE,"il-13 + il-4",2,"SOLO SIGLA","il-13/il-4",4
"cgroup_L5_aad8ed47","COMBO:taz+yap","YAP1",3,"COMBO","NO_RECOVERY",TRUE,"taz + yap",2,"SOLO SIGLA","taz/yap",11
"cgroup_L5_1c583f9b","HGNC:11998","TP53",3,"onto","NO_RECOVERY",FALSE,"TP53",4,"SOLO SIGLA","p53/TP53",4
"cgroup_L5_d693cf88","HGNC:30743","IL25",3,"onto","CYTOKINE_IMMPORT",FALSE,"TSLP",2,"SOLO SIGLA","TSLP",7
"cgroup_L5_b9921e6e","HGNC:3430","HERC2P7",3,"onto","NO_RECOVERY",FALSE,"ERBB2",11,"SOLO SIGLA","her-2/her2",3
"cgroup_L5_f25af0a2","HGNC:3676","ELAVL4",3,"onto","CYTOKINE_IMMPORT",FALSE,"FGF2",3,"SOLO SIGLA","FGF2",6
"cgroup_L5_59d2b212","HGNC:6407","KRAS",3,"onto","NO_RECOVERY",FALSE,"KRAS",5,"SOLO SIGLA","KRAS",3
"cgroup_L5_469db990","STR:nahs","hydrogen sulfide",3,"STR","STR_FALLBACK",TRUE,"nahs",1,"SOLO SIGLA","nahs",5
"cgroup_L5_36b956de","STR:ptsd","acute myeloid leukemia",3,"STR","LLM_NAME_CLEANUP",FALSE,"ptsd",1,"SOLO SIGLA","ptsd",4
"cgroup_L5_2e16719f","HGNC:11766","TGFB1",78,"onto","STR_FALLBACK",TRUE,"TGFB1",6,"nome per esteso","tgfbeta",177
"cgroup_L5_b71a25a2","CHEBI:137113","<small>D</small>-cycloserine(1+)",41,"onto","CHEBI_ALIAS",TRUE,"JQ1",9,"nome per esteso","jq1 compound",88
"cgroup_L5_d9e23e09","HGNC:11892","Recombinant Tumor Necrosis Factor-alpha (human)",41,"onto","LLM_NAME_CLEANUP",TRUE,"TNF",6,"nome per esteso","tnf-alpha",88
"cgroup_L5_871ae09e","NCBITaxon:2697049","sars-cov2",38,"onto","PATHOGEN_VERNACULAR",TRUE,"severeacuterespiratorysyndromecoronavirus2",7,"nome per esteso","sarscov2",103
"cgroup_L5_83f57274","STR:hypoxia","hypoxia",37,"anchor","NO_RECOVERY",TRUE,"hypoxia",1,"nome per esteso","hypoxia",79
"cgroup_L5_87c40ebb","HGNC:5438","IFNG",35,"onto","CYTOKINE_IMMPORT",TRUE,"IFNG",2,"nome per esteso","interferon gamma",79
"cgroup_L5_a32e5eaa","CHEBI:50131","2,3,4,5-Tetrachloro-4'-biphenylol",31,"onto","STR_FALLBACK",TRUE,"5-aza-2'-deoxycytidine",6,"nome per esteso","decitabine",99
"cgroup_L5_021e875e","CHEBI:27899","2,2',3,4',5,5'-Hexachloro-4-biphenylol",30,"onto","LLM_NAME_CLEANUP",TRUE,"cisplatin",28,"nome per esteso","cisplatin",83
"cgroup_L5_c0d1d837","CHEBI:68534","enzalutamide",29,"onto","STR_FALLBACK",TRUE,"enzalutamide",7,"nome per esteso","enzalutamide",63
"cgroup_L5_8a54ddd6","CHEBI:28748","doxorubicin",27,"onto","NO_RECOVERY",TRUE,"doxorubicin",10,"nome per esteso","doxorubicin",54
"cgroup_L5_f94b6180","CHEBI:379896","dihydrotestosterone",26,"onto","LLM_NAME_CLEANUP",TRUE,"17β-hydroxy-17-methylestra-4,9,11-trien-3-one",11,"nome per esteso","r1881",100
"cgroup_L5_b6b8bc00","CHEBI:85993","PI(18:0/18:3(6Z,9Z,12Z))",26,"onto","LLM_NAME_CLEANUP",TRUE,"palbociclib",10,"nome per esteso","palbociclib",67
"cgroup_L5_905be893","HGNC:5992","Interleukin-1beta",26,"onto","CYTOKINE_IMMPORT",TRUE,"IL1B",5,"nome per esteso","il1-beta",50
"cgroup_L5_eb5e1e65","CHEBI:41879","2<em>H</em>-azirine",20,"onto","CHEBI_ALIAS",TRUE,"dexamethasone",35,"nome per esteso","dexamethasone",46
"cgroup_L5_03b38818","CHEBI:63637","sodium aurothiomalate",20,"onto","NO_RECOVERY",TRUE,"vemurafenib",17,"nome per esteso","vemurafenib",64
"cgroup_L5_6df6a50e","CHEBI:50924","<small>D</small>-homomethionine",17,"onto","CHEBI_ALIAS",TRUE,"sorafenib",7,"nome per esteso","sorafenib",46
"cgroup_L5_a12414d4","CHEBI:16469","6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol",16,"onto","LLM_NAME_CLEANUP",TRUE,"17β-estradiol",11,"nome per esteso","beta-estradiol",44
"cgroup_L5_1d96b9da","CHEBI:84491","poly(I:C)",16,"onto","PAMP_WHITELIST",TRUE,"poly(I:C)",23,"nome per esteso","poly ic",33
"cgroup_L5_c3ae78cd","MeSH:D003424","Crohn's Disease",16,"onto","LLM_NAME_CLEANUP",TRUE,"Crohn Disease",17,"nome per esteso","crohn's disease",98
"cgroup_L5_0e66597e","CHEBI:31638","fulvestrant",15,"onto","CHEBI_ALIAS",TRUE,"fulvestrant",8,"nome per esteso","fulvestrant",40
"cgroup_L5_702a5dea","CHEBI:75998","3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime",15,"onto","CHEBI_ALIAS",TRUE,"trametinib",7,"nome per esteso","trametinibum",55
"cgroup_L5_c5e86fe9","CHEBI:83766","1-myristoyl-2-oleoylglycerol",15,"onto","LLM_NAME_CLEANUP",TRUE,"olaparib",7,"nome per esteso","olaparib",33
"cgroup_L5_aecd610f","STR:schizophrenia","schizophrenia",15,"anchor","STR_FALLBACK",TRUE,"schizophrenia",1,"nome per esteso","schizophrenia",37
"cgroup_L5_601ede7b","CHEBI:90943","osimertinib",14,"onto","CHEBI_ALIAS",TRUE,"osimertinib",9,"nome per esteso","osimertinib",48
"cgroup_L5_7934174c","CHEBI:231598","EPZ6438",13,"onto","LLM_NAME_CLEANUP",TRUE,"tazemetostat",6,"nome per esteso","tazemetostat",28
"cgroup_L5_535d97f6","CHEBI:45783","imatinib",13,"anchor","CHEBI_ALIAS",TRUE,"imatinib",6,"nome per esteso","imatinib",33
"cgroup_L5_f34ff8df","CHEBI:4911","etoposide",13,"anchor","CHEBI_ALIAS",TRUE,"etoposide",16,"nome per esteso","etoposide",34
"cgroup_L5_889ec305","MeSH:D015179","colorectal cancer",13,"onto","LLM_NAME_CLEANUP",TRUE,"Colorectal Neoplasms",16,"nome per esteso","colorectal carcinoma",33
"cgroup_L5_81b706c4","CHEBI:45863","thiirane",12,"onto","CHEBI_ALIAS",TRUE,"paclitaxel",7,"nome per esteso","paclitaxel",31
"cgroup_L5_2ec87595","CHEBI:6801","metformin",12,"anchor","STR_FALLBACK",TRUE,"metformin",16,"nome per esteso","metformina",23
"cgroup_L5_b32ab7f6","HGNC:5981","SNORD13P3",12,"onto","NO_RECOVERY",TRUE,"IL17A",6,"nome per esteso","il-17a",22
"cgroup_L5_7805eee6","STR:covid_19","Mycobacterium tuberculosis",12,"STR","LLM_NAME_CLEANUP",TRUE,"covid_19",1,"nome per esteso","covid_19",31
"cgroup_L5_efced505","CHEBI:38940","3-(ethoxycarbonyl)psoralen",11,"onto","CHEBI_ALIAS",TRUE,"sunitinib",6,"nome per esteso","sunitinib",39
"cgroup_L5_29cb04f8","CHEBI:46345","5-fluorouracil",11,"onto","CHEBI_ALIAS",TRUE,"5-fluorouracil",9,"nome per esteso","5-fluorouracil",22
"cgroup_L5_3a0a595f","CHEBI:49375","dihexadecanoyl phosphatidic acid",11,"onto","CHEBI_ALIAS",TRUE,"dasatinib (anhydrous)",11,"nome per esteso","dasatinib",35
"cgroup_L5_41f7b088","CHEBI:49668","acridone",11,"onto","LLM_NAME_CLEANUP",TRUE,"gefitinib",12,"nome per esteso","gefitinib",35
"cgroup_L5_f97e50de","CHEBI:64310","sodium aurothiomalate",11,"onto","CHEBI_ALIAS",TRUE,"crizotinib",7,"nome per esteso","crizotinib",42
"cgroup_L5_bd19fe42","MeSH:D006528","Carcinoma, Hepatocellular",11,"anchor","MESH_NAME",TRUE,"Carcinoma, Hepatocellular",19,"nome per esteso","hepatocellular carcinoma",21
"cgroup_L5_85083e38","MeSH:D010300","Parkinson Disease",11,"onto","MESH_NAME",TRUE,"Parkinson Disease",12,"nome per esteso","parkinson's disease",35
"cgroup_L5_2987cdb6","CHEBI:114785","erlotinib",10,"onto","CHEBI_ALIAS",TRUE,"erlotinib",6,"nome per esteso","erlotinib",40
"cgroup_L5_79ce3bd1","CHEBI:3139","bleomycin A<small><sub>2</sub></small>",10,"anchor","CHEBI_ALIAS",TRUE,"bleomycin A2",7,"nome per esteso","bleomycin",19
"cgroup_L5_3f0cc1fe","MeSH:D003093","ulcerative colitis",10,"anchor","LLM_NAME_CLEANUP",TRUE,"Colitis, Ulcerative",5,"nome per esteso","ulcerative colitis",46
"cgroup_L5_b0066299","STR:keloid","Friedreich's ataxia",10,"STR","LLM_NAME_CLEANUP",TRUE,"keloid",1,"nome per esteso","keloid",30
"cgroup_L5_35d1be10","STR:nutlin_3a","anabolic androgenic steroid",10,"STR","STR_FALLBACK",TRUE,"nutlin_3a",1,"nome per esteso","nutlin_3a",31
"cgroup_L5_4b901bf1","STR:psoriasis","psoriasis",10,"STR","STR_FALLBACK",TRUE,"psoriasis",1,"nome per esteso","psoriasis",16
"cgroup_L5_479c6221","CHEBI:124921","GSK126",9,"onto","CHEBI_ALIAS",TRUE,"GSK126",13,"nome per esteso","gsk 126",18
"cgroup_L5_aa8c1d6d","CHEBI:230508","birabresib",9,"onto","CHEBI_ALIAS",TRUE,"birabresib",5,"nome per esteso","birabresib",20
"cgroup_L5_a6fd82fa","CHEBI:44616","afimoxifene",9,"onto","CHEBI_ALIAS",TRUE,"afimoxifene",5,"nome per esteso","4-hydroxytamoxifen",11
"cgroup_L5_004d293d","CHEBI:49603","erythritol",9,"onto","NO_RECOVERY",TRUE,"lapatinib",7,"nome per esteso","lapatinib",31
"cgroup_L5_b2affd22","MeSH:D011225","preeclampsia",9,"anchor","LLM_NAME_CLEANUP",TRUE,"Pre-Eclampsia",35,"nome per esteso","preeclampsia",24
"cgroup_L5_bb8cb388","STR:endometriosis",NA,9,"STR","NO_RECOVERY",TRUE,"endometriosis",1,"nome per esteso","endometriosis",20
"cgroup_L5_12212e41","STR:multiple_sclerosis","multiple sclerosis",9,"anchor","STR_FALLBACK",TRUE,"multiple_sclerosis",1,"nome per esteso","multiple_sclerosis",23
"cgroup_L5_46a3a103","STR:radiation","Radiation",9,"anchor","NO_RECOVERY",TRUE,"radiation",1,"nome per esteso","radiation",23
"cgroup_L5_dc7451b1","CHEBI:230493","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA",8,"onto","LLM_NAME_CLEANUP",TRUE,"pinometostat",9,"nome per esteso","pinometostat",27
"cgroup_L5_d7ad915e","CHEBI:39867","valproic acid",8,"anchor","NO_RECOVERY",TRUE,"valproic acid",18,"nome per esteso","valproic acid",15
"cgroup_L5_17b35bdc","CHEBI:4672","EIF5A2",8,"onto","LLM_NAME_CLEANUP",TRUE,"docetaxel anhydrous",7,"nome per esteso","docetaxel",21
"cgroup_L5_089ccae5","CHEBI:52717","flavonol 3-<em>O</em>-[α-<small>L</small>-rhamnosyl-(1→6)-β-<small>D</small>-glucoside]s",8,"onto","LLM_NAME_CLEANUP",TRUE,"bortezomib",8,"nome per esteso","bortezomib",17
"cgroup_L5_8ac307e0","CHEBI:72317","2-decenal",8,"onto","NO_RECOVERY",TRUE,"cabozantinib",8,"nome per esteso","cabozantinib",34
"cgroup_L5_c054e202","CHEBI:9168","benzbromarone",8,"onto","NO_RECOVERY",TRUE,"sirolimus",10,"nome per esteso","(-)-rapamycin",17
"cgroup_L5_3b91a21d","MeSH:D009362","colorectal cancer",8,"onto","LLM_NAME_CLEANUP",TRUE,"Neoplasm Metastasis",7,"nome per esteso","metastasis",9
"cgroup_L5_1bbf4b9b","MeSH:D013274","gastric cancer",8,"onto","LLM_NAME_CLEANUP",TRUE,"Stomach Neoplasms",19,"nome per esteso","gastric cancers",16
"cgroup_L5_4753688f","STR:r5020","estrogen",8,"STR","LLM_NAME_CLEANUP",TRUE,"r5020",1,"nome per esteso","r5020",17
"cgroup_L5_b9e7806c","CHEBI:143122","THZ531",7,"onto","CHEBI_ALIAS",TRUE,"THZ531",7,"nome per esteso","thz-531",18
"cgroup_L5_37942548","CHEBI:15367","ethyl (<i>R</i>)-3-hydroxyhexanoate",7,"onto","NO_RECOVERY",TRUE,"all-trans-retinoic acid",42,"nome per esteso","retinoic acid",28
"cgroup_L5_a8015c98","CHEBI:175901","gemcitabine",7,"onto","CHEBI_ALIAS",TRUE,"gemcitabine",7,"nome per esteso","gemcitabine",12
"cgroup_L5_0dd60753","CHEBI:233362","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide",7,"onto","NO_RECOVERY",FALSE,"Abemaciclib",6,"nome per esteso","abemaciclib",11
"cgroup_L5_8b61f50b","CHEBI:41774","afimoxifene",7,"onto","CHEBI_ALIAS",TRUE,"tamoxifen",14,"nome per esteso","tamoxifen",16
"cgroup_L5_d800c4f2","CHEBI:45716","coformycin",7,"onto","CHEBI_ALIAS",FALSE,"vorinostat",10,"nome per esteso","vorinostat",28
"cgroup_L5_8958b27a","CHEBI:46741","Nutlin",7,"anchor","CHEBI_ALIAS",TRUE,"Nutlin",4,"nome per esteso","nutlin",14
"cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","Tumor Necrosis Factor-alpha",7,"onto","CYTOKINE_IMMPORT",TRUE,"TNF-ALPHA",2,"nome per esteso","tnf-alpha",12
"cgroup_L5_63e69fdc","MeSH:D000544","Alzheimer Disease",7,"onto","MESH_NAME",TRUE,"Alzheimer Disease",36,"nome per esteso","alzheimer's disease",20
"cgroup_L5_f29dd3b3","MeSH:D001172","Arthritis, Rheumatoid",7,"anchor","MESH_NAME",TRUE,"Arthritis, Rheumatoid",2,"nome per esteso","rheumatoid arthritis",8
"cgroup_L5_c860712d","STR:cystic_fibrosis",NA,7,"STR","NO_RECOVERY",TRUE,"cystic_fibrosis",1,"nome per esteso","cystic_fibrosis",14
"cgroup_L5_dd2a13de","STR:idiopathic_pulmonary_fibrosis","idiopathic pulmonary fibrosis",7,"STR","STR_FALLBACK",TRUE,"idiopathic_pulmonary_fibrosis",1,"nome per esteso","idiopathic_pulmonary_fibrosis",16
"cgroup_L5_ba4af011","STR:irradiation","Radiation",7,"STR","LLM_NAME_CLEANUP",TRUE,"irradiation",1,"nome per esteso","irradiation",11
"cgroup_L5_3ec58cd6","STR:obese","obese",7,"anchor","STR_FALLBACK",TRUE,"obese",1,"nome per esteso","obese",8
"cgroup_L5_df599af1","STR:sepsis","Sepsis",7,"anchor","NO_RECOVERY",TRUE,"sepsis",1,"nome per esteso","sepsis",18
"cgroup_L5_90db4e34","CHEBI:17347","Enzalutamide",6,"onto","LLM_NAME_CLEANUP",TRUE,"testosterone",9,"nome per esteso","testosterone",16
"cgroup_L5_93068469","CHEBI:2038","5-azacytidine",6,"anchor","CHEBI_ALIAS",TRUE,"5-azacytidine",7,"nome per esteso","5-azacytidine",22
"cgroup_L5_d411c435","CHEBI:29699","tunicamycin",6,"onto","CHEBI_ALIAS",TRUE,"tunicamycin",2,"nome per esteso","tunicamycin",12
"cgroup_L5_f97e665a","CHEBI:39112","Rhein",6,"onto","CHEBI_ALIAS",FALSE,"bosutinib",6,"nome per esteso","bosutinib",32
"cgroup_L5_d2c64672","CHEBI:61080","topiramate",6,"onto","CHEBI_ALIAS",TRUE,"romidepsin",12,"nome per esteso","romidepsin",21
"cgroup_L5_7b545f77","CHEBI:80630","calcium carbonate",6,"onto","STR_FALLBACK",FALSE,"irinotecan",9,"nome per esteso","(+)-irinotecan",9
"cgroup_L5_548236b5","CHEBI:90227","(<i>S</i>)-2-hydroxyhexadecanoate",6,"onto","NO_RECOVERY",FALSE,"selumetinib",11,"nome per esteso","selumetinib",7
"cgroup_L5_1e8a735e","CHEBI:9516","thapsigargin",6,"onto","CHEBI_ALIAS",TRUE,"thapsigargin",6,"nome per esteso","thapsigargin",10
"cgroup_L5_3be7454c","HGNC:5417","Interferon-alpha",6,"onto","STR_FALLBACK",TRUE,"IFNA1",8,"nome per esteso","ifn-alpha",22
"cgroup_L5_3973fe03","HGNC:5991","Interleukin-1alpha",6,"onto","CYTOKINE_IMMPORT",TRUE,"IL1A",6,"nome per esteso","il1-alpha",9
"cgroup_L5_f832048f","MeSH:D001943","Breast Neoplasms",6,"onto","MESH_NAME",TRUE,"Breast Neoplasms",38,"nome per esteso","breast cancer",16
"cgroup_L5_a69fcae5","MeSH:D008180","cancer",6,"onto","LLM_NAME_CLEANUP",TRUE,"Lupus Erythematosus, Systemic",6,"nome per esteso","systemic lupus erythematosus",14
"cgroup_L5_c4640631","MeSH:D011471","prostate cancer",6,"onto","LLM_NAME_CLEANUP",FALSE,"Prostatic Neoplasms",18,"nome per esteso","prostate cancer",34
"cgroup_L5_ee94648c","NCBITaxon:562","Escherichia coli",6,"onto","LLM_NAME_CLEANUP",TRUE,"escherichiacoli",7,"nome per esteso","escherichiacoli",7
"cgroup_L5_8c9339f5","NCBITaxon:64320","Zika virus",6,"anchor","LLM_NAME_CLEANUP",TRUE,"zikavirus",1,"nome per esteso","zikavirus",17
"cgroup_L5_82f82010","STR:diabetic","diabetic",6,"anchor","STR_FALLBACK",TRUE,"diabetic",1,"nome per esteso","diabetic",6
"cgroup_L5_fa0ee5b4","STR:glioblastoma","glioblastoma",6,"anchor","STR_FALLBACK",FALSE,"glioblastoma",1,"nome per esteso","glioblastoma",36
"cgroup_L5_dd2a1a58","STR:heart_failure","glucose",6,"STR","LLM_NAME_CLEANUP",TRUE,"heart_failure",1,"nome per esteso","heart_failure",11
