"cluster_id","entita","nome","nel_214","k_s3","keff_v15","keff_tutto","passa_v15","passa_dopo"
"cgroup_L5_c5c72bba","CHEBI:189651",NA,FALSE,3,0,0,FALSE,FALSE
"cgroup_L5_b967c97c","CHEBI:195599",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_93068469","CHEBI:2038","5-azacytidine",TRUE,6,4,4,TRUE,TRUE
"cgroup_L5_b5db4aff","CHEBI:229764","selinexor",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_ea4a1823","CHEBI:22984","calcium atom",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_9f0ea111","CHEBI:230484","StemRegenin 1",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_dc7451b1","CHEBI:230493","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA",TRUE,8,7,7,TRUE,TRUE
"cgroup_L5_f9769fd6","CHEBI:230495",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_721184e6","CHEBI:230500","THZ1",TRUE,18,11,11,TRUE,TRUE
"cgroup_L5_aa8c1d6d","CHEBI:230508","birabresib",TRUE,9,5,5,TRUE,TRUE
"cgroup_L5_f44b01e2","CHEBI:230905",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_417c69a3","CHEBI:231324",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_84b52570","CHEBI:231344",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_7934174c","CHEBI:231598","EPZ6438",TRUE,13,9,9,TRUE,TRUE
"cgroup_L5_3a625868","CHEBI:231601","trastuzumab",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_2618c026","CHEBI:232613",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_a3f0c959","CHEBI:232752","GSK-LSD1",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_0dd60753","CHEBI:233362",NA,FALSE,7,1,1,FALSE,FALSE
"cgroup_L5_8b65b3ff","CHEBI:233363",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_f01e9f74","CHEBI:233643",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_a48d6990","CHEBI:25255",NA,FALSE,4,1,1,FALSE,FALSE
"cgroup_L5_fde7b89b","CHEBI:2704",NA,FALSE,3,0,0,FALSE,FALSE
"cgroup_L5_57810d6c","CHEBI:27881",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_021e875e","CHEBI:27899","2,2',3,4',5,5'-Hexachloro-4-biphenylol",TRUE,30,17,17,TRUE,TRUE
"cgroup_L5_f956ef98","CHEBI:28119","2,3,7,8-Tetrachlorodibenzodioxin",TRUE,7,5,5,TRUE,TRUE
"cgroup_L5_d7abf612","CHEBI:28201","2-hexaprenyl-6-methoxy-1,4-benzoquinone",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_26c302f6","CHEBI:28680",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_8a54ddd6","CHEBI:28748","doxorubicin",TRUE,27,14,14,TRUE,TRUE
"cgroup_L5_3d3658ad","CHEBI:28777",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_516200d1","CHEBI:29073","3-methyl-<i>cis</i>,<i>cis</i>-muconic acid",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_d411c435","CHEBI:29699","tunicamycin",TRUE,6,5,5,TRUE,TRUE
"cgroup_L5_79ce3bd1","CHEBI:3139","bleomycin A<small><sub>2</sub></small>",TRUE,10,6,6,TRUE,TRUE
"cgroup_L5_0e66597e","CHEBI:31638","fulvestrant",TRUE,15,12,12,TRUE,TRUE
"cgroup_L5_d8006c5b","CHEBI:31941","oxaliplatin",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_60d9a5bf","CHEBI:32588",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_1c7b64af","CHEBI:3638",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_8078374b","CHEBI:37415",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_31308596","CHEBI:37537","phorbol 13-acetate 12-myristate",TRUE,8,5,5,TRUE,TRUE
"cgroup_L5_f94b6180","CHEBI:379896","dihydrotestosterone",TRUE,26,22,22,TRUE,TRUE
"cgroup_L5_efced505","CHEBI:38940","3-(ethoxycarbonyl)psoralen",TRUE,11,9,9,TRUE,TRUE
"cgroup_L5_f97e665a","CHEBI:39112",NA,FALSE,6,2,2,FALSE,FALSE
"cgroup_L5_4be9e90d","CHEBI:39421","perfluorooctane-1-sulfonic acid",TRUE,4,4,4,TRUE,TRUE
"cgroup_L5_d7ad915e","CHEBI:39867","valproic acid",TRUE,8,7,7,TRUE,TRUE
"cgroup_L5_62404e11","CHEBI:4026",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_49e290ae","CHEBI:4031","cyclosporin A",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_10344dfd","CHEBI:4167",NA,TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_ff04c7c1","CHEBI:4167",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_8b61f50b","CHEBI:41774","afimoxifene",TRUE,7,4,4,TRUE,TRUE
"cgroup_L5_eb5e1e65","CHEBI:41879","2<em>H</em>-azirine",TRUE,20,13,13,TRUE,TRUE
"cgroup_L5_dcce160a","CHEBI:41977","daunorubicin",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_ebd83cd1","CHEBI:42068",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_2248a891","CHEBI:42471","glutamine",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_5b9a08fb","CHEBI:44185","methotrexate",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_a6fd82fa","CHEBI:44616","afimoxifene",TRUE,9,5,5,TRUE,TRUE
"cgroup_L5_03d0ca7b","CHEBI:4551","digoxin",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_d800c4f2","CHEBI:45716",NA,FALSE,7,2,2,FALSE,FALSE
"cgroup_L5_535d97f6","CHEBI:45783","imatinib",TRUE,13,9,9,TRUE,TRUE
"cgroup_L5_81b706c4","CHEBI:45863","thiirane",TRUE,12,3,3,TRUE,TRUE
"cgroup_L5_356eedd3","CHEBI:46024","trichostatin A",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_29cb04f8","CHEBI:46345","5-fluorouracil",TRUE,11,6,6,TRUE,TRUE
"cgroup_L5_17b35bdc","CHEBI:4672","EIF5A2",TRUE,8,4,4,TRUE,TRUE
"cgroup_L5_8958b27a","CHEBI:46741","Nutlin",TRUE,7,5,5,TRUE,TRUE
"cgroup_L5_cf34c533","CHEBI:46742","Nutlin-3",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_451ecb56","CHEBI:47344",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_ae969461","CHEBI:47458","saracatinib",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_24ae0579","CHEBI:47898","4'-epidoxorubicin",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_f34ff8df","CHEBI:4911","etoposide",TRUE,13,3,3,TRUE,TRUE
"cgroup_L5_3a0a595f","CHEBI:49375","dihexadecanoyl phosphatidic acid",TRUE,11,10,10,TRUE,TRUE
"cgroup_L5_004d293d","CHEBI:49603","erythritol",TRUE,9,5,5,TRUE,TRUE
"cgroup_L5_41f7b088","CHEBI:49668","acridone",TRUE,11,8,8,TRUE,TRUE
"cgroup_L5_e294a3bc","CHEBI:49852","DRB",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_b3ccf1c1","CHEBI:49960","flavanone",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_3eaa92c9","CHEBI:50122","rosiglitazone",TRUE,5,5,5,TRUE,TRUE
"cgroup_L5_a32e5eaa","CHEBI:50131","2,3,4,5-Tetrachloro-4'-biphenylol",TRUE,31,14,14,TRUE,TRUE
"cgroup_L5_f640365a","CHEBI:50385","hemin",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_8f29463d","CHEBI:50729",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_6df6a50e","CHEBI:50924","<small>D</small>-homomethionine",TRUE,17,13,13,TRUE,TRUE
"cgroup_L5_06ff1592","CHEBI:5118",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_3b461817","CHEBI:52172","flavanone",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_089ccae5","CHEBI:52717","flavonol 3-<em>O</em>-[α-<small>L</small>-rhamnosyl-(1→6)-β-<small>D</small>-glucoside]s",TRUE,8,5,5,TRUE,TRUE
"cgroup_L5_5d97d5b1","CHEBI:59132","S-(1,2-dichlorovinyl)-L-cysteine",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_759892f5","CHEBI:5931",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_cbc935db","CHEBI:61076",NA,FALSE,5,1,1,FALSE,FALSE
"cgroup_L5_d2c64672","CHEBI:61080","topiramate",TRUE,6,4,4,TRUE,TRUE
"cgroup_L5_a4029927","CHEBI:61390","[5-(aminomethyl)-3-furyl]methyl diphosphate",TRUE,4,4,4,TRUE,TRUE
"cgroup_L5_83b1f88c","CHEBI:61397","neratinib",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_889ae73b","CHEBI:63451",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_03b38818","CHEBI:63637","sodium aurothiomalate",TRUE,20,9,9,TRUE,TRUE
"cgroup_L5_f97e50de","CHEBI:64310","sodium aurothiomalate",TRUE,11,8,8,TRUE,TRUE
"cgroup_L5_92f4f307","CHEBI:64317","kanamycin A",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_5927750b","CHEBI:65347","nicotinate-adenine dinucleotide phosphate(4−)",TRUE,4,4,4,TRUE,TRUE
"cgroup_L5_b80b0368","CHEBI:6704",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_523e64b9","CHEBI:67271","(5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-icosatrienoate",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_2ec87595","CHEBI:6801","metformin",TRUE,12,8,8,TRUE,TRUE
"cgroup_L5_3439da02","CHEBI:68478","tolcapone",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_c0d1d837","CHEBI:68534","enzalutamide",TRUE,29,19,19,TRUE,TRUE
"cgroup_L5_fd0c6a79","CHEBI:68647","6,7,4'-trihydroxyflavanone",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_6ac5ea3a","CHEBI:68747",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_05322ba1","CHEBI:71019","omacetaxine mepesuccinate",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_ae11259e","CHEBI:71200","tofacitinib",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_8ac307e0","CHEBI:72317","2-decenal",TRUE,8,4,4,TRUE,TRUE
"cgroup_L5_99d7941a","CHEBI:72564","morpholine",TRUE,5,5,5,TRUE,TRUE
"cgroup_L5_4290da61","CHEBI:73572",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_8eca612e","CHEBI:75045","foaming agent",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_702a5dea","CHEBI:75998","3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime",TRUE,15,9,9,TRUE,TRUE
"cgroup_L5_83135c89","CHEBI:76612",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_dcfcec80","CHEBI:78432",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_16525349","CHEBI:78543","4-coumaroyltriacetic acid lactone",TRUE,4,4,4,TRUE,TRUE
"cgroup_L5_b8bc334a","CHEBI:79369",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_7b545f77","CHEBI:80630",NA,FALSE,6,2,2,FALSE,FALSE
"cgroup_L5_af782291","CHEBI:81571",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_a3112513","CHEBI:8228",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_c5e86fe9","CHEBI:83766","1-myristoyl-2-oleoylglycerol",TRUE,15,7,7,TRUE,TRUE
"cgroup_L5_1d96b9da","CHEBI:84491","poly(I:C)",TRUE,16,10,10,TRUE,TRUE
"cgroup_L5_00fd9348","CHEBI:8499","propranolol",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_aa505132","CHEBI:85164",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_b6b8bc00","CHEBI:85993","PI(18:0/18:3(6Z,9Z,12Z))",TRUE,26,15,15,TRUE,TRUE
"cgroup_L5_a8d88150","CHEBI:85994","<em>N</em>-[(<i>Z</i>)-dodec-2-enoyl]morpholine",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_455fe91d","CHEBI:86193","DAPT",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_57ea5503","CHEBI:88249",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_7cda77c1","CHEBI:90195",NA,FALSE,3,0,0,FALSE,FALSE
"cgroup_L5_0a71325c","CHEBI:90217",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_548236b5","CHEBI:90227",NA,FALSE,6,2,2,FALSE,FALSE
"cgroup_L5_af2c15aa","CHEBI:90693",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_601ede7b","CHEBI:90943","osimertinib",TRUE,14,10,10,TRUE,TRUE
"cgroup_L5_203dc31a","CHEBI:91091",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_87135459","CHEBI:91414",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_3437775a","CHEBI:91450",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_9f293ec3","CHEBI:9150",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_c054e202","CHEBI:9168","benzbromarone",TRUE,8,6,6,TRUE,TRUE
"cgroup_L5_f2139c4f","CHEBI:94287","erastin",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_4041e3af","CHEBI:95077","GSK-J4",TRUE,5,5,5,TRUE,TRUE
"cgroup_L5_edc8e828","CHEBI:95083",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_766cd3c6","CHEBI:9513",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_1e8a735e","CHEBI:9516","thapsigargin",TRUE,6,3,3,TRUE,TRUE
"cgroup_L5_5e0c0fae","CHEMBL:CHEMBL1201576","RITUXIMAB",TRUE,4,4,4,TRUE,TRUE
"cgroup_L5_b2645a34","CHEMBL:CHEMBL1201577",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_1d4f4a13","CHEMBL:CHEMBL1201583",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_f2481870","CHEMBL:CHEMBL2022968","Gilteritinib",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_e135d758","CHEMBL:CHEMBL2107881",NA,FALSE,4,1,1,FALSE,FALSE
"cgroup_L5_165b7913","CHEMBL:CHEMBL2108494",NA,FALSE,5,2,2,FALSE,FALSE
"cgroup_L5_f56d966d","CHEMBL:CHEMBL2177390","IPATASERTIB",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_0a4e5f58","CHEMBL:CHEMBL3544911",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_28bee975","CHEMBL:CHEMBL3987016","MIVEBRESIB",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_e16bfa7f","CHEMBL:CHEMBL4297454","ABBV-744",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771",NA,TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_b1c1f147","CHEMBL:CHEMBL4650278",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_855ca642","COMBO:hydrogen+peroxide","hydrogen peroxide",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_79981eb2","COMBO:il-13+il-4",NA,FALSE,3,2,1,FALSE,FALSE
"cgroup_L5_9f34eb99","COMBO:indisulam+palbociclib",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_ff45f67e","COMBO:ionomycin+pma","phorbol 12-myristate 13-acetate",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_aad8ed47","COMBO:taz+yap","YAP1",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_344e058f","HGNC:1071","Bone Morphogenetic Protein 4",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_574b5d0e","HGNC:1100",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_bff799ca","HGNC:1101",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_2e16719f","HGNC:11766","TGFB1",TRUE,78,59,59,TRUE,TRUE
"cgroup_L5_b0e8388e","HGNC:11768",NA,FALSE,4,2,2,FALSE,FALSE
"cgroup_L5_d9e23e09","HGNC:11892","Recombinant Tumor Necrosis Factor-alpha (human)",TRUE,48,38,38,TRUE,TRUE
"cgroup_L5_828ae0cb","HGNC:11927","epoxyoctadecenoate",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_1c583f9b","HGNC:11998",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_2ab433c8","HGNC:14900","IMPDH2",TRUE,6,6,5,TRUE,TRUE
"cgroup_L5_840b7e36","HGNC:1653","Corynebacterium acnes",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_206576be","HGNC:2434",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_d693cf88","HGNC:30743",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_12228932","HGNC:3229","SYPL1",TRUE,12,5,5,TRUE,TRUE
"cgroup_L5_b9921e6e","HGNC:3430",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_f25af0a2","HGNC:3676",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_3be7454c","HGNC:5417","Interferon-alpha",TRUE,6,3,3,TRUE,TRUE
"cgroup_L5_9132f546","HGNC:5423",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_fea19ca0","HGNC:5434","Interferon-beta",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_87c40ebb","HGNC:5438","IFNG",TRUE,35,20,19,TRUE,TRUE
"cgroup_L5_be15b706","HGNC:5973","IL5RA",TRUE,15,12,11,TRUE,TRUE
"cgroup_L5_bd40f34f","HGNC:5977","IL5",TRUE,6,5,5,TRUE,TRUE
"cgroup_L5_b32ab7f6","HGNC:5981","SNORD13P3",TRUE,12,9,9,TRUE,TRUE
"cgroup_L5_3973fe03","HGNC:5991","Interleukin-1alpha",TRUE,6,4,4,TRUE,TRUE
"cgroup_L5_905be893","HGNC:5992","Interleukin-1beta",TRUE,26,18,18,TRUE,TRUE
"cgroup_L5_3d8c29f4","HGNC:6001","Interleukin-2",TRUE,6,4,4,TRUE,TRUE
"cgroup_L5_2d53def6","HGNC:6005","IL5",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_d631ee89","HGNC:6011","IL3",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_49d55bfd","HGNC:6014","IL4",TRUE,14,10,9,TRUE,TRUE
"cgroup_L5_a25d0964","HGNC:6018","Interleukin-6",TRUE,11,11,11,TRUE,TRUE
"cgroup_L5_59d2b212","HGNC:6407",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_680b6b9c","HGNC:8975",NA,FALSE,3,0,0,FALSE,FALSE
"cgroup_L5_eba39954","MeSH:D000074285","(<i>S</i>)-nicotine",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_545a48c6","MeSH:D000077192","non-small cell lung carcinoma",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_7a9d880a","MeSH:D000077195",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_6b7b8076","MeSH:D000077273","papillary thyroid carcinoma",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_63e69fdc","MeSH:D000544","Alzheimer Disease",TRUE,7,6,6,TRUE,TRUE
"cgroup_L5_f29dd3b3","MeSH:D001172","Arthritis, Rheumatoid",TRUE,7,5,5,TRUE,TRUE
"cgroup_L5_c669863b","MeSH:D001749",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_f832048f","MeSH:D001943","Breast Neoplasms",TRUE,6,5,5,TRUE,TRUE
"cgroup_L5_c040a36d","MeSH:D002292","Residual Volume",TRUE,5,4,4,TRUE,TRUE
"cgroup_L5_fbcdc471","MeSH:D002311",NA,FALSE,3,0,0,FALSE,FALSE
"cgroup_L5_3f0cc1fe","MeSH:D003093","ulcerative colitis",TRUE,10,4,4,TRUE,TRUE
"cgroup_L5_c3ae78cd","MeSH:D003424","Crohn's Disease",TRUE,16,10,10,TRUE,TRUE
"cgroup_L5_e0c9a685","MeSH:D003876",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_387b0d1a","MeSH:D003922","type 1 diabetes",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_3e8ba26a","MeSH:D005909",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_f2f8d3ac","MeSH:D006519",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_bd19fe42","MeSH:D006528","Carcinoma, Hepatocellular",TRUE,11,9,9,TRUE,TRUE
"cgroup_L5_964c6389","MeSH:D006816","neurodevelopmental disorder",TRUE,4,3,3,TRUE,TRUE
"cgroup_L5_6d58c751","MeSH:D008113",NA,FALSE,3,0,0,FALSE,FALSE
"cgroup_L5_a3c3e08c","MeSH:D008175","non-small cell lung carcinoma",TRUE,5,3,3,TRUE,TRUE
"cgroup_L5_a69fcae5","MeSH:D008180","cancer",TRUE,6,4,4,TRUE,TRUE
"cgroup_L5_d53bf74e","MeSH:D008224","Lymphoma, Follicular",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_3b91a21d","MeSH:D009362","colorectal cancer",TRUE,8,6,6,TRUE,TRUE
"cgroup_L5_c99ed4ee","MeSH:D010051",NA,FALSE,5,2,2,FALSE,FALSE
"cgroup_L5_85083e38","MeSH:D010300","Parkinson Disease",TRUE,11,10,10,TRUE,TRUE
"cgroup_L5_be3d65c3","MeSH:D010634",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_b2affd22","MeSH:D011225","preeclampsia",TRUE,9,6,6,TRUE,TRUE
"cgroup_L5_c4640631","MeSH:D011471",NA,FALSE,6,2,2,FALSE,FALSE
"cgroup_L5_81c08752","MeSH:D012008",NA,FALSE,4,1,1,FALSE,FALSE
"cgroup_L5_719ab136","MeSH:D012595",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_6ee86f02","MeSH:D013167","ankylosing spondylitis",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_1bbf4b9b","MeSH:D013274","gastric cancer",TRUE,8,6,6,TRUE,TRUE
"cgroup_L5_889ec305","MeSH:D015179","colorectal cancer",TRUE,13,7,7,TRUE,TRUE
"cgroup_L5_6c7f9e9e","MeSH:D015451",NA,FALSE,3,2,2,FALSE,FALSE
"cgroup_L5_2f86628a","MeSH:D015470",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_36a11112","MeSH:D015535",NA,FALSE,3,1,1,FALSE,FALSE
"cgroup_L5_729b276d","MeSH:D016640","plasma",TRUE,3,3,3,TRUE,TRUE
"cgroup_L5_bfeacf75","MeSH:D016889",NA,FALSE,3,2,2,FALSE,FALSE
