"caso","ruolo","entita","cluster_id","control_key_cluster","canonical_name","series_id","comparison_id","design_kind_study","design_kind_cmp","varying_factor","fixed_factors","control_type","treated_group","control_group","treated_label","control_label","treated_fl","control_fl","n_treated","n_control","treated_role","control_role","treated_samples","control_samples","design_summary","record_id","valore_controllo","chiave_ricalcolata","ct_compat_vu","mat_T","mat_C"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE141941","GSE141941__hypoxia_24h_vs_untreated","time_course","treatment_vs_untreated","time","treatment|hypoxia|time|24h","untreated","grp_0004","grp_0001","HeLa hypoxia 24h","HeLa untreated","treatment=hypoxia ; time=24h","treatment=none ; time=0h",1,1,"treated","control","GSM4216729","GSM4216723","This study investigates the transcriptional response of HeLa cells to hypoxia over different time points.","GSE141941__GSE141941__hypoxia_24h_vs_untreated__1","0h","NA",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE151610","GSE151610__grp_0001_vs_grp_0002","multi_arm_treatment","treatment_vs_vehicle","treatment","genetic modification|none","vehicle","grp_0001","grp_0002","Hypoxia + Vector Control","Vector Control + Normoxia","treatment=hypoxia ; genetic modification=none","treatment=vector control ; genetic modification=none",3,3,"treated","control","GSM4586569;GSM4586577;GSM4586585","GSM4586573;GSM4586581;GSM4586589","This study investigates the effects of hypoxia and genetic modifications on ARPE-19 retinal epithelial cells.","GSE151610__GSE151610__grp_0001_vs_grp_0002__1","vector control","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE154427","GSE154427__grp_0003_vs_grp_0002","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|human aortic smooth muscle cells","vehicle","grp_0003","grp_0002","human aortic smooth muscle cells, Hypoxia","human aortic smooth muscle cells, Control","cell_type=human aortic smooth muscle cells ; treatment=hypoxia","cell_type=human aortic smooth muscle cells ; treatment=control",1,3,"treated","control","GSM4058573","GSM4058570;GSM4058571;GSM4058572","This study investigates the effects of hypoxia and OxPAPC treatments on various human primary cell types, including aortic endothelial cells, aortic smooth muscle cells, macrophages, and umbilical vein endothelial cells.","GSE154427__GSE154427__grp_0003_vs_grp_0002__1","control","vehicle_untreated",TRUE,"model","model"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE154427","GSE154427__grp_0004_vs_grp_0002","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|human aortic smooth muscle cells","vehicle","grp_0004","grp_0002","human aortic smooth muscle cells, Hypoxia","human aortic smooth muscle cells, Control","cell_type=human aortic smooth muscle cells ; treatment=hypoxia","cell_type=human aortic smooth muscle cells ; treatment=control",2,3,"treated","control","GSM4058574;GSM4058575","GSM4058570;GSM4058571;GSM4058572","This study investigates the effects of hypoxia and OxPAPC treatments on various human primary cell types, including aortic endothelial cells, aortic smooth muscle cells, macrophages, and umbilical vein endothelial cells.","GSE154427__GSE154427__grp_0004_vs_grp_0002__1","control","vehicle_untreated",TRUE,"model","model"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE163827","GSE163827__grp_0001_vs_grp_0005","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|Human brain microvascular endothelial cells","untreated","grp_0001","grp_0005","Brain endothelial cells, hypoxia","Brain endothelial cells, untreated","cell_type=Human brain microvascular endothelial cells ; treatment=hypoxia","cell_type=Human brain microvascular endothelial cells ; treatment=untreated",2,3,"treated","control","GSM4988024;GSM4988025","GSM4988021;GSM4988022;GSM4988023","This study investigates the effects of hypoxia and HIF1A knockdown on human brain microvascular endothelial cells and human pulmonary artery endothelial cells.","GSE163827__GSE163827__grp_0001_vs_grp_0005__1","untreated","vehicle_untreated",TRUE,"model","model"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE163827","GSE163827__grp_0002_vs_grp_0005","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|Human brain microvascular endothelial cells","untreated","grp_0002","grp_0005","Brain endothelial cells, hypoxia 3 hours","Brain endothelial cells, untreated","cell_type=Human brain microvascular endothelial cells ; treatment=hypoxia","cell_type=Human brain microvascular endothelial cells ; treatment=untreated",1,3,"treated","control","GSM4988026","GSM4988021;GSM4988022;GSM4988023","This study investigates the effects of hypoxia and HIF1A knockdown on human brain microvascular endothelial cells and human pulmonary artery endothelial cells.","GSE163827__GSE163827__grp_0002_vs_grp_0005__1","untreated","vehicle_untreated",TRUE,"model","model"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE193133","GSE193133__grp_0001_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","treatment","genotype|wild-type","untreated","grp_0001","grp_0002","MDA-MB-231 wild-type hypoxia 24h","MDA-MB-231 wild-type untreated","treatment=hypoxia ; genotype=wild-type","treatment=untreated ; genotype=wild-type",1,3,"treated","control","GSM5773925","GSM5773921;GSM5773922;GSM5773923","This study investigates the effects of hypoxia on MDA-MB-231 breast cancer cells, including wild-type and CCAR2 knockout variants.","GSE193133__GSE193133__grp_0001_vs_grp_0002__1","untreated","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE193133","GSE193133__grp_0004_vs_grp_0006","multi_arm_treatment","treatment_vs_untreated","treatment","genotype|CCAR2-/-","untreated","grp_0004","grp_0006","MDA-MB-231 CCAR2-/- hypoxia 24h","MDA-MB-231 CCAR2-/- untreated","treatment=hypoxia ; genotype=CCAR2-/-","treatment=untreated ; genotype=CCAR2-/-",3,2,"treated","control","GSM5773924;GSM5773926;GSM5773927","GSM5773928;GSM5773929","This study investigates the effects of hypoxia on MDA-MB-231 breast cancer cells, including wild-type and CCAR2 knockout variants.","GSE193133__GSE193133__grp_0004_vs_grp_0006__1","untreated","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE226005","GSE226005__Hypoxia_vs_None","multi_arm_treatment","treatment_vs_untreated","treatment","cell_line|IMR90|tissue|lung","untreated","group_0002","group_0005","Hypoxia","Control (None)","treatment=Hypoxia ; cell_line=IMR90 ; tissue=lung","treatment=None ; cell_line=IMR90 ; tissue=lung ; passage_or_state=senescent",2,4,"treated","control","GSM7329327;GSM7329328","GSM7061572;GSM7061573;GSM7061574;GSM7061575","This study investigates the effects of various treatments on IMR90 lung cells, including hypoxia, NMN, and normoxia.","GSE226005__GSE226005__Hypoxia_vs_None__1","None","vehicle_untreated",TRUE,"model","model"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE226005","GSE226005__Hypoxia_senescent_vs_None","multi_arm_treatment","treatment_vs_untreated","treatment","cell_line|IMR90|tissue|lung|passage_or_state|senescent","untreated","group_0003","group_0005","Hypoxia (senescent)","Control (None)","treatment=Hypoxia ; cell_line=IMR90 ; tissue=lung ; passage_or_state=senescent","treatment=None ; cell_line=IMR90 ; tissue=lung ; passage_or_state=senescent",2,4,"treated","control","GSM7061576;GSM7061577","GSM7061572;GSM7061573;GSM7061574;GSM7061575","This study investigates the effects of various treatments on IMR90 lung cells, including hypoxia, NMN, and normoxia.","GSE226005__GSE226005__Hypoxia_senescent_vs_None__1","None","vehicle_untreated",TRUE,"model","model"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE267662","GSE267662__hypoxia_vs_normal","treatment_vs_vehicle","treatment_vs_vehicle","treatment","cell_type|HUVEC","vehicle","hypoxia","normal","Hypoxia-treated HUVEC","Normal HUVEC","treatment=Hypoxia ; cell_type=HUVEC","treatment=Normal ; cell_type=HUVEC",2,2,"treated","control","GSM8272390;GSM8272391","GSM8272388;GSM8272389","This study investigates the effects of hypoxia on HUVEC cells compared to a normal control.","GSE267662__GSE267662__hypoxia_vs_normal__1","Normal","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","SCARTATO","STR:hypoxia","cgroup_L5_5ed15418","vehicle_untreated","hypoxia","GSE70544","GSE70544__grp_0003_vs_grp_0001","multi_arm_treatment","treatment_vs_vehicle","treatment","","vehicle","grp_0003","grp_0001","Hypoxia Treated","Control","treatment=hypoxia","treatment=control",3,6,"treated","control","GSM1808863;GSM1808864;GSM1808865","GSM1808860;GSM1808861;GSM1808862;GSM1808866;GSM1808867;GSM1808868","This study investigates the effects of cytokine stimulation and hypoxia on proximal tubular epithelial cells derived from human kidney tissue.","GSE70544__GSE70544__grp_0003_vs_grp_0001__1","control","vehicle_untreated",TRUE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE101799","GSE101799__grp_0001_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","disease_state|DIPG","untreated","grp_0001","grp_0002","DIPG cells under hypoxia","DIPG cells under normoxia","oxygen_condition=hypoxia ; disease_state=DIPG","oxygen_condition=normoxia ; disease_state=DIPG",1,1,"treated","control","GSM2716076","GSM2716077","This study investigates the effects of hypoxia and normoxia on primary cell lines derived from biopsies of patients with DIPG and glioblastoma.","GSE101799__GSE101799__grp_0001_vs_grp_0002__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE101799","GSE101799__grp_0003_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","disease_state|glioblastoma","untreated","grp_0003","grp_0004","Glioblastoma cells under hypoxia","Glioblastoma cells under normoxia","oxygen_condition=hypoxia ; disease_state=glioblastoma","oxygen_condition=normoxia ; disease_state=glioblastoma",1,1,"treated","control","GSM2716073","GSM2716074","This study investigates the effects of hypoxia and normoxia on primary cell lines derived from biopsies of patients with DIPG and glioblastoma.","GSE101799__GSE101799__grp_0003_vs_grp_0004__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE104193","GSE104193__grp_MCF10A_hypoxia_vs_grp_MCF10A_normoxia","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","cell_line|MCF10A|treatment|no_PP242","untreated","grp_MCF10A_hypoxia","grp_MCF10A_normoxia","MCF10A Hypoxia","MCF10A Normoxia","cell_line=MCF10A ; oxygen_condition=hypoxia ; treatment=no_PP242","cell_line=MCF10A ; oxygen_condition=normoxia ; treatment=no_PP242",4,4,"treated","control","GSM2791561;GSM2791565;GSM2791569;GSM2791573","GSM2791560;GSM2791564;GSM2791568;GSM2791572","This study investigates the effects of hypoxia and PP242 on MCF10A and MDA-MB-231 breast cancer cell lines.","GSE104193__GSE104193__grp_MCF10A_hypoxia_vs_grp_MCF10A_normoxia__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE104193","GSE104193__grp_MCF10A_hypoxia_PP242_vs_grp_MCF10A_normoxia_PP242","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","cell_line|MCF10A|treatment|PP242","untreated","grp_MCF10A_hypoxia_PP242","grp_MCF10A_normoxia_PP242","MCF10A Hypoxia + PP242","MCF10A Normoxia + PP242","cell_line=MCF10A ; oxygen_condition=hypoxia ; treatment=PP242","cell_line=MCF10A ; oxygen_condition=normoxia ; treatment=PP242",3,3,"treated","treated","GSM2791563;GSM2791567;GSM2791575","GSM2791566;GSM2791570;GSM2791574","This study investigates the effects of hypoxia and PP242 on MCF10A and MDA-MB-231 breast cancer cell lines.","GSE104193__GSE104193__grp_MCF10A_hypoxia_PP242_vs_grp_MCF10A_normoxia_PP242__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE104193","GSE104193__grp_MDA-MB-231_hypoxia_vs_grp_MDA-MB-231_normoxia","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","cell_line|MDA-MB-231|treatment|no_PP242","untreated","grp_MDA-MB-231_hypoxia","grp_MDA-MB-231_normoxia","MDA-MB-231 Hypoxia","MDA-MB-231 Normoxia","cell_line=MDA-MB-231 ; oxygen_condition=hypoxia ; treatment=no_PP242","cell_line=MDA-MB-231 ; oxygen_condition=normoxia ; treatment=no_PP242",3,1,"treated","control","GSM2791577;GSM2791581;GSM2791585","GSM2791584","This study investigates the effects of hypoxia and PP242 on MCF10A and MDA-MB-231 breast cancer cell lines.","GSE104193__GSE104193__grp_MDA-MB-231_hypoxia_vs_grp_MDA-MB-231_normoxia__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE104193","GSE104193__grp_MDA-MB-231_hypoxia_PP242_vs_grp_MDA-MB-231_normoxia_PP242","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","cell_line|MDA-MB-231|treatment|PP242","untreated","grp_MDA-MB-231_hypoxia_PP242","grp_MDA-MB-231_normoxia_PP242","MDA-MB-231 Hypoxia + PP242","MDA-MB-231 Normoxia + PP242","cell_line=MDA-MB-231 ; oxygen_condition=hypoxia ; treatment=PP242","cell_line=MDA-MB-231 ; oxygen_condition=normoxia ; treatment=PP242",4,4,"treated","treated","GSM2791579;GSM2791583;GSM2791587;GSM2791591","GSM2791578;GSM2791582;GSM2791586;GSM2791590","This study investigates the effects of hypoxia and PP242 on MCF10A and MDA-MB-231 breast cancer cell lines.","GSE104193__GSE104193__grp_MDA-MB-231_hypoxia_PP242_vs_grp_MDA-MB-231_normoxia_PP242__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE114519","GSE114519__grp_0001_vs_grp_0002","multi_arm_treatment","treatment_vs_vehicle","oxygen_condition","","secondary_arm","grp_0001","grp_0002","Hypoxia-treated NK cells","Normoxia-treated NK cells","oxygen_condition=hypoxia","oxygen_condition=normoxia",3,3,"treated","control","GSM3143373;GSM3143375;GSM3143377","GSM3143372;GSM3143374;GSM3143376","This study investigates the effects of hypoxia versus normoxia on NK cells derived from human blood.","GSE114519__GSE114519__grp_0001_vs_grp_0002__1","normoxia","normoxia",FALSE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE118046","GSE118046__Hypoxia_4h_vs_Normoxia_4h","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","duration|4h","secondary_arm","grp_0001","grp_0003","Hypoxia 4h","Normoxia 4h","oxygen_condition=hypoxia ; duration=4h","oxygen_condition=normoxia ; duration=4h",3,3,"treated","control","GSM3317715;GSM3317716;GSM3317717","GSM3317712;GSM3317713;GSM3317714","This study investigates the effects of hypoxia and normoxia on human dental pulp cells over different durations.","GSE118046__GSE118046__Hypoxia_4h_vs_Normoxia_4h__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE118046","GSE118046__Hypoxia_48h_vs_Normoxia_48h","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","duration|48h","secondary_arm","grp_0002","grp_0004","Hypoxia 48h","Normoxia 48h","oxygen_condition=hypoxia ; duration=48h","oxygen_condition=normoxia ; duration=48h",3,3,"treated","control","GSM3317721;GSM3317722;GSM3317723","GSM3317718;GSM3317719;GSM3317720","This study investigates the effects of hypoxia and normoxia on human dental pulp cells over different durations.","GSE118046__GSE118046__Hypoxia_48h_vs_Normoxia_48h__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE118362","GSE118362__hypoxia_vs_normoxia","treatment_vs_vehicle","treatment_vs_vehicle","oxygen_condition","","vehicle","grp_0001","grp_0002","Hypoxia-treated Human Pulmonary Artery Smooth Muscle Cells","Normoxia-treated (Control) Human Pulmonary Artery Smooth Muscle Cells","oxygen_condition=hypoxia","oxygen_condition=normoxia",1,1,"treated","control","GSM3325762","GSM3325761","This study investigates the effects of hypoxia on human pulmonary artery smooth muscle cells compared to normoxia.","GSE118362__GSE118362__hypoxia_vs_normoxia__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE120886","GSE120886__RCC4+VHL_hypoxia_vs_RCC4+VHL_normoxia","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_line|RCC4+VHL","secondary_arm","grp_0007","grp_0005","RCC4+VHL hypoxia","RCC4+VHL normoxia","cell_line=RCC4+VHL ; treatment=hypoxia","cell_line=RCC4+VHL ; treatment=normoxia",3,1,"treated","control","GSM3417853;GSM3417854;GSM3417855","GSM3417852","This study investigates the effects of hypoxia on different human cell lines, including HepG2, HKC8, and RCC4+VHL cells.","GSE120886__GSE120886__RCC4+VHL_hypoxia_vs_RCC4+VHL_normoxia__1","normoxia","normoxia",FALSE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE134737","GSE134737__grp_0014_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","disease_state|unaffected","untreated","grp_0014","grp_0002","iPS-derived motor neurons, neuron, unaffected, hypoxia","hPSC-derived human motor neuron, normoxia","oxygen_condition=hypoxia ; disease_state=unaffected","oxygen_condition=normoxia ; disease_state=unaffected",2,6,"treated","control","GSM4432564;GSM4432565","GSM3965157;GSM3965159;GSM3965161;GSM3965162;GSM3965164;GSM3965166","This study investigates the effects of hypoxia on hPSC-derived human motor neurons and iPS-derived motor neurons, including those affected by Type 1 Diabetes (T1D). It compares normoxic and hypoxic conditions, as well as disease states.","GSE134737__GSE134737__grp_0014_vs_grp_0002__1","normoxia","normoxia",TRUE,"model","model"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE139233","GSE139233__grp_0001_vs_grp_0007","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","ph_level|pH 7.4","secondary_arm","grp_0001","grp_0007","Hypoxia pH 6.0","Normoxia pH 7.4","oxygen_condition=hypoxia ; ph_level=pH 6.0","oxygen_condition=normoxia ; ph_level=pH 7.4",2,2,"treated","control","GSM4134435;GSM4134436","GSM4134425;GSM4134427","This study investigates the effects of hypoxia and acidosis on U87MG cells.","GSE139233__GSE139233__grp_0001_vs_grp_0007__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE139233","GSE139233__grp_0002_vs_grp_0007","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","ph_level|pH 7.4","secondary_arm","grp_0002","grp_0007","Hypoxia pH 7.4","Normoxia pH 7.4","oxygen_condition=hypoxia ; ph_level=pH 7.4","oxygen_condition=normoxia ; ph_level=pH 7.4",1,2,"treated","control","GSM4134431","GSM4134425;GSM4134427","This study investigates the effects of hypoxia and acidosis on U87MG cells.","GSE139233__GSE139233__grp_0002_vs_grp_0007__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE139233","GSE139233__grp_0003_vs_grp_0007","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","ph_level|pH 7.4","secondary_arm","grp_0003","grp_0007","Hypoxia pH 7.4 Oligosome","Normoxia pH 7.4","oxygen_condition=hypoxia ; ph_level=pH 7.4","oxygen_condition=normoxia ; ph_level=pH 7.4",1,2,"treated","control","GSM4134432","GSM4134425;GSM4134427","This study investigates the effects of hypoxia and acidosis on U87MG cells.","GSE139233__GSE139233__grp_0003_vs_grp_0007__1","normoxia","normoxia",FALSE,"unknown","unknown"
"hypoxia","VINCENTE","STR:hypoxia","cgroup_L5_83f57274","normoxia","hypoxia","GSE139233","GSE139233__grp_0004_vs_grp_0007","multi_arm_treatment","treatment_vs_untreated","oxygen_condition","ph_level|pH 7.4","secondary_arm","grp_0004","grp_0007","Hypoxia Polysome","Normoxia pH 7.4","oxygen_condition=hypoxia ; ph_level=pH 7.4","oxygen_condition=normoxia ; ph_level=pH 7.4",1,2,"treated","control","GSM4134433","GSM4134425;GSM4134427","This study investigates the effects of hypoxia and acidosis on U87MG cells.","GSE139233__GSE139233__grp_0004_vs_grp_0007__1","normoxia","normoxia",FALSE,"unknown","unknown"
