"id_a","id_b","reg_a","reg_b","chiave","tier","entrambi_nel_corpus"
"CHEBI:17230","MeSH:D006710","chebi","mesh","homocysteine","T1_canonico_canonico",FALSE
"CHEBI:17303","CHEMBL:CHEMBL70","chebi","chembl","morphia","T3_alias_alias",FALSE
"CHEBI:17303","MeSH:D009020","chebi","mesh","morphia","T3_alias_alias",FALSE
"CHEBI:17313","CHEMBL:CHEMBL244948","chebi","chembl","daphnetin","T2_canonico_alias",FALSE
"CHEBI:17327","CHEMBL:CHEMBL1644111","chebi","chembl","transphytol","T2_canonico_alias",FALSE
"CHEBI:17327","CHEMBL:CHEMBL3039479","chebi","chembl","phytol","T1_canonico_canonico",FALSE
"CHEBI:17327","MeSH:D010836","chebi","mesh","phytol","T1_canonico_canonico",FALSE
"CHEBI:17347","CHEMBL:CHEMBL386630","chebi","chembl","testosterone","T1_canonico_canonico",FALSE
"CHEBI:17347","MeSH:D013739","chebi","mesh","testosterone","T1_canonico_canonico",FALSE
"CHEBI:17376","CHEMBL:CHEMBL590540","chebi","chembl","cistina","T3_alias_alias",FALSE
"CHEBI:17376","NCBITaxon:742509","chebi","ncbitaxon","cistina","T2_canonico_alias",FALSE
"CHEBI:17489","MeSH:D000242","chebi","mesh","cyclicamp","T2_canonico_alias",FALSE
"CHEBI:17553","CHEMBL:CHEMBL146972","chebi","chembl","phosphorylethanolamine","T2_canonico_alias",FALSE
"CHEBI:175901","CHEMBL:CHEMBL888","chebi","chembl","gemcitabine","T1_canonico_canonico",FALSE
"CHEBI:175901","MeSH:D000093542","chebi","mesh","gemcitabine","T1_canonico_canonico",FALSE
"CHEBI:176334","CHEMBL:CHEMBL3786182","chebi","chembl","gsk2879552","T1_canonico_canonico",FALSE
"CHEBI:17650","CHEMBL:CHEMBL389621","chebi","chembl","cortisol","T2_canonico_alias",FALSE
"CHEBI:17650","MeSH:D006854","chebi","mesh","cortisol","T2_canonico_alias",FALSE
"CHEBI:176844","CHEMBL:CHEMBL1094636","chebi","chembl","niraparib","T1_canonico_canonico",FALSE
"CHEBI:176975","CHEMBL:CHEMBL4297410","chebi","chembl","it139","T2_canonico_alias",FALSE
"CHEBI:17698","CHEMBL:CHEMBL130","chebi","chembl","chloramphenicol","T1_canonico_canonico",FALSE
"CHEBI:17698","MeSH:D002701","chebi","mesh","chloramphenicol","T1_canonico_canonico",FALSE
"CHEBI:177387","CHEMBL:CHEMBL38434","chebi","chembl","brequinar","T1_canonico_canonico",FALSE
"CHEBI:17741","CHEMBL:CHEMBL268291","chebi","chembl","dimethylformamide","T2_canonico_alias",FALSE
"CHEBI:17741","MeSH:D004126","chebi","mesh","dimethylformamide","T2_canonico_alias",FALSE
"CHEBI:177536","CHEMBL:CHEMBL2105738","chebi","chembl","galeterone","T1_canonico_canonico",FALSE
"CHEBI:17761","MeSH:D002518","chebi","mesh","ceramides","T2_canonico_alias",FALSE
"CHEBI:177705","CHEMBL:CHEMBL3039522","chebi","chembl","birinapant","T1_canonico_canonico",FALSE
"CHEBI:17775","CHEMBL:CHEMBL792","chebi","chembl","268trioxypurine","T3_alias_alias",FALSE
"CHEBI:177770","CHEMBL:CHEMBL2103879","chebi","chembl","ganetespib","T1_canonico_canonico",FALSE
"CHEBI:177783","CHEMBL:CHEMBL355200","chebi","chembl","eniluracil","T1_canonico_canonico",FALSE
"CHEBI:17790","CHEMBL:CHEMBL14688","chebi","chembl","methanol","T2_canonico_alias",FALSE
"CHEBI:17790","MeSH:D000432","chebi","mesh","methanol","T1_canonico_canonico",FALSE
"CHEBI:178199","CHEMBL:CHEMBL4535757","chebi","chembl","sotorasib","T1_canonico_canonico",FALSE
"CHEBI:17823","CHEMBL:CHEMBL846","chebi","chembl","calcitriol","T1_canonico_canonico",FALSE
"CHEBI:17823","MeSH:D002117","chebi","mesh","calcitriol","T1_canonico_canonico",FALSE
"CHEBI:17833","CHEMBL:CHEMBL6067485","chebi","chembl","gentamicin","T2_canonico_alias",FALSE
"CHEBI:17833","MeSH:D005839","chebi","mesh","gentamycin","T2_canonico_alias",FALSE
"CHEBI:17883","CHEMBL:CHEMBL1231821","chebi","chembl","hydrochloricacid","T2_canonico_alias",FALSE
"CHEBI:17883","MeSH:D006851","chebi","mesh","hydrochloricacid","T2_canonico_alias",FALSE
"CHEBI:17968","CHEMBL:CHEMBL14227","chebi","chembl","butyrate","T2_canonico_alias",FALSE
"CHEBI:17968","MeSH:D002087","chebi","mesh","butyrate","T2_canonico_alias",FALSE
"CHEBI:17992","CHEMBL:CHEMBL253582","chebi","chembl","sucrose","T1_canonico_canonico",FALSE
"CHEBI:17992","MeSH:D013395","chebi","mesh","sucrose","T1_canonico_canonico",FALSE
"CHEBI:17992","MeSH:D019422","chebi","mesh","tablesugar","T3_alias_alias",FALSE
"CHEBI:18050","CHEMBL:CHEMBL930","chebi","chembl","levoglutamide","T3_alias_alias",FALSE
"CHEBI:18053","CHEMBL:CHEMBL265325","chebi","chembl","1aminocyclopropanecarboxylicacid","T1_canonico_canonico",FALSE
"CHEBI:18058","MeSH:D010072","chebi","mesh","oxamicacid","T1_canonico_canonico",FALSE
"CHEBI:181391","CHEMBL:CHEMBL67","chebi","chembl","combretastatina4","T1_canonico_canonico",FALSE
"CHEBI:18243","CHEMBL:CHEMBL59","chebi","chembl","dopamina","T3_alias_alias",FALSE
"CHEBI:18243","MeSH:D004298","chebi","mesh","34dihydroxyphenethylamine","T3_alias_alias",FALSE
"CHEBI:18248","CHEMBL:CHEMBL1201544","chebi","chembl","ferrum","T3_alias_alias",FALSE
"CHEBI:18357","CHEMBL:CHEMBL1437","chebi","chembl","norepinefrina","T3_alias_alias",FALSE
"CHEBI:18357","CHEMBL:CHEMBL18824","chebi","chembl","lnorepinephrine","T2_canonico_alias",FALSE
"CHEBI:18357","MeSH:D009638","chebi","mesh","arterenol","T3_alias_alias",FALSE
"HGNC:13568","CHEBI:184911","hgnc","chebi","pgpi","T2_canonico_alias",FALSE
"CHEBI:187904","CHEMBL:CHEMBL67279","chebi","chembl","talabostat","T2_canonico_alias",FALSE
"CHEBI:188197","CHEMBL:CHEMBL191482","chebi","chembl","ar42","T1_canonico_canonico",FALSE
"CHEBI:188559","CHEMBL:CHEMBL2105648","chebi","chembl","palovarotene","T1_canonico_canonico",FALSE
"CHEBI:189662","CHEMBL:CHEMBL3544944","chebi","chembl","bms863233","T2_canonico_alias",FALSE
"CHEBI:192461","CHEMBL:CHEMBL503044","chebi","chembl","toosendanin","T1_canonico_canonico",FALSE
"CHEBI:193137","CHEMBL:CHEMBL2431768","chebi","chembl","lcl161","T1_canonico_canonico",FALSE
"CHEBI:195327","CHEMBL:CHEMBL577294","chebi","chembl","2hydroxypropylbetacyclodextrin","T2_canonico_alias",FALSE
"CHEBI:195327","MeSH:D000073738","chebi","mesh","2hydroxypropylbetacyclodextrin","T2_canonico_alias",FALSE
"CHEBI:195368","HGNC:30092","chebi","hgnc","nampt","T2_canonico_alias",FALSE
"CHEBI:195558","CHEMBL:CHEMBL1983268","chebi","chembl","entrectinib","T1_canonico_canonico",FALSE
"CHEBI:195559","CHEMBL:CHEMBL3545154","chebi","chembl","poziotinib","T1_canonico_canonico",FALSE
"CHEBI:197107","CHEMBL:CHEMBL206834","chebi","chembl","bafetinib","T1_canonico_canonico",FALSE
"CHEBI:197437","CHEMBL:CHEMBL272980","chebi","chembl","mocetinostat","T1_canonico_canonico",FALSE
"CHEMBL:CHEMBL265582","CHEBI:197439","chembl","chebi","tnfalpha","T2_canonico_alias",FALSE
"HGNC:11892","CHEBI:197439","hgnc","chebi","tnfa","T3_alias_alias",FALSE
"HGNC:11892","CHEBI:197440","hgnc","chebi","tnfsf2","T3_alias_alias",FALSE
"CHEBI:198892","HGNC:8623","chebi","hgnc","pax9","T1_canonico_canonico",FALSE
"HGNC:8620","CHEBI:202609","hgnc","chebi","pax6","T1_canonico_canonico",FALSE
"HGNC:8619","CHEBI:202717","hgnc","chebi","pax5","T1_canonico_canonico",TRUE
"HGNC:12363","CHEBI:203053","hgnc","chebi","tuberin","T2_canonico_alias",FALSE
"CHEBI:2038","CHEMBL:CHEMBL1489","chebi","chembl","azacitidine","T2_canonico_alias",FALSE
"CHEBI:2038","MeSH:D001374","chebi","mesh","5azacytidine","T2_canonico_alias",FALSE
"CHEBI:20480","MeSH:D013891","chebi","mesh","4thiouridine","T2_canonico_alias",FALSE
"CHEBI:205761","CHEMBL:CHEMBL1242745","chebi","chembl","pladienolideb","T1_canonico_canonico",FALSE
"CHEBI:21547","CHEMBL:CHEMBL1162494","chebi","chembl","nacetylasparticacid","T2_canonico_alias",FALSE
"CHEBI:21759","MeSH:D008769","chebi","mesh","methylnitronitrosoguanidine","T2_canonico_alias",FALSE
"CHEMBL:CHEMBL4456585","CHEBI:220491","chembl","chebi","compound4","T2_canonico_alias",TRUE
"CHEBI:229222","CHEMBL:CHEMBL2325741","chebi","chembl","capivasertib","T1_canonico_canonico",FALSE
"CHEBI:229254","CHEMBL:CHEMBL179900","chebi","chembl","cyclocreatine","T1_canonico_canonico",FALSE
"CHEBI:229764","CHEMBL:CHEMBL3545185","chebi","chembl","selinexor","T1_canonico_canonico",FALSE
"CHEBI:22977","CHEMBL:CHEMBL2074977","chebi","chembl","cadmium","T2_canonico_alias",FALSE
"CHEBI:22977","MeSH:D002104","chebi","mesh","cadmium","T2_canonico_alias",FALSE
"CHEBI:230493","CHEMBL:CHEMBL3414626","chebi","chembl","pinometostat","T1_canonico_canonico",FALSE
"CHEBI:230506","CHEMBL:CHEMBL4297643","chebi","chembl","sta5326","T3_alias_alias",FALSE
"CHEBI:230508","CHEMBL:CHEMBL3581647","chebi","chembl","birabresib","T1_canonico_canonico",FALSE
"CHEBI:230905","CHEMBL:CHEMBL3545110","chebi","chembl","ribociclib","T1_canonico_canonico",FALSE
"CHEBI:231324","CHEMBL:CHEMBL2396661","chebi","chembl","alpelisib","T1_canonico_canonico",FALSE
"CHEBI:231342","CHEMBL:CHEMBL4285417","chebi","chembl","ceralasertib","T1_canonico_canonico",FALSE
"CHEBI:231344","CHEMBL:CHEMBL3137320","chebi","chembl","talazoparib","T1_canonico_canonico",FALSE
"CHEBI:231347","CHEMBL:CHEMBL231616","chebi","chembl","triapine","T1_canonico_canonico",FALSE
"CHEBI:231355","CHEMBL:CHEMBL2107784","chebi","chembl","tasquinimod","T1_canonico_canonico",FALSE
"CHEBI:231356","CHEMBL:CHEMBL2103842","chebi","chembl","varlitinib","T1_canonico_canonico",FALSE
"CHEBI:231357","CHEMBL:CHEMBL1234354","chebi","chembl","pf04691502","T1_canonico_canonico",FALSE
"CHEBI:231358","CHEMBL:CHEMBL1233528","chebi","chembl","volasertib","T1_canonico_canonico",FALSE
"CHEBI:231366","CHEMBL:CHEMBL1615025","chebi","chembl","tak733","T1_canonico_canonico",FALSE
"CHEBI:231555","HGNC:7997","chebi","hgnc","neuregulin1","T2_canonico_alias",FALSE
"CHEBI:231555","MeSH:D020890","chebi","mesh","neuregulin1","T2_canonico_alias",FALSE
"CHEBI:231598","CHEMBL:CHEMBL3414621","chebi","chembl","tazemetostat","T1_canonico_canonico",FALSE
"CHEBI:231600","CHEMBL:CHEMBL278703","chebi","chembl","erteberel","T1_canonico_canonico",FALSE
"CHEBI:231601","CHEMBL:CHEMBL1201585","chebi","chembl","trastuzumab","T1_canonico_canonico",FALSE
"CHEBI:231601","MeSH:D000068878","chebi","mesh","trastuzumab","T1_canonico_canonico",FALSE
"CHEBI:231602","CHEMBL:CHEMBL1236682","chebi","chembl","refametinib","T1_canonico_canonico",FALSE
"CHEBI:231603","CHEMBL:CHEMBL3544916","chebi","chembl","guadecitabine","T1_canonico_canonico",FALSE
"CHEBI:231605","CHEMBL:CHEMBL3639788","chebi","chembl","telaglenastat","T1_canonico_canonico",FALSE
"CHEBI:231614","CHEMBL:CHEMBL2108738","chebi","chembl","nivolumab","T1_canonico_canonico",FALSE
"CHEBI:231614","MeSH:D000077594","chebi","mesh","nivolumab","T1_canonico_canonico",FALSE
"CHEBI:231621","CHEMBL:CHEMBL2110587","chebi","chembl","tasisulam","T1_canonico_canonico",FALSE
"CHEBI:231674","CHEMBL:CHEMBL4078100","chebi","chembl","azd5153","T1_canonico_canonico",FALSE
"CHEBI:231679","CHEMBL:CHEMBL1789844","chebi","chembl","ipilimumab","T1_canonico_canonico",FALSE
"CHEBI:231679","MeSH:D000074324","chebi","mesh","ipilimumab","T1_canonico_canonico",FALSE
"CHEBI:231683","CHEMBL:CHEMBL1201570","chebi","chembl","anakinra","T1_canonico_canonico",FALSE
"CHEBI:231683","MeSH:D053590","chebi","mesh","anakinra","T2_canonico_alias",FALSE
"CHEBI:231695","CHEMBL:CHEMBL560895","chebi","chembl","snx2112","T1_canonico_canonico",FALSE
"CHEBI:231696","CHEMBL:CHEMBL591429","chebi","chembl","pac1","T1_canonico_canonico",FALSE
"CHEBI:231702","CHEMBL:CHEMBL571546","chebi","chembl","tirbanibulin","T1_canonico_canonico",FALSE
"CHEBI:231727","CHEMBL:CHEMBL13470","chebi","chembl","snc80","T1_canonico_canonico",FALSE
"CHEBI:232328","CHEMBL:CHEMBL4297310","chebi","chembl","dordaviprone","T1_canonico_canonico",FALSE
"CHEBI:232423","MeSH:D003208","chebi","mesh","concanavalina","T1_canonico_canonico",FALSE
"CHEBI:232521","CHEMBL:CHEMBL3747513","chebi","chembl","cb5083","T1_canonico_canonico",FALSE
"CHEBI:232544","CHEMBL:CHEMBL4071161","chebi","chembl","tirabrutinib","T1_canonico_canonico",FALSE
"CHEBI:232547","CHEMBL:CHEMBL2051959","chebi","chembl","etomoxir","T1_canonico_canonico",FALSE
