"caso","ruolo","entita","cluster_id","control_key_cluster","canonical_name","series_id","comparison_id","design_kind_study","design_kind_cmp","varying_factor","fixed_factors","control_type","treated_group","control_group","treated_label","control_label","treated_fl","control_fl","n_treated","n_control","treated_role","control_role","treated_samples","control_samples","design_summary","record_id"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE179609","GSE179609__CMV_naive_vs_control_naive","multi_arm_treatment","case_control_disease","perturbation","","secondary_arm","mg23","mg24","Naive CD8+ T Cells Exposed to CMV","Naive CD8+ T Cells Control","cell_state=naive ; perturbation=CMV","cell_state=naive ; perturbation=Control",2,8,"treated","control","GSM5423990;GSM5424001","GSM5423931;GSM5424020;GSM5424028;GSM5424081;GSM5424102;GSM5424143;GSM5424152;GSM5424187","This study investigates the transcriptional changes in CD8+ T cells upon exposure to Cytomegalovirus (CMV)","GSE179609__GSE179609__CMV_naive_vs_control_naive__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE179609","GSE179609__CMV_activated_vs_control_activated","multi_arm_treatment","case_control_disease","perturbation","","secondary_arm","mg25","mg26","Activated CD8+ T Cells Exposed to CMV","Activated CD8+ T Cells Control","cell_state=activated ; perturbation=CMV","cell_state=activated ; perturbation=Control",1,2,"treated","control","GSM5423992","GSM5423957;GSM5423981","This study investigates the transcriptional changes in CD8+ T cells upon exposure to Cytomegalovirus (CMV)","GSE179609__GSE179609__CMV_activated_vs_control_activated__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE203395","GSE203395__grp_0003_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","treatment","vaccination_status|non-vaccinated","untreated","grp_0003","grp_0004","CMV-infected, D-7, 7 days","D-7, 7 days","infection_status=CMV ; vaccination_status=non-vaccinated","infection_status=none ; vaccination_status=non-vaccinated",3,2,"treated","treated","GSM6170969;GSM6170990;GSM6171163","GSM6170964;GSM6170977","This study investigates the transcriptional response of human PBMCs to Mycobacterium tuberculosis (M.tb) and Cytomegalovirus (CMV) infections, both individually and in co-infection scenarios. It also explores the effects of BCG vaccination on these responses.","GSE203395__GSE203395__grp_0003_vs_grp_0004__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE203395","GSE203395__grp_0006_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","treatment","vaccination_status|non-vaccinated","untreated","grp_0006","grp_0004","CMV-infected, 7 days","D-7, 7 days","infection_status=CMV ; vaccination_status=non-vaccinated","infection_status=none ; vaccination_status=non-vaccinated",33,2,"treated","treated","GSM6170930;GSM6170940;GSM6170949;GSM6170979;GSM6170983;GSM6170999;GSM6171001;GSM6171002;GSM6171005;GSM6171011;GSM6171018;GSM6171035;GSM6171041;GSM6171042;GSM6171054;GSM6171063;GSM6171066;GSM6171093;GSM6171103;GSM6171104;GSM6171108;GSM6171127;GSM6171142;GSM6171149;GSM6171157;GSM6171171;GSM6171172;GSM6171175;GSM6171176;GSM6171193;GSM6171199;GSM6171202;GSM6171206","GSM6170964;GSM6170977","This study investigates the transcriptional response of human PBMCs to Mycobacterium tuberculosis (M.tb) and Cytomegalovirus (CMV) infections, both individually and in co-infection scenarios. It also explores the effects of BCG vaccination on these responses.","GSE203395__GSE203395__grp_0006_vs_grp_0004__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE203395","GSE203395__grp_0008_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","treatment","vaccination_status|non-vaccinated","untreated","grp_0008","grp_0004","CMV-infected, D-7, 7 days","D-7, 7 days","infection_status=CMV ; vaccination_status=non-vaccinated","infection_status=none ; vaccination_status=non-vaccinated",3,2,"treated","treated","GSM6171136;GSM6171153;GSM6171159","GSM6170964;GSM6170977","This study investigates the transcriptional response of human PBMCs to Mycobacterium tuberculosis (M.tb) and Cytomegalovirus (CMV) infections, both individually and in co-infection scenarios. It also explores the effects of BCG vaccination on these responses.","GSE203395__GSE203395__grp_0008_vs_grp_0004__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE203395","GSE203395__grp_0024_vs_grp_0025","multi_arm_treatment","treatment_vs_untreated","treatment","vaccination_status|BCG vaccinated","untreated","grp_0024","grp_0025","CMV-infected, D-7, 7 days, BCG vaccinated","M.tb-uninfected, D-7, 7 days, BCG vaccinated","infection_status=CMV ; vaccination_status=BCG vaccinated","infection_status=none ; vaccination_status=BCG vaccinated",23,2,"treated","control","GSM6170929;GSM6170943;GSM6170965;GSM6170970;GSM6170972;GSM6170975;GSM6170978;GSM6170991;GSM6171004;GSM6171010;GSM6171026;GSM6171043;GSM6171077;GSM6171090;GSM6171106;GSM6171131;GSM6171137;GSM6171150;GSM6171152;GSM6171156;GSM6171200;GSM6171201;GSM6171205","GSM6171065;GSM6171079","This study investigates the transcriptional response of human PBMCs to Mycobacterium tuberculosis (M.tb) and Cytomegalovirus (CMV) infections, both individually and in co-infection scenarios. It also explores the effects of BCG vaccination on these responses.","GSE203395__GSE203395__grp_0024_vs_grp_0025__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE203395","GSE203395__grp_0027_vs_grp_0025","multi_arm_treatment","treatment_vs_untreated","treatment","vaccination_status|BCG vaccinated","untreated","grp_0027","grp_0025","CMV-infected, D-7, 7 days, BCG vaccinated","M.tb-uninfected, D-7, 7 days, BCG vaccinated","infection_status=CMV ; vaccination_status=BCG vaccinated","infection_status=none ; vaccination_status=BCG vaccinated",35,2,"treated","control","GSM6170941;GSM6170948;GSM6170951;GSM6170958;GSM6170976;GSM6170981;GSM6170982;GSM6170985;GSM6170998;GSM6171000;GSM6171003;GSM6171019;GSM6171020;GSM6171034;GSM6171036;GSM6171040;GSM6171055;GSM6171062;GSM6171067;GSM6171092;GSM6171102;GSM6171105;GSM6171107;GSM6171115;GSM6171126;GSM6171139;GSM6171143;GSM6171148;GSM6171158;GSM6171162;GSM6171170;GSM6171173;GSM6171174;GSM6171177;GSM6171188","GSM6171065;GSM6171079","This study investigates the transcriptional response of human PBMCs to Mycobacterium tuberculosis (M.tb) and Cytomegalovirus (CMV) infections, both individually and in co-infection scenarios. It also explores the effects of BCG vaccination on these responses.","GSE203395__GSE203395__grp_0027_vs_grp_0025__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE203395","GSE203395__grp_0028_vs_grp_0025","multi_arm_treatment","treatment_vs_untreated","treatment","vaccination_status|BCG vaccinated","untreated","grp_0028","grp_0025","M.tb-uninfected, CMV-infected, D-7, 7 days, BCG vaccinated","M.tb-uninfected, D-7, 7 days, BCG vaccinated","infection_status=CMV ; vaccination_status=BCG vaccinated","infection_status=none ; vaccination_status=BCG vaccinated",5,2,"treated","control","GSM6170945;GSM6171051;GSM6171086;GSM6171095;GSM6171194","GSM6171065;GSM6171079","This study investigates the transcriptional response of human PBMCs to Mycobacterium tuberculosis (M.tb) and Cytomegalovirus (CMV) infections, both individually and in co-infection scenarios. It also explores the effects of BCG vaccination on these responses.","GSE203395__GSE203395__grp_0028_vs_grp_0025__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE210989","GSE210989__grp_0001_vs_grp_0002","treatment_vs_vehicle","treatment_vs_vehicle","infection_status","time(hours)|48","vehicle","grp_0001","grp_0002","MRC5 cells infected with HCMV strain AD169 for 48 hours","Mock-infected MRC5 cells for 48 hours","infection_status=HCMV strain AD169 ; time(hours)=48","infection_status=Mock ; time(hours)=48",3,1,"treated","control","GSM6443797;GSM6443798;GSM6443799","GSM6443801","This study investigates the transcriptional response of MRC5 lung cells to HCMV strain AD169 infection compared to mock-infected controls.","GSE210989__GSE210989__grp_0001_vs_grp_0002__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE210989","GSE210989__grp_0001_vs_grp_0003","treatment_vs_vehicle","treatment_vs_vehicle","infection_status","time(hours)|48","vehicle","grp_0001","grp_0003","MRC5 cells infected with HCMV strain AD169 for 48 hours","Vehicle-only MRC5 cells for 48 hours","infection_status=HCMV strain AD169 ; time(hours)=48","infection_status=Mock ; time(hours)=48",3,2,"treated","control","GSM6443797;GSM6443798;GSM6443799","GSM6443800;GSM6443802","This study investigates the transcriptional response of MRC5 lung cells to HCMV strain AD169 infection compared to mock-infected controls.","GSE210989__GSE210989__grp_0001_vs_grp_0003__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE248927","GSE248927__HCMV_vs_Mock","multi_arm_treatment","treatment_vs_vehicle","treatment","time(hours)|24","vehicle","grp_0001","grp_0002","HCMV (TB40E) treated","Mock treated","treatment=HCMV (TB40E) ; time(hours)=24","treatment=Mock ; time(hours)=24",2,2,"treated","control","GSM7923047;GSM7923048","GSM7923045;GSM7923046","This study investigates the transcriptional response of human peripheral blood monocytes to various treatments, including pathogen exposure, cytokine stimulation, and mock treatments.","GSE248927__GSE248927__HCMV_vs_Mock__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE81637","GSE81637__grp_0001_vs_grp_0003","multi_arm_treatment","treatment_vs_vehicle","virus","tissue|decidua","vehicle","grp_0001","grp_0003","Decidua HCMV 2dpi","Decidua Mock 2dpi","virus=HCMV ; tissue=decidua","virus=Mock ; tissue=decidua",1,1,"treated","control","GSM2160046","GSM2160038","This study investigates the transcriptional response of human decidua and placenta tissues to infection with Human Cytomegalovirus (HCMV) and Zika Virus (ZIKV) compared to mock-infected controls.","GSE81637__GSE81637__grp_0001_vs_grp_0003__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE81637","GSE81637__grp_0002_vs_grp_0004","multi_arm_treatment","treatment_vs_vehicle","virus","tissue|decidua","vehicle","grp_0002","grp_0004","Decidua HCMV 2dpi","Decidua Mock 2dpi","virus=HCMV ; tissue=decidua","virus=Mock ; tissue=decidua",1,1,"treated","control","GSM2160040","GSM2160044","This study investigates the transcriptional response of human decidua and placenta tissues to infection with Human Cytomegalovirus (HCMV) and Zika Virus (ZIKV) compared to mock-infected controls.","GSE81637__GSE81637__grp_0002_vs_grp_0004__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE81637","GSE81637__grp_0006_vs_grp_0008","multi_arm_treatment","treatment_vs_vehicle","virus","tissue|placenta","vehicle","grp_0006","grp_0008","Placenta HCMV 2dpi","Placenta Mock 2dpi","virus=HCMV ; tissue=placenta","virus=Mock ; tissue=placenta",1,1,"treated","control","GSM2160043","GSM2160047","This study investigates the transcriptional response of human decidua and placenta tissues to infection with Human Cytomegalovirus (HCMV) and Zika Virus (ZIKV) compared to mock-infected controls.","GSE81637__GSE81637__grp_0006_vs_grp_0008__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE81637","GSE81637__grp_0007_vs_grp_0008","multi_arm_treatment","treatment_vs_vehicle","virus","tissue|placenta","vehicle","grp_0007","grp_0008","Placenta HCMV 2dpi","Placenta Mock 2dpi","virus=HCMV ; tissue=placenta","virus=Mock ; tissue=placenta",1,1,"treated","control","GSM2160049","GSM2160047","This study investigates the transcriptional response of human decidua and placenta tissues to infection with Human Cytomegalovirus (HCMV) and Zika Virus (ZIKV) compared to mock-infected controls.","GSE81637__GSE81637__grp_0007_vs_grp_0008__1"
"NCBITaxon:10359","VINCENTE","NCBITaxon:10359","cgroup_L5_444e7fc2","vehicle_untreated","influenza virus","GSE94724","GSE94724__grp_0001_vs_grp_0002","treatment_vs_vehicle","treatment_vs_vehicle","infection_status","","vehicle","grp_0001","grp_0002","HCMV infected decidua","Mock infected decidua","infection_status=HCMV_infected","infection_status=mock_infected",2,2,"treated","control","GSM2481415;GSM2481417","GSM2481414;GSM2481416","This study investigates the transcriptional changes in human decidua tissue upon infection with human cytomegalovirus (HCMV) compared to a mock-infected control.","GSE94724__GSE94724__grp_0001_vs_grp_0002__1"
"NCBITaxon:10359","ASSORBITO","NCBITaxon:10359","cgroup_L5_eff40d9b","uninfected","human herpesvirus 5","GSE63797","GSE63797__grp_0001_vs_grp_0004","time_course","time_course","time","","time_zero","grp_0001","grp_0004","Human herpesvirus 5 exposure for 24 hours","Uninfected control","time=24h ; agent=human herpesvirus 5","time=0h ; agent=uninfected",2,2,"treated","control","GSM1557576;GSM1557580","GSM1557575;GSM1557579","Time course analysis of human foreskin fibroblasts exposed to human herpesvirus 5.","GSE63797__GSE63797__grp_0001_vs_grp_0004__1"
"NCBITaxon:10359","ASSORBITO","NCBITaxon:10359","cgroup_L5_eff40d9b","uninfected","human herpesvirus 5","GSE63797","GSE63797__grp_0002_vs_grp_0004","time_course","time_course","time","","time_zero","grp_0002","grp_0004","Human herpesvirus 5 exposure for 48 hours","Uninfected control","time=48h ; agent=human herpesvirus 5","time=0h ; agent=uninfected",2,2,"treated","control","GSM1557577;GSM1557581","GSM1557575;GSM1557579","Time course analysis of human foreskin fibroblasts exposed to human herpesvirus 5.","GSE63797__GSE63797__grp_0002_vs_grp_0004__1"
"NCBITaxon:10359","ASSORBITO","NCBITaxon:10359","cgroup_L5_eff40d9b","uninfected","human herpesvirus 5","GSE63797","GSE63797__grp_0003_vs_grp_0004","time_course","time_course","time","","time_zero","grp_0003","grp_0004","Human herpesvirus 5 exposure for 72 hours","Uninfected control","time=72h ; agent=human herpesvirus 5","time=0h ; agent=uninfected",2,2,"treated","control","GSM1557578;GSM1557582","GSM1557575;GSM1557579","Time course analysis of human foreskin fibroblasts exposed to human herpesvirus 5.","GSE63797__GSE63797__grp_0003_vs_grp_0004__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE113210","GSE113210__grp_0011_vs_grp_0022","multi_arm_treatment","case_control_disease","viral_infection","","secondary_arm","grp_0011","grp_0022","influenza at AV","Control CV","viral_infection=influenza",,3,7,"treated","control","GSM3100358;GSM3100368;GSM3100374","GSM3100331;GSM3100363;GSM3100369;GSM3100371;GSM3100377;GSM3100379;GSM3100381","This study investigates the transcriptional response of peripheral blood mononuclear cells (PBMCs) from pediatric patients to various viral infections.","GSE113210__GSE113210__grp_0011_vs_grp_0022__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE121155","GSE121155__Influenza_virus_PR8_vs_Mock_infection","case_control_disease","treatment_vs_vehicle","treatment","cell_line|A549","vehicle","grp_0001","grp_0002","Influenza virus PR8","Mock infection","treatment=Influenza virus PR8 ; cell_line=A549","treatment=mock infection ; cell_line=A549",3,2,"treated","control","GSM3427040;GSM3427041;GSM3427042","GSM3427037;GSM3427038","This study investigates the transcriptional response of A549 lung epithelial cells to Influenza virus PR8 infection compared to mock infection and PBS-treated controls.","GSE121155__GSE121155__Influenza_virus_PR8_vs_Mock_infection__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE121155","GSE121155__Influenza_virus_PR8_vs_PBS","case_control_disease","treatment_vs_vehicle","treatment","cell_line|A549","vehicle","grp_0001","grp_0003","Influenza virus PR8","PBS","treatment=Influenza virus PR8 ; cell_line=A549","treatment=PBS ; cell_line=A549",3,1,"treated","control","GSM3427040;GSM3427041;GSM3427042","GSM3427039","This study investigates the transcriptional response of A549 lung epithelial cells to Influenza virus PR8 infection compared to mock infection and PBS-treated controls.","GSE121155__GSE121155__Influenza_virus_PR8_vs_PBS__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE134817","GSE134817__grp_HepG2_Flu_6h_vs_grp_HepG2_Flu_6h_Vehicle","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_line|HepG2|duration|6h","vehicle","grp_HepG2_Flu_6h","grp_HepG2_Flu_6h_Vehicle","HepG2 cells treated with Flu for 6 hours","HepG2 cells treated with vehicle for 6 hours","cell_line=HepG2 ; treatment=Flu ; duration=6h","cell_line=HepG2 ; treatment=Vehicle ; duration=6h",1,1,"treated","control","GSM3972215","GSM3972213","This study investigates the effects of various statins and small molecules on different human cell lines (HepG2, MCF-7, THP-1) under different conditions.","GSE134817__GSE134817__grp_HepG2_Flu_6h_vs_grp_HepG2_Flu_6h_Vehicle__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE134817","GSE134817__grp_THP1_Flu_48h_vs_grp_THP1_Flu_48h_Vehicle","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_line|THP-1|duration|48h","vehicle","grp_THP1_Flu_48h","grp_THP1_Flu_48h_Vehicle","THP-1 cells treated with Flu for 48 hours","THP-1 cells treated with vehicle for 48 hours","cell_line=THP-1 ; treatment=Flu ; duration=48h","cell_line=THP-1 ; treatment=Vehicle ; duration=48h",1,2,"treated","control","GSM3972346","GSM3972344;GSM3972345","This study investigates the effects of various statins and small molecules on different human cell lines (HepG2, MCF-7, THP-1) under different conditions.","GSE134817__GSE134817__grp_THP1_Flu_48h_vs_grp_THP1_Flu_48h_Vehicle__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE162632","GSE162632__grp_0011_vs_grp_0013","time_course","treatment_vs_vehicle","agent","tissue|blood","vehicle","grp_0011","grp_0013","PBMC flu (blood)","PBMC mock (blood)","agent=flu ; tissue=blood","agent=mock ; tissue=blood",7,1,"treated","control","GSM5149287;GSM5149319;GSM5149335;GSM5149343;GSM5149347;GSM5149379;GSM5149387","GSM5149336","Time course analysis of peripheral blood mononuclear cells infected with influenza virus.","GSE162632__GSE162632__grp_0011_vs_grp_0013__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE162632","GSE162632__grp_0012_vs_grp_0013","time_course","treatment_vs_vehicle","agent","tissue|blood","vehicle","grp_0012","grp_0013","PBMC flu (blood)","PBMC mock (blood)","agent=flu ; tissue=blood","agent=mock ; tissue=blood",4,1,"treated","control","GSM5149305;GSM5149337;GSM5149359;GSM5149389","GSM5149336","Time course analysis of peripheral blood mononuclear cells infected with influenza virus.","GSE162632__GSE162632__grp_0012_vs_grp_0013__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE163959","GSE163959__Lung_Tissue_Influenza_A_vs_LM7_Mock","multi_arm_treatment","treatment_vs_vehicle","infection_status","tissue_type|lung","vehicle","grp_0010","grp_0004","Lung Tissue Influenza A Infected","LM7 Mock Infected","infection_status=Influenza_A_infected ; tissue_type=lung","infection_status=mock_infected ; tissue_type=lung",10,2,"treated","control","GSM4991273;GSM4991274;GSM4991275;GSM4991276;GSM4991277;GSM4991278;GSM4991279;GSM4991280;GSM4991281;GSM4991282","GSM4991269;GSM4991270","This study investigates the transcriptional response of human lung tissues and nasal turbinate tissues to SARS-CoV-2 and Influenza A infections.","GSE163959__GSE163959__Lung_Tissue_Influenza_A_vs_LM7_Mock__1"
"NCBITaxon:11320","VINCENTE","NCBITaxon:11320","cgroup_L5_79a73ac5","vehicle_untreated",,"GSE163959","GSE163959__Nasal_Turbinate_Influenza_A_vs_TM3_Mock","multi_arm_treatment","treatment_vs_vehicle","infection_status","tissue_type|nasal_turbinate","vehicle","grp_0014","grp_0019","Nasal Turbinate Influenza A Infected","TM3 Mock Infected","infection_status=Influenza_A_infected ; tissue_type=nasal_turbinate","infection_status=mock_infected ; tissue_type=nasal_turbinate",3,2,"treated","control","GSM4991251;GSM4991253;GSM4991254","GSM4991249;GSM4991250","This study investigates the transcriptional response of human lung tissues and nasal turbinate tissues to SARS-CoV-2 and Influenza A infections.","GSE163959__GSE163959__Nasal_Turbinate_Influenza_A_vs_TM3_Mock__1"
