"gruppo","cluster_id","scrittura","series_id","comparison_id","design_kind_study","design_kind_cmp","varying_factor","fixed_factors","control_type","treated_group","control_group","treated_label","control_label","treated_fl","control_fl","n_treated","n_control","treated_role","control_role","design_summary","record_id"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_6","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|cell_line|MSN05|tissue|skin|context_kind|iPSC_derived","vehicle","mg99","mg1","Endothelin-treated MSN05 cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes ; cell_line=MSN05 ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",1,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_6__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_7","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|tissue|skin|context_kind|iPSC_derived","vehicle","mg100","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",1,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_7__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_8","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes|cell_line|MSN05|tissue|skin|context_kind|iPSC_derived","vehicle","mg101","mg1","Endothelin-treated MSN05 cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes ; cell_line=MSN05 ; tissue=skin ; context_kind=iPSC_derived","treatment=DMSO",1,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_8__1"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_1","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes","vehicle","mg172","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes","treatment=DMSO",4,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_1__2"
"CHEBI:80240||gain||vehicle_untreated","cgroup_L5_b7085406","CHEMBL:CHEMBL437472","GSE217421","GSE217421__grp_DMSO_1_vs_grp_Endothelin_2","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|cardiac myocytes","vehicle","mg173","mg1","Endothelin-treated cardiac myocytes","DMSO-treated cardiac myocytes","treatment=Endothelin ; cell_type=cardiac myocytes","treatment=DMSO",3,9,"treated","control","This study investigates the effects of various small molecules on human iPSC-derived cardiac myocytes.","GSE217421__GSE217421__grp_DMSO_1_vs_grp_Endothelin_2__2"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_206576be","HGNC:2434","GSE122941","GSE122941__grp_0005_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","treatment","donor_id|Donor.C","untreated","grp_0005","grp_0002","Cytokine Stimulation (CSF2) (Donor C)","Control (Donor C)","treatment=CSF2 ; donor_id=Donor.C","treatment=none ; donor_id=Donor.C",1,1,"treated","control","This study investigates the effects of cytokine stimulation and genetic overexpression on effector memory T lymphocytes.","GSE122941__GSE122941__grp_0005_vs_grp_0002__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_206576be","HGNC:2434","GSE122941","GSE122941__grp_0006_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","treatment","donor_id|Donor.B","untreated","grp_0006","grp_0004","Cytokine Stimulation (CSF2) (Donor B)","Control (Donor B)","treatment=CSF2 ; donor_id=Donor.B","treatment=none ; donor_id=Donor.B",1,1,"treated","control","This study investigates the effects of cytokine stimulation and genetic overexpression on effector memory T lymphocytes.","GSE122941__GSE122941__grp_0006_vs_grp_0004__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_206576be","HGNC:2434","GSE149377","GSE149377__grp_0018_vs_grp_0013","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|PBMC-derived M1 macrophage","untreated","grp_0018","grp_0013","PBMC-derived M1 macrophage GMCSF INFG","PBMC-derived M0 macrophage","cell_type=PBMC-derived M1 macrophage ; treatment=GMCSF INFG","cell_type=PBMC-derived M0 macrophage ; treatment=none",1,2,"treated","control","This study investigates the transcriptomic profiles of various human macrophage populations derived from iPSCs and PBMCs under different conditions.","GSE149377__GSE149377__grp_0018_vs_grp_0013__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_206576be","HGNC:2434","GSE149377","GSE149377__grp_0022_vs_grp_0013","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|PBMC-derived M1 macrophage","untreated","grp_0022","grp_0013","PBMC-derived M1 macrophage GMCSF INFG activated","PBMC-derived M0 macrophage","cell_type=PBMC-derived M1 macrophage ; treatment=GMCSF INFG","cell_type=PBMC-derived M0 macrophage ; treatment=none",2,2,"treated","control","This study investigates the transcriptomic profiles of various human macrophage populations derived from iPSCs and PBMCs under different conditions.","GSE149377__GSE149377__grp_0022_vs_grp_0013__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_206576be","HGNC:2434","GSE248927","GSE248927__GMCSF_vs_Mock","multi_arm_treatment","treatment_vs_vehicle","treatment","time(hours)|24","vehicle","grp_0003","grp_0002","GMCSF stimulated","Mock treated","treatment=GMCSF ; concentration(ng/mL)=100 ; time(hours)=24","treatment=Mock ; time(hours)=24",1,2,"treated","control","This study investigates the transcriptional response of human peripheral blood monocytes to various treatments, including pathogen exposure, cytokine stimulation, and mock treatments.","GSE248927__GSE248927__GMCSF_vs_Mock__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","GSE123573","GSE123573__GM-CSF_vs_Untreated","multi_arm_treatment","treatment_vs_untreated","Treatment","","untreated","grp_0005","grp_0009","GM-CSF","Untreated","Treatment=GM-CSF","Treatment=Untreated",2,2,"treated","control","This study investigates the effects of various treatments on monocyte CD14+ cells derived from peripheral blood.","GSE123573__GSE123573__GM-CSF_vs_Untreated__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","GSE155697","GSE155697__grp_0015_vs_grp_0005","case_control_disease","case_control_disease","disease_state","cell_context|MDMs|perturbation|GM-CSF","disease_normal","grp_0015","grp_0005","MDMs, Healthy, GM-CSF","CD14+ Monocytes, Healthy, Vehicle Only","disease_state=Healthy ; cell_context=MDMs ; perturbation=GM-CSF","disease_state=Healthy ; cell_context=CD14+ Monocytes ; perturbation=Vehicle Only",1,5,"treated","control","This study investigates the transcriptional profiles of CD14+ monocytes and monocyte-derived macrophages (MDMs) from patients with H syndrome and other rare diseases.","GSE155697__GSE155697__grp_0015_vs_grp_0005__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","GSE155697","GSE155697__grp_0016_vs_grp_0005","case_control_disease","case_control_disease","disease_state","cell_context|MDMs|perturbation|GM-CSF","disease_normal","grp_0016","grp_0005","MDMs, Healthy, GM-CSF","CD14+ Monocytes, Healthy, Vehicle Only","disease_state=Healthy ; cell_context=MDMs ; perturbation=GM-CSF","disease_state=Healthy ; cell_context=CD14+ Monocytes ; perturbation=Vehicle Only",1,5,"treated","control","This study investigates the transcriptional profiles of CD14+ monocytes and monocyte-derived macrophages (MDMs) from patients with H syndrome and other rare diseases.","GSE155697__GSE155697__grp_0016_vs_grp_0005__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","GSE155697","GSE155697__grp_0017_vs_grp_0005","case_control_disease","case_control_disease","disease_state","cell_context|MDMs|perturbation|GM-CSF","disease_normal","grp_0017","grp_0005","MDMs, Healthy, GM-CSF","CD14+ Monocytes, Healthy, Vehicle Only","disease_state=Healthy ; cell_context=MDMs ; perturbation=GM-CSF","disease_state=Healthy ; cell_context=CD14+ Monocytes ; perturbation=Vehicle Only",1,5,"treated","control","This study investigates the transcriptional profiles of CD14+ monocytes and monocyte-derived macrophages (MDMs) from patients with H syndrome and other rare diseases.","GSE155697__GSE155697__grp_0017_vs_grp_0005__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","GSE70068","GSE70068__grp_0006_vs_grp_0003","multi_arm_treatment","treatment_vs_untreated","Cytokine Stimulation","Cell Type|Neutrophils|Technical Treatment|Negative selection (beads)|Duration|1 hour","untreated","grp_0006","grp_0003","Neutrophils stimulated with GM-CSF (with Negative Selection)","Untreated Neutrophils (with Negative Selection)","Cytokine Stimulation=GM-CSF ; Technical Treatment=Negative selection (beads) ; Duration=1 hour","Treatment=Untreated ; Technical Treatment=Negative selection (beads) ; Duration=1 hour",1,1,"treated","control","This study investigates the transcriptional response of human neutrophils to cytokine stimulation with TNF-alpha and GM-CSF.","GSE70068__GSE70068__grp_0006_vs_grp_0003__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","GSE70068","GSE70068__grp_0007_vs_grp_0003","multi_arm_treatment","treatment_vs_untreated","Cytokine Stimulation","Cell Type|Neutrophils|Technical Treatment|Negative selection (beads)|Duration|1 hour","untreated","grp_0007","grp_0003","Neutrophils stimulated with GM-CSF (with Negative Selection)","Untreated Neutrophils (with Negative Selection)","Cytokine Stimulation=GM-CSF ; Technical Treatment=Negative selection (beads) ; Duration=1 hour","Treatment=Untreated ; Technical Treatment=Negative selection (beads) ; Duration=1 hour",2,1,"treated","control","This study investigates the transcriptional response of human neutrophils to cytokine stimulation with TNF-alpha and GM-CSF.","GSE70068__GSE70068__grp_0007_vs_grp_0003__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","GSE70068","GSE70068__grp_0008_vs_grp_0002","multi_arm_treatment","treatment_vs_untreated","Cytokine Stimulation","Cell Type|Neutrophils|Duration|1 hour","untreated","grp_0008","grp_0002","Neutrophils stimulated with GM-CSF","Untreated Neutrophils (Donor 1)","Cytokine Stimulation=GM-CSF ; Duration=1 hour","Treatment=Untreated ; Duration=1 hour",1,3,"treated","control","This study investigates the transcriptional response of human neutrophils to cytokine stimulation with TNF-alpha and GM-CSF.","GSE70068__GSE70068__grp_0008_vs_grp_0002__1"
"CHEMBL:CHEMBL2107881||gain||vehicle_untreated","cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","GSE89442","GSE89442__grp_0002_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|mDC","untreated","grp_0002","grp_0001","mDC donor 3 GM-CSF","mDC donor 1 unstimulated","cell_type=mDC ; treatment=GM-CSF","cell_type=mDC ; treatment=unstimulated",1,2,"treated","control","This study investigates the transcriptional responses of human myeloid dendritic cells (mDCs) and plasmacytoid dendritic cells (pDCs) to various stimuli, including GM-CSF, IL-3, FSME virus, and CpG oligodeoxynucleotides.","GSE89442__GSE89442__grp_0002_vs_grp_0001__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771","GSE146438","GSE146438__CD8_no_IL10_vs_CD8_vehicle","multi_arm_treatment","treatment_vs_vehicle","treatment","cell_type|CD8 cell","vehicle","grp_CD8_no_IL10","grp_CD8_vehicle","CD8 cells activated in the absence of IL-10","CD8 cells vehicle control","cell_type=CD8 cell ; treatment=IL-10","cell_type=CD8 cell ; treatment=vehicle",2,1,"treated","control","This study investigates the effects of various small molecules on CD8 cells and monocytes.","GSE146438__GSE146438__CD8_no_IL10_vs_CD8_vehicle__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771","GSE227737","GSE227737__grp_0004_vs_grp_0005","multi_arm_treatment","treatment_vs_untreated","perturbation","","untreated","grp_0004","grp_0005","IL-10","untreated/unpolarized macrophages (M0)","perturbation=IL-10","perturbation=untreated/unpolarized macrophages (M0)",4,2,"treated","control","This study investigates the effects of various perturbations on primary human monocyte-derived macrophages.","GSE227737__GSE227737__grp_0004_vs_grp_0005__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771","GSE92852","GSE92852__grp_0003_vs_grp_0004","multi_arm_treatment","case_control_disease","treatment","cell_type|IL-10-APC","secondary_arm","grp_0003","grp_0004","IL-10-APC + IL-10 (Donor BC2)","moDC (Undifferentiated, Donor BC2)","treatment=IL-10 ; cell_type=IL-10-APC","treatment=vehicle ; cell_type=moDC",3,3,"treated","control","This study investigates the effects of LPS stimulation on human peripheral blood-derived dendritic cells (moDC) and IL-10-treated antigen-presenting cells (IL-10-APC). It includes comparisons between LPS-treated and untreated cells, as well as the impact of IL-10 on LPS responses.","GSE92852__GSE92852__grp_0003_vs_grp_0004__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_3668c2c2","CHEMBL:CHEMBL4297771","GSE97744","GSE97744__grp_0002_vs_grp_0004","multi_arm_treatment","treatment_vs_untreated","treatment","cell_type|circulating_macrophage","untreated","grp_0002","grp_0004","Circulating macrophage + IL-10","Circulating macrophage untreated","cell_type=circulating_macrophage ; treatment=IL-10","cell_type=circulating_macrophage ; treatment=untreated",2,2,"treated","control","This study investigates the transcriptional responses of various human macrophage populations to different stimuli, including IFN-γ and LPS, IL-10, and IL-4/IL-13.","GSE97744__GSE97744__grp_0002_vs_grp_0004__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_897d1777","HGNC:5962","GSE198963","GSE198963__grp_0005_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","mutation|wild-type","untreated","grp_0005","grp_0001","IL10 stimulated WT CD4+ T-cells (Female)","Unstimulated WT CD4+ T-cells (Age 45, Female)","treatment=IL10 ; mutation=wild-type","treatment=unstimulated ; mutation=wild-type",1,4,"treated","control","This study investigates the effects of IL21 and IL10 stimulation on purified CD4+ T-cells from human peripheral blood, including various STAT3 mutations.","GSE198963__GSE198963__grp_0005_vs_grp_0001__1"
"CHEMBL:CHEMBL4297771||gain||vehicle_untreated","cgroup_L5_897d1777","HGNC:5962","GSE198963","GSE198963__grp_0006_vs_grp_0001","multi_arm_treatment","treatment_vs_untreated","treatment","mutation|wild-type","untreated","grp_0006","grp_0001","IL10 stimulated WT CD4+ T-cells (Age 45, Female)","Unstimulated WT CD4+ T-cells (Age 45, Female)","treatment=IL10 ; mutation=wild-type","treatment=unstimulated ; mutation=wild-type",2,4,"treated","control","This study investigates the effects of IL21 and IL10 stimulation on purified CD4+ T-cells from human peripheral blood, including various STAT3 mutations.","GSE198963__GSE198963__grp_0006_vs_grp_0001__1"
