"gene","k","zeri_pct","R2_studio_pre","R2_studio","R2_trattamento","cluster"
"C1orf131",19,0.6,0.6,0,0.05,"Enzalutamide -- AR antagonist"
"NKX2-8",7,28.7,0.8,0.8,0,"Enzalutamide -- AR antagonist"
"SEC22C",19,0.6,0.28,0,0.05,"Enzalutamide -- AR antagonist"
"CCNQ",19,0.6,0.69,0,0.03,"Enzalutamide -- AR antagonist"
"KRT6A",3,62.9,0.44,0.44,0,"Enzalutamide -- AR antagonist"
"HSPA1L",5,64.1,0.64,0.64,0,"Enzalutamide -- AR antagonist"
"B3GNT3",8,47.9,0.69,0.69,0,"Enzalutamide -- AR antagonist"
"MEIS2",13,12.6,0.85,0.85,0,"Enzalutamide -- AR antagonist"
"DUSP18",19,0.6,0.51,0,0.07,"Enzalutamide -- AR antagonist"
"URB1",19,0,0.73,0,0.13,"Enzalutamide -- AR antagonist"
"CCDC40",19,0.6,0.7,0.01,0.13,"Enzalutamide -- AR antagonist"
"DLEC1",13,1.8,0.71,0,0.12,"Enzalutamide -- AR antagonist"
"HCK",5,42.5,0.77,0.01,0,"Enzalutamide -- AR antagonist"
"DPP10",7,38.3,0.69,0.69,0,"Enzalutamide -- AR antagonist"
"NUDT21",19,0,0.68,0.01,0.03,"Enzalutamide -- AR antagonist"
"TSG101",19,0,0.7,0.01,0.1,"Enzalutamide -- AR antagonist"
"MTCL1",18,0,0.89,0.02,0.08,"Enzalutamide -- AR antagonist"
"UGT1A10",2,67.7,0.39,0.39,0.04,"Enzalutamide -- AR antagonist"
"KCNQ1",2,52.1,0.51,0.51,0.06,"Enzalutamide -- AR antagonist"
"CAT",19,0,0.87,0.01,0.16,"Enzalutamide -- AR antagonist"
"TCEAL7",2,47.3,0.56,0.56,0.03,"Enzalutamide -- AR antagonist"
"CHAMP1",19,0,0.89,0.01,0.05,"Enzalutamide -- AR antagonist"
"GIMAP4",2,82,0.85,0.85,0,"IFN-gamma"
"KRT6C",3,68.4,0.95,0.95,0,"IFN-gamma"
"GIMAP7",2,85,0.81,0.81,0,"IFN-gamma"
"CD300LF",2,84.2,0.99,0.99,0,"IFN-gamma"
"GIMAP5",2,71.4,0.8,0.8,0.03,"IFN-gamma"
"GIMAP6",4,69.2,0.83,0.83,0,"IFN-gamma"
"FGG",2,66.2,0.97,0.97,0,"IFN-gamma"
"S100B",4,50.4,0.93,0.93,0,"IFN-gamma"
"PLA2G2A",4,63.2,0.55,0.55,0.14,"IFN-gamma"
"STAT1",19,0,0.25,0.04,0.91,"IFN-gamma"
"RNASE6",2,73.7,0.94,0.94,0,"IFN-gamma"
"ENSG00000241690",4,78.9,0.31,0.31,0.19,"IFN-gamma"
"KNG1",3,45.9,0.94,0.94,0,"IFN-gamma"
"COL16A1",16,11.3,0.93,0.01,0.02,"IFN-gamma"
"TRIM69",19,0,0.43,0.04,0.86,"IFN-gamma"
"GBP1",19,4.5,0.53,0.04,0.92,"IFN-gamma"
"H3C1",3,36.1,0.91,0.91,0,"IFN-gamma"
"GIMAP1-GIMAP5",2,91.7,0.85,0.85,0,"IFN-gamma"
"SUCNR1",2,44.4,0.89,0.89,0.01,"IFN-gamma"
"CXCL9",14,39.8,0.32,0.32,0.42,"IFN-gamma"
"MMP8",3,59.4,0.91,0.91,0,"IFN-gamma"
"SMTNL1",14,35.3,0.29,0.29,0.47,"IFN-gamma"
"KLK5",4,66.2,0.98,0.98,0.01,"IFN-gamma"
"VCX3A",2,76.7,0.92,0.92,0.01,"IFN-gamma"
"TAP1",15,21.1,0.34,0.03,0.6,"IFN-gamma"
"NMI",19,0,0.54,0.04,0.85,"IFN-gamma"
"KRTDAP",3,68.4,0.9,0.9,0.01,"IFN-gamma"
"PARP9",19,0,0.31,0.04,0.84,"IFN-gamma"
"CXCL11",14,30.1,0.41,0.41,0.35,"IFN-gamma"
"IRF1",19,0,0.19,0.04,0.89,"IFN-gamma"
"GZMK",2,87.5,0.32,0.32,0.01,"TGF-beta1"
"SKIL",49,0.1,0.44,0.04,0.51,"TGF-beta1"
"PMEPA1",49,0.3,0.45,0.04,0.43,"TGF-beta1"
"BHLHE40",49,0.3,0.43,0.03,0.36,"TGF-beta1"
"XYLT1",45,4.7,0.67,0.02,0.36,"TGF-beta1"
"LEFTY2",15,39.2,0.33,0.33,0.18,"TGF-beta1"
"CLTCL1",47,1.7,0.54,0.03,0.35,"TGF-beta1"
"KANK4",36,16,0.38,0.03,0.31,"TGF-beta1"
"P3H1",49,0.1,0.81,0.02,0.19,"TGF-beta1"
"APBB2",49,0.1,0.53,0.02,0.23,"TGF-beta1"
"FSTL3",49,0.1,0.6,0.03,0.42,"TGF-beta1"
"ACMSD",2,28.9,0.73,0.73,0,"TGF-beta1"
"CGB8",18,47.8,0.44,0.44,0.12,"TGF-beta1"
"NOX4",41,4.3,0.63,0.03,0.39,"TGF-beta1"
"SERPINB11",2,74.6,0.72,0.72,0.01,"TGF-beta1"
"MAP3K2",49,0.3,0.49,0.02,0.12,"TGF-beta1"
"IL11",49,1.7,0.32,0.03,0.48,"TGF-beta1"
"GOPC",49,0.3,0.48,0.02,0.22,"TGF-beta1"
"DCBLD1",49,0.3,0.54,0.02,0.29,"TGF-beta1"
"NUAK1",49,0.1,0.63,0.03,0.35,"TGF-beta1"
"IVNS1ABP",49,0.1,0.57,0.03,0.37,"TGF-beta1"
"LCE3D",8,78.7,0.38,0.38,0.03,"TGF-beta1"
"PODNL1",42,0.5,0.65,0.02,0.21,"TGF-beta1"
"FOXS1",27,31.3,0.76,0.76,0.06,"TGF-beta1"
"AMIGO2",49,1.9,0.58,0.03,0.28,"TGF-beta1"
"TGFBI",49,0.3,0.71,0.03,0.38,"TGF-beta1"
"CSGALNACT2",49,0,0.53,0.01,0.11,"TGF-beta1"
"PODNL1",42,0.5,0.62,0.02,0.21,"TGF-beta1"
"PGM3",49,0,0.71,0.02,0.23,"TGF-beta1"
"VDR",48,0.1,0.57,0.02,0.25,"TGF-beta1"
