"cluster_id","contrast_entity","canonical_name","k","label_id","n_alias","esito","alias_che_matcha","n_membri"
"cgroup_L5_27f3255f","STR:rbm4_knockdown","RBM4",4,"rbm4_knockdown",1,"nome per esteso","rbm4_knockdown",6
"cgroup_L5_523e64b9","CHEBI:67271","(5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-icosatrienoate",4,"MK-2206",8,"nome per esteso","mk 2206",27
"cgroup_L5_a7509255","NCBITaxon:1280","Staphylococcus aureus",4,"staphylococcusaureus",6,"nome per esteso","staphylococcusaureus",5
"cgroup_L5_8e775709","CHEBI:145431","2-amino-6-(1-hydroxypropyl)-8-methylpteridine-4,7(3<em>H</em>,8<em>H</em>)-dione",4,"indisulam",8,"nome per esteso","indisulam",5
"cgroup_L5_3370a794","CHEBI:145372","Gilteritinib",4,"gilteritinib",11,"nome per esteso","gilteritinib",8
"cgroup_L5_e17c136b","CHEBI:145535","pevonedistat",4,"pevonedistat",9,"nome per esteso","pevonedistat",8
"cgroup_L5_8be26844","CHEBI:16796","hydron",4,"melatonin",7,"nome per esteso","melatonin",7
"cgroup_L5_b967c97c","CHEBI:195599","CH-223191",4,"CH-223191",9,"nome per esteso","ch 223191",5
"cgroup_L5_f44b01e2","CHEBI:230905","Ribociclib",4,"Ribociclib",4,"nome per esteso","ribociclib",5
"cgroup_L5_417c69a3","CHEBI:231324","BYL-719",4,"alpelisib",5,"nome per esteso","alpelisib",4
"cgroup_L5_a3f0c959","CHEBI:232752","GSK-LSD1",4,"GSK-LSD1",4,"nome per esteso","gsk-lsd1",8
"cgroup_L5_516200d1","CHEBI:29073","3-methyl-<i>cis</i>,<i>cis</i>-muconic acid",4,"L-ascorbic acid",20,"nome per esteso","l-ascorbic acid",5
"cgroup_L5_d8006c5b","CHEBI:31941","oxaliplatin",4,"oxaliplatin",9,"nome per esteso","oxaliplatin",9
"cgroup_L5_62404e11","CHEBI:4026","cyclophosphamide hydrate",4,"cyclophosphamide hydrate",14,"nome per esteso","cyclophosphamide",14
"cgroup_L5_5b9a08fb","CHEBI:44185","methotrexate",4,"methotrexate",13,"nome per esteso","methotrexate",5
"cgroup_L5_f640365a","CHEBI:50385","hemin",4,"hemin",16,"nome per esteso","hemin",6
"cgroup_L5_af2c15aa","CHEBI:90693","hydrogen trithiocarbonate",4,"U0126",7,"nome per esteso","u-0126",8
"cgroup_L5_6ac5ea3a","CHEBI:68747","Filixic acid BBB",4,"chaetocin",2,"nome per esteso","chaetocin",5
"cgroup_L5_80a3028a","STR:jib_04","Doxycycline",4,"jib_04",1,"nome per esteso","jib_04",4
"cgroup_L5_83135c89","CHEBI:76612","EC 6.3.2.4 (<small>D</small>-alanine—<small>D</small>-alanine ligase) inhibitor",4,"ibrutinib",8,"nome per esteso","ibrutinib",9
"cgroup_L5_5927750b","CHEBI:65347","nicotinate-adenine dinucleotide phosphate(4−)",4,"carfilzomib",4,"nome per esteso","carfilzomib",16
