"cluster_id","contrast_entity","contrast_entity_label","contrast_entity_label_source","contrast_entity_label_note","canonical_name","contrast_direction","contrast_control_key","k_effective","k_kish","frazione_efficace","quota_top1","dominato","studio_dominante","classe_studio_dominante","dominato_da_modello","materiale_misto","n_studi_model","n_studi_primary","n_studi_unknown","n_sig","I2_med","coherence_verdict","coherence_reason","n_studi_censiti","n_studi_poolati","stessi_membri","studi_caduti"
"cgroup_L5_0e66597e","CHEBI:31638","fulvestrant","chebi",NA,"fulvestrant","gain","vehicle_untreated",12,11.17,0.93,0.1038,FALSE,"GSE214052","unknown",FALSE,FALSE,1,0,11,2515,84.7181486617163,"coherent",NA,15,12,FALSE,"GSE199800 GSE222728 GSE237784"
"cgroup_L5_be15b706","HGNC:5973","IL13","hgnc",NA,"IL5RA","gain","vehicle_untreated",12,8.02,0.729,0.175,FALSE,"GSE173902","unknown",FALSE,TRUE,1,1,10,1805,72.9859342359694,"coherent",NA,15,12,FALSE,"GSE184868 GSE240741 GSE57637"
"cgroup_L5_721184e6","CHEBI:230500","THZ1","chebi",NA,"THZ1","gain","vehicle_untreated",11,7.61,0.951,0.1541,FALSE,"GSE89127","unknown",FALSE,FALSE,3,0,8,669,97.9746013424753,"coherent",NA,18,11,FALSE,"GSE102408 GSE164370 GSE164902 GSE171676 GSE181905 GSE229967 GSE76860"
"cgroup_L5_1d96b9da","CHEBI:84491","poly(I:C)","chebi",NA,"poly(I:C)","gain","vehicle_untreated",10,2.12,0.529,0.5433,TRUE,"GSE189706","unknown",FALSE,FALSE,5,0,5,268,83.5782862184395,"coherent",NA,16,10,FALSE,"GSE106885 GSE171228 GSE196243 GSE213759 GSE216304 GSE244125"
"cgroup_L5_3a0a595f","CHEBI:49375","dasatinib","override","nome ChEBI: dasatinib (anhydrous)","dihexadecanoyl phosphatidic acid","gain","vehicle_untreated",10,3.26,0.465,0.464,FALSE,"GSE135514","unknown",FALSE,TRUE,2,1,7,319,74.2816190857892,"coherent",NA,11,10,FALSE,"GSE125035"
"cgroup_L5_49d55bfd","HGNC:6014","IL4","hgnc",NA,"IL4","gain","vehicle_untreated",10,4.91,0.613,0.2791,FALSE,"GSE222284","unknown",FALSE,TRUE,1,1,8,624,84.0766805988251,"coherent",NA,14,10,FALSE,"GSE144989 GSE171750 GSE179420 GSE212539"
"cgroup_L5_601ede7b","CHEBI:90943","osimertinib","chebi",NA,"osimertinib","gain","vehicle_untreated",10,8.46,0.846,0.139,FALSE,"GSE255958","model",FALSE,TRUE,2,2,6,1893,92.4581874549104,"coherent",NA,14,10,FALSE,"GSE146850 GSE165019 GSE243565 GSE249807"
"cgroup_L5_85083e38","MeSH:D010300","Parkinson Disease","mesh",NA,"Parkinson Disease","gain","vehicle_untreated",10,1.79,0.199,0.7316,TRUE,"GSE181029","model",TRUE,TRUE,2,1,7,976,64.2205192117857,"coherent",NA,11,10,FALSE,"GSE84684"
"cgroup_L5_a12414d4","CHEBI:16469","17β-estradiol","chebi",NA,"6-<em>O</em>-sulfo-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→6)-α-<small>D</small>-Glc-(1→3)-1-<em>O</em>-alkyl-2-<em>O</em>-acylglycerol","gain","vehicle_untreated",10,4.42,0.492,0.3469,FALSE,"GSE237784","model",FALSE,FALSE,2,0,8,410,71.5490244933754,"coherent",NA,16,10,FALSE,"GSE112983 GSE150683 GSE151392 GSE173484 GSE211183 GSE80358"
"cgroup_L5_a25d0964","HGNC:6018","IL6","hgnc",NA,"Interleukin-6","gain","vehicle_untreated",10,2.56,0.512,0.5293,TRUE,"GSE179347","model",FALSE,FALSE,2,0,8,240,84.1888729548918,"coherent",NA,10,10,TRUE,""
"cgroup_L5_c3ae78cd","MeSH:D003424","Crohn Disease","mesh",NA,"Crohn's Disease","gain","vehicle_untreated",10,6.87,0.687,0.203,FALSE,"GSE93624","unknown",FALSE,FALSE,0,5,5,3515,62.8634314652738,"coherent",NA,16,10,FALSE,"GSE123141 GSE163314 GSE165512 GSE230113 GSE83687 GSE92472"
"cgroup_L5_33673560","STR:tgfb","tgfb","str_literal",NA,"TGFB1","gain","vehicle_untreated",9,7.89,0.876,0.1566,FALSE,"GSE232640","model",FALSE,TRUE,1,1,7,2386,84.823553853195,"coherent",NA,11,9,FALSE,"GSE205378 GSE240476"
"cgroup_L5_444e7fc2","NCBITaxon:10359","HCMV (human cytomegalovirus)","override","dizionario: humanbetaherpesvirus5","influenza virus","gain","vehicle_untreated",9,5.57,0.696,0.2344,FALSE,"GSE120891","model",FALSE,FALSE,4,0,5,787,85.0837296378884,"coherent",NA,12,9,FALSE,"GSE120890 GSE145415 GSE81637"
"cgroup_L5_4b901bf1","STR:psoriasis","psoriasis","str_literal",NA,"psoriasis","gain","vehicle_untreated",9,2.83,0.707,0.4723,FALSE,"GSE74697","primary",FALSE,TRUE,2,5,2,388,66.999718926609,"coherent",NA,10,9,FALSE,"GSE92472"
"cgroup_L5_535d97f6","CHEBI:45783","imatinib","chebi",NA,"imatinib","gain","vehicle_untreated",9,1.96,0.327,0.6841,TRUE,"GSE193398","unknown",FALSE,FALSE,1,0,8,392,69.5109768403612,"coherent",NA,13,9,FALSE,"GSE102209 GSE174693 GSE174800 GSE62121"
"cgroup_L5_702a5dea","CHEBI:75998","trametinib","chebi",NA,"3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime","gain","vehicle_untreated",9,7.94,0.882,0.1475,FALSE,"GSE213588","unknown",FALSE,TRUE,2,1,6,5415,90.3337890069484,"coherent",NA,15,9,FALSE,"GSE110397 GSE174693 GSE197555 GSE207645 GSE266762 GSE64550"
"cgroup_L5_7934174c","CHEBI:231598","tazemetostat","chebi",NA,"EPZ6438","gain","vehicle_untreated",9,7.47,0.83,0.1681,FALSE,"GSE262877","unknown",FALSE,FALSE,2,0,7,2366,85.2970312416691,"coherent",NA,13,9,FALSE,"GSE107781 GSE148842 GSE197417 GSE247275"
"cgroup_L5_bd19fe42","MeSH:D006528","Carcinoma, Hepatocellular","mesh",NA,"Carcinoma, Hepatocellular","gain","vehicle_untreated",9,2.97,0.594,0.4794,FALSE,"GSE77509","unknown",FALSE,FALSE,0,8,1,72,75.7741457453141,"coherent",NA,11,9,FALSE,"GSE185799 GSE202853"
"cgroup_L5_efced505","CHEBI:38940","sunitinib","chebi",NA,"3-(ethoxycarbonyl)psoralen","gain","vehicle_untreated",9,3.73,0.533,0.3651,FALSE,"GSE114686","unknown",FALSE,FALSE,1,0,8,629,40.2239870604833,"coherent",NA,11,9,FALSE,"GSE210020 GSE217898"
"cgroup_L5_03b38818","CHEBI:63637","vemurafenib","chebi",NA,"sodium aurothiomalate","gain","vehicle_untreated",8,4.01,0.573,0.3616,FALSE,"GSE64741","model",FALSE,FALSE,2,0,6,947,81.6483135113253,"coherent",NA,20,8,FALSE,"GSE110054 GSE121117 GSE126960 GSE137309 GSE145990 GSE158119 GSE199800 GSE203545 GSE209769 GSE73737 GSE80313 GSE89127"
"cgroup_L5_12212e41","STR:multiple_sclerosis","multiple sclerosis","str_literal",NA,"multiple sclerosis","gain","vehicle_untreated",8,1.8,0.36,0.7195,TRUE,"GSE138614","unknown",FALSE,TRUE,2,2,4,606,61.0856292776837,"coherent",NA,9,8,FALSE,"GSE126427"
"cgroup_L5_2ec87595","CHEBI:6801","metformin","chebi",NA,"metformin","gain","vehicle_untreated",8,3.17,0.528,0.4501,FALSE,"GSE207122","unknown",FALSE,TRUE,3,1,4,334,74.2463410930845,"coherent",NA,12,8,FALSE,"GSE125525 GSE146982 GSE196343 GSE264038"
"cgroup_L5_35d1be10","STR:nutlin_3a","nutlin 3a","str_literal",NA,"anabolic androgenic steroid","gain","vehicle_untreated",8,6.89,0.861,0.185,FALSE,"GSE173483","unknown",FALSE,FALSE,0,1,7,2342,84.362583369657,"coherent",NA,10,8,FALSE,"GSE147701 GSE189133"
"cgroup_L5_dde29fb4","CHEBI:16240","hydrogen peroxide","chebi",NA,"hydrogen peroxide","gain","vehicle_untreated",8,4.15,0.519,0.3437,FALSE,"GSE188458","unknown",FALSE,FALSE,2,0,6,1497,80.0529284807697,"coherent",NA,20,8,FALSE,"GSE147012 GSE150042 GSE161701 GSE161860 GSE196284 GSE197148 GSE216447 GSE250127 GSE262015 GSE60340 GSE73941 GSE78275"
"cgroup_L5_2987cdb6","CHEBI:114785","erlotinib","chebi",NA,"erlotinib","gain","vehicle_untreated",7,5.92,0.845,0.1986,FALSE,"GSE249721","unknown",FALSE,FALSE,1,0,6,2479,94.7661104065802,"coherent",NA,10,7,FALSE,"GSE132500 GSE186341 GSE62118"
"cgroup_L5_3ec58cd6","STR:obese","obese","str_literal",NA,"obese","gain","vehicle_untreated",7,2.11,0.351,0.6198,TRUE,"GSE168705","unknown",FALSE,FALSE,1,0,6,46,48.2681451978348,"coherent",NA,7,7,TRUE,""
"cgroup_L5_41f7b088","CHEBI:49668","gefitinib","chebi",NA,"acridone","gain","vehicle_untreated",7,3.5,0.583,0.3878,FALSE,"GSE125933","unknown",FALSE,FALSE,4,0,3,717,85.4948755913434,"coherent",NA,11,7,FALSE,"GSE157374 GSE168815 GSE221475 GSE69599"
"cgroup_L5_46a3a103","STR:radiation","radiation","str_literal",NA,"Radiation","gain","vehicle_untreated",7,4.29,0.612,0.3291,FALSE,"GSE222992","unknown",FALSE,FALSE,1,0,6,800,83.6301718296642,"coherent",NA,9,7,FALSE,"GSE206225 GSE86213"
"cgroup_L5_4753688f","STR:r5020","r5020","str_literal",NA,"estrogen","gain","vehicle_untreated",7,2.63,0.376,0.5431,TRUE,"GSE126775","unknown",FALSE,FALSE,2,0,5,615,73.5349626948694,"coherent",NA,8,7,FALSE,"GSE139393"
"cgroup_L5_7805eee6","STR:covid_19","covid 19","str_literal",NA,"Mycobacterium tuberculosis","gain","vehicle_untreated",7,3.16,0.633,0.4345,FALSE,"GSE189199","unknown",FALSE,TRUE,1,2,4,598,73.2322679068491,"coherent",NA,12,7,FALSE,"GSE153131 GSE178824 GSE192707 GSE206635 GSE222253"
"cgroup_L5_79a73ac5","NCBITaxon:11320","Influenza A virus","override","dizionario: influenzaavirus",NA,"gain","vehicle_untreated",7,6.2,0.886,0.1991,FALSE,"GSE253542","unknown",FALSE,TRUE,1,1,5,1801,84.9730268529071,"incoherent","resta incoerente sul poolato: GSE113210 ('influenza at AV' => 'Control CV') e' sorveglianza clinica indicata con sigle di visita, ed e' fra i 7 studi poolati. Il rapporto peggiora da 1 su 9 a 1 su 7 perche' sono caduti due studi sperimentali (GSE134817, GSE162632)",9,7,FALSE,"GSE134817 GSE162632"
"cgroup_L5_889ec305","MeSH:D015179","Colorectal Neoplasms","mesh",NA,"colorectal cancer","gain","vehicle_untreated",7,3.88,0.646,0.3604,FALSE,"GSE205787","model",FALSE,TRUE,2,3,2,1318,72.8071625717731,"coherent",NA,13,7,FALSE,"GSE136630 GSE140327 GSE165814 GSE200427 GSE223119 GSE73398"
"cgroup_L5_b32ab7f6","HGNC:5981","IL17A","hgnc",NA,"SNORD13P3","gain","vehicle_untreated",7,2.73,0.391,0.5186,TRUE,"GSE171170","unknown",FALSE,TRUE,1,1,5,810,45.5493815165542,"coherent",NA,8,7,FALSE,"GSE151536"
"cgroup_L5_bb8cb388","STR:endometriosis","endometriosis","str_literal",NA,NA,"gain","vehicle_untreated",7,2.36,0.393,0.6111,TRUE,"GSE232713","unknown",FALSE,FALSE,0,3,4,21,28.1833409011509,"coherent",NA,9,7,FALSE,"GSE130435 GSE188915"
"cgroup_L5_c5e86fe9","CHEBI:83766","olaparib","chebi",NA,"1-myristoyl-2-oleoylglycerol","gain","vehicle_untreated",7,3.2,0.533,0.4358,FALSE,"GSE153867","unknown",FALSE,FALSE,0,0,7,322,94.1118721047611,"coherent",NA,15,7,FALSE,"GSE114273 GSE167005 GSE191231 GSE199800 GSE208234 GSE225338 GSE229119 GSE233429"
"cgroup_L5_d7ad915e","CHEBI:39867","valproic acid","chebi",NA,"valproic acid","gain","vehicle_untreated",7,4.1,0.585,0.3377,FALSE,"GSE187006","model",FALSE,TRUE,2,1,4,3024,62.1349425574529,"coherent",NA,8,7,FALSE,"GSE155180"
"cgroup_L5_dc7451b1","CHEBI:230493","pinometostat","chebi",NA,"<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA","gain","vehicle_untreated",7,2,0.5,0.5996,TRUE,"GSE149280","unknown",FALSE,FALSE,3,0,4,213,35.420336198712,"coherent",NA,8,7,FALSE,"GSE221672"
"cgroup_L5_1bbf4b9b","MeSH:D013274","Stomach Neoplasms","mesh",NA,"gastric cancer","gain","vehicle_untreated",6,2.84,0.474,0.4999,FALSE,"GSE184336","primary",FALSE,TRUE,1,5,0,177,35.2645288857458,"coherent",NA,8,6,FALSE,"GSE174302 GSE233331"
"cgroup_L5_29cb04f8","CHEBI:46345","5-fluorouracil","chebi",NA,"5-fluorouracil","gain","vehicle_untreated",6,3.86,0.643,0.3462,FALSE,"GSE157300","unknown",FALSE,FALSE,2,0,4,1410,89.14823570421,"coherent",NA,11,6,FALSE,"GSE125920 GSE157951 GSE196900 GSE209582 GSE245887"
"cgroup_L5_2ab433c8","HGNC:14900","IL22","hgnc",NA,"IMPDH2","gain","vehicle_untreated",6,3.24,0.54,0.4279,FALSE,"GSE149262","unknown",FALSE,FALSE,2,0,4,1121,64.6308522729775,"coherent",NA,6,6,TRUE,""
"cgroup_L5_3824dc37","STR:nash","nash","str_literal",NA,"nonalcoholic steatohepatitis","gain","vehicle_untreated",6,4.11,0.686,0.3559,FALSE,"GSE126848","unknown",FALSE,TRUE,1,1,4,906,49.6611403055588,"coherent",NA,7,6,FALSE,"GSE162694"
"cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","TNF-ALPHA","chembl",NA,"Tumor Necrosis Factor-alpha","gain","vehicle_untreated",6,4.54,0.756,0.275,FALSE,"GSE210522","unknown",FALSE,FALSE,0,1,5,986,89.2262920430807,"coherent",NA,7,6,FALSE,"GSE65354"
"cgroup_L5_63e69fdc","MeSH:D000544","Alzheimer Disease","mesh",NA,"Alzheimer Disease","gain","vehicle_untreated",6,3.77,0.628,0.3576,FALSE,"GSE125583","unknown",FALSE,FALSE,0,3,3,6231,44.5258658879668,"coherent",NA,7,6,FALSE,"GSE228458"
"cgroup_L5_7784bb43","STR:pcos","pcos","str_literal",NA,"endometrial cancer","gain","vehicle_untreated",6,2.11,0.526,0.6457,TRUE,"GSE193812","primary",FALSE,TRUE,1,2,3,24,38.3932945912866,"coherent",NA,6,6,TRUE,""
"cgroup_L5_79ce3bd1","CHEBI:3139","bleomycin A2","chebi",NA,"bleomycin A<small><sub>2</sub></small>","gain","vehicle_untreated",6,5.97,0.995,0.1817,FALSE,"GSE222279","unknown",FALSE,FALSE,0,1,5,4199,94.8524686182879,"coherent",NA,10,6,FALSE,"GSE156472 GSE164012 GSE183269 GSE222676"
"cgroup_L5_b2affd22","MeSH:D011225","Pre-Eclampsia","mesh",NA,"preeclampsia","gain","vehicle_untreated",6,3.5,0.583,0.4474,FALSE,"GSE234729","primary",FALSE,FALSE,0,3,3,2461,50.4442474561942,"coherent",NA,9,6,FALSE,"GSE114691 GSE143953 GSE155750"
"cgroup_L5_c054e202","CHEBI:9168","sirolimus","chebi",NA,"benzbromarone","gain","vehicle_untreated",6,5.04,0.84,0.2311,FALSE,"GSE246886","unknown",FALSE,FALSE,1,0,5,3642,81.5836319537496,"coherent",NA,8,6,FALSE,"GSE129196 GSE225683"
"cgroup_L5_004d293d","CHEBI:49603","lapatinib","chebi",NA,"erythritol","gain","vehicle_untreated",5,2.25,0.449,0.6163,TRUE,"GSE89127","unknown",FALSE,FALSE,1,0,4,1050,67.5190349945899,"coherent",NA,9,5,FALSE,"GSE114575 GSE114686 GSE132055 GSE217898"
"cgroup_L5_089ccae5","CHEBI:52717","bortezomib","chebi",NA,"flavonol 3-<em>O</em>-[α-<small>L</small>-rhamnosyl-(1→6)-β-<small>D</small>-glucoside]s","gain","vehicle_untreated",5,3.62,0.725,0.3656,FALSE,"GSE217421","unknown",FALSE,FALSE,1,0,4,1978,86.9685551621463,"coherent",NA,8,5,FALSE,"GSE157702 GSE217898 GSE239482"
"cgroup_L5_12228932","HGNC:3229","EGF","hgnc",NA,"SYPL1","gain","vehicle_untreated",5,3.89,0.778,0.3322,FALSE,"GSE152409","unknown",FALSE,FALSE,0,0,5,1161,90.3832141800306,"coherent",NA,12,5,FALSE,"GSE121697 GSE124586 GSE144991 GSE156089 GSE183856 GSE204905 GSE269441"
"cgroup_L5_31308596","CHEBI:37537","PMA (phorbol 12-myristate 13-acetate)","override","nome ChEBI con i sostituenti invertiti","phorbol 13-acetate 12-myristate","gain","vehicle_untreated",5,1.95,0.488,0.6593,TRUE,"GSE252575","model",FALSE,FALSE,1,0,4,989,74.8195199971435,"coherent",NA,8,5,FALSE,"GSE126757 GSE137608 GSE253440"
"cgroup_L5_3eaa92c9","CHEBI:50122","rosiglitazone","chebi",NA,"rosiglitazone","gain","vehicle_untreated",5,3.32,0.664,0.4089,FALSE,"GSE77039","unknown",FALSE,FALSE,2,0,3,863,66.4642522328997,"coherent",NA,5,5,TRUE,""
"cgroup_L5_4041e3af","CHEBI:95077","GSK-J4","chebi",NA,"GSK-J4","gain","vehicle_untreated",5,3.81,0.762,0.3354,FALSE,"GSE110709","model",FALSE,TRUE,2,1,2,2456,78.9769568817232,"coherent",NA,5,5,TRUE,""
"cgroup_L5_479c6221","CHEBI:124921","GSK126","chebi",NA,"GSK126","gain","vehicle_untreated",5,3.28,0.655,0.4285,FALSE,"GSE222376","unknown",FALSE,FALSE,1,0,4,1175,75.3481245354529,"coherent",NA,9,5,FALSE,"GSE138460 GSE229015 GSE235704 GSE247275"
"cgroup_L5_82f82010","STR:diabetic","diabetic","str_literal",NA,"diabetic","gain","vehicle_untreated",5,2.17,0.541,0.595,TRUE,"GSE154556","primary",FALSE,TRUE,1,1,3,138,32.366167847951,"coherent",NA,6,5,FALSE,"GSE92724"
"cgroup_L5_844de383","STR:sjogren_s_syndrome","sjogren s syndrome","str_literal",NA,"sjogren's syndrome","gain","vehicle_untreated",5,3.52,0.704,0.3793,FALSE,"GSE199868","unknown",FALSE,FALSE,0,0,5,1850,12.0988522263743,"coherent",NA,6,5,FALSE,"GSE92472"
"cgroup_L5_8958b27a","CHEBI:46741","Nutlin","chebi",NA,"Nutlin","gain","vehicle_untreated",5,1.55,0.31,0.793,TRUE,"GSE104756","model",FALSE,FALSE,1,0,4,1376,67.2885213847551,"coherent",NA,7,5,FALSE,"GSE143741 GSE53499"
"cgroup_L5_8c9339f5","NCBITaxon:64320","Zika virus","override","dizionario: zikavirus","Zika virus","gain","vehicle_untreated",5,2.98,0.595,0.4326,FALSE,"GSE233049","unknown",FALSE,TRUE,1,1,3,3133,73.4002102716289,"coherent",NA,6,5,FALSE,"GSE81637"
"cgroup_L5_99d7941a","CHEBI:72564","temozolomide","chebi",NA,"morpholine","gain","vehicle_untreated",5,3.14,0.628,0.4164,FALSE,"GSE229136","model",FALSE,FALSE,1,0,4,1850,82.5717446734684,"coherent",NA,5,5,TRUE,""
"cgroup_L5_a6fd82fa","CHEBI:44616","afimoxifene","chebi",NA,"afimoxifene","gain","vehicle_untreated",5,2.56,0.511,0.5142,TRUE,"GSE163908","model",FALSE,FALSE,1,0,4,960,59.2772820392879,"coherent",NA,9,5,FALSE,"GSE219159 GSE222190 GSE262110 GSE62613"
