"cluster_id","contrast_entity","canonical_name","k_censito","k_eff","superato"
"cgroup_L5_702a5dea","CHEBI:75998","3-allyloxyestra-1,3,5(10),7-tetraene-16,17-dione dioxime",15,9,TRUE
"cgroup_L5_601ede7b","CHEBI:90943","osimertinib",14,10,TRUE
"cgroup_L5_49d55bfd","HGNC:6014","IL4",14,10,TRUE
"cgroup_L5_889ec305","MeSH:D015179","colorectal cancer",13,7,TRUE
"cgroup_L5_7934174c","CHEBI:231598","EPZ6438",13,9,TRUE
"cgroup_L5_535d97f6","CHEBI:45783","imatinib",13,9,TRUE
"cgroup_L5_f34ff8df","CHEBI:4911","etoposide",13,3,TRUE
"cgroup_L5_12228932","HGNC:3229","SYPL1",12,5,TRUE
"cgroup_L5_444e7fc2","NCBITaxon:10359","influenza virus",12,9,TRUE
"cgroup_L5_7805eee6","STR:covid_19","Mycobacterium tuberculosis",12,7,TRUE
"cgroup_L5_81b706c4","CHEBI:45863","thiirane",12,3,TRUE
"cgroup_L5_2ec87595","CHEBI:6801","metformin",12,8,TRUE
"cgroup_L5_33673560","STR:tgfb","TGFB1",11,9,TRUE
"cgroup_L5_bd19fe42","MeSH:D006528","Carcinoma, Hepatocellular",11,9,TRUE
"cgroup_L5_85083e38","MeSH:D010300","Parkinson Disease",11,10,TRUE
"cgroup_L5_29cb04f8","CHEBI:46345","5-fluorouracil",11,6,TRUE
"cgroup_L5_efced505","CHEBI:38940","3-(ethoxycarbonyl)psoralen",11,9,TRUE
"cgroup_L5_41f7b088","CHEBI:49668","acridone",11,7,TRUE
"cgroup_L5_3a0a595f","CHEBI:49375","dihexadecanoyl phosphatidic acid",11,10,TRUE
"cgroup_L5_2987cdb6","CHEBI:114785","erlotinib",10,7,TRUE
"cgroup_L5_a25d0964","HGNC:6018","Interleukin-6",10,10,TRUE
"cgroup_L5_3f0cc1fe","MeSH:D003093","ulcerative colitis",10,4,TRUE
"cgroup_L5_b0066299","STR:keloid","Friedreich's ataxia",10,4,TRUE
"cgroup_L5_4b901bf1","STR:psoriasis","psoriasis",10,9,TRUE
"cgroup_L5_79ce3bd1","CHEBI:3139","bleomycin A<small><sub>2</sub></small>",10,6,TRUE
"cgroup_L5_35d1be10","STR:nutlin_3a","anabolic androgenic steroid",10,8,TRUE
"cgroup_L5_b2affd22","MeSH:D011225","preeclampsia",9,6,TRUE
"cgroup_L5_12212e41","STR:multiple_sclerosis","multiple sclerosis",9,8,TRUE
"cgroup_L5_bb8cb388","STR:endometriosis",NA,9,7,TRUE
"cgroup_L5_46a3a103","STR:radiation","Radiation",9,7,TRUE
"cgroup_L5_79a73ac5","NCBITaxon:11320",NA,9,7,TRUE
"cgroup_L5_479c6221","CHEBI:124921","GSK126",9,5,TRUE
"cgroup_L5_004d293d","CHEBI:49603","erythritol",9,5,TRUE
"cgroup_L5_aa8c1d6d","CHEBI:230508","birabresib",9,5,TRUE
"cgroup_L5_a8ff7b6d","STR:atra","spin probe",9,5,TRUE
"cgroup_L5_a6fd82fa","CHEBI:44616","afimoxifene",9,5,TRUE
"cgroup_L5_b32ab7f6","HGNC:5981","SNORD13P3",8,7,TRUE
"cgroup_L5_1bbf4b9b","MeSH:D013274","gastric cancer",8,6,TRUE
"cgroup_L5_dc7451b1","CHEBI:230493","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NH<small><sub>2</sub></small>]-α-<small>D</small>-Glc<em>p</em>NAc-(1→2)-<small>D</small>-GroA",8,7,TRUE
"cgroup_L5_089ccae5","CHEBI:52717","flavonol 3-<em>O</em>-[α-<small>L</small>-rhamnosyl-(1→6)-β-<small>D</small>-glucoside]s",8,5,TRUE
"cgroup_L5_c054e202","CHEBI:9168","benzbromarone",8,6,TRUE
"cgroup_L5_31308596","CHEBI:37537","phorbol 13-acetate 12-myristate",8,5,TRUE
"cgroup_L5_d7ad915e","CHEBI:39867","valproic acid",8,7,TRUE
"cgroup_L5_4753688f","STR:r5020","estrogen",8,7,TRUE
"cgroup_L5_8ac307e0","CHEBI:72317","2-decenal",8,4,TRUE
"cgroup_L5_17b35bdc","CHEBI:4672","EIF5A2",8,4,TRUE
"cgroup_L5_4f4d9051","CHEMBL:CHEMBL265582","Tumor Necrosis Factor-alpha",7,6,TRUE
"cgroup_L5_63e69fdc","MeSH:D000544","Alzheimer Disease",7,6,TRUE
"cgroup_L5_f29dd3b3","MeSH:D001172","Arthritis, Rheumatoid",7,5,TRUE
"cgroup_L5_3824dc37","STR:nash","nonalcoholic steatohepatitis",7,6,TRUE
"cgroup_L5_dd2a13de","STR:idiopathic_pulmonary_fibrosis","idiopathic pulmonary fibrosis",7,3,TRUE
"cgroup_L5_3ec58cd6","STR:obese","obese",7,7,TRUE
"cgroup_L5_df599af1","STR:sepsis","Sepsis",7,5,TRUE
"cgroup_L5_0dd60753","CHEBI:233362","N-ethyl-2-[(2R,3R,6S)-3-[(4-fluorophenyl)sulfonylamino]-2-(hydroxymethyl)-3,6-dihydro-2H-pyran-6-yl]acetamide",7,1,FALSE
"cgroup_L5_b9e7806c","CHEBI:143122","THZ531",7,3,TRUE
"cgroup_L5_d800c4f2","CHEBI:45716","coformycin",7,2,FALSE
"cgroup_L5_37942548","CHEBI:15367","ethyl (<i>R</i>)-3-hydroxyhexanoate",7,4,TRUE
"cgroup_L5_a8015c98","CHEBI:175901","gemcitabine",7,4,TRUE
"cgroup_L5_f956ef98","CHEBI:28119","2,3,7,8-Tetrachlorodibenzodioxin",7,5,TRUE
"cgroup_L5_8958b27a","CHEBI:46741","Nutlin",7,5,TRUE
"cgroup_L5_2ab433c8","HGNC:14900","IMPDH2",6,6,TRUE
"cgroup_L5_3be7454c","HGNC:5417","Interferon-alpha",6,3,TRUE
"cgroup_L5_3973fe03","HGNC:5991","Interleukin-1alpha",6,4,TRUE
"cgroup_L5_f832048f","MeSH:D001943","Breast Neoplasms",6,5,TRUE
"cgroup_L5_a69fcae5","MeSH:D008180","cancer",6,4,TRUE
"cgroup_L5_c4640631","MeSH:D011471","prostate cancer",6,2,FALSE
"cgroup_L5_7784bb43","STR:pcos","endometrial cancer",6,6,TRUE
"cgroup_L5_82f82010","STR:diabetic","diabetic",6,5,TRUE
"cgroup_L5_fa0ee5b4","STR:glioblastoma","glioblastoma",6,1,FALSE
"cgroup_L5_844de383","STR:sjogren_s_syndrome","sjogren's syndrome",6,5,TRUE
"cgroup_L5_dd2a1a58","STR:heart_failure","glucose",6,5,TRUE
"cgroup_L5_3d8c29f4","HGNC:6001","Interleukin-2",6,4,TRUE
"cgroup_L5_ee94648c","NCBITaxon:562","Escherichia coli",6,3,TRUE
"cgroup_L5_8c9339f5","NCBITaxon:64320","Zika virus",6,5,TRUE
"cgroup_L5_b9c77320","NCBITaxon:11676","HIV-1",6,4,TRUE
"cgroup_L5_93068469","CHEBI:2038","5-azacytidine",6,4,TRUE
"cgroup_L5_d411c435","CHEBI:29699","tunicamycin",6,5,TRUE
"cgroup_L5_7b545f77","CHEBI:80630","calcium carbonate",6,2,FALSE
"cgroup_L5_d2c64672","CHEBI:61080","topiramate",6,4,TRUE
"cgroup_L5_548236b5","CHEBI:90227","(<i>S</i>)-2-hydroxyhexadecanoate",6,2,FALSE
"cgroup_L5_9bdf0dcb","STR:ifna","palmitate",6,3,TRUE
"cgroup_L5_f97e665a","CHEBI:39112","Rhein",6,2,FALSE
"cgroup_L5_1e8a735e","CHEBI:9516","thapsigargin",6,3,TRUE
"cgroup_L5_828ae0cb","HGNC:11927","epoxyoctadecenoate",5,4,TRUE
"cgroup_L5_2d53def6","HGNC:6005","IL5",5,3,TRUE
"cgroup_L5_9bb4734d","STR:ifnb","Interferon-beta",5,3,TRUE
"cgroup_L5_2a225fda","STR:asthma",NA,5,4,TRUE
"cgroup_L5_a3c3e08c","MeSH:D008175","non-small cell lung carcinoma",5,3,TRUE
"cgroup_L5_c99ed4ee","MeSH:D010051","Ovarian Neoplasms",5,2,FALSE
"cgroup_L5_c040a36d","MeSH:D002292","Residual Volume",5,4,TRUE
"cgroup_L5_3fa847fe","STR:osteoarthritis","osteoarthritis",5,3,TRUE
"cgroup_L5_522fa0c2","STR:sals","sals",5,4,TRUE
"cgroup_L5_eba39954","MeSH:D000074285","(<i>S</i>)-nicotine",5,4,TRUE
"cgroup_L5_344e058f","HGNC:1071","Bone Morphogenetic Protein 4",5,3,TRUE
"cgroup_L5_10344dfd","CHEBI:4167",NA,5,4,TRUE
"cgroup_L5_a90d3d64","STR:sikras","KRAS",5,1,FALSE
"cgroup_L5_7cc951b5","NCBITaxon:10298","hsv-1",5,1,FALSE
"cgroup_L5_ff78d2a8","CHEBI:15365","acetylsalicylic acid",5,3,TRUE
"cgroup_L5_ef9b09df","CHEBI:167693","GSK343",5,2,FALSE
"cgroup_L5_49e290ae","CHEBI:4031","glycine betaine",5,3,TRUE
"cgroup_L5_b5db4aff","CHEBI:229764","selinexor",5,4,TRUE
"cgroup_L5_3a625868","CHEBI:231601","trastuzumab",5,4,TRUE
"cgroup_L5_2248a891","CHEBI:42471","glutamine",5,3,TRUE
"cgroup_L5_99d7941a","CHEBI:72564","morpholine",5,5,TRUE
"cgroup_L5_dcce160a","CHEBI:41977","daunorubicin",5,4,TRUE
"cgroup_L5_03d0ca7b","CHEBI:4551","digoxin",5,3,TRUE
"cgroup_L5_356eedd3","CHEBI:46024","trichostatin A",5,3,TRUE
"cgroup_L5_cf34c533","CHEBI:46742","Nutlin-3",5,3,TRUE
"cgroup_L5_e294a3bc","CHEBI:49852","DRB",5,3,TRUE
"cgroup_L5_3eaa92c9","CHEBI:50122","rosiglitazone",5,5,TRUE
"cgroup_L5_3b461817","CHEBI:52172","flavanone",5,4,TRUE
"cgroup_L5_cbc935db","CHEBI:61076","belinostat",5,1,FALSE
"cgroup_L5_3439da02","CHEBI:68478","tolcapone",5,4,TRUE
"cgroup_L5_ae11259e","CHEBI:71200","tofacitinib",5,4,TRUE
"cgroup_L5_fd0c6a79","CHEBI:68647","6,7,4'-trihydroxyflavanone",5,4,TRUE
"cgroup_L5_a8d88150","CHEBI:85994","<em>N</em>-[(<i>Z</i>)-dodec-2-enoyl]morpholine",5,4,TRUE
"cgroup_L5_4041e3af","CHEBI:95077","GSK-J4",5,5,TRUE
"cgroup_L5_37ecd157","STR:vegf","but-1-ene-1,2,4-tricarboxylic acid",4,4,TRUE
"cgroup_L5_aa505132","CHEBI:85164","nintedanib",4,2,FALSE
"cgroup_L5_b0e8388e","HGNC:11768","TGFB2",4,2,FALSE
"cgroup_L5_d631ee89","HGNC:6011","IL3",4,3,TRUE
"cgroup_L5_e135d758","CHEMBL:CHEMBL2107881","2-hydroxy-6-oxohexa-2,4-dienoic acid",4,1,FALSE
"cgroup_L5_96c9f7bf","STR:bipolar_disorder",NA,4,4,TRUE
"cgroup_L5_74daf1c9","STR:oscc","oral squamous cell carcinoma",4,4,TRUE
"cgroup_L5_6b7b8076","MeSH:D000077273","papillary thyroid carcinoma",4,3,TRUE
"cgroup_L5_387b0d1a","MeSH:D003922","type 1 diabetes",4,3,TRUE
"cgroup_L5_a739837c","STR:adenoma","pituitary adenoma",4,3,TRUE
"cgroup_L5_17b55386","STR:fshd","Facioscapulohumeral muscular dystrophy",4,4,TRUE
"cgroup_L5_964c6389","MeSH:D006816","neurodevelopmental disorder",4,3,TRUE
"cgroup_L5_37b0b276","STR:osteosarcoma","osteosarcoma",4,1,FALSE
"cgroup_L5_3de56a79","STR:pdac","pdac",4,3,TRUE
"cgroup_L5_81c08752","MeSH:D012008","pediatric b-cell acute lymphoblastic leukemias",4,1,FALSE
"cgroup_L5_5801e974","STR:psoriasis_vulgaris","psoriasis vulgaris",4,1,FALSE
"cgroup_L5_ff04c7c1","CHEBI:4167","colon cancer",4,2,FALSE
"cgroup_L5_988d478d","STR:copd","ionizing radiation",4,4,TRUE
"cgroup_L5_eedd08cb","STR:sirna_pool_against_igf2bp1","IGF2BP1",4,3,TRUE
"cgroup_L5_27f3255f","STR:rbm4_knockdown","RBM4",4,0,FALSE
"cgroup_L5_523e64b9","CHEBI:67271","(5<i>Z</i>,11<i>Z</i>,14<i>Z</i>)-icosatrienoate",4,3,TRUE
"cgroup_L5_debadb13","NCBITaxon:10407","hepatitis B virus",4,3,TRUE
"cgroup_L5_a7509255","NCBITaxon:1280","Staphylococcus aureus",4,4,TRUE
"cgroup_L5_840b7e36","HGNC:1653","Corynebacterium acnes",4,3,TRUE
"cgroup_L5_64fbeb97","CHEBI:102218","dimethyloxalylglycine",4,2,FALSE
"cgroup_L5_8e775709","CHEBI:145431","2-amino-6-(1-hydroxypropyl)-8-methylpteridine-4,7(3<em>H</em>,8<em>H</em>)-dione",4,2,FALSE
"cgroup_L5_3370a794","CHEBI:145372","Gilteritinib",4,4,TRUE
"cgroup_L5_e17c136b","CHEBI:145535","pevonedistat",4,3,TRUE
"cgroup_L5_8be26844","CHEBI:16796","hydron",4,1,FALSE
"cgroup_L5_3a58e5f5","CHEBI:15551","prostaglandin E<small><sub>2</sub></small>",4,3,TRUE
"cgroup_L5_5d1a5c5f","CHEBI:173109","RSL3",4,1,FALSE
"cgroup_L5_b967c97c","CHEBI:195599","CH-223191",4,2,FALSE
"cgroup_L5_9f0ea111","CHEBI:230484","StemRegenin 1",4,3,TRUE
"cgroup_L5_f44b01e2","CHEBI:230905","Ribociclib",4,2,FALSE
"cgroup_L5_417c69a3","CHEBI:231324","BYL-719",4,2,FALSE
"cgroup_L5_a3f0c959","CHEBI:232752","GSK-LSD1",4,3,TRUE
"cgroup_L5_8b65b3ff","CHEBI:233363","A-485",4,2,FALSE
"cgroup_L5_a48d6990","CHEBI:25255","xylobiose",4,1,FALSE
"cgroup_L5_516200d1","CHEBI:29073","3-methyl-<i>cis</i>,<i>cis</i>-muconic acid",4,3,TRUE
"cgroup_L5_d8006c5b","CHEBI:31941","oxaliplatin",4,3,TRUE
"cgroup_L5_4be9e90d","CHEBI:39421","perfluorooctane-1-sulfonic acid",4,4,TRUE
"cgroup_L5_62404e11","CHEBI:4026","cyclophosphamide hydrate",4,2,FALSE
"cgroup_L5_5b9a08fb","CHEBI:44185","methotrexate",4,3,TRUE
"cgroup_L5_f640365a","CHEBI:50385","hemin",4,3,TRUE
"cgroup_L5_af2c15aa","CHEBI:90693","hydrogen trithiocarbonate",4,2,FALSE
"cgroup_L5_6ac5ea3a","CHEBI:68747","Filixic acid BBB",4,2,FALSE
"cgroup_L5_80a3028a","STR:jib_04","Doxycycline",4,1,FALSE
"cgroup_L5_60d9a5bf","CHEBI:32588","Harringtonine",4,2,FALSE
"cgroup_L5_83135c89","CHEBI:76612","EC 6.3.2.4 (<small>D</small>-alanine—<small>D</small>-alanine ligase) inhibitor",4,2,FALSE
"cgroup_L5_5927750b","CHEBI:65347","nicotinate-adenine dinucleotide phosphate(4−)",4,4,TRUE
"cgroup_L5_8eca612e","CHEBI:75045","foaming agent",4,3,TRUE
"cgroup_L5_16525349","CHEBI:78543","4-coumaroyltriacetic acid lactone",4,4,TRUE
"cgroup_L5_455fe91d","CHEBI:86193","DAPT",4,3,TRUE
"cgroup_L5_a4029927","CHEBI:61390","[5-(aminomethyl)-3-furyl]methyl diphosphate",4,4,TRUE
"cgroup_L5_57ea5503","CHEBI:88249","PD 0325901",4,2,FALSE
"cgroup_L5_5e0c0fae","CHEMBL:CHEMBL1201576","RITUXIMAB",4,4,TRUE
"cgroup_L5_b2645a34","CHEMBL:CHEMBL1201577","CETUXIMAB",4,2,FALSE
"cgroup_L5_f56d966d","CHEMBL:CHEMBL2177390","IPATASERTIB",4,3,TRUE
"cgroup_L5_64d858b5","STR:tgf_b","Met-tRNA<small><sup>Met</small></sup>",3,1,FALSE
"cgroup_L5_206576be","HGNC:2434","<small>L</small>-arabinono-1,4-lactone",3,1,FALSE
"cgroup_L5_d693cf88","HGNC:30743","IL25",3,2,FALSE
"cgroup_L5_f25af0a2","HGNC:3676","ELAVL4",3,2,FALSE
"cgroup_L5_9132f546","HGNC:5423","IFNA2",3,2,FALSE
"cgroup_L5_76a64c08","STR:il17","IL17A",3,1,FALSE
"cgroup_L5_79981eb2","COMBO:il-13+il-4","Interleukin-4",3,2,FALSE
"cgroup_L5_c669863b","MeSH:D001749","bladder cancer",3,2,FALSE
"cgroup_L5_fbcdc471","MeSH:D002311","Cardiomyopathy, Dilated",3,0,FALSE
"cgroup_L5_e0c9a685","MeSH:D003876","Atopic Dermatitis",3,2,FALSE
"cgroup_L5_f2f8d3ac","MeSH:D006519","Hepatitis, Alcoholic",3,2,FALSE
"cgroup_L5_7ba0168b","STR:lupus","systemic lupus erythematosus",3,2,FALSE
"cgroup_L5_d53bf74e","MeSH:D008224","Lymphoma, Follicular",3,3,TRUE
"cgroup_L5_be3d65c3","MeSH:D010634","Phenobarbital",3,2,FALSE
"cgroup_L5_719ab136","MeSH:D012595","systemic sclerosis",3,2,FALSE
"cgroup_L5_6ee86f02","MeSH:D013167","ankylosing spondylitis",3,3,TRUE
"cgroup_L5_6c7f9e9e","MeSH:D015451","chronic lymphocytic leukemia",3,2,FALSE
"cgroup_L5_c2cce144","STR:multiple_myeloma","acute lymphoblastic leukemia",3,2,FALSE
"cgroup_L5_aaecff07","STR:biliary_atresia","biliary atresia",3,1,FALSE
"cgroup_L5_7636ff0e","STR:chronic_periodontitis","chronic pariodontiits",3,2,FALSE
"cgroup_L5_777adc83","STR:g007_lk","colorectal adenocarcinoma",3,2,FALSE
"cgroup_L5_79b3a442","STR:cteph","cteph",3,3,TRUE
"cgroup_L5_70f8671b","STR:medulloblastoma","medulloblastoma",3,1,FALSE
"cgroup_L5_e7eebebd","STR:steatotic","steatotic",3,3,TRUE
"cgroup_L5_5a202240","CHEBI:17234","glucose",3,2,FALSE
"cgroup_L5_ea4a1823","CHEBI:22984","calcium atom",3,3,TRUE
"cgroup_L5_75110535","STR:senescent","Aging",3,0,FALSE
"cgroup_L5_97da8b42","STR:hypertension","spinal cord injury",3,2,FALSE
"cgroup_L5_36b956de","STR:ptsd","acute myeloid leukemia",3,2,FALSE
"cgroup_L5_729b276d","MeSH:D016640","plasma",3,3,TRUE
"cgroup_L5_64c55823","STR:smoking","smoking",3,0,FALSE
"cgroup_L5_ead098cd","STR:stroke","stroke",3,2,FALSE
"cgroup_L5_8341bee7","CHEBI:17026","progesterone",3,3,TRUE
"cgroup_L5_aad8ed47","COMBO:taz+yap","YAP1",3,3,TRUE
"cgroup_L5_64adcd6b","STR:srsf1_knockdown","serine and arginine rich splicing factor 1",3,0,FALSE
"cgroup_L5_1c583f9b","HGNC:11998","TP53",3,1,FALSE
"cgroup_L5_45ca22b1","STR:dbrd9","VASH2",3,0,FALSE
"cgroup_L5_b9921e6e","HGNC:3430","HERC2P7",3,2,FALSE
"cgroup_L5_59d2b212","HGNC:6407","KRAS",3,1,FALSE
"cgroup_L5_680b6b9c","HGNC:8975","PIK3CA",3,0,FALSE
"cgroup_L5_4290da61","CHEBI:73572","lipoteichoic acid",3,1,FALSE
"cgroup_L5_03544ab6","STR:covid","human papillomavirus",3,0,FALSE
"cgroup_L5_034592d9","NCBITaxon:1282","Staphylococcus epidermidis",3,3,TRUE
"cgroup_L5_44420e6e","NCBITaxon:851","fusobacteriumnucleatum",3,2,FALSE
"cgroup_L5_b3bbf8e4","CHEBI:125628","alisertib",3,1,FALSE
"cgroup_L5_61352c9e","CHEBI:132082","entinostat",3,2,FALSE
"cgroup_L5_edc8e828","CHEBI:95083","<em>P</em>-{α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-6-yl}-α-<small>D</small>-Glc<em>p</em>NAc-(1→3)-[<small>D</small>-GroA-(2→1)]-α-<small>D</small>-Glc<em>p</em>NAc-<em>P</em>-6-[CH<small><sub>2</sub></small>]<small><sub>5</sub></small>NHC(=O)[CH<small><sub>2</sub></small>]<small><sub>4</sub></small>C(=O)NHR group",3,2,FALSE
"cgroup_L5_83b1f88c","CHEBI:61397","(<i>S</i>)-glaucine(1+)",3,3,TRUE
"cgroup_L5_86417b40","CHEBI:140908","GANT61",3,2,FALSE
"cgroup_L5_b45f7252","CHEBI:142708","tigecycline(1+)",3,2,FALSE
"cgroup_L5_d28620cd","CHEBI:15738","staurosporine",3,3,TRUE
"cgroup_L5_469db990","STR:nahs","hydrogen sulfide",3,3,TRUE
"cgroup_L5_47e67cab","STR:1_25_oh_2d3","(<i>S</i>)-<em>N</em>-methylcanadine",3,1,FALSE
"cgroup_L5_34376df0","CHEBI:18357","biotin amide",3,1,FALSE
"cgroup_L5_f01e9f74","CHEBI:233643","<small>L</small>-methionine + UNC0642",3,2,FALSE
"cgroup_L5_862cd9b9","CHEBI:167670","SCH772984",3,3,TRUE
"cgroup_L5_0b985869","CHEBI:16335","glucose",3,2,FALSE
"cgroup_L5_92f4f307","CHEBI:64317","kanamycin A",3,3,TRUE
"cgroup_L5_5756018b","CHEBI:176844","niraparib",3,1,FALSE
"cgroup_L5_759892f5","CHEBI:5931","chloride",3,2,FALSE
"cgroup_L5_c5c72bba","CHEBI:189651","dBET6",3,0,FALSE
"cgroup_L5_2618c026","CHEBI:232613","BRM014",3,2,FALSE
"cgroup_L5_fde7b89b","CHEBI:2704","anastrozole",3,0,FALSE
"cgroup_L5_d7abf612","CHEBI:28201","2-hexaprenyl-6-methoxy-1,4-benzoquinone",3,3,TRUE
"cgroup_L5_57810d6c","CHEBI:27881","resveratrol",3,1,FALSE
"cgroup_L5_3d3658ad","CHEBI:28777","liquiritigenin",3,2,FALSE
"cgroup_L5_26c302f6","CHEBI:28680","Buchananine",3,1,FALSE
"cgroup_L5_b837242a","STR:cocl2","cobalt chloride",3,2,FALSE
"cgroup_L5_1c7b64af","CHEBI:3638","chloroquine",3,2,FALSE
"cgroup_L5_8078374b","CHEBI:37415","α-amanitin",3,1,FALSE
"cgroup_L5_ebd83cd1","CHEBI:42068","idarubicin",3,2,FALSE
"cgroup_L5_ae969461","CHEBI:47458","saracatinib",3,3,TRUE
"cgroup_L5_24ae0579","CHEBI:47898","4'-epidoxorubicin",3,3,TRUE
"cgroup_L5_451ecb56","CHEBI:47344","Fibrin",3,1,FALSE
"cgroup_L5_8f29463d","CHEBI:50729","mitoxantrone",3,2,FALSE
"cgroup_L5_af782291","CHEBI:81571","<em>N</em>-hydroxydihomomethionine",3,1,FALSE
"cgroup_L5_06ff1592","CHEBI:5118","fluoxetine",3,1,FALSE
"cgroup_L5_b80b0368","CHEBI:6704","mebendazole",3,1,FALSE
"cgroup_L5_05322ba1","CHEBI:71019","omacetaxine mepesuccinate",3,3,TRUE
"cgroup_L5_5d97d5b1","CHEBI:59132","S-(1,2-dichlorovinyl)-L-cysteine",3,3,TRUE
"cgroup_L5_b8bc334a","CHEBI:79369","elesclomol",3,1,FALSE
"cgroup_L5_a3112513","CHEBI:8228","pioglitazone",3,2,FALSE
"cgroup_L5_00fd9348","CHEBI:8499","propranolol",3,3,TRUE
"cgroup_L5_9f34eb99","COMBO:indisulam+palbociclib","PS(20:3(8Z,11Z,14Z)/18:0)",3,2,FALSE
"cgroup_L5_7cda77c1","CHEBI:90195","tacedinaline",3,0,FALSE
"cgroup_L5_0a71325c","CHEBI:90217","quizartinib",3,2,FALSE
"cgroup_L5_87135459","CHEBI:91414","adavosertib",3,2,FALSE
"cgroup_L5_3437775a","CHEBI:91450","sapanisertib",3,2,FALSE
"cgroup_L5_9f293ec3","CHEBI:9150","simvastatin",3,1,FALSE
"cgroup_L5_f2139c4f","CHEBI:94287","erastin",3,3,TRUE
"cgroup_L5_766cd3c6","CHEBI:9513","thalidomide",3,2,FALSE
"cgroup_L5_0a4e5f58","CHEMBL:CHEMBL3544911","PREXASERTIB",3,1,FALSE
"cgroup_L5_28bee975","CHEMBL:CHEMBL3987016","MIVEBRESIB",3,3,TRUE
"cgroup_L5_e16bfa7f","CHEMBL:CHEMBL4297454","ABBV-744",3,3,TRUE
"cgroup_L5_b1c1f147","CHEMBL:CHEMBL4650278","REVUMENIB SESQUIFUMARATE",3,2,FALSE
"cgroup_L5_2f86628a","MeSH:D015470","Antifibrinolytic Agents",3,1,FALSE
"cgroup_L5_3e8ba26a","MeSH:D005909","Gentamicins",3,2,FALSE
"cgroup_L5_f9cc41b3","STR:vtp50469","0.1% vtp50469 in chow",3,3,TRUE
"cgroup_L5_1d4f4a13","CHEMBL:CHEMBL1201583","bevacizumab",3,2,FALSE
"cgroup_L5_5929f298","STR:snx631","lncap cells treated with 500 nm snx631 for 72 hours",3,3,TRUE
"cgroup_L5_e0fdea29","STR:sr2211","sr2211",3,1,FALSE
"cgroup_L5_4d535f25","STR:ykl_5_124","ykl-5-124 (100 nm)",3,3,TRUE
"cgroup_L5_63180d66","CHEBI:138438",NA,3,2,FALSE
