"study_id","treated_label","control_label","dr","new_dr","entity","new_entity","new_src"
"GSE246587","Transfected with SpRY-ABE8e Plasmid","Vehicle Control","ok_combo","ok","COMBO:sd targeting grnas+spry-abe8e w app ex 17 sa","COMBO:sd targeting grnas+spry-abe8e plasmid w app ex 17 sa","COMBO"
"GSE207418","TMP + delta82-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:delta82-zc3h4+tmp","COMBO:delta82-zc3h4 plasmid+tmp","COMBO"
"GSE207418","TMP + deltaARMS-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:deltaarms-zc3h4+tmp","COMBO:deltaarms-zc3h4 plasmid+tmp","COMBO"
"GSE207418","TMP + deltaZnF-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:deltaznf-zc3h4+tmp","COMBO:deltaznf-zc3h4 plasmid+tmp","COMBO"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V4","Placebo V4","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V5","Placebo V5","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V6","Placebo V6","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE157240","Other respiratory RNA virus infected patients","Healthy controls","ok","ok","NCBITaxon:3049954","COMBO:respiratory rna viruses parainfluenza virus+respiratory syncytial virus","COMBO"
"GSE205235","Neural progenitors with PARK2 genetic knockout and full-length copy of cDNA PARK2","Neural progenitors with PARK2 genetic knockout","ok_combo","ok","COMBO:full-length copy cdna park2 under minimal cmv+teto promoter","COMBO:full-length copy of cdna park2 under minimal cmv+teto promoter","COMBO"
"GSE169030","Soybean 7S globulin 50 µg/mL","Control (no exposure)","ok","ok","STR:g_ml_soybean_s_globulin","NCBITaxon:3847","onto"
"GSE202134","RBM39 siRNA + FLAG-RBM39","Ctrl siRNA","ok_combo","ok","COMBO:flag-rbm39+rbm39","COMBO:flag-rbm39+rbm39 sirna","COMBO"
"GSE202134","RBM39 siRNA + FLAG-RBM39 (replicate)","Ctrl siRNA","ok_combo","ok","COMBO:flag-rbm39+rbm39","COMBO:flag-rbm39+rbm39 sirna","COMBO"
"GSE233529","Caco2 + no FBS and Complete media after","Caco2 + Complete media","ok_combo","ok","COMBO:complete media+fbs","STR:no_fbs_complete_media_after","STR"
"GSE261920","Vehicle only (Ctrl) + IFN-B (1 ng/mL)","Vehicle only (mock)","ok_combo","ok","COMBO:ctrl+ifn-b","COMBO:ifn-b+only ctrl","COMBO"
"GSE261920","Vehicle only (Ctrl) + IFN-B (10 ng/mL)","Vehicle only (mock)","ok_combo","ok","COMBO:ctrl+ifn-b","COMBO:ifn-b+only ctrl","COMBO"
"GSE146547","A549 cells transfected with siRNA pool against IGF2BP1 (lung cancer)","A549 cells transfected with Control siRNA","ok","ok","STR:sirna_pool_against_igf_bp","COMBO:cancer+igf2bp1","COMBO"
"GSE97412","HepG2 + siINO80#1 (liver cancer model)","HepG2 + NTG (transgene)","ok","ok","STR:siino","COMBO:cancer+siino80","COMBO"
"GSE97412","HepG2 + siINO80#2 (liver cancer model)","HepG2 + NTG (transgene)","ok","ok","STR:siino","COMBO:cancer+siino80","COMBO"
"GSE130595","siILF3 + poly(IC)","siMock + poly(IC)","ok","ok","CHEBI:84491","COMBO:poly ic+siilf3","COMBO"
"GSE158305","HBEC2_YAP_TAZ_knockdown","Control_siRNA_1","ok_combo","ok","COMBO:taz+yap","STR:yap_taz_sirna","STR"
"GSE169030","2S albumin Lupine 50 µg/mL","Control (no exposure)","ok","ok","STR:g_ml_s_albumin_lupine","CHEMBL:CHEMBL1201451","onto"
"GSE225731","RA Bio + MTX/Steroid","RA untreated","riga_combinazione_non_vista","ok",NA,"COMBO:mtx+steroid","COMBO"
"GSE249870","HT-29 + TNF-α + 4-HDHA","HT-29 + vehicle control","ok_combo","ok","COMBO:4-hdha+tnf-","HGNC:11892","onto"
"GSE249870","HT-29 + TNF-α + 4-HDHA","HT-29 + vehicle control","ok_combo","ok","COMBO:4-hdha+tnf-","HGNC:11892","onto"
"GSE60590","Trained (Post-training)","Untrained (Pre-training)","entita_costante","ok",NA,"NAME:training","anchor"
"GSE60833","Training Post-Training Period 1","Untrained Pre-Training Period 2","entita_costante","ok",NA,"NAME:training","anchor"
"GSE160091","MIT/ML324-treated","Vehicle-control","ok_combo","ok","COMBO:mit+ml324","CHEBI:746977","onto"
"GSE158305","HBEC1_YAP_TAZ_knockdown","Control_siRNA_1","ok_combo","ok","COMBO:taz+yap","STR:yap_taz_sirna","STR"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V4","Placebo V4","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V5","Placebo V5","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V6","Placebo V6","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE183777","RT112 + DMSO + ARID1A knockdown","RT112 + DMSO","id_blacklist","ok",NA,"COMBO:arid1a knockdown+dmso","COMBO"
"GSE231686","Normal 20% Healthy Donor Sera","Normal Untreated and Unstimulated","ok","ok","STR:sera_mg_ml_necrotic_lysates","COMBO:02 sera+necrotic lysates","COMBO"
"GSE231686","Normal 20% Patient Sera","Normal Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE 20% Healthy Donor Sera","SLE Untreated and Unstimulated","ok","ok","STR:sera_mg_ml_necrotic_lysates","COMBO:02 sera+necrotic lysates","COMBO"
"GSE231686","SLE 20% Patient Sera","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S43","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S47","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S45","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #22 sera + necrotic cell lysates S48","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 22 sera","COMBO"
"GSE207418","TMP + delta82-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:delta82-zc3h4+tmp","COMBO:delta82-zc3h4 plasmid+tmp","COMBO"
"GSE207418","TMP + deltaARMS-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:deltaarms-zc3h4+tmp","COMBO:deltaarms-zc3h4 plasmid+tmp","COMBO"
"GSE207418","TMP + deltaZnF-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:deltaznf-zc3h4+tmp","COMBO:deltaznf-zc3h4 plasmid+tmp","COMBO"
"GSE246587","Transfected with SpRY-ABE8e Plasmid","Vehicle Control","ok_combo","ok","COMBO:sd targeting grnas+spry-abe8e w app ex 17 sa","COMBO:sd targeting grnas+spry-abe8e plasmid w app ex 17 sa","COMBO"
"GSE169030","Soybean 7S globulin 50 µg/mL (Donor 137)","Control (no exposure)","ok","ok","STR:g_ml_soybean_s_globulin","NCBITaxon:3847","onto"
"GSE202134","RBM39 siRNA + FLAG-RBM39","Ctrl siRNA","ok_combo","ok","COMBO:flag-rbm39+rbm39","COMBO:flag-rbm39+rbm39 sirna","COMBO"
"GSE202134","RBM39 siRNA + FLAG-RBM39 (replicate)","Ctrl siRNA","ok_combo","ok","COMBO:flag-rbm39+rbm39","COMBO:flag-rbm39+rbm39 sirna","COMBO"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V4","Placebo V4","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V5","Placebo V5","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE164366","Placebo + Tetanus mo(0) + HepB mo(7.5,8.5,13) V6","Placebo V6","ok_combo","ok","COMBO:hepb mo 7 5 8 5 13+tetanus mo 0","COMBO:hepb mo 7 5 8 5 13+placebo+tetanus mo 0","COMBO"
"GSE231686","Normal 20% Healthy Donor Sera","Normal Untreated and Unstimulated","ok","ok","STR:sera_mg_ml_necrotic_lysates","COMBO:02 sera+necrotic lysates","COMBO"
"GSE231686","Normal 20% Patient Sera","Normal Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","Normal SLE patient #23 sera + necrotic cell lysates N36","Normal untreated N36","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 23 sera","COMBO"
"GSE231686","Normal SLE patient #23 sera + necrotic cell lysates N37","Normal untreated N37","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 23 sera","COMBO"
"GSE169030","Soybean 7S globulin 50 µg/mL (Donor 137)","Control (no exposure)","ok","ok","STR:g_ml_soybean_s_globulin","NCBITaxon:3847","onto"
"GSE229674","siFRA1 + DMSO","DMSO + siSCR","id_blacklist","ok",NA,"COMBO:dmso+sifra1","COMBO"
"GSE261920","Vehicle only (Ctrl) + IFN-B (1 ng/mL)","Vehicle only (mock)","ok_combo","ok","COMBO:ctrl+ifn-b","COMBO:ifn-b+only ctrl","COMBO"
"GSE261920","Vehicle only (Ctrl) + IFN-B (10 ng/mL)","Vehicle only (mock)","ok_combo","ok","COMBO:ctrl+ifn-b","COMBO:ifn-b+only ctrl","COMBO"
"GSE158305","HBEC2_YAP_TAZ_knockdown","Control_siRNA_1","ok_combo","ok","COMBO:taz+yap","STR:yap_taz_sirna","STR"
"GSE131726","Paxillin Knockdown with DHT (Engineered)","Vehicle Control (Engineered)","riga_genetica_asimmetrica","ok",NA,"COMBO:dht+knockdown+paxillin","COMBO"
"GSE160091","MIT/ML324-treated","Vehicle-control","ok_combo","ok","COMBO:mit+ml324","CHEBI:746977","onto"
"GSE169030","2S albumin Lupine 10 µg/mL","Control (no exposure)","ok","ok","STR:g_ml_s_albumin_lupine","CHEMBL:CHEMBL1201451","onto"
"GSE169030","2S albumin Lupine 50 µg/mL","Control (no exposure)","ok","ok","STR:g_ml_s_albumin_lupine","CHEMBL:CHEMBL1201451","onto"
"GSE225731","RA Bio + MTX/Steroid","RA untreated","riga_combinazione_non_vista","ok",NA,"COMBO:mtx+steroid","COMBO"
"GSE233529","Caco2 + no FBS and Complete media after","Caco2 + Complete media","ok_combo","ok","COMBO:complete media+fbs","STR:no_fbs_complete_media_after","STR"
"GSE205235","Neural progenitors with PARK2 genetic knockout and full-length copy of cDNA PARK2","Neural progenitors with PARK2 genetic knockout","ok_combo","ok","COMBO:full-length copy cdna park2 under minimal cmv+teto promoter","COMBO:full-length copy of cdna park2 under minimal cmv+teto promoter","COMBO"
"GSE249870","HT-29 + TNF-α + 4-HDHA","HT-29 + vehicle control","ok_combo","ok","COMBO:4-hdha+tnf-","HGNC:11892","onto"
"GSE249870","HT-29 + TNF-α + 4-HDHA","HT-29 + vehicle control","ok_combo","ok","COMBO:4-hdha+tnf-","HGNC:11892","onto"
"GSE157240","Other respiratory RNA virus infected patients","Healthy controls","ok","ok","NCBITaxon:3049954","COMBO:respiratory rna viruses parainfluenza virus+respiratory syncytial virus","COMBO"
"GSE246587","Transfected with SpRY-ABE8e Plasmid","Vehicle Control","ok_combo","ok","COMBO:sd targeting grnas+spry-abe8e w app ex 17 sa","COMBO:sd targeting grnas+spry-abe8e plasmid w app ex 17 sa","COMBO"
"GSE169030","Soybean 7S globulin 50 µg/mL","Control (no exposure)","ok","ok","STR:g_ml_soybean_s_globulin","NCBITaxon:3847","onto"
"GSE60590","Trained (Post-training)","Untrained (Pre-training)","entita_costante","ok",NA,"NAME:training","anchor"
"GSE60833","Training Post-Training Period 1","Untrained Pre-Training Period 2","entita_costante","ok",NA,"NAME:training","anchor"
"GSE60833","Training Post-Training Period 2","Untrained Pre-Training Period 2","entita_costante","ok",NA,"NAME:training","anchor"
"GSE60833","Training Post-Training Period 2","Untrained Pre-Training Period 2","entita_costante","ok",NA,"NAME:training","anchor"
"GSE161760","IL1 and TNF treated","Untreated control","ok_combo","riga_combinazione_non_vista","COMBO:il1+tnf",NA,NA
"GSE161760","IL1 and TNF treated","Untreated control","ok_combo","riga_combinazione_non_vista","COMBO:il1+tnf",NA,NA
"GSE161760","IL1 and TNF treated","Untreated control","ok_combo","riga_combinazione_non_vista","COMBO:il1+tnf",NA,NA
"GSE161761","IL1 and TNF for 14 days","Untreated","ok_combo","riga_combinazione_non_vista","COMBO:il1+tnf",NA,NA
"GSE161761","IL1 and TNF for 2 days","Untreated","ok_combo","riga_combinazione_non_vista","COMBO:il1+tnf",NA,NA
"GSE146547","A549 cells transfected with siRNA pool against IGF2BP1 (lung cancer)","A549 cells transfected with Control siRNA","ok","ok","STR:sirna_pool_against_igf_bp","COMBO:cancer+igf2bp1","COMBO"
"GSE183777","RT112 + DMSO + ARID1A knockdown","RT112 + DMSO","id_blacklist","ok",NA,"COMBO:arid1a knockdown+dmso","COMBO"
"GSE130595","siILF3 + poly(IC)","siMock + poly(IC)","ok","ok","CHEBI:84491","COMBO:poly ic+siilf3","COMBO"
"GSE158305","HBEC1_YAP_TAZ_knockdown","Control_siRNA_1","ok_combo","ok","COMBO:taz+yap","STR:yap_taz_sirna","STR"
"GSE97412","HepG2 + siINO80#1 (liver cancer model)","HepG2 + NTG (transgene)","ok","ok","STR:siino","COMBO:cancer+siino80","COMBO"
"GSE97412","HepG2 + siINO80#2 (liver cancer model)","HepG2 + NTG (transgene)","ok","ok","STR:siino","COMBO:cancer+siino80","COMBO"
"GSE231686","SLE 20% Healthy Donor Sera","SLE Untreated and Unstimulated","ok","ok","STR:sera_mg_ml_necrotic_lysates","COMBO:02 sera+necrotic lysates","COMBO"
"GSE231686","SLE 20% Patient Sera","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S43","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S47","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S45","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #22 sera + necrotic cell lysates S48","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 22 sera","COMBO"
"GSE231686","SLE SLE patient #33 sera + necrotic cell lysates S41","SLE untreated S41","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 33 sera","COMBO"
"GSE231686","SLE SLE patient #23 sera + necrotic cell lysates S41","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 23 sera","COMBO"
"GSE146806","siRNA pool against METTL3 and METTL14 (replicate 1)","Control siRNA","ok_combo","ok","COMBO:mettl14+pool against mettl3","COMBO:mettl14+sirna pool against mettl3","COMBO"
"GSE146806","siRNA pool against METTL3 and METTL14 (replicate 2)","Control siRNA","ok_combo","ok","COMBO:mettl14+pool against mettl3","COMBO:mettl14+sirna pool against mettl3","COMBO"
"GSE217085","EV71 infected HeLa cells with IL-25 overexpression","Uninfected HeLa cells with IL-25 overexpression","ok_combo","ok","COMBO:ev71+il-25","COMBO:ev71 infection+il-25 overexpression","COMBO"
"GSE207418","TMP + delta82-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:delta82-zc3h4+tmp","COMBO:delta82-zc3h4 plasmid+tmp","COMBO"
"GSE207418","TMP + deltaARMS-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:deltaarms-zc3h4+tmp","COMBO:deltaarms-zc3h4 plasmid+tmp","COMBO"
"GSE207418","TMP + deltaZnF-ZC3H4 plasmid","ZC3H4-DHFR minus TMP","ok_combo","ok","COMBO:deltaznf-zc3h4+tmp","COMBO:deltaznf-zc3h4 plasmid+tmp","COMBO"
"GSE146804","siRNA pool against E2F1, E2F2 and E2F3","Control siRNA","ok_combo","ok","COMBO:e2f3+pool against e2f1 e2f2","COMBO:e2f3+sirna pool against e2f1 e2f2","COMBO"
"GSE231686","SLE 20% Healthy Donor Sera","SLE Untreated and Unstimulated","ok","ok","STR:sera_mg_ml_necrotic_lysates","COMBO:02 sera+necrotic lysates","COMBO"
"GSE231686","SLE 20% Patient Sera","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S43","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S47","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #06 sera + necrotic cell lysates S45","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 06 sera","COMBO"
"GSE231686","SLE SLE patient #22 sera + necrotic cell lysates S48","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 22 sera","COMBO"
"GSE231686","SLE SLE patient #33 sera + necrotic cell lysates S41","SLE untreated S41","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 33 sera","COMBO"
"GSE231686","SLE SLE patient #23 sera + necrotic cell lysates S41","SLE Untreated and Unstimulated","ok","ok","STR:sle_sera_mg_ml_necrotic_lysates","COMBO:necrotic lysates+sle 23 sera","COMBO"
"GSE120115","Post-vaccination (3rd, Age 53, Female)","Pre-vaccination (Age 53, Female)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (4th, Age 53, Female)","Pre-vaccination (Age 53, Female)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (Age 26, Female, High Response)","Pre-vaccination (Age 26, Female, High Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (4th, Age 28, Female, High Response)","Pre-vaccination (Age 28, Female, High Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (2nd, Age 28, Female, High Response)","Pre-vaccination (Age 28, Female, High Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (3rd, Age 28, Female, High Response)","Pre-vaccination (Age 28, Female, High Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (Age 49, Female, Low Response)","Pre-vaccination (Age 49, Female, Low Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (4th, Age 48, Female, Low Response)","Pre-vaccination (Age 49, Female, Low Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (2nd, Age 42, Female, Low Response)","Pre-vaccination (Age 42, Female, Low Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (3rd, Age 42, Female, Low Response)","Pre-vaccination (Age 42, Female, Low Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE120115","Post-vaccination (4th, Age 42, Female, Low Response)","Pre-vaccination (Age 42, Female, Low Response)","entita_costante","ok",NA,"NAME:vaccination","anchor"
"GSE159094","Donor A, Dex + IFN","Donor A, UT (Control)","ok_combo","ok","COMBO:dex+ifn","STR:dex_ifn","STR"
"GSE139230","LNCaP + DMSO + siBRD4","LNCaP + DMSO-siCon","ok","ok","STR:sibrd","COMBO:dmso+sibrd4","COMBO"
"GSE164285","Lesional NS_patient5","Healthy Control HC1","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE164285","Lesional NS_patient8","Healthy Control HC2","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE164285","Lesional NS_patient3.2","Healthy Control HC3","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE164285","Lesional NS_patient2","Healthy Control HC4","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE164285","Lesional NS_patient7","Healthy Control HC5","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE164285","Lesional NS_patient9","Healthy Control HC11","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE164285","Lesional NS_patient10.2","Healthy Control HC12","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE164285","Lesional NS_patient10.1","Healthy Control HC13","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE188763","Lesional S2","Control S7","nome_ombrello","ok",NA,"NAME:lesional","anchor"
"GSE188763","Lesional S1","Non-lesional S4","nome_ombrello","ok",NA,"NAME:lesional","anchor"
